symbol,series,date,open,high,low,close,last,previous_close,volume,value,trades,isin
ABB,EQ,2023-04-05,3388.95,3390,3347.05,3374.15,3380,3373.75,221406,745669925.65,24836,INE117A01022
ADANIPORTS,EQ,2023-04-05,626.9,639.8,625.05,636.75,635.95,627.8,6622367,4198045123.6,102619,INE742F01042
BEL,EQ,2023-04-05,95.05,98.45,95.05,98.25,98.2,96.6,24875169,2425662584.3,87174,INE263A01024
BOSCHLTD,EQ,2023-04-05,19402,19654.95,19105.05,19142.6,19120,19434.25,46684,903176647.85,10408,INE323A01026
CUMMINSIND,EQ,2023-04-05,1602,1605.2,1560,1568.55,1575,1605.25,824057,1294883996.2,59738,INE298A01020
DIXON,EQ,2023-04-05,2902,2945,2893,2929.15,2931.7,2893,140840,412490645.1,17766,INE935N01020
DLF,EQ,2023-04-05,362,370.5,361.35,367.05,367.25,361.55,3015748,1105005482.1,37016,INE271C01023
DMART,EQ,2023-04-05,3571.95,3666.7,3565.05,3654.85,3656,3553.75,481018,1749260966.15,50133,INE192R01011
HAL,EQ,2023-04-05,2727,2740,2670,2721.75,2726,2712.4,1168871,3149261153.1,72216,INE066F01012
HINDALCO,EQ,2023-04-05,402,404.6,394.3,403.3,402.65,402.55,5607641,2247075773.75,68547,INE038A01020
INDHOTEL,EQ,2023-04-05,320,324.65,318.1,323.9,324.25,321.05,2016527,648858695.45,37336,INE053A01029
INDIGO,EQ,2023-04-05,1890,1933.3,1884.4,1927.75,1928,1900,439816,845230700.4,34915,INE646L01027
LT,EQ,2023-04-05,2170,2262.5,2165,2257.75,2259,2170.15,2763363,6170736018.9,145375,INE018A01030
MANAPPURAM,EQ,2023-04-05,126,126.3,123.9,125,124.75,125.3,5173178,647524463.7,30713,INE522D01027
MARUTI,EQ,2023-04-05,8521.95,8548,8430,8447.05,8456,8503.05,272888,2307320637.15,37788,INE585B01010
PAYTM,EQ,2023-04-05,640,648,638.2,641.1,641.9,639,2516676,1622056888,61813,INE982J01020
PGEL,EQ,2023-04-05,1360,1395,1336.1,1374.5,1370,1358.1,28736,39416108.9,3571,INE457L01011
SBIN,EQ,2023-04-05,527,527.6,519.05,523,523.5,526.75,13574801,7093806223.3,174172,INE062A01020
SUZLON,EQ,2023-04-05,8.15,8.3,8,8.1,8.05,8.1,34055807,276251315.65,19967,INE040H01021
TRENT,EQ,2023-04-05,1360,1373,1350,1364.8,1365.65,1357.4,212990,290265466.1,19398,INE849A01020
