symbol,series,date,open,high,low,close,last,previous_close,volume,value,trades,isin
ABB,Q,2016-12-08,1069.95,1069.95,1056.8,1059.6,1058.85,1057.4,568,602917,143,INE117A01022
ABB,Q,2016-12-09,1069.95,1069.95,1056.80,1059.60,1058.85,1057.40,568,602917.00,143,INE117A01022
ABB,Q,2016-12-12,1049.00,1055.00,1041.10,1051.45,1054.80,1056.10,1281,1344758.00,303,INE117A01022
ABB,Q,2016-12-14,1048.50,1052.40,1043.00,1046.60,1052.35,1046.70,787,825240.00,142,INE117A01022
ABB,Q,2016-12-15,1048.70,1057.90,1046.10,1051.75,1055.00,1046.60,1939,2039095.00,449,INE117A01022
ABB,Q,2016-12-16,1053.00,1072.00,1046.95,1058.40,1058.40,1051.75,2891,3047442.00,472,INE117A01022
ABB,Q,2016-12-19,1061.70,1063.70,1041.95,1048.40,1048.40,1058.40,2054,2164037.00,430,INE117A01022
ABB,Q,2016-12-20,1046.75,1058.00,1042.90,1050.00,1050.00,1048.40,954,1003131.00,297,INE117A01022
ABB,Q,2016-12-21,1057.20,1057.20,1037.10,1042.10,1042.10,1050.00,537,561217.00,124,INE117A01022
ABB,Q,2016-12-22,1046.60,1052.00,1025.25,1029.25,1026.00,1042.10,889,919747.00,210,INE117A01022
ABB,Q,2016-12-23,1030.00,1040.00,1021.25,1024.00,1024.00,1029.25,1583,1622706.00,290,INE117A01022
ABB,Q,2016-12-26,1024.00,1035.00,1017.20,1030.20,1032.90,1024.00,1498,1538240.00,395,INE117A01022
ABB,Q,2016-12-27,1030.00,1044.20,1022.60,1030.35,1033.00,1030.20,1874,1939758.00,286,INE117A01022
ABB,Q,2016-12-28,1038.55,1043.00,1026.75,1034.90,1030.00,1030.35,2518,2611024.00,551,INE117A01022
ABB,Q,2016-12-29,1038.85,1038.85,1026.00,1032.30,1033.40,1034.90,1592,1644037.00,277,INE117A01022
ABB,Q,2016-12-30,1033.40,1046.00,1033.40,1039.10,1039.00,1032.30,1588,1653493.00,443,INE117A01022
ABB,Q,2017-01-02,1045.00,1052.00,1035.00,1039.95,1036.00,1039.10,3307,3443521.00,579,INE117A01022
ABB,Q,2017-01-03,1069.90,1069.90,1037.90,1045.05,1045.05,1039.95,950,994456.00,187,INE117A01022
ABB,Q,2017-01-04,1050.00,1050.00,1033.50,1037.35,1037.35,1045.05,1518,1580554.00,188,INE117A01022
ABB,Q,2017-01-05,1051.90,1051.90,1029.55,1031.45,1031.45,1037.35,7993,8252762.00,1121,INE117A01022
ABB,Q,2017-01-06,1037.00,1048.00,1035.55,1043.90,1045.65,1031.45,2160,2248126.00,411,INE117A01022
ABB,Q,2017-01-09,1047.95,1048.00,1037.00,1041.95,1043.95,1043.90,2264,2362101.00,369,INE117A01022
ABB,Q,2017-01-10,1045.00,1199.00,1031.00,1176.00,1176.00,1041.95,139600,161313259.00,12842,INE117A01022
ABB,Q,2017-01-11,1166.90,1169.95,1102.50,1132.15,1132.15,1176.00,57060,65325400.00,5254,INE117A01022
ABB,Q,2017-01-12,1139.75,1150.00,1111.00,1122.10,1122.10,1132.15,15266,17239478.00,2229,INE117A01022
ABB,Q,2017-01-13,1130.00,1144.90,1111.35,1130.85,1130.85,1122.10,8239,9288059.00,1233,INE117A01022
ABB,Q,2017-01-16,1125.00,1139.95,1118.05,1124.45,1124.45,1130.85,6274,7074418.00,1147,INE117A01022
ABB,Q,2017-01-17,1130.35,1131.70,1099.00,1103.10,1103.10,1124.45,6234,6923712.00,972,INE117A01022
ABB,Q,2017-01-18,1110.00,1149.95,1101.40,1146.80,1146.80,1103.10,14565,16579602.00,1766,INE117A01022
ABB,Q,2017-01-19,1147.00,1160.00,1134.25,1153.40,1153.40,1146.80,8638,9912563.00,1290,INE117A01022
ABB,Q,2017-01-20,1150.00,1150.00,1123.40,1132.60,1132.60,1153.40,3790,4299301.00,589,INE117A01022
ABB,Q,2017-01-23,1135.00,1135.00,1113.00,1117.50,1114.00,1132.60,2654,2974410.00,675,INE117A01022
ABB,Q,2017-01-24,1124.95,1129.85,1114.50,1116.00,1116.00,1117.50,3071,3436870.00,735,INE117A01022
ABB,Q,2017-01-25,1128.00,1128.00,1072.80,1109.65,1106.20,1116.00,9769,10853553.00,1609,INE117A01022
ABB,Q,2017-01-27,1112.90,1125.15,1105.00,1108.55,1111.85,1109.65,3006,3348892.00,795,INE117A01022
ABB,Q,2017-01-30,1110.00,1121.00,1076.00,1101.10,1101.10,1108.55,6734,7456823.00,1237,INE117A01022
ABB,Q,2017-01-31,1114.90,1116.90,1091.00,1094.20,1094.20,1101.10,10640,11716883.00,2312,INE117A01022
ABB,Q,2017-02-01,1096.20,1120.00,1091.75,1107.05,1102.05,1094.20,4176,4619716.00,840,INE117A01022
ABB,Q,2017-02-02,1109.00,1127.95,1105.00,1109.95,1109.95,1107.05,6582,7335031.00,1254,INE117A01022
ABB,Q,2017-02-03,1113.75,1118.00,1106.00,1110.35,1110.35,1109.95,2558,2840644.00,355,INE117A01022
ABB,Q,2017-02-06,1116.60,1144.20,1105.70,1132.65,1132.65,1110.35,27029,30505259.00,3143,INE117A01022
ABB,Q,2017-02-07,1121.00,1192.00,1121.00,1179.95,1179.95,1132.65,43827,51333284.00,4217,INE117A01022
ABB,Q,2017-02-08,1183.00,1213.00,1182.00,1208.35,1208.35,1179.95,33925,40679326.00,3527,INE117A01022
ABB,Q,2017-02-09,1210.00,1228.00,1185.55,1225.65,1225.00,1208.35,34091,41300522.00,4404,INE117A01022
ABB,Q,2017-02-10,1230.00,1269.75,1225.00,1261.85,1256.80,1225.65,23906,29794305.00,3066,INE117A01022
ABB,Q,2017-02-13,1261.00,1261.10,1210.00,1223.30,1211.20,1261.85,7440,9147198.00,976,INE117A01022
ABB,Q,2017-02-14,1230.00,1230.00,1190.00,1194.25,1194.25,1223.30,6336,7600868.00,914,INE117A01022
ABB,Q,2017-02-15,1195.00,1195.45,1170.00,1172.20,1170.00,1194.25,4312,5082094.00,612,INE117A01022
ABB,Q,2017-02-16,1170.00,1238.90,1170.00,1228.85,1228.85,1172.20,25513,30948227.00,3164,INE117A01022
ABB,Q,2017-02-17,1230.00,1240.00,1219.80,1230.00,1233.50,1228.85,6726,8284911.00,1143,INE117A01022
ABB,Q,2017-02-20,1235.00,1236.90,1224.45,1226.65,1230.00,1230.00,2003,2460991.00,517,INE117A01022
ABB,Q,2017-02-21,1219.10,1230.70,1212.95,1221.60,1217.00,1226.65,4211,5147510.00,703,INE117A01022
ABB,Q,2017-02-22,1217.15,1228.00,1200.00,1212.05,1212.05,1221.60,29704,36080332.00,1053,INE117A01022
ABB,Q,2017-02-23,1205.00,1206.90,1190.10,1199.25,1199.25,1212.05,3922,4706549.00,789,INE117A01022
ABB,Q,2017-02-27,1202.10,1208.00,1177.00,1196.90,1197.05,1199.25,5860,7002034.00,791,INE117A01022
ABB,Q,2017-02-28,1207.00,1215.00,1195.00,1199.90,1198.00,1196.90,6516,7847404.00,1204,INE117A01022
ABB,Q,2017-03-01,1207.00,1243.00,1197.00,1235.20,1235.20,1199.90,15231,18664991.00,1807,INE117A01022
ABB,Q,2017-03-02,1243.95,1243.95,1201.05,1207.25,1207.25,1235.20,10897,13313105.00,1426,INE117A01022
ABB,Q,2017-03-03,1215.00,1231.20,1210.10,1226.05,1230.00,1207.25,6176,7547067.00,767,INE117A01022
ABB,Q,2017-03-06,1231.60,1236.00,1195.00,1201.60,1201.60,1226.05,3975,4825080.00,618,INE117A01022
ABB,Q,2017-03-07,1209.90,1226.70,1201.30,1208.65,1209.50,1201.60,3597,4363399.00,588,INE117A01022
ABB,Q,2017-03-08,1190.00,1225.00,1187.55,1200.80,1200.80,1208.65,11784,14208763.00,1538,INE117A01022
ABB,Q,2017-03-09,1206.90,1206.90,1191.50,1194.30,1192.05,1200.80,3459,4148385.00,508,INE117A01022
ABB,Q,2017-03-10,1208.00,1210.00,1178.00,1193.30,1193.30,1194.30,2748,3288104.00,362,INE117A01022
ABB,Q,2017-03-14,1194.00,1219.25,1190.00,1198.75,1194.00,1193.30,11804,14173134.00,1089,INE117A01022
ABB,Q,2017-03-15,1201.00,1225.00,1201.00,1206.85,1206.05,1198.75,8984,10876285.00,1269,INE117A01022
ABB,Q,2017-03-16,1217.00,1226.50,1205.05,1207.80,1207.80,1206.85,4119,5002930.00,680,INE117A01022
ABB,Q,2017-03-17,1201.00,1222.00,1201.00,1212.85,1212.85,1207.80,6537,7922557.00,729,INE117A01022
ABB,Q,2017-03-20,1216.00,1221.50,1208.00,1211.15,1217.30,1212.85,2070,2512487.00,331,INE117A01022
ABB,Q,2017-03-21,1212.55,1216.00,1190.55,1194.20,1193.00,1211.15,4377,5240851.00,622,INE117A01022
ABB,Q,2017-03-22,1197.00,1200.00,1181.95,1185.55,1185.55,1194.20,11348,13499452.00,1300,INE117A01022
ABB,Q,2017-03-23,1199.00,1199.95,1190.00,1192.65,1192.65,1185.55,2100,2508533.00,423,INE117A01022
ABB,Q,2017-03-24,1192.00,1205.00,1186.40,1193.75,1190.00,1192.65,4811,5749671.00,700,INE117A01022
ABB,Q,2017-03-27,1195.00,1200.00,1180.50,1183.30,1190.00,1193.75,6093,7231465.00,754,INE117A01022
ABB,Q,2017-03-28,1194.95,1195.20,1182.10,1190.65,1190.65,1183.30,3450,4104619.00,512,INE117A01022
ABB,Q,2017-03-29,1194.00,1222.00,1185.70,1212.05,1210.25,1190.65,8064,9779451.00,1059,INE117A01022
