symbol,series,date,open,high,low,close,last,previous_close,volume,value,trades,isin
DIXON,Q,2017-09-18,2725.00,3020.25,2725.00,2892.80,2892.80,0.00,970793,2813855553.00,85343,INE935N01012
DIXON,Q,2017-09-19,2940.00,2994.50,2862.05,2882.30,2882.30,2892.80,131127,384617278.00,12656,INE935N01012
DIXON,Q,2017-09-20,2890.00,2899.00,2755.00,2804.25,2804.25,2882.30,88662,249171980.00,8965,INE935N01012
DIXON,Q,2017-09-21,2801.00,2804.90,2683.00,2763.55,2763.55,2804.25,46482,127814688.00,5363,INE935N01012
DIXON,Q,2017-09-22,2749.00,2780.05,2651.00,2664.70,2664.70,2763.55,29855,80768591.00,3331,INE935N01012
DIXON,Q,2017-09-25,2656.00,2709.20,2510.00,2615.35,2615.35,2664.70,61396,159174941.00,7216,INE935N01012
DIXON,Q,2017-09-26,2600.00,2678.00,2600.00,2624.35,2624.35,2615.35,19964,52749842.00,2499,INE935N01012
DIXON,Q,2017-09-27,2650.00,2709.30,2585.00,2602.25,2602.25,2624.35,24028,63617399.00,3076,INE935N01012
DIXON,Q,2017-09-28,2620.00,2658.00,2590.00,2626.95,2626.95,2602.25,11442,30074419.00,1471,INE935N01012
DIXON,Q,2017-09-29,2650.00,2679.00,2625.10,2635.30,2635.30,2626.95,11905,31559450.00,1377,INE935N01012
DIXON,Q,2017-10-03,2670.00,2732.00,2585.90,2698.95,2698.95,2635.30,25868,69145946.00,2971,INE935N01012
DIXON,Q,2017-10-04,2700.00,2750.00,2680.00,2702.95,2702.95,2698.95,20130,54633436.00,2640,INE935N01012
DIXON,Q,2017-10-05,2717.30,2738.00,2685.00,2692.35,2690.10,2702.95,10548,28603189.00,1181,INE935N01012
DIXON,Q,2017-10-06,2720.00,2745.00,2649.35,2677.60,2677.60,2692.35,6310,17055999.00,896,INE935N01012
DIXON,Q,2017-10-09,2670.10,2712.30,2605.10,2631.85,2631.85,2677.60,10286,27315662.00,1095,INE935N01012
DIXON,Q,2017-10-10,2630.00,2676.45,2611.90,2659.75,2659.75,2631.85,7318,19341381.00,917,INE935N01012
