symbol,series,date,open,high,low,close,last,previous_close,volume,value,trades,isin
SBIN,Q,2016-12-08,253.7,257.7,248.2,253.6,253.6,260.95,2096208,533608062,20610,INE062A01020
SBIN,Q,2016-12-09,253.70,257.70,248.20,253.60,253.60,260.95,2096208,533608062.00,20610,INE062A01020
SBIN,Q,2016-12-12,269.45,269.45,262.40,263.40,263.40,266.00,1599873,426095821.00,11672,INE062A01020
SBIN,Q,2016-12-14,265.50,266.20,262.20,262.70,262.70,265.50,794810,209579763.00,8567,INE062A01020
SBIN,Q,2016-12-15,259.35,267.50,259.25,265.00,265.00,262.70,1578399,418162768.00,15614,INE062A01020
SBIN,Q,2016-12-16,265.70,268.25,263.25,264.75,264.75,265.00,813798,215364050.00,10196,INE062A01020
SBIN,Q,2016-12-19,263.05,264.40,260.85,261.40,261.40,264.75,560178,147027134.00,5738,INE062A01020
SBIN,Q,2016-12-20,261.25,262.95,253.25,254.55,254.55,261.40,1467511,375626770.00,13511,INE062A01020
SBIN,Q,2016-12-21,256.55,257.95,254.15,255.15,255.15,254.55,801075,205060201.00,7665,INE062A01020
SBIN,Q,2016-12-22,254.00,254.25,248.45,249.75,249.75,255.15,2080442,520929448.00,11844,INE062A01020
SBIN,Q,2016-12-23,249.95,251.70,248.05,249.25,249.25,249.75,889308,222250650.00,8392,INE062A01020
SBIN,Q,2016-12-26,248.75,248.75,243.70,244.10,244.10,249.25,781838,191878691.00,8600,INE062A01020
SBIN,Q,2016-12-27,243.60,249.90,243.10,248.70,248.70,244.10,878824,215953972.00,9306,INE062A01020
SBIN,Q,2016-12-28,249.65,252.35,246.70,247.25,247.25,248.70,1331062,331988263.00,11962,INE062A01020
SBIN,Q,2016-12-29,248.00,248.90,245.75,247.55,247.55,247.25,754686,186724159.00,7137,INE062A01020
SBIN,Q,2016-12-30,247.55,252.45,247.50,249.75,249.75,247.55,1781491,446562670.00,21107,INE062A01020
SBIN,Q,2017-01-02,252.75,253.50,242.80,243.60,243.60,249.75,2429618,594882604.00,26779,INE062A01020
SBIN,Q,2017-01-03,243.60,246.30,241.10,244.85,244.85,243.60,1524646,372716459.00,14539,INE062A01020
SBIN,Q,2017-01-04,245.20,246.45,242.50,242.90,242.90,244.85,1271447,310153309.00,11180,INE062A01020
SBIN,Q,2017-01-05,244.95,246.00,244.05,245.45,245.45,242.90,1025688,251486248.00,9359,INE062A01020
SBIN,Q,2017-01-06,246.00,248.95,245.30,245.95,245.95,245.45,1050117,259555569.00,9851,INE062A01020
SBIN,Q,2017-01-09,246.55,248.20,246.10,247.00,247.00,245.95,594964,146975536.00,5835,INE062A01020
SBIN,Q,2017-01-10,247.50,248.90,246.40,247.85,247.85,247.00,667028,165124114.00,7428,INE062A01020
SBIN,Q,2017-01-11,248.10,253.15,248.10,251.90,251.90,247.85,2441459,613226808.00,14185,INE062A01020
SBIN,Q,2017-01-12,252.35,254.30,250.55,251.10,251.10,251.90,1755393,442410151.00,11373,INE062A01020
SBIN,Q,2017-01-13,252.05,252.95,248.85,250.90,250.90,251.10,1635559,410138952.00,9310,INE062A01020
SBIN,Q,2017-01-16,251.05,256.40,250.75,255.75,255.75,250.90,1147858,291647336.00,11309,INE062A01020
