symbol,announcement_date,announcement_timestamp,description,attachment_url,attachment_text,company_name,isin,industry,sequence_id,source
ABB,2010-10-29,2010-10-29 13:18:30,Financial Result Updates,https://nsearchives.nseindia.com/corporate/ABB_30SEP2010_S_Q3.zip,"ABB Limited has submitted to the Exchange the Standalone Financial Results for the period ended September 30,2010.",ABB India Limited,INE117A01022,Electrical Equipment,540,nse
ABB,2011-02-23,2011-02-23 13:54:46,Financial Result Updates,https://nsearchives.nseindia.com/corporate/ABB_31DEC2010_S_AN.zip,"ABB Limited has submitted to the Exchange the Standalone Financial Results for the period ended December 31,2010.",ABB India Limited,INE117A01022,Electrical Equipment,2735,nse
ABB,2011-05-11,2011-05-11 14:43:58,Financial Result Updates,https://nsearchives.nseindia.com/corporate/ABB_31MAR2011_S_Q1.zip,"ABB Limited has submitted to the Exchange the Standalone Financial Results for the period ended March 31,2011.",ABB India Limited,INE117A01022,Electrical Equipment,3251,nse
ABB,2011-08-09,2011-08-09 14:40:19,Financial Result Updates,https://nsearchives.nseindia.com/corporate/ABB_30JUN2011_S_Q2.zip,"ABB Limited has submitted to the Exchange the Standalone Financial Results for the period ended June 30,2011.",ABB India Limited,INE117A01022,Electrical Equipment,5045,nse
ABB,2011-11-08,2011-11-08 12:13:50,Financial Result Updates,https://nsearchives.nseindia.com/corporate/ABB_30SEP2011_S_Q3.zip,"ABB Limited has submitted to the Exchange the Standalone Financial Results for the period ended September 30,2011.",ABB India Limited,INE117A01022,Electrical Equipment,6443,nse
ABB,2012-02-23,2012-02-23 15:04:05,Financial Result Updates,https://nsearchives.nseindia.com/corporate/ABB_31DEC2011_B_Q4A.zip,"ABB Limited has submitted to the Exchange the Standalone and Consolidated Financial Results for the period ended December 31,2011.",ABB India Limited,INE117A01022,Electrical Equipment,8724,nse
ABB,2012-05-09,2012-05-09 13:52:37,Financial Result Updates,https://nsearchives.nseindia.com/corporate/ABB_31MAR2012_S_Q1.zip,"ABB Limited has submitted to the Exchange the Standalone Financial Results along with Limited Review Report for the period ended March 31,2012.",ABB India Limited,INE117A01022,Electrical Equipment,9112,nse
ABB,2012-08-08,2012-08-08 15:43:49,Financial Result Updates,https://nsearchives.nseindia.com/corporate/ABB_30JUN2012_S_Q2.zip,"ABB Limited has submitted to the Exchange the Standalone Financial Results along with the Limited Review Report for the period ended June 30,2012.",ABB India Limited,INE117A01022,Electrical Equipment,11057,nse
ABB,2012-11-06,2012-11-06 16:25:00,Financial Result Updates,https://nsearchives.nseindia.com/corporate/ABB_30SEP2012_S_Q3.zip,"ABB Limited has submitted to the Exchange the Standalone Financial Results along with the Limited Review Report for the period ended September 30,2012.",ABB India Limited,INE117A01022,Electrical Equipment,12720,nse
ABB,2013-02-07,2013-02-07 13:40:00,Updates,-,"ABB Limited has informed the Exchange vide letter dated February 07, 2013 that ""Our promoter viz: ABB Asea Brown Ltd, Zurich, Switzerland, has sold one share through National Stock Exchange on February 05, 2013, in order to comply Clause 40A of the listing agreement. The Company therefore now fullfills the requirements of the provision of Clause 40A of the Listing Agreement"".",ABB India Limited,INE117A01022,Electrical Equipment,497952,nse
