symbol,announcement_date,announcement_timestamp,description,attachment_url,attachment_text,company_name,isin,industry,sequence_id,source
BOSCHLTD,2010-10-26,2010-10-26 13:52:28,Financial Result Updates,https://nsearchives.nseindia.com/corporate/BOSCHLTD_30SEP2010_S_Q3.zip,"Bosch Limited has submitted to the Exchange the Standalone Financial Results for the period ended September 30,2010.",Bosch Limited,INE323A01026,Auto Ancillaries,285,nse
BOSCHLTD,2011-02-28,2011-02-28 18:54:25,Financial Result Updates,https://nsearchives.nseindia.com/corporate/BOSCHLTD_31DEC2010_S_Q4A.zip,"Bosch Limited has submitted to the Exchange the Standalone Financial Results for the period ended December 31,2010.",Bosch Limited,INE323A01026,Auto Ancillaries,2750,nse
BOSCHLTD,2011-04-27,2011-04-27 12:45:25,Financial Result Updates,https://nsearchives.nseindia.com/corporate/BOSCHLTD_31MAR2011_S_Q1.zip,"Bosch Limited has submitted to the Exchange the Standalone Financial Results for the period ended March 31,2011.",Bosch Limited,INE323A01026,Auto Ancillaries,2889,nse
BOSCHLTD,2011-08-05,2011-08-05 12:23:45,Financial Result Updates,https://nsearchives.nseindia.com/corporate/BOSCHLTD_30JUN2011_S_Q2H.zip,"Bosch Limited has submitted to the Exchange the Standalone Financial Results for the period ended June 30,2011.",Bosch Limited,INE323A01026,Auto Ancillaries,4920,nse
BOSCHLTD,2011-11-08,2011-11-08 13:10:15,Financial Result Updates,https://nsearchives.nseindia.com/corporate/BOSCHLTD_30SEP2011_S_Q3.zip,"Bosch Limited has submitted to the Exchange the Standalone Financial Results for the period ended September 30,2011.",Bosch Limited,INE323A01026,Auto Ancillaries,6446,nse
BOSCHLTD,2012-02-28,2012-02-28 14:14:25,Financial Result Updates,https://nsearchives.nseindia.com/corporate/BOSCHLTD_31DEC2011_S_Q4A.zip,"Bosch Limited has submitted to the Exchange the Standalone Financial Results for the period ended December 31,2011.",Bosch Limited,INE323A01026,Auto Ancillaries,8732,nse
BOSCHLTD,2012-05-07,2012-05-07 13:38:48,Financial Result Updates,https://nsearchives.nseindia.com/corporate/BOSCHLTD_31MAR2012_S_Q1.zip,"Bosch Limited has submitted to the Exchange the Standalone Financial Results along with Limited Review Report for the period ended March 31,2012.",Bosch Limited,INE323A01026,Auto Ancillaries,9051,nse
BOSCHLTD,2012-08-13,2012-08-13 13:06:57,Financial Result Updates,https://nsearchives.nseindia.com/corporate/BOSCHLTD_30JUN2012_S_Q2.zip,"Bosch Limited has submitted to the Exchange the Standalone Financial Results along with the Limited Review Report for the period ended June 30,2012.",Bosch Limited,INE323A01026,Auto Ancillaries,11374,nse
BOSCHLTD,2012-11-06,2012-11-06 13:00:12,Financial Result Updates,https://nsearchives.nseindia.com/corporate/BOSCHLTD_30SEP2012_S_Q3.zip,"Bosch Limited has submitted to the Exchange the Standalone Financial Results along with the Limited Review Report for the period ended September 30,2012.",Bosch Limited,INE323A01026,Auto Ancillaries,12689,nse
BOSCHLTD,2013-02-27,2013-02-27 13:57:33,Financial Result Updates,https://nsearchives.nseindia.com/corporate/BOSCHLTD_31DEC2012_S_Q4AN.zip,"Bosch Limited has submitted to the Exchange the Standalone Financial Results for the period ended December 31,2012.",Bosch Limited,INE323A01026,Auto Ancillaries,15025,nse
