symbol,announcement_date,announcement_timestamp,description,attachment_url,attachment_text,company_name,isin,industry,sequence_id,source
SUZLON,2011-02-04,2011-02-04 19:51:56,Financial Result Updates,https://nsearchives.nseindia.com/corporate/SUZLON_31DEC2010_B_Q3.zip,"Suzlon Energy Limited has submitted to the Exchange the Standalone and Consolidated Financial Results for the period ended December 31,2010.",Suzlon Energy Limited,INE040H01021,Electrical Equipment,2122,nse
SUZLON,2011-05-16,2011-05-16 08:41:55,Financial Result Updates,https://nsearchives.nseindia.com/corporate/SUZLON_31MAR2011_B_Q4A.zip,"Suzlon Energy Limited has submitted to the Exchange the Standalone and Consolidated Financial Results for the period ended March 31,2011.",Suzlon Energy Limited,INE040H01021,Electrical Equipment,3437,nse
SUZLON,2011-08-01,2011-08-01 08:27:49,Financial Result Updates,https://nsearchives.nseindia.com/corporate/SUZLON_31MAR2011_B_AN.zip,"Suzlon Energy Limited has submitted to the Exchange the Standalone and Consolidated Financial Results for the period ended March 31,2011.",Suzlon Energy Limited,INE040H01021,Electrical Equipment,4771,nse
SUZLON,2011-08-01,2011-08-01 08:29:25,Financial Result Updates,https://nsearchives.nseindia.com/corporate/SUZLON_30JUN2011_B_Q1.zip,"Suzlon Energy Limited has submitted to the Exchange the Standalone and Consolidated Financial Results for the period ended June 30,2011.",Suzlon Energy Limited,INE040H01021,Electrical Equipment,4772,nse
SUZLON,2012-05-25,2012-05-25 18:14:14,Financial Result Updates,https://nsearchives.nseindia.com/corporate/SUZLON_31MAR2012_B_Q4A.zip,"Suzlon Energy Limited has submitted to the Exchange the Standalone and Consolidated Financial Results for the period ended March 31,2012.",Suzlon Energy Limited,INE040H01021,Electrical Equipment,9744,nse
SUZLON,2012-08-13,2012-08-13 18:50:14,Financial Result Updates,https://nsearchives.nseindia.com/corporate/SUZLON_30JUN2012_B_Q1.zip,"Suzlon Energy Limited has submitted to the Exchange the Standalone and Consolidated Financial Results for the period ended June 30,2012.",Suzlon Energy Limited,INE040H01021,Electrical Equipment,11474,nse
SUZLON,2012-11-09,2012-11-09 17:53:39,Financial Result Updates,https://nsearchives.nseindia.com/corporate/SUZLON_30SEP2012_B_Q2.zip,"Suzlon Energy Limited has submitted to the Exchange the Standalone and Consolidated Financial Results for the period ended September 30,2012.",Suzlon Energy Limited,INE040H01021,Electrical Equipment,13060,nse
SUZLON,2013-01-18,2013-01-18 15:12:00,Press Release,https://nsearchives.nseindia.com/corporate/Suzlon_PR_18-01-2013.zip,"Suzlon Energy Limited has informed the Exchange regarding a press release dated January 18, 2013, titled ""Andhra Pradesh takes giant leap in wind power development"".",Suzlon Energy Limited,INE040H01021,Electrical Equipment,,nse
SUZLON,2013-01-24,2013-01-24 15:40:00,Press Release,https://nsearchives.nseindia.com/corporate/SUZLON_pr_24012013_01242013154002_1.zip,"Suzlon Energy Limited has informed the Exchange regarding a press release dated January 24, 2013, titled ""Suzlon Group announces formal approval of Corporate Debt Restructuring (CDR) proposal"".",Suzlon Energy Limited,INE040H01021,Electrical Equipment,485553,nse
SUZLON,2013-01-28,2013-01-28 10:40:00,Press Release,https://nsearchives.nseindia.com/corporate/SUZLON_pr_28012013_01282013104001_2.zip,"Suzlon Energy Limited has informed the Exchange regarding a Press Release dated January 28, 2013, titled ""Suzlon Group wins 22 MW repeat order from Sri Kumarswamy Mineral Exports Private Limited"".",Suzlon Energy Limited,INE040H01021,Electrical Equipment,487524,nse
SUZLON,2013-01-30,2013-01-30 08:52:00,Press Release,https://nsearchives.nseindia.com/corporate/Suzlon_pr_30012013_01302013085203_3.zip,"Suzlon Energy Limited has informed the Exchange regarding a Press Release dated January 30, 2013, titled ""Suzlon Group signs 50 MW order with Orange Renewable Power"".",Suzlon Energy Limited,INE040H01021,Electrical Equipment,491161,nse
SUZLON,2013-01-31,2013-01-31 08:44:00,Press Release,https://nsearchives.nseindia.com/corporate/SUZlon_pr_31012013_01312013084401_1.zip,"Suzlon Energy Limited has informed the Exchange regarding a Press Release dated January 31, 2013, titled ""Suzion Group wins 350 MW Canada order: largest REpower contract to date"".",Suzlon Energy Limited,INE040H01021,Electrical Equipment,492203,nse
SUZLON,2013-02-01,2013-02-01 10:04:00,Press Release,https://nsearchives.nseindia.com/corporate/Suzlon_pr_01022013_02012013100402_1.zip,"Suzlon Energy Limited has informed the Exchange regarding a press release dated February 01, 2013, titled ""Suzlon signs 138 MW firm order in South Africa; site construction already commenced"".",Suzlon Energy Limited,INE040H01021,Electrical Equipment,493285,nse
SUZLON,2013-02-14,2013-02-14 17:59:52,Financial Result Updates,https://nsearchives.nseindia.com/corporate/SUZLON_31DEC2012_B_Q3.zip,"Suzlon Energy Limited has submitted to the Exchange the Standalone and Consolidated Financial Results along with the Limited Review Report for the period ended December 31,2012.",Suzlon Energy Limited,INE040H01021,Electrical Equipment,14831,nse
SUZLON,2013-02-14,2013-02-14 18:16:00,Press Release,https://nsearchives.nseindia.com/corporate/SUZLON_PR_02142013181604_4.zip,"Suzlon Energy Limited has informed the Exchange regarding a press release dated February 14, 2013, titled ""Suzlon Group Q3: Performance negatively impacted by liquidity constraints"".",Suzlon Energy Limited,INE040H01021,Electrical Equipment,502756,nse
SUZLON,2013-02-14,2013-02-14 18:56:00,Outcome of Board Meeting,https://nsearchives.nseindia.com/corporate/Suzlon_OBM_14022013.zip,"Suzlon Energy Limited has informed the Exchange regarding the Outcome of Board Meeting of the Company held on February 14, 2013.",Suzlon Energy Limited,INE040H01021,Electrical Equipment,502768,nse
SUZLON,2013-02-26,2013-02-26 08:40:00,Press Release,https://nsearchives.nseindia.com/corporate/Suzlon_pr_26022013_02262013084002_1.zip,"Suzlon Energy Limited has informed the Exchange regarding a press release dated February 26, 2013, titled ""Suzlon wins 103 MW order from Oil & Natural Gas Corporation Limited"".",Suzlon Energy Limited,INE040H01021,Electrical Equipment,507727,nse
SUZLON,2013-02-28,2013-02-28 12:40:00,Updates,https://nsearchives.nseindia.com/corporate/SUZlon_update_28022013_02282013124001_1.zip,"Suzlon Energy Limited has informed the Exchange vide letter dated February 28, 2013, that ""Suzlon promoters raise funds for CDR process via stake sale"".",Suzlon Energy Limited,INE040H01021,Electrical Equipment,509979,nse
SUZLON,2013-03-01,2013-03-01 14:28:00,Disclosure under SEBI Takeover Regulations,https://nsearchives.nseindia.com/corporate/SUZLON_ILFSINANCIAL_01032013.zip,"IL&FS Financial Services Limited has submitted to the Exchange, vide letter dated February 27, 2013 a copy of disclosure under Regulation 29(2) of SEBI (Substantial Acquisition of Shares & Takeovers) Regulations, 2011.",Suzlon Energy Limited,INE040H01021,Electrical Equipment,510831,nse
SUZLON,2013-03-04,2013-03-04 14:20:00,Discl. under SEBI Insider Trading and Takeover Regulation,https://nsearchives.nseindia.com/corporate/SUZLON_disc_02032013_03042013142002_1.zip,"Vinod R. Tanti has submitted to the Exchange, vide letter dated March 01, 2013 a copy of disclosure under Regulation 29(2) of SEBI (Substantial Acquisition of Shares & Takeovers) Regulations, 2011 and disclosure under Regulation 13(3),13(4), 13(4A) and 13(6) of the SEBI (Prohibition of Insider Trading) Regulations, 1992.",Suzlon Energy Limited,INE040H01021,Electrical Equipment,511567,nse
SUZLON,2013-03-04,2013-03-04 14:44:00,Disclosure under Insider Trading Regulation,https://nsearchives.nseindia.com/corporate/Suzlon_reg13_02032013_03042013144402_2.zip,"Suzlon Energy Limited has submitted to the Exchange vide letter dated March 01, 2013 a copy of Disclosure under Regulations 13(3) and 13(6) of SEBI (Prohibition of Insider Trading) Regulations, 1992 along with a copy of disclosure under Regulations 13(4), 13(4A) and 13(6) of SEBI (Prohibition of Insider Trading) Regulations, 1992.",Suzlon Energy Limited,INE040H01021,Electrical Equipment,511577,nse
SUZLON,2013-03-05,2013-03-05 09:56:00,Disclosure under SEBI Takeover Regulations,https://nsearchives.nseindia.com/corporate/SUZLON_MORGAN_05032013_03052013095602_1.zip,"Morgan Stanley has submitted to the Exchange vide letter dated March 04, 2013 a copy of disclosure under Regulation 29(1) of SEBI (Substantial Acquisition of Shares & Takeovers) Regulations, 2011.",Suzlon Energy Limited,INE040H01021,Electrical Equipment,511748,nse
SUZLON,2013-03-06,2013-03-06 17:04:00,Disclosure under SEBI Takeover Regulations,https://nsearchives.nseindia.com/corporate/Suzlon_Vinod_Disc_06032013_03062013170402_2.zip,"Vinod R. Tanti has submitted to the Exchange, vide letter dated March 06, 2013 a copy of disclosure under Regulation 31(1) and 31(2) of SEBI (Substantial Acquisition of Shares & Takeovers) Regulations, 2011.",Suzlon Energy Limited,INE040H01021,Electrical Equipment,513306,nse
SUZLON,2013-03-07,2013-03-07 08:28:00,Disclosure under Insider Trading Regulation,https://nsearchives.nseindia.com/corporate/Suzlon_reg13_07032013_03072013082802_2.zip,"Suzlon Energy Limited has submitted to the Exchange vide letter dated March 06, 2013 a copy of Disclosure under Regulations 13(1) and 13(6) of SEBI (Prohibition of Insider Trading) Regulations, 1992.",Suzlon Energy Limited,INE040H01021,Electrical Equipment,513339,nse
SUZLON,2013-03-07,2013-03-07 16:56:00,Disclosure under SEBI Takeover Regulations,https://nsearchives.nseindia.com/corporate/Suzlon_Vinod_Disc_07032013_03072013165601_1.zip,"Vinod R. Tanti has submitted to the Exchange, vide letter dated March 07, 2013 a copy of disclosure under Regulation 31(1) and 31(2) of SEBI (Substantial Acquisition of Shares & Takeovers) Regulations, 2011.",Suzlon Energy Limited,INE040H01021,Electrical Equipment,514013,nse
