symbol,date,underlying_close_price,underlying_previous_close_price,underlying_log_returns,previous_day_underlying_volatility,current_day_underlying_daily_volatility,underlying_annualised_volatility
ABB,2019-08-09,1396.75,1395.10,0.0012,0.0177,,0.3286
ADANIPORTS,2019-08-09,376.60,373.95,0.0071,0.0170,,0.3171
BEL,2019-08-09,97.65,97.00,0.0067,0.0339,,0.6286
BOSCHLTD,2019-08-09,14290.05,14406.65,-0.0081,0.0199,,0.3706
CUMMINSIND,2019-08-09,599.80,603.15,-0.0056,0.0269,,0.4986
DIXON,2019-08-09,1940.80,1871.70,0.0363,0.0233,,0.4643
DLF,2019-08-09,175.65,171.80,0.0222,0.0229,,0.4375
DMART,2019-08-09,1451.00,1429.75,0.0148,0.0190,,0.3592
HAL,2019-08-09,642.70,633.35,0.0147,0.0109,,0.2140
HINDALCO,2019-08-09,176.20,181.05,-0.0272,0.0209,,0.4069
INDHOTEL,2019-08-09,140.30,140.80,-0.0036,0.0190,,0.3515
INDIGO,2019-08-09,1531.00,1518.20,0.0084,0.0242,,0.4509
LT,2019-08-09,1364.60,1360.60,0.0029,0.0146,,0.2713
MANAPPURAM,2019-08-09,123.75,121.00,0.0225,0.0279,,0.5273
MARUTI,2019-08-09,6100.00,5902.30,0.0329,0.0189,,0.3821
PGEL,2019-08-09,45.30,44.55,0.0167,0.0586,,1.0890
SBIN,2019-08-09,291.35,294.35,-0.0102,0.0228,,0.4241
SUZLON,2019-08-09,4.40,4.00,0.0953,0.0556,,1.1215
TRENT,2019-08-09,446.95,433.85,0.0297,0.0224,,0.4375
