symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2025-04-08,304029,141415,46.51
ADANIPORTS,EQ,2025-04-08,2423486,613217,25.30
BEL,EQ,2025-04-08,26787606,7887985,29.45
BOSCHLTD,EQ,2025-04-08,11659,4532,38.87
CUMMINSIND,EQ,2025-04-08,668259,405255,60.64
DIXON,EQ,2025-04-08,356876,113529,31.81
DLF,EQ,2025-04-08,3688073,1668876,45.25
DMART,EQ,2025-04-08,552578,311986,56.46
HAL,EQ,2025-04-08,2071394,510744,24.66
HINDALCO,EQ,2025-04-08,8831753,3991958,45.20
INDHOTEL,EQ,2025-04-08,4622541,2545166,55.06
INDIGO,EQ,2025-04-08,1232399,591161,47.97
LT,EQ,2025-04-08,2877816,1155284,40.14
MANAPPURAM,EQ,2025-04-08,4906218,1795233,36.59
MARUTI,EQ,2025-04-08,629968,399579,63.43
PAYTM,EQ,2025-04-08,4682705,1054475,22.52
PGEL,EQ,2025-04-08,4040923,630813,15.61
SBIN,EQ,2025-04-08,12911288,6723264,52.07
SBIN,T0,2025-04-08,2,0,0.00
SUZLON,EQ,2025-04-08,40949448,15840144,38.68
TRENT,EQ,2025-04-08,3035242,764037,25.17
