symbol,series,date,previous_close,open_price,high_price,low_price,last_price,close_price,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
ABB,EQ,2025-05-07,5334.00,5270.50,5445.00,5270.00,5401.00,5397.50,5390.66,270305,14571.22,33741,122314,45.25
ADANIPORTS,EQ,2025-05-07,1320.80,1298.80,1341.30,1298.70,1337.50,1338.20,1328.96,3269847,43455.10,111178,1161661,35.53
BEL,EQ,2025-05-07,310.50,305.00,315.20,305.00,310.10,309.95,310.40,19274367,59827.20,126765,8722445,45.25
BOSCHLTD,EQ,2025-05-07,29915.00,29585.00,30850.00,29425.00,30360.00,30475.00,30473.27,26296,8013.25,12860,7752,29.48
CUMMINSIND,EQ,2025-05-07,2790.30,2760.00,2862.50,2759.80,2844.10,2843.50,2837.51,681942,19350.16,61507,373110,54.71
DIXON,EQ,2025-05-07,16056.00,15930.00,16245.00,15750.00,16100.00,16095.00,16045.73,381301,61182.51,83422,97982,25.70
DLF,EQ,2025-05-07,677.15,668.70,681.40,665.55,679.25,679.25,674.82,2855850,19271.81,58715,1411715,49.43
DMART,EQ,2025-05-07,4006.10,3973.00,4032.50,3950.80,3995.00,3999.80,3999.31,387479,15496.47,39055,186049,48.02
ETERNAL,EQ,2025-05-07,232.64,228.60,237.67,228.60,236.48,236.90,234.26,31614852,74060.83,137963,15665951,49.55
HAL,EQ,2025-05-07,4507.50,4417.40,4591.80,4411.80,4478.00,4470.30,4504.25,2829729,127458.02,188468,900679,31.83
HINDALCO,EQ,2025-05-07,630.05,633.00,638.70,629.35,635.85,636.30,635.01,3587997,22784.11,69049,1838940,51.25
INDHOTEL,EQ,2025-05-07,753.25,750.00,770.50,726.70,764.90,765.65,751.47,8544243,64207.58,176233,3543133,41.47
INDIGO,EQ,2025-05-07,5322.00,5206.00,5361.50,5157.00,5310.00,5296.50,5264.36,1565403,82408.51,142310,856716,54.73
LT,EQ,2025-05-07,3334.00,3332.00,3339.80,3284.10,3327.00,3321.40,3318.68,2422707,80401.80,171780,1580441,65.23
MANAPPURAM,EQ,2025-05-07,227.78,227.05,231.25,226.71,230.75,230.69,229.36,3879614,8898.43,48712,2285393,58.91
MARUTI,EQ,2025-05-07,12581.00,12355.00,12669.00,12355.00,12585.00,12633.00,12601.90,303619,38261.76,61308,178114,58.66
PAYTM,EQ,2025-05-07,814.85,808.00,892.40,808.00,873.40,873.50,869.11,16913521,146997.31,256771,3878742,22.93
PGEL,EQ,2025-05-07,794.70,782.95,857.00,780.40,844.60,845.70,829.78,2551796,21174.20,107629,781054,30.61
SBIN,EQ,2025-05-07,774.10,765.30,782.40,764.55,777.80,776.10,775.68,15586266,120899.46,254691,8929587,57.29
SUZLON,EQ,2025-05-07,53.74,52.40,55.18,52.40,54.90,54.70,53.96,100831859,54413.53,173595,33090554,32.82
TRENT,EQ,2025-05-07,5224.00,5145.00,5271.00,5142.50,5229.00,5233.00,5220.72,711009,37119.81,84497,270061,37.98
