,06-MAR-2012
The Nifty witnessed an intraday movement of about 175.65 points.The closing index was 1.1 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 15012.49
, Traded Quantity (in Lakhs), 8829.69
, Number of Trades, 7086252
, Total Market Capitalisation (Rs. Crores), 6059278.89

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,S&P CNX Nifty,      5280.35,      5266.00,      5382.05,      5206.40,      5222.40,-57.95
,CNX IT,      6471.40,      6456.20,      6594.00,      6442.60,      6511.70,40.3
,CNX Nifty Junior,     10233.55,     10234.00,     10436.70,     10137.60,     10159.65,-73.9
,S&P CNX Defty,      3670.50,      3650.05,      3731.60,      3588.05,      3602.15,-68.35
,BANK Nifty,     10178.85,     10149.80,     10438.00,     10020.45,     10058.15,-120.7
,CNX Midcap,      7529.50,      7527.95,      7670.10,      7453.25,      7468.00,-61.5
,S&P CNX 500,      4195.45,      4187.60,      4270.45,      4140.85,      4151.40,-44.05
,CNX 100,      5170.35,      5158.55,      5269.55,      5102.95,      5116.70,-53.65
,Nifty Midcap 50,      2270.30,      2269.90,      2317.60,      2234.90,      2239.95,-30.35
,CNX Realty,       239.05,       238.40,       249.55,       234.00,       236.60,-2.45
,CNX Infra,      2579.05,      2567.90,      2630.35,      2506.70,      2513.30,-65.75
,CNX Energy,      7993.15,      7995.50,      8102.00,      7824.75,      7840.05,-153.1
,CNX FMCG,     10494.55,     10471.45,     10673.40,     10424.10,     10574.90,80.35
,CNX MNC,      5108.00,      5091.80,      5168.90,      5051.65,      5058.65,-49.35
,CNX Pharma,      4835.75,      4838.95,      4900.05,      4808.80,      4823.00,-12.75
,CNX PSE,      2986.50,      2983.50,      3054.95,      2957.95,      2970.45,-16.05
,CNX PSU Bank,      3482.35,      3463.45,      3594.55,      3411.05,      3438.20,-44.15
,CNX Service,      6465.95,      6449.55,      6593.10,      6382.20,      6408.30,-57.65
,India VIX,        28.92,        28.92,        28.92,        26.05,        27.34,-1.58
,CNX AUTO,      4089.80,      4081.85,      4177.20,      4049.20,      4066.90,-22.9
,CNX Metal,      3107.75,      3093.90,      3159.65,      2968.10,      2981.10,-126.65
,CNX Media,      1279.50,      1280.70,      1295.60,      1259.90,      1263.15,-16.35
,CNX Smallcap,      3317.40,      3319.20,      3357.35,      3273.60,      3279.70,-37.7
,CNX 200,      2674.05,      2668.50,      2724.65,      2638.55,      2645.35,-28.7
,CNX Dividend Oppt,      1519.90,      1518.10,      1547.40,      1506.10,      1513.55,-6.35
,CNX Commodities,      2557.00,      2553.45,      2592.50,      2485.65,      2491.75,-65.25
,CNX Consumption,      1879.10,      1875.65,      1904.10,      1856.05,      1859.50,-19.6
,CNX Finance,      4109.90,      4097.65,      4204.80,      4052.60,      4064.10,-45.8

,ADVANCES,420
,DECLINES,1061
,UNCHANGED,59

,Total securities that have hit their price bands today,82

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SBIN,EQ,      2176.05,      2147.85,-1.3,978
,ICICIBANK,EQ,       870.35,       853.25,-1.96,687.41
,RELIANCE,EQ,       797.50,       776.55,-2.63,631.76
,RELINFRA,EQ,       657.55,       618.35,-5.96,525.89
,AXISBANK,EQ,      1150.00,      1147.50,-0.22,455.97
,RPOWER,EQ,       135.35,       125.70,-7.13,403.91
,INFY,EQ,      2809.85,      2852.45,1.52,368.76
,DLF,EQ,       192.05,       197.75,2.97,363.71
,LT,EQ,      1266.75,      1235.05,-2.5,354.92
,JPASSOCIAT,EQ,        70.35,        69.60,-1.07,343.44
,HDIL,EQ,       102.10,       100.25,-1.81,339.83
,HDFC,EQ,       657.15,       651.10,-0.92,333.64
,TATASTEEL,EQ,       450.70,       424.95,-5.71,322.29
,TATAMOTORS,EQ,       274.15,       267.00,-2.61,316.31
,HINDALCO,EQ,       139.90,       131.75,-5.83,297.51
,RELCAPITAL,EQ,       427.85,       401.95,-6.05,285.67
,JSWSTEEL,EQ,       757.20,       706.85,-6.65,265.13
,BHEL,EQ,       285.30,       275.60,-3.4,241.38
,ITC,EQ,       207.00,       210.40,1.64,210.29
,RCOM,EQ,        96.75,        91.55,-5.37,190.89
,IDFC,EQ,       140.35,       140.20,-0.11,180.73
,M&M,EQ,       675.30,       681.15,0.87,156.08
,HDFCBANK,EQ,       510.95,       507.40,-0.69,148.31
,TATAMTRDVR,EQ,       145.10,       143.55,-1.07,147.39
,HEROMOTOCO,EQ,      1886.95,      1871.70,-0.81,138.79

,Top Five S&P CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,DLF,EQ,       197.75,       192.05,2.97
,SIEMENS,EQ,       786.20,       766.40,2.58
,ITC,EQ,       210.40,       207.00,1.64
,INFY,EQ,      2852.45,      2809.85,1.52
,MARUTI,EQ,      1331.60,      1315.20,1.25

,Top Five S&P CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,RPOWER,EQ,       125.70,       135.35,-7.13
,RELINFRA,EQ,       618.35,       657.55,-5.96
,HINDALCO,EQ,       131.75,       139.90,-5.83
,TATASTEEL,EQ,       424.95,       450.70,-5.71
,STER,EQ,       113.90,       120.50,-5.48

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        82.25,                  5987815.45,70850
,3IINFOTECH,EQ,        16.20,                 17706896.05,1070246
,3MINDIA,EQ,      4039.60,                  3294830.40,815
,A2ZMES,EQ,       113.85,                 12854762.85,110220
,AANJANEYA,EQ,       539.25,                 32812716.20,61752
,AARTIDRUGS,EQ,        92.00,                    64444.40,701
,AARTIIND,EQ,        57.55,                  2343593.25,40837
,AARVEEDEN,EQ,        35.70,                     2269.40,63
,ABAN,EQ,       462.05,                460539303.60,967284
,ABB,EQ,       808.70,                 64077075.25,79378
,ABBOTINDIA,EQ,      1572.40,                 12565849.70,8043
,ABCIL,EQ,        82.00,                    99371.85,1208
,ABGSHIP,EQ,       399.25,                 16249955.40,40684
,ABHISHEK,EQ,         7.95,                     9580.05,1306
,ACE,EQ,        34.20,                  5658842.00,165912
,ACROPETAL,EQ,        14.40,                  1255903.90,86215
,ADANIPOWER,EQ,        72.85,                251736687.45,3346583
,ADFFOODS,EQ,        52.20,                   540816.95,10257
,ADHUNIK,EQ,        50.05,                  2047695.15,40437
,ADORWELD,EQ,       140.45,                   421207.35,2969
,ADSL,EQ,        26.05,                  2095752.15,79092
,ADVANIHOTR,EQ,        32.30,                     3264.55,101
,ADVANTA,EQ,       365.30,                 42925938.75,120139
,AEGISCHEM,EQ,       162.30,                  1253640.90,7575
,AFL,EQ,        36.10,                   343074.45,9440
,AFTEK,EQ,        10.95,                  4682321.05,418812
,AGCNET,EQ,       143.90,                    93669.40,648
,AGRODUTCH,EQ,         5.80,                    65460.30,11265
,AHLEAST,EQ,       291.95,                   148855.20,518
,AHLUCONT,EQ,        80.00,                 15420356.70,192760
,AHLWEST,EQ,       139.05,                    79231.55,577
,AHMEDFORGE,EQ,       187.05,                  8021072.80,42193
,AIAENG,EQ,       345.00,                  1587292.70,4601
,AJANTPHARM,EQ,       422.75,                  3067316.60,7255
,AJMERA,EQ,       115.35,                  1876355.10,16029
,AKSHOPTFBR,EQ,         8.95,                  2486884.85,277892
,AKZOINDIA,EQ,       813.65,                 12289265.80,15108
,ALBK,EQ,       188.35,                337462243.65,1741148
,ALCHEM,EQ,        69.55,                   264137.25,3774
,ALEMBICLTD,EQ,        17.30,                   867928.10,49599
,ALFALAVAL,EQ,      3860.40,                 43461328.30,11268
,ALICON,EQ,        62.20,                   367784.25,5907
,ALKALI,EQ,        34.15,                   336135.40,9744
,ALKYLAMINE,EQ,        78.60,                    42079.90,541
,ALLCARGO,EQ,       136.00,                   482146.70,3510
,ALLSEC,EQ,        12.55,                    21969.65,1748
,ALMONDZ,EQ,        13.85,                    16253.15,1189
,ALOKTEXT,EQ,        20.60,                135516495.70,6430489
,ALPA,EQ,         8.15,                    20401.50,2442
,ALPHAGEO,EQ,        66.85,                   290651.45,4508
,ALPSINDUS,EQ,         2.30,                    32012.50,13800
,AMAR,EQ,       142.75,                  6096495.10,42334
,AMARAJABAT,EQ,       272.35,                  4198901.85,15678
,AMARJOTHI,EQ,        45.05,                    19929.50,403
,AMBIKCO,EQ,       150.95,                  3259814.85,21249
,AMDIND,EQ,        15.25,                    14189.25,927
,AMLSTEEL,EQ,        14.25,                     3360.00,240
,AMRUTANJAN,EQ,       751.45,                 29155807.75,37697
,AMTEKAUTO,EQ,       139.10,                 21132690.50,151132
,AMTEKINDIA,EQ,        98.15,                 27815133.90,280688
,ANANTRAJ,EQ,        60.80,                 18346947.65,290294
,ANDHRACEMT,EQ,        10.95,                    68475.35,6286
,ANDHRSUGAR,EQ,       132.05,                  2340715.20,17611
,ANIKINDS,EQ,        27.95,                     1009.70,36
,ANKURDRUGS,EQ,        18.90,                   327980.15,17140
,ANSALAPI,EQ,        33.85,                  2825661.60,81178
,ANSALHSG,EQ,        46.00,                   685638.50,14654
,ANTGRAPHIC,EQ,          .25,                     3845.30,14383
,APARINDS,EQ,       145.60,                   322635.50,2213
