,15-MAR-2012
The Nifty witnessed an intraday movement of about 100.2 points.The closing index was 1.53 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 12277.95
, Traded Quantity (in Lakhs), 7753.11
, Number of Trades, 6437795
, Total Market Capitalisation (Rs. Crores), 6205515.35

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,S&P CNX Nifty,      5463.90,      5462.50,      5462.50,      5362.30,      5380.50,-83.4
,CNX IT,      6515.20,      6533.85,      6553.15,      6489.05,      6519.00,3.8
,CNX Nifty Junior,     10667.00,     10665.30,     10680.15,     10413.00,     10457.55,-209.45
,S&P CNX Defty,      3787.00,      3774.55,      3775.20,      3692.95,      3706.05,-80.95
,BANK Nifty,     10889.70,     10894.45,     10894.45,     10556.40,     10595.00,-294.7
,CNX Midcap,      7886.35,      7886.75,      7886.75,      7700.05,      7727.35,-159
,S&P CNX 500,      4343.05,      4342.20,      4342.20,      4262.65,      4275.75,-67.3
,CNX 100,      5356.30,      5354.95,      5354.95,      5252.90,      5270.80,-85.5
,Nifty Midcap 50,      2390.75,      2393.65,      2393.65,      2319.20,      2327.20,-63.55
,CNX Realty,       252.55,       252.05,       252.05,       243.90,       245.25,-7.3
,CNX Infra,      2673.55,      2665.10,      2665.10,      2604.25,      2619.25,-54.3
,CNX Energy,      8150.85,      8162.55,      8173.25,      7985.30,      8012.90,-137.95
,CNX FMCG,     10784.00,     10781.45,     10798.35,     10622.95,     10692.10,-91.9
,CNX MNC,      5215.10,      5214.45,      5215.20,      5159.30,      5194.45,-20.65
,CNX Pharma,      4911.40,      4918.25,      4920.20,      4881.10,      4893.70,-17.7
,CNX PSE,      3084.20,      3076.40,      3076.40,      3013.00,      3024.00,-60.2
,CNX PSU Bank,      3752.10,      3755.05,      3762.55,      3626.90,      3646.10,-106
,CNX Service,      6698.65,      6700.95,      6700.95,      6563.20,      6583.45,-115.2
,India VIX,        24.72,        24.72,        25.64,        24.04,        25.42,.7
,CNX AUTO,      4237.25,      4234.80,      4234.80,      4173.55,      4209.00,-28.25
,CNX Metal,      3212.10,      3199.90,      3199.90,      3145.00,      3170.85,-41.25
,CNX Media,      1275.80,      1280.30,      1287.10,      1243.80,      1247.90,-27.9
,CNX Smallcap,      3439.65,      3435.75,      3445.55,      3395.75,      3412.60,-27.05
,CNX 200,      2772.25,      2771.70,      2771.70,      2717.80,      2727.55,-44.7
,CNX Dividend Oppt,      1572.10,      1572.25,      1574.60,      1541.30,      1550.50,-21.6
,CNX Commodities,      2621.90,      2615.40,      2615.40,      2578.75,      2589.95,-31.95
,CNX Consumption,      1907.70,      1906.95,      1908.45,      1883.00,      1889.70,-18
,CNX Finance,      4368.85,      4367.90,      4367.90,      4238.70,      4249.70,-119.15

,ADVANCES,392
,DECLINES,1099
,UNCHANGED,58

,Total securities that have hit their price bands today,75

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SBIN,EQ,      2354.80,      2299.30,-2.36,635.14
,RELIANCE,EQ,       814.50,       796.65,-2.19,372.34
,ICICIBANK,EQ,       953.90,       930.20,-2.48,298.4
,TATAMOTORS,EQ,       290.00,       290.45,0.16,282.22
,HDFC,EQ,       677.50,       661.30,-2.39,250.98
,TCS,EQ,      1154.55,      1163.70,0.79,248.29
,LT,EQ,      1396.60,      1361.50,-2.51,245.59
,YESBANK,EQ,       386.50,       375.20,-2.92,245.44
,AXISBANK,EQ,      1274.05,      1242.40,-2.48,237.48
,HDIL,EQ,       108.80,       104.70,-3.77,232.82
,TATASTEEL,EQ,       460.85,       462.75,0.41,228.88
,INFY,EQ,      2878.85,      2881.90,0.11,225.47
,ITC,EQ,       212.50,       208.90,-1.69,217.6
,LITL,EQ,        21.85,        19.90,-8.92,198.27
,DLF,EQ,       205.75,       195.65,-4.91,195.88
,HDFCBANK,EQ,       528.20,       510.80,-3.29,192.76
,JSWSTEEL,EQ,       783.60,       759.70,-3.05,167.14
,EDUCOMP,EQ,       197.50,       206.35,4.48,142.17
,IDEA,EQ,        99.30,        99.10,-0.2,141.33
,RELCAPITAL,EQ,       434.95,       409.05,-5.95,135.45
,ABAN,EQ,       500.35,       474.40,-5.19,131.6
,HINDALCO,EQ,       144.10,       141.70,-1.67,130.56
,JINDALSTEL,EQ,       604.85,       602.15,-0.45,128.46
,RELINFRA,EQ,       657.35,       634.95,-3.41,125.12
,RPOWER,EQ,       136.25,       132.90,-2.46,125.03

,Top Five S&P CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HINDUNILVR,EQ,       388.10,       381.55,1.72
,NTPC,EQ,       179.60,       177.60,1.13
,TCS,EQ,      1163.70,      1154.55,.79
,TATASTEEL,EQ,       462.75,       460.85,.41
,SUNPHARMA,EQ,       586.45,       584.25,.38

,Top Five S&P CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,DLF,EQ,       195.65,       205.75,-4.91
,RCOM,EQ,        94.25,        99.00,-4.8
,IDFC,EQ,       144.95,       151.55,-4.35
,RANBAXY,EQ,       411.05,       426.25,-3.57
,BHEL,EQ,       283.60,       293.85,-3.49

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        80.85,                  6293233.60,77620
,3IINFOTECH,EQ,        16.40,                 13369502.55,811903
,3MINDIA,EQ,      3781.80,                  2816597.40,732
,A2ZMES,EQ,       115.35,                 10129848.55,87670
,AANJANEYA,EQ,       578.45,                149661811.55,261555
,AARTIDRUGS,EQ,        93.65,                   654775.60,6974
,AARTIIND,EQ,        59.00,                  2449150.40,41831
,AARVEEDEN,EQ,        37.00,                    12614.45,342
,ABAN,EQ,       474.40,               1316008026.20,2675151
,ABB,EQ,       865.40,                 80955592.80,93862
,ABBOTINDIA,EQ,      1496.25,                  9049868.20,5989
,ABCIL,EQ,        77.05,                   233674.75,3008
,ABGSHIP,EQ,       412.80,                 16876639.10,40862
,ABHISHEK,EQ,         7.85,                    31590.50,4006
,ACE,EQ,        32.55,                  1877544.80,57279
,ACROPETAL,EQ,        14.20,                  1319671.35,91154
,ADANIPOWER,EQ,        75.65,                523209335.80,6983349
,ADFFOODS,EQ,        52.25,                   410336.25,7664
,ADHUNIK,EQ,        53.05,                  6068488.45,114138
,ADORWELD,EQ,       136.20,                   425234.35,3110
,ADSL,EQ,        25.40,                  1239981.40,48101
,ADVANTA,EQ,       353.55,                 10880620.60,30076
,AEGISCHEM,EQ,       160.70,                   473222.80,2936
,AFL,EQ,        35.90,                   196343.80,5446
,AFTEK,EQ,        10.70,                  2747543.45,255219
,AGCNET,EQ,       149.10,                   300110.25,2020
,AGRODUTCH,EQ,         5.70,                    24273.40,4291
,AHLEAST,EQ,       285.25,                    95867.25,334
,AHLUCONT,EQ,        78.00,                    41075.20,521
,AHLWEST,EQ,       136.05,                   178079.05,1306
,AHMEDFORGE,EQ,       175.05,                  2071055.70,11847
,AIAENG,EQ,       349.05,                   905156.55,2597
,AJANTPHARM,EQ,       464.15,                 52290442.95,111932
,AJMERA,EQ,       120.10,                 33092504.40,263054
,AKSHOPTFBR,EQ,         8.90,                  1388437.25,157220
,AKZOINDIA,EQ,       807.10,                  3983622.50,4940
,ALBK,EQ,       193.80,                321980972.60,1633891
,ALCHEM,EQ,        67.45,                   193979.65,2855
,ALEMBICLTD,EQ,        17.60,                  3186354.10,178993
,ALFALAVAL,EQ,      3867.25,                 36260899.00,9376
,ALICON,EQ,        62.00,                    93273.00,1495
,ALKALI,EQ,        33.65,                   146453.35,4360
,ALKYLAMINE,EQ,        82.15,                     7310.75,89
,ALLCARGO,EQ,       141.50,                  8055624.65,56105
,ALLSEC,EQ,        13.50,                     2022.45,150
,ALMONDZ,EQ,        13.20,                    27447.50,2005
,ALOKTEXT,EQ,        20.25,                104482641.95,5082461
,ALPA,EQ,         8.40,                    35460.40,4272
,ALPHAGEO,EQ,        66.30,                    34583.05,530
,ALPSINDUS,EQ,         2.40,                    23071.25,9488
,ALSTOMT&D,EQ,       191.85,                 16675963.05,88332
,AMAR,EQ,       139.45,                  8180971.45,58615
,AMARAJABAT,EQ,       286.70,                  9757870.65,34191
,AMARJOTHI,EQ,        43.55,                     6810.65,153
,AMBIKCO,EQ,       150.00,                    93037.00,620
,AMDIND,EQ,        15.30,                    91509.35,6065
,AMLSTEEL,EQ,        12.20,                     6002.00,492
,AMRUTANJAN,EQ,       766.35,                 15723930.00,20449
,AMTEKAUTO,EQ,       136.45,                  9014091.95,65226
,AMTEKINDIA,EQ,        99.20,                 42491240.40,431655
,ANANTRAJ,EQ,        63.05,                  8725659.90,138023
,ANDHRACEMT,EQ,        10.35,                   121413.10,11707
,ANDHRSUGAR,EQ,       131.95,                  1467894.85,11168
,ANIKINDS,EQ,        26.20,                     3904.00,150
,ANKURDRUGS,EQ,        17.40,                   587599.50,33752
,ANSALAPI,EQ,        35.50,                  2056864.05,57587
,ANSALHSG,EQ,        45.30,                    88400.40,1956
,ANTGRAPHIC,EQ,          .20,                   234051.95,940840
,APARINDS,EQ,       147.00,                 15032502.00,102599
,APCOTEXIND,EQ,       143.30,                   345440.40,2425
,APIL,EQ,       379.30,                 42393922.50,111012
,APLAB,EQ,        23.40,                     2158.10,89
,APLAPOLLO,EQ,       196.75,                  2584036.90,13111
,APLLTD,EQ,        44.45,                  3161130.00,71368
,APOLLOHOSP,EQ,       632.35,                 91779718.80,144981
,APOLLOTYRE,EQ,        79.80,                126587119.05,1579256
,APPAPER,EQ,       178.45,                  4404937.80,24642
,APTECHT,EQ,        95.35,                 45300347.40,478121
,AQUA,EQ,        14.15,                  4234596.55,289166
,ARCHIDPLY,EQ,        10.85,                    44705.65,4117
,ARCHIES,EQ,        25.30,                  2664175.60,105303
,ARIES,EQ,        80.35,                  1060397.85,13088
,ARIHANT,EQ,        52.45,                    13901.75,262
,ARL,EQ,         2.35,                   196349.85,82738
,AROGRANITE,EQ,        35.60,                    15146.60,432
,ARROWTEX,EQ,         6.15,                   114850.70,18628
,ARSHIYA,EQ,       146.25,                  5842696.30,39912
,ARSSINFRA,EQ,       124.10,                 11042061.90,88308
,ARVIND,EQ,        85.65,                248525447.75,2873994
,ASAHIINDIA,EQ,        59.00,                  1111250.70,18665
,ASAHISONG,EQ,        90.20,                   291113.85,3169
,ASAL,EQ,        50.80,                   133985.15,2645
,ASHAPURMIN,EQ,        14.80,                    79665.70,5366
,ASHCONIUL,EQ,         1.95,                    11113.10,5699
,ASHIANA,EQ,       174.75,                   260950.05,1486
,ASHOKA,EQ,       191.45,                   425859.45,2218
,ASIANELEC,EQ,         8.15,                   486948.20,59584
,ASIANHOTNR,EQ,       175.00,                    74331.90,424
,ASIL,EQ,         1.70,                       18.70,11
,ASSAMCO,EQ,         7.35,                   705112.45,94796
,ASTEC,EQ,        29.25,                   166865.70,5739
,ASTERSILI,EQ,        10.15,                    12817.85,1244
,ASTRAL,EQ,       186.95,                   611363.45,3264
,ASTRAMICRO,EQ,        36.50,                  2330244.65,63345
,ASTRAZEN,EQ,      2246.45,                 17246273.70,7652
,ATFL,EQ,       447.45,                  3679418.10,8241
,ATLANTA,EQ,        59.05,                  2597815.95,43773
,ATLASCYCLE,EQ,       329.90,                  4590835.15,13832
,ATNINTER,EQ,          .95,                      304.00,320
,ATUL,EQ,       179.05,                   382202.60,2123
,AURIONPRO,EQ,       113.90,                   122644.10,1080
,AUROPHARMA,EQ,       114.50,                 58145972.45,504624
,AUSTRAL,EQ,         1.45,                   334773.10,234973
,AUTOAXLES,EQ,       502.45,                   436127.10,864
,AUTOIND,EQ,       167.55,                 11478610.05,67764
,AUTOLITIND,EQ,        16.50,                     1980.00,122
,AVANTI,EQ,       106.05,                   136773.10,1326
,AVENTIS,EQ,      2160.75,                  3397711.00,1577
,AVTNPL,EQ,       363.40,                 13674046.25,37881
,AXIS-IT&T,EQ,        88.95,                   394575.60,4449
,BAGFILMS,EQ,         4.70,                   362493.15,77207
,BAJAJCORP,EQ,       116.05,                 30070359.65,257006
,BAJAJELEC,EQ,       184.95,                 15516690.05,83834
,BAJAJFINSV,EQ,       617.35,                 22601403.00,36574
,BAJAJHIND,EQ,        33.80,                103734718.60,3040592
,BAJAJHLDNG,EQ,       811.70,                101522745.50,125954
,BAJFINANCE,EQ,       789.60,                  3309368.70,4156
,BALAJITELE,EQ,        43.55,                  1673539.20,38206
,BALAMINES,EQ,        38.00,                   136747.55,3571
,BALKRISIND,EQ,       234.50,                  3423090.35,14532
,BALLARPUR,EQ,        23.85,                  2647650.30,110816
,BALMLAWRIE,EQ,       535.40,                  3851010.45,7169
,BALPHARMA,EQ,        20.05,                    23807.70,1188
,BALRAMCHIN,EQ,        55.60,                109274623.45,1966302
,BANARISUG,EQ,       587.25,                    53646.85,91
,BANCOINDIA,EQ,        65.70,                   161142.45,2459
,BANG,EQ,        17.10,                     8175.10,482
,BANSWRAS,EQ,        75.40,                   121687.50,1618
,BARTRONICS,EQ,        38.30,                  3245864.75,83882
,BASF,EQ,       512.75,                  6918880.05,13457
,BASML,EQ,        60.50,                     3282.25,52
,BATAINDIA,EQ,       683.95,                163620063.80,237087
,BATLIBOI,EQ,        16.30,                     9279.55,555
,BAYERCROP,EQ,       821.25,                  2079215.30,2538
,BBL,EQ,       643.15,                  2382008.00,3707
,BBTC,EQ,       553.10,                 18117435.20,32782
,BEARDSELL,EQ,        36.00,                      540.00,15
,BECREL,EQ,         9.70,                     1900.15,202
,BEDMUTHA,EQ,        20.40,                  1009898.85,49106
,BELLCERATL,EQ,        14.10,                    19853.55,1452
,BEML,EQ,       684.30,                 42943779.15,63062
,BEPL,EQ,        23.30,                     2937.05,126
,BERGEPAINT,EQ,       102.55,                 17099996.40,166569
,BFINVEST,EQ,        46.20,                   473267.55,10193
,BFUTILITIE,EQ,       419.00,                312957242.25,741022
,BGLOBAL,EQ,         8.15,                    65679.20,8060
,BGRENERGY,EQ,       336.40,                231879634.45,684455
,BHAGWATIHO,EQ,        80.00,                  3723450.70,46501
,BHAGYNAGAR,EQ,        15.65,                    77574.85,4909
,BHARATRAS,EQ,       129.00,                   185793.85,1361
,BHARTISHIP,EQ,        85.75,                 19103374.75,220466
,BHUSANSTL,EQ,       391.40,                105244148.60,269052
,BIL,EQ,        55.30,                    92068.05,1642
,BILENERGY,EQ,       108.05,                   191885.40,1789
,BIMETAL,EQ,       281.85,                    98345.90,350
,BINANIIND,EQ,       129.25,                  2307261.95,17730
,BINDALAGRO,EQ,        43.70,                  1632142.20,37222
,BIRLACORPN,EQ,       280.00,                   588209.85,2100
,BIRLACOT,EQ,          .30,                   117027.85,384991
,BIRLAERIC,EQ,        10.10,                    33611.15,3304
,BIRLAMONEY,EQ,        14.90,                    16087.50,1086
,BIRLAPOWER,EQ,          .60,                   639943.45,1050517
,BLISSGVS,EQ,        23.35,                   415585.35,17802
,BLKASHYAP,EQ,        11.50,                   536865.35,46335
,BLUECHIP,EQ,          .95,                     7073.15,7377
