,19-MAR-2012
The Nifty witnessed an intraday movement of about 102.15 points.The closing index was 1.14 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 11001.93
, Traded Quantity (in Lakhs), 6713.04
, Number of Trades, 5461460
, Total Market Capitalisation (Rs. Crores), 6044478.38

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,S&P CNX Nifty,      5317.90,      5337.35,      5340.70,      5238.55,      5257.05,-60.85
,CNX IT,      6501.25,      6531.85,      6535.90,      6351.65,      6404.40,-96.85
,CNX Nifty Junior,     10324.50,     10324.60,     10361.75,     10123.50,     10172.50,-152
,S&P CNX Defty,      3664.85,      3688.80,      3694.95,      3616.90,      3630.55,-34.3
,BANK Nifty,     10391.35,     10440.85,     10440.85,     10135.25,     10188.85,-202.5
,CNX Midcap,      7638.85,      7639.05,      7689.70,      7523.45,      7559.40,-79.45
,S&P CNX 500,      4226.05,      4236.70,      4236.70,      4162.65,      4177.00,-49.05
,CNX 100,      5208.60,      5224.65,      5226.85,      5127.50,      5146.30,-62.3
,Nifty Midcap 50,      2300.60,      2301.85,      2321.35,      2256.10,      2267.05,-33.55
,CNX Realty,       242.00,       241.90,       244.00,       233.85,       235.65,-6.35
,CNX Infra,      2556.25,      2566.35,      2568.30,      2492.65,      2506.65,-49.6
,CNX Energy,      7746.55,      7773.60,      7774.95,      7620.15,      7645.50,-101.05
,CNX FMCG,     10894.60,     10923.00,     11106.80,     10877.95,     11020.40,125.8
,CNX MNC,      5144.80,      5152.65,      5189.75,      5113.00,      5147.25,2.45
,CNX Pharma,      4805.10,      4810.80,      4827.65,      4773.90,      4810.35,5.25
,CNX PSE,      2937.15,      2928.55,      2939.40,      2893.95,      2900.00,-37.15
,CNX PSU Bank,      3528.25,      3530.85,      3538.00,      3409.80,      3417.05,-111.2
,CNX Service,      6505.00,      6535.65,      6537.25,      6355.00,      6382.75,-122.25
,India VIX,        23.13,        23.13,        23.82,        22.79,        22.97,-.16
,CNX AUTO,      4215.40,      4225.15,      4249.65,      4187.70,      4197.05,-18.35
,CNX Metal,      3106.45,      3102.90,      3141.90,      3066.95,      3082.55,-23.9
,CNX Media,      1210.15,      1210.35,      1227.10,      1191.80,      1200.50,-9.65
,CNX Smallcap,      3369.90,      3370.35,      3390.35,      3327.00,      3344.55,-25.35
,CNX 200,      2695.20,      2702.70,      2704.50,      2652.75,      2662.30,-32.9
,CNX Dividend Oppt,      1530.30,      1530.05,      1534.00,      1514.70,      1516.75,-13.55
,CNX Commodities,      2531.60,      2531.20,      2550.70,      2495.35,      2506.65,-24.95
,CNX Consumption,      1877.05,      1881.45,      1885.65,      1864.50,      1868.60,-8.45
,CNX Finance,      4201.75,      4219.85,      4219.85,      4101.80,      4115.55,-86.2
,Nifty Dividend,        76.86,        77.72,        77.72,        77.72,        77.72,.86

,ADVANCES,434
,DECLINES,1052
,UNCHANGED,49

,Total securities that have hit their price bands today,73

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,ITC,EQ,       216.15,       220.50,2.01,521.96
,SBIN,EQ,      2227.90,      2157.55,-3.16,494.7
,HDFC,EQ,       666.45,       650.25,-2.43,292.1
,TCS,EQ,      1169.55,      1122.00,-4.07,288.75
,ICICIBANK,EQ,       917.70,       907.90,-1.07,287.27
,HDIL,EQ,        99.00,        91.60,-7.47,283.68
,RELIANCE,EQ,       772.35,       755.10,-2.23,277.84
,TATAMOTORS,EQ,       286.70,       283.45,-1.13,268.44
,M&M,EQ,       677.95,       691.00,1.92,267.58
,LT,EQ,      1320.00,      1296.55,-1.78,221.7
,AXISBANK,EQ,      1216.20,      1198.95,-1.42,219.78
,INFY,EQ,      2864.95,      2837.50,-0.96,215.53
,HDFCBANK,EQ,       507.85,       498.85,-1.77,191.1
,BHEL,EQ,       273.60,       260.15,-4.92,180.01
,DLF,EQ,       196.30,       193.05,-1.66,176.44
,RELINFRA,EQ,       632.95,       593.90,-6.17,157.94
,BHARTIARTL,EQ,       327.55,       325.20,-0.72,154.18
,TATASTEEL,EQ,       454.60,       448.20,-1.41,152.42
,HCLTECH,EQ,       497.15,       498.95,0.36,143.92
,ATLASCYCLE,EQ,       395.85,       425.10,7.39,138.19
,SATYAMCOMP,EQ,        69.90,        70.85,1.36,135.75
,JPASSOCIAT,EQ,        78.55,        75.40,-4.01,129.56
,JSWSTEEL,EQ,       748.60,       726.65,-2.93,127.54
,LITL,EQ,        18.75,        19.10,1.87,118.43
,HINDUNILVR,EQ,       390.20,       393.85,0.94,117.05

,Top Five S&P CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,CAIRN,EQ,       352.70,       345.65,2.04
,ITC,EQ,       220.50,       216.15,2.01
,M&M,EQ,       691.00,       677.95,1.92
,SUNPHARMA,EQ,       555.45,       545.75,1.78
,ACC,EQ,      1354.95,      1339.90,1.12

,Top Five S&P CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,RELINFRA,EQ,       593.90,       632.95,-6.17
,BHEL,EQ,       260.15,       273.60,-4.92
,IDFC,EQ,       137.80,       144.85,-4.87
,TCS,EQ,      1122.00,      1169.55,-4.07
,JPASSOCIAT,EQ,        75.40,        78.55,-4.01

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        81.75,                  4706541.90,57952
,3IINFOTECH,EQ,        15.20,                 15858193.95,1021112
,3MINDIA,EQ,      3772.00,                  1229170.75,323
,A2ZMES,EQ,       112.70,                  8471130.35,74392
,AANJANEYA,EQ,       555.85,                 62605706.45,108348
,AARTIDRUGS,EQ,        92.00,                   208314.35,2230
,AARTIIND,EQ,        57.75,                   598851.40,10352
,AARVEEDEN,EQ,        37.30,                    56815.25,1483
,ABAN,EQ,       451.75,                417374422.00,915691
,ABB,EQ,       817.70,                 39061273.30,47197
,ABBOTINDIA,EQ,      1502.60,                 12101244.40,8055
,ABCIL,EQ,        77.00,                   694569.15,9034
,ABGSHIP,EQ,       393.40,                 19926472.35,50545
,ABHISHEK,EQ,         7.65,                    14624.25,1954
,ACE,EQ,        33.05,                  3301374.40,101151
,ACROPETAL,EQ,        13.90,                   558974.35,39971
,ADANIPOWER,EQ,        69.30,                703035778.50,9894484
,ADFFOODS,EQ,        51.40,                 19909202.10,388352
,ADHUNIK,EQ,        50.70,                  1539172.75,29911
,ADORWELD,EQ,       134.05,                   372619.45,2749
,ADSL,EQ,        24.30,                  1627614.35,65843
,ADVANIHOTR,EQ,        32.00,                     9765.00,305
,ADVANTA,EQ,       389.40,                140006232.25,367848
,AEGISCHEM,EQ,       159.80,                  1617307.95,10153
,AFL,EQ,        36.05,                   179021.85,4976
,AFTEK,EQ,        10.10,                  2630728.90,257779
,AGCNET,EQ,       153.15,                    94064.15,624
,AGRODUTCH,EQ,         5.65,                    58128.25,10077
,AHLEAST,EQ,       282.00,                     2539.50,9
,AHLUCONT,EQ,        81.00,                   309581.25,3844
,AHLWEST,EQ,       135.95,                   466787.85,3434
,AHMEDFORGE,EQ,       169.35,                  3102167.00,18232
,AIAENG,EQ,       350.00,                   792429.55,2279
,AJANTPHARM,EQ,       457.45,                  4964318.40,10903
,AJMERA,EQ,       113.55,                  1277091.50,11171
,AKSHOPTFBR,EQ,         9.85,                  2300485.10,239002
,AKZOINDIA,EQ,       812.30,                 16977758.15,20784
,ALBK,EQ,       184.20,                146130880.90,787640
,ALCHEM,EQ,        64.85,                   154347.95,2371
,ALEMBICLTD,EQ,        16.85,                   756080.65,44226
,ALFALAVAL,EQ,      3879.65,                 34660315.60,8945
,ALICON,EQ,        61.50,                     9544.60,155
,ALKALI,EQ,        33.10,                    76703.70,2293
,ALKYLAMINE,EQ,        78.20,                    16663.85,211
,ALLCARGO,EQ,       136.70,                   627847.35,4570
,ALLSEC,EQ,        12.40,                    20709.40,1687
,ALMONDZ,EQ,        13.55,                    54032.95,3993
,ALOKTEXT,EQ,        19.65,                 68559332.15,3447244
,ALPA,EQ,         8.10,                    25376.70,3097
,ALPHAGEO,EQ,        62.85,                   190922.30,3026
,ALPSINDUS,EQ,         2.35,                     6577.40,2771
,ALSTOMT&D,EQ,       185.30,                  8030465.65,42463
,AMAR,EQ,       139.00,                  9438400.85,67911
,AMARAJABAT,EQ,       289.35,                  9671795.45,33419
,AMARJOTHI,EQ,        42.80,                     8287.85,194
,AMBIKCO,EQ,       152.60,                      602.60,4
,AMDIND,EQ,        15.40,                    44951.20,2988
,AMLSTEEL,EQ,        11.85,                    15483.85,1300
,AMRUTANJAN,EQ,       764.55,                 84387117.15,108552
,AMTEKAUTO,EQ,       136.55,                 27508607.65,197224
,AMTEKINDIA,EQ,        98.10,                 43534335.10,441239
,ANANTRAJ,EQ,        59.80,                  7789308.25,130216
,ANDHRACEMT,EQ,        10.30,                   134105.85,12731
,ANDHRSUGAR,EQ,       130.05,                  6301567.15,48337
,ANIKINDS,EQ,        25.05,                    12310.85,452
,ANKURDRUGS,EQ,        16.75,                   205094.90,12193
,ANSALAPI,EQ,        32.30,                  3781444.05,114261
,ANSALHSG,EQ,        44.75,                   361673.55,8033
,ANTGRAPHIC,EQ,          .20,                    31589.50,142628
,APARINDS,EQ,       149.60,                  1917143.85,12699
,APCOTEXIND,EQ,       144.95,                    15375.15,106
