,28-MAR-2012
The Nifty witnessed an intraday movement of about 66.95 points.The closing index was 0.92 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 10906.72
, Traded Quantity (in Lakhs), 6967.62
, Number of Trades, 5495934
, Total Market Capitalisation (Rs. Crores), 5960190.1

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,S&P CNX Nifty,      5243.15,      5231.70,      5236.55,      5169.60,      5194.75,-48.4
,CNX IT,      6507.30,      6492.50,      6495.10,      6403.15,      6450.65,-56.65
,CNX Nifty Junior,     10213.70,     10213.15,     10213.15,     10065.00,     10100.15,-113.55
,S&P CNX Defty,      3586.05,      3563.90,      3565.75,      3526.35,      3541.45,-44.6
,BANK Nifty,     10148.85,     10122.05,     10122.05,      9901.20,      9960.40,-188.45
,CNX Midcap,      7581.55,      7581.45,      7581.45,      7474.70,      7498.35,-83.2
,S&P CNX 500,      4168.55,      4162.25,      4162.65,      4112.80,      4129.15,-39.4
,CNX 100,      5138.10,      5128.60,      5131.35,      5065.70,      5089.15,-48.95
,Nifty Midcap 50,      2279.50,      2277.45,      2277.45,      2234.95,      2239.15,-40.35
,CNX Realty,       235.75,       234.75,       234.75,       230.45,       231.65,-4.1
,CNX Infra,      2491.75,      2486.10,      2503.30,      2464.85,      2473.05,-18.7
,CNX Energy,      7424.55,      7423.45,      7443.50,      7310.50,      7335.15,-89.4
,CNX FMCG,     11359.80,     11355.70,     11423.40,     11315.00,     11371.15,11.35
,CNX MNC,      5182.60,      5176.35,      5182.35,      5130.80,      5161.85,-20.75
,CNX Pharma,      4883.65,      4892.95,      4920.00,      4866.15,      4898.25,14.6
,CNX PSE,      2851.55,      2854.85,      2856.90,      2808.05,      2811.15,-40.4
,CNX PSU Bank,      3390.85,      3385.05,      3385.05,      3302.55,      3324.95,-65.9
,CNX Service,      6406.20,      6389.40,      6389.40,      6288.65,      6320.75,-85.45
,India VIX,        25.05,        25.05,        25.83,        24.82,        24.87,-.18
,CNX AUTO,      4106.95,      4100.25,      4103.35,      4066.50,      4083.95,-23
,CNX Metal,      2996.35,      2989.00,      2989.00,      2950.50,      2967.15,-29.2
,CNX Media,      1216.80,      1216.10,      1221.95,      1187.90,      1196.15,-20.65
,CNX Smallcap,      3328.15,      3325.80,      3326.25,      3288.70,      3298.40,-29.75
,CNX 200,      2657.75,      2653.35,      2654.50,      2620.80,      2632.30,-25.45
,CNX Dividend Oppt,      1520.55,      1520.80,      1520.80,      1500.20,      1505.50,-15.05
,CNX Commodities,      2436.25,      2433.45,      2433.80,      2396.65,      2405.55,-30.7
,CNX Consumption,      1882.25,      1882.70,      1885.80,      1865.90,      1874.70,-7.55
,CNX Finance,      4117.15,      4102.25,      4102.25,      4028.10,      4047.35,-69.8
,Nifty Dividend,        77.72,        77.72,        77.72,        77.72,        77.72,0

,ADVANCES,366
,DECLINES,1144
,UNCHANGED,45

,Total securities that have hit their price bands today,101

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,ICICIBANK,EQ,       877.90,       859.35,-2.11,582.35
,SBIN,EQ,      2129.15,      2079.25,-2.34,510.4
,LICHSGFIN,EQ,       261.05,       258.80,-0.86,349.91
,RELIANCE,EQ,       731.05,       725.70,-0.73,300.86
,LT,EQ,      1303.20,      1307.80,0.35,241.2
,HDFC,EQ,       667.55,       660.95,-0.99,234.98
,TATASTEEL,EQ,       447.00,       455.10,1.81,230.77
,HDIL,EQ,        87.35,        82.55,-5.5,225.9
,AXISBANK,EQ,      1141.50,      1115.60,-2.27,221.1
,INFY,EQ,      2875.90,      2843.10,-1.14,210.77
,TATAMOTORS,EQ,       272.80,       271.15,-0.6,203.47
,JSWSTEEL,EQ,       739.90,       709.80,-4.07,153.32
,MCDOWELL-N,EQ,       558.80,       586.55,4.97,150.19
,JPASSOCIAT,EQ,        81.25,        76.95,-5.29,139.72
,ITC,EQ,       226.05,       226.80,0.33,133.5
,HINDALCO,EQ,       129.10,       125.60,-2.71,132.35
,TCS,EQ,      1174.75,      1165.10,-0.82,119.4
,IVRCLINFRA,EQ,        60.40,        60.05,-0.58,117.06
,BOMDYEING,EQ,       563.90,       565.75,0.33,113.32
,HDFCBANK,EQ,       518.85,       513.45,-1.04,111.68
,YESBANK,EQ,       354.40,       350.15,-1.2,109.84
,BHARTIARTL,EQ,       338.70,       337.75,-0.28,107.18
,DLF,EQ,       197.70,       197.80,0.05,107.06
,M&M,EQ,       684.90,       681.25,-0.53,102.67
,RELINFRA,EQ,       581.65,       568.05,-2.34,102.38

,Top Five S&P CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TATASTEEL,EQ,       455.10,       447.00,1.81
,RANBAXY,EQ,       419.50,       413.05,1.56
,SIEMENS,EQ,       770.10,       760.80,1.22
,MARUTI,EQ,      1288.30,      1273.70,1.15
,DRREDDY,EQ,      1699.00,      1681.00,1.07

,Top Five S&P CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,JPASSOCIAT,EQ,        76.95,        81.25,-5.29
,CAIRN,EQ,       340.55,       354.80,-4.02
,RPOWER,EQ,       115.40,       119.90,-3.75
,KOTAKBANK,EQ,       521.15,       539.30,-3.37
,RCOM,EQ,        84.35,        87.15,-3.21

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        80.25,                  4614756.55,57142
,3IINFOTECH,EQ,        15.15,                 22130973.70,1439166
,3MINDIA,EQ,      3674.30,                   631071.70,171
,A2ZMES,EQ,       111.35,                 39948462.05,359795
,AANJANEYA,EQ,       548.60,                 31596739.80,57160
,AARTIDRUGS,EQ,       100.25,                  1490957.20,14926
,AARTIIND,EQ,        58.35,                  1623213.45,27674
,AARVEEDEN,EQ,        34.10,                    49555.90,1451
,ABAN,EQ,       418.65,                213969602.65,508012
,ABB,EQ,       825.10,                 24018450.50,29246
,ABBOTINDIA,EQ,      1503.20,                   408699.00,273
,ABCIL,EQ,        80.55,                   641338.00,8011
,ABGSHIP,EQ,       386.75,                 26131747.55,67779
,ABHISHEK,EQ,         7.65,                     3870.40,506
,ACE,EQ,        29.75,                  1748858.90,57533
,ACROPETAL,EQ,        13.35,                   774815.25,57024
,ADANIPOWER,EQ,        67.70,                316080888.65,4634844
,ADFFOODS,EQ,        49.85,                   436890.75,8775
,ADHUNIK,EQ,        45.40,                  4634234.85,100656
,ADORWELD,EQ,       123.00,                   799804.20,6390
,ADSL,EQ,        22.55,                  1333911.20,58625
,ADVANIHOTR,EQ,        31.45,                     1006.40,32
,ADVANTA,EQ,       409.55,                 23836437.30,57641
,AEGISCHEM,EQ,       148.95,                  1801182.05,11966
,AFL,EQ,        33.80,                   274083.85,8203
,AFTEK,EQ,         9.65,                  9619660.50,1016499
,AGCNET,EQ,       178.55,                   783915.65,4460
,AGRODUTCH,EQ,         4.65,                    76947.40,16330
,AHLEAST,EQ,       289.80,                   694000.15,2415
,AHLUCONT,EQ,        70.15,                   397978.70,5574
,AHLWEST,EQ,       130.20,                   119447.10,881
,AHMEDFORGE,EQ,       161.30,                  3617295.45,22264
,AIAENG,EQ,       367.95,                  4309295.90,11800
,AJANTPHARM,EQ,       448.85,                  8584824.10,19063
,AJMERA,EQ,       103.85,                  1102468.45,10513
,AKSHOPTFBR,EQ,        14.25,                 48014846.20,3386075
,AKZOINDIA,EQ,       806.10,                  3234259.20,4004
,ALBK,EQ,       183.00,                175259995.00,948741
,ALCHEM,EQ,        58.00,                   444882.95,7568
,ALEMBICLTD,EQ,        16.05,                   672845.90,41490
,ALFALAVAL,EQ,      3883.85,                 51019316.40,13132
,ALICON,EQ,        59.50,                    98704.75,1622
,ALKALI,EQ,        29.70,                   185529.65,6165
,ALKYLAMINE,EQ,        83.30,                    73098.05,871
,ALLCARGO,EQ,       134.40,                   304108.60,2263
,ALLSEC,EQ,        11.95,                    33935.45,2923
,ALMONDZ,EQ,        13.25,                    12618.75,998
,ALOKTEXT,EQ,        19.10,                126555649.50,6636841
,ALPA,EQ,         8.95,                   184143.80,19957
,ALPHAGEO,EQ,        58.45,                   291338.30,4932
,ALPSINDUS,EQ,         2.15,                    74240.45,36559
,ALSTOMT&D,EQ,       187.85,                  7189681.95,37896
,AMAR,EQ,       147.05,                 18176307.05,125238
,AMARAJABAT,EQ,       288.15,                  7066311.75,24587
,AMARJOTHI,EQ,        40.15,                      522.00,13
,AMBIKCO,EQ,       144.90,                   490649.10,3209
,AMDIND,EQ,        14.20,                   272815.30,18694
,AMLSTEEL,EQ,        10.40,                     5453.00,520
,AMRUTANJAN,EQ,       766.10,                 38728341.05,50771
,AMTEKAUTO,EQ,       134.40,                 71116396.10,529451
,AMTEKINDIA,EQ,       106.35,                 50554716.75,475953
,ANANTRAJ,EQ,        56.40,                 13093030.75,231253
,ANDHRACEMT,EQ,         9.55,                   190987.50,19920
,ANDHRSUGAR,EQ,       132.05,                  3394401.65,25970
,ANIKINDS,EQ,        28.00,                  3880582.35,145565
,ANKURDRUGS,EQ,        14.45,                   424859.45,29438
,ANSALAPI,EQ,        35.50,                 17702210.25,520788
,ANSALHSG,EQ,        44.75,                   183907.95,4095
,ANTGRAPHIC,EQ,          .20,                     6245.20,31143
,APARINDS,EQ,       149.65,                  1804353.85,11996
