,30-MAR-2012
The Nifty witnessed an intraday movement of about 103.45 points.The closing index was 2.25 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 12052.9
, Traded Quantity (in Lakhs), 7388.57
, Number of Trades, 5916905
, Total Market Capitalisation (Rs. Crores), 6096517.55

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,S&P CNX Nifty,      5178.85,      5206.60,      5307.10,      5203.65,      5295.55,116.7
,CNX IT,      6366.35,      6392.00,      6533.30,      6392.00,      6516.00,149.65
,CNX Nifty Junior,     10165.65,     10165.75,     10468.95,     10165.75,     10450.20,284.55
,S&P CNX Defty,      3504.75,      3517.80,      3614.90,      3517.80,      3607.40,102.65
,BANK Nifty,      9927.65,      9984.80,     10248.05,      9981.90,     10212.75,285.1
,CNX Midcap,      7517.70,      7518.30,      7717.60,      7518.30,      7711.40,193.7
,S&P CNX 500,      4124.45,      4139.65,      4226.65,      4139.65,      4221.80,97.35
,CNX 100,      5081.25,      5104.15,      5208.30,      5104.15,      5200.15,118.9
,Nifty Midcap 50,      2238.25,      2247.75,      2304.45,      2247.75,      2301.00,62.75
,CNX Realty,       232.10,       232.85,       239.55,       232.85,       239.05,6.95
,CNX Infra,      2454.30,      2471.30,      2515.75,      2470.15,      2509.15,54.85
,CNX Energy,      7352.50,      7396.00,      7575.70,      7391.75,      7557.20,204.7
,CNX FMCG,     11292.00,     11298.00,     11448.30,     11298.00,     11426.05,134.05
,CNX MNC,      5149.20,      5156.15,      5273.85,      5155.90,      5258.60,109.4
,CNX Pharma,      4923.65,      4939.75,      5055.10,      4939.75,      5036.60,112.95
,CNX PSE,      2816.45,      2824.90,      2905.30,      2824.90,      2900.15,83.7
,CNX PSU Bank,      3301.80,      3311.45,      3391.95,      3311.45,      3385.10,83.3
,CNX Service,      6292.70,      6328.60,      6459.95,      6325.60,      6442.90,150.2
,India VIX,        24.33,        24.33,        24.33,        22.07,        22.38,-1.95
,CNX AUTO,      4105.95,      4126.10,      4222.75,      4115.85,      4207.00,101.05
,CNX Metal,      2974.25,      2983.65,      3063.70,      2983.65,      3054.75,80.5
,CNX Media,      1222.85,      1223.40,      1235.25,      1220.40,      1232.25,9.4
,CNX Smallcap,      3301.65,      3304.55,      3387.30,      3304.55,      3386.00,84.35
,CNX 200,      2628.65,      2639.35,      2694.65,      2639.35,      2690.60,61.95
,CNX Dividend Oppt,      1507.35,      1509.40,      1543.40,      1509.40,      1540.45,33.1
,CNX Commodities,      2413.70,      2425.10,      2480.30,      2425.10,      2473.55,59.85
,CNX Consumption,      1878.95,      1886.55,      1914.70,      1886.55,      1911.85,32.9
,CNX Finance,      4046.00,      4070.10,      4157.10,      4070.10,      4143.75,97.75
,Nifty Dividend,        77.72,          .00,          .00,          .00,        0.00,0

,ADVANCES,1163
,DECLINES,343
,UNCHANGED,48

,Total securities that have hit their price bands today,140

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SBIN,EQ,      2061.35,      2096.35,1.7,524.33
,ICICIBANK,EQ,       855.75,       890.20,4.03,520.67
,AXISBANK,EQ,      1122.05,      1146.20,2.15,296.94
,RELIANCE,EQ,       724.65,       750.60,3.58,293.36
,INFY,EQ,      2792.00,      2866.30,2.66,283.45
,LT,EQ,      1280.55,      1309.00,2.22,275.72
,JUBLFOOD,EQ,      1082.05,      1176.15,8.7,244.39
,TATASTEEL,EQ,       453.10,       471.75,4.12,231.45
,HDFC,EQ,       666.80,       673.30,0.97,213.6
,ITC,EQ,       224.55,       226.90,1.05,207.06
,TATAMOTORS,EQ,       271.95,       275.25,1.21,174.45
,HDIL,EQ,        82.05,        85.65,4.39,169.06
,HINDALCO,EQ,       124.80,       129.40,3.69,158.92
,TCS,EQ,      1141.20,      1168.80,2.42,147.94
,HDFCBANK,EQ,       510.10,       519.85,1.91,145.01
,BHEL,EQ,       248.75,       257.15,3.38,144.17
,PFC,EQ,       175.80,       184.55,4.98,142.46
,JSWSTEEL,EQ,       707.75,       721.45,1.94,141.01
,STER,EQ,       108.85,       111.05,2.02,135.87
,BHARTIARTL,EQ,       332.15,       337.90,1.73,132.69
,IVRCLINFRA,EQ,        64.65,        66.15,2.32,132.17
,IDFC,EQ,       128.95,       135.00,4.69,130.29
,NBVENTURES,EQ,       196.70,       217.25,10.45,124.09
,HEROMOTOCO,EQ,      2035.95,      2055.25,0.95,117.47
,RELCAPITAL,EQ,       387.85,       392.40,1.17,113.1

,Top Five S&P CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,RANBAXY,EQ,       469.40,       446.90,5.03
,IDFC,EQ,       135.00,       128.95,4.69
,TATASTEEL,EQ,       471.75,       453.10,4.12
,ICICIBANK,EQ,       890.20,       855.75,4.03
,KOTAKBANK,EQ,       545.35,       524.60,3.96

,Top Five S&P CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,CAIRN,EQ,       333.90,       336.10,-0.65
,JINDALSTEL,EQ,       545.15,       548.05,-0.53
,SUNPHARMA,EQ,       569.95,       571.85,-0.33

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        80.30,                  9534946.85,118286
,3IINFOTECH,EQ,        15.45,                 20056228.95,1296063
,3MINDIA,EQ,      3657.45,                   665358.65,181
,A2ZMES,EQ,       112.85,                 17759415.80,157182
,AANJANEYA,EQ,       545.45,                 31085554.15,56328
,AARTIDRUGS,EQ,       102.25,                   700917.60,6887
,AARTIIND,EQ,        60.50,                  1187263.55,19680
,AARVEEDEN,EQ,        35.00,                       70.00,2
,ABAN,EQ,       432.95,                374004198.10,867832
,ABB,EQ,       840.45,                 76426444.15,90049
,ABBOTINDIA,EQ,      1528.20,                   996049.70,655
,ABCIL,EQ,        83.70,                   124394.70,1491
,ABGSHIP,EQ,       380.95,                 26559606.30,69933
,ABHISHEK,EQ,         7.55,                     3641.10,482
,ACE,EQ,        31.20,                   967569.65,31037
,ACROPETAL,EQ,        13.70,                   570819.25,41401
,ADANIPOWER,EQ,        68.50,                272211426.55,3984148
,ADFFOODS,EQ,        50.15,                   185006.35,3644
,ADHUNIK,EQ,        45.90,                  3657610.90,79813
,ADORWELD,EQ,       127.65,                   495473.75,3900
,ADSL,EQ,        23.20,                  1476364.85,63045
,ADVANTA,EQ,       441.10,                 65632875.45,150503
,AEGISCHEM,EQ,       149.50,                  1472812.90,9786
,AFL,EQ,        36.40,                   525945.30,14527
,AFTEK,EQ,         9.90,                  1294195.65,130284
,AGCNET,EQ,       183.50,                   523517.05,2887
,AGRODUTCH,EQ,         4.85,                   104770.60,21594
,AHLEAST,EQ,       314.55,                  1728886.05,5501
,AHLUCONT,EQ,        69.70,                  8670300.45,123350
,AHLWEST,EQ,       134.45,                    41770.85,311
,AHMEDFORGE,EQ,       163.75,                  6717997.30,41018
,AIAENG,EQ,       367.85,                 20259596.65,55164
,AJANTPHARM,EQ,       458.20,                 29940787.60,66076
,AJMERA,EQ,       111.40,                  4609831.45,41664
,AKZOINDIA,EQ,       816.10,                  4401561.35,5412
,ALBK,EQ,       186.05,                182883652.25,980867
,ALCHEM,EQ,        70.15,                  2201428.70,31587
,ALEMBICLTD,EQ,        16.15,                   800695.55,49232
,ALFALAVAL,EQ,      3922.25,                 39162495.00,9979
,ALICON,EQ,        60.50,                    94208.00,1501
,ALKALI,EQ,        29.70,                   155725.90,5291
,ALKYLAMINE,EQ,        86.35,                    43798.80,507
,ALLCARGO,EQ,       135.25,                   777288.90,5742
,ALLSEC,EQ,        11.60,                    15257.70,1251
,ALMONDZ,EQ,        12.65,                    12311.40,929
,ALOKTEXT,EQ,        19.65,                248376706.20,12934965
,ALPA,EQ,         8.75,                     6935.75,751
,ALPHAGEO,EQ,        60.25,                   117664.25,2000
,ALPSINDUS,EQ,         2.15,                    26794.15,12980
,ALSTOMT&D,EQ,       188.00,                 13284320.65,71348
,AMAR,EQ,       150.25,                 12639324.05,84030
,AMARAJABAT,EQ,       293.05,                  4305284.00,14792
,AMARJOTHI,EQ,        40.75,                     7339.30,180
,AMBIKCO,EQ,       146.45,                   264748.75,1805
,AMDIND,EQ,        14.60,                    39163.60,2706
,AMLSTEEL,EQ,        11.15,                       44.70,4
,AMRUTANJAN,EQ,       766.15,                 25187478.45,32807
,AMTEKAUTO,EQ,       132.95,                 42504063.10,316701
,AMTEKINDIA,EQ,       106.65,                 41528459.70,384388
,ANANTRAJ,EQ,        58.50,                  5997782.75,102694
,ANDHRACEMT,EQ,         9.75,                   221830.05,22554
,ANDHRSUGAR,EQ,       131.60,                   524297.75,3993
,ANIKINDS,EQ,        27.75,                  1953528.65,68846
,ANKURDRUGS,EQ,        14.95,                   496812.65,33473
,ANSALAPI,EQ,        35.20,                 32531380.55,925849
,ANSALHSG,EQ,        44.05,                   176482.70,4003
,ANTGRAPHIC,EQ,          .20,                    14732.05,71751
,APARINDS,EQ,       161.35,                  1084493.15,6833
,APCOTEXIND,EQ,       142.00,                    31257.05,220
,APIL,EQ,       355.70,                 40561849.15,114918
,APLAB,EQ,        24.55,                    35364.15,1391
