,08-MAY-2012
The Nifty witnessed an intraday movement of about 136.35 points.The closing index was 2.23 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 10899.97
, Traded Quantity (in Lakhs), 6507.67
, Number of Trades, 5558919
, Total Market Capitalisation (Rs. Crores), 5813877.72

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,S&P CNX Nifty,      5114.15,      5114.70,      5119.95,      4983.60,      4999.95,-114.2
,CNX IT,      6089.20,      5965.95,      5965.95,      5855.05,      5901.45,-187.75
,CNX Nifty Junior,     10061.25,     10063.80,     10134.05,      9837.95,      9883.40,-177.85
,S&P CNX Defty,      3346.70,      3354.00,      3365.35,      3245.60,      3254.50,-92.2
,BANK Nifty,      9876.35,      9909.40,      9924.15,      9526.65,      9588.75,-287.6
,CNX Midcap,      7240.10,      7240.35,      7301.65,      7105.75,      7132.90,-107.2
,S&P CNX 500,      4074.95,      4075.40,      4085.55,      3979.85,      3992.55,-82.4
,CNX 100,      5019.40,      5020.05,      5028.60,      4894.70,      4910.95,-108.45
,Nifty Midcap 50,      2147.90,      2148.40,      2166.20,      2093.20,      2104.10,-43.8
,CNX Realty,       217.55,       218.05,       221.85,       212.20,       213.95,-3.6
,CNX Infra,      2318.95,      2324.30,      2329.10,      2243.90,      2252.60,-66.35
,CNX Energy,      7225.20,      7254.75,      7268.15,      7138.55,      7153.10,-72.1
,CNX FMCG,     11879.40,     11897.95,     12074.35,     11499.70,     11580.50,-298.9
,CNX MNC,      5163.20,      5176.00,      5202.00,      5094.40,      5109.15,-54.05
,CNX Pharma,      5161.25,      5172.55,      5201.80,      5096.70,      5112.00,-49.25
,CNX PSE,      2743.25,      2751.20,      2769.40,      2717.90,      2726.75,-16.5
,CNX PSU Bank,      3136.95,      3149.65,      3173.80,      3008.60,      3043.25,-93.7
,CNX Service,      6121.00,      6103.40,      6103.40,      5942.50,      5967.55,-153.45
,India VIX,        20.22,        20.22,        22.30,        19.65,        22.16,1.94
,CNX AUTO,      4228.90,      4241.20,      4268.90,      4130.90,      4142.25,-86.65
,CNX Metal,      2871.80,      2880.20,      2894.05,      2807.90,      2825.20,-46.6
,CNX Media,      1200.90,      1200.80,      1211.00,      1182.00,      1184.10,-16.8
,CNX Smallcap,      3360.20,      3365.35,      3382.60,      3298.15,      3308.60,-51.6
,CNX 200,      2592.20,      2592.50,      2598.45,      2529.05,      2537.45,-54.75
,CNX Dividend Oppt,      1478.00,      1481.80,      1491.75,      1450.20,      1455.70,-22.3
,CNX Commodities,      2328.20,      2334.60,      2343.50,      2283.85,      2296.10,-32.1
,CNX Consumption,      1899.75,      1905.65,      1915.25,      1866.35,      1870.70,-29.05
,CNX Finance,      4016.45,      4033.00,      4039.80,      3893.40,      3915.85,-100.6
,Nifty Dividend,          .16,          .16,          .16,          .16,          .16,0

,ADVANCES,456
,DECLINES,1006
,UNCHANGED,72

,Total securities that have hit their price bands today,85

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SBIN,EQ,      2028.20,      1955.35,-3.59,608
,TCS,EQ,      1273.25,      1200.70,-5.7,585.32
,INFY,EQ,      2437.60,      2393.90,-1.79,342.67
,ICICIBANK,EQ,       848.25,       830.15,-2.13,329.91
,TATAMOTORS,EQ,       308.40,       296.40,-3.89,323.01
,RELIANCE,EQ,       715.70,       708.35,-1.03,275.12
,ITC,EQ,       236.35,       226.90,-4,262.65
,AXISBANK,EQ,      1022.55,       983.45,-3.82,241.13
,LT,EQ,      1202.90,      1158.75,-3.67,230.85
,HINDALCO,EQ,       115.65,       117.75,1.82,185.32
,JSWSTEEL,EQ,       721.75,       689.90,-4.41,184.31
,IRB,EQ,       119.60,       120.30,0.59,175.83
,JPASSOCIAT,EQ,        69.55,        64.05,-7.91,169.21
,HDFC,EQ,       663.65,       657.30,-0.96,165.65
,DLF,EQ,       189.80,       189.85,0.03,160.82
,HDFCBANK,EQ,       532.25,       515.35,-3.18,147.51
,TATASTEEL,EQ,       441.60,       427.20,-3.26,144.53
,BHEL,EQ,       226.95,       215.45,-5.07,134
,HDIL,EQ,        74.90,        71.15,-5.01,132.11
,HEROMOTOCO,EQ,      1953.60,      1899.15,-2.79,126.02
,TTKPRESTIG,EQ,      3030.95,      3126.40,3.15,117.25
,BAJAJ-AUTO,EQ,      1518.10,      1489.95,-1.85,108.43
,RELCAPITAL,EQ,       316.20,       300.30,-5.03,107.51
,COALINDIA,EQ,       328.50,       334.70,1.89,104.58
,IDFC,EQ,       117.80,       113.55,-3.61,103

,Top Five S&P CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,COALINDIA,EQ,       334.70,       328.50,1.89
,HINDALCO,EQ,       117.75,       115.65,1.82
,GAIL,EQ,       323.75,       318.90,1.52
,SAIL,EQ,        93.55,        92.95,.65
,ASIANPAINT,EQ,      3655.55,      3644.40,.31

,Top Five S&P CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,JPASSOCIAT,EQ,        64.05,        69.55,-7.91
,TCS,EQ,      1200.70,      1273.25,-5.7
,BHEL,EQ,       215.45,       226.95,-5.07
,RELINFRA,EQ,       488.75,       512.45,-4.62
,HCLTECH,EQ,       478.70,       501.90,-4.62

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        85.70,                  8710774.50,100331
,3IINFOTECH,EQ,        13.05,                  8922666.35,667933
,3MINDIA,EQ,      3867.80,                  1453044.50,373
,A2ZMES,EQ,        89.70,                  7387652.90,79953
,AANJANEYA,EQ,       530.55,                414525289.90,837389
,AARTIDRUGS,EQ,       113.25,                   125682.70,1107
,AARTIIND,EQ,        70.60,                  1936960.75,27264
,AARVEEDEN,EQ,        34.30,                     2984.10,87
,ABAN,EQ,       376.65,                371720576.70,961601
,ABB,EQ,       758.00,                 14114214.90,18244
,ABBOTINDIA,EQ,      1565.65,                  3172744.25,2016
,ABCIL,EQ,        77.90,                   244844.15,3127
,ABGSHIP,EQ,       372.25,                 11425054.10,30591
,ABHISHEK,EQ,         7.60,                    10641.75,1421
,ACE,EQ,        30.85,                   546929.00,17446
,ACROPETAL,EQ,        12.85,                   321788.00,24855
,ADANIPOWER,EQ,        56.35,                179048679.45,3082607
,ADFFOODS,EQ,        50.20,                   425579.30,8399
,ADHUNIK,EQ,        40.65,                   801403.10,19467
,ADORWELD,EQ,       136.85,                   422446.90,3066
,ADSL,EQ,        25.25,                  1221972.70,46474
,ADVANIHOTR,EQ,        30.05,                    10798.00,360
,ADVANTA,EQ,       450.55,                 82057070.80,178323
,AEGISCHEM,EQ,       147.20,                   487897.25,3281
,AFL,EQ,        34.75,                    66503.75,1927
,AFTEK,EQ,        10.05,                  2810595.05,273467
,AGCNET,EQ,       192.65,                   115628.70,594
,AGRODUTCH,EQ,         4.50,                    35279.75,7853
,AHLEAST,EQ,       262.40,                    91992.70,350
,AHLUCONT,EQ,        57.50,                   132633.40,2293
,AHLWEST,EQ,       133.10,                    32167.50,240
,AHMEDFORGE,EQ,       155.00,                   569376.45,3647
,AIAENG,EQ,       350.30,                   456669.65,1301
,AJANTPHARM,EQ,       550.05,                  6808858.40,12194
,AJMERA,EQ,       115.75,                   650719.05,5613
,AKZOINDIA,EQ,       836.70,                  2490842.15,2958
,ALBK,EQ,       155.30,                316930371.65,1979814
,ALCHEM,EQ,        62.55,                    92698.15,1461
,ALEMBICLTD,EQ,        16.45,                  1368015.15,82487
,ALICON,EQ,        64.55,                    41910.10,651
,ALKALI,EQ,        27.95,                   102391.30,3658
,ALKYLAMINE,EQ,        95.05,                     2851.50,30
,ALLCARGO,EQ,       120.20,                   319759.20,2642
,ALLSEC,EQ,        11.40,                     8757.70,770
,ALMONDZ,EQ,         7.15,                   241972.40,34638
,ALOKTEXT,EQ,        19.35,                 84593778.15,4335672
,ALPA,EQ,         8.10,                    31185.30,3831
,ALPHAGEO,EQ,        52.50,                   195243.80,3708
,ALPSINDUS,EQ,         2.00,                    25221.00,12420
,ALSTOMT&D,EQ,       151.10,                  2016926.35,13112
,AMAR,EQ,       155.95,                 38854530.50,247742
,AMARAJABAT,EQ,       277.75,                  9765027.70,35110
,AMBIKCO,EQ,       152.20,                    15018.70,96
,AMDIND,EQ,        14.35,                      131.60,9
,AMLSTEEL,EQ,         9.50,                      713.00,75
,AMRUTANJAN,EQ,       750.20,                  8564018.30,11228
,AMTEKAUTO,EQ,       116.95,                  3404187.85,29050
,AMTEKINDIA,EQ,        97.90,                 25081402.30,248666
,ANANTRAJ,EQ,        52.90,                 10380815.90,194639
,ANDHRACEMT,EQ,         8.95,                   180507.60,19844
,ANDHRSUGAR,EQ,       135.05,                  1226600.60,9037
,ANIKINDS,EQ,        28.00,                   787415.45,27362
,ANKURDRUGS,EQ,        12.95,                  2630972.50,213804
,ANSALAPI,EQ,        29.85,                   998910.55,32656
,ANSALHSG,EQ,        44.95,                   416083.00,9245
,ANTGRAPHIC,EQ,          .25,                      766.30,3068
,APARINDS,EQ,       145.85,                 22093617.80,145324
,APCOTEXIND,EQ,       141.00,                   719503.80,5065
,APIL,EQ,       359.75,                 78572847.25,212812
,APLAB,EQ,        24.00,                     4800.00,200
,APLAPOLLO,EQ,       168.30,                    68160.55,403
