,14-MAY-2012
The Nifty witnessed an intraday movement of about 82.7 points.The closing index was 0.43 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 8960.6
, Traded Quantity (in Lakhs), 5173.76
, Number of Trades, 4750571
, Total Market Capitalisation (Rs. Crores), 5680614.97

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,S&P CNX Nifty,      4928.90,      4934.35,      4957.20,      4874.50,      4907.80,-21.1
,CNX IT,      5830.80,      5831.55,      5877.05,      5802.30,      5855.85,25.05
,CNX Nifty Junior,      9663.80,      9665.50,      9715.30,      9565.05,      9622.75,-41.05
,S&P CNX Defty,      3187.25,      3192.50,      3205.70,      3137.30,      3159.75,-27.5
,BANK Nifty,      9398.10,      9412.60,      9498.80,      9190.30,      9257.65,-140.45
,CNX Midcap,      6985.75,      6986.05,      7019.60,      6888.25,      6922.65,-63.1
,S&P CNX 500,      3928.25,      3931.35,      3946.05,      3884.30,      3906.90,-21.35
,CNX 100,      4835.05,      4839.70,      4861.45,      4782.90,      4814.40,-20.65
,Nifty Midcap 50,      2033.10,      2033.50,      2045.00,      1994.50,      2008.35,-24.75
,CNX Realty,       206.55,       207.15,       208.30,       201.00,       202.90,-3.65
,CNX Infra,      2191.85,      2196.85,      2206.30,      2152.75,      2189.30,-2.55
,CNX Energy,      7006.05,      6998.75,      7019.00,      6881.85,      6911.30,-94.75
,CNX FMCG,     11769.40,     11772.50,     11831.45,     11721.60,     11795.55,26.15
,CNX MNC,      5045.70,      5051.60,      5076.25,      5020.50,      5049.95,4.25
,CNX Pharma,      4970.65,      4981.15,      5062.60,      4979.50,      5047.25,76.6
,CNX PSE,      2668.75,      2665.35,      2678.45,      2637.95,      2656.05,-12.7
,CNX PSU Bank,      2914.10,      2921.25,      2949.25,      2848.95,      2869.30,-44.8
,CNX Service,      5859.35,      5866.00,      5902.15,      5786.15,      5827.00,-32.35
,India VIX,        22.48,        22.48,        23.52,        22.48,        23.26,.78
,CNX AUTO,      4094.10,      4103.85,      4130.75,      4043.15,      4073.50,-20.6
,CNX Metal,      2700.90,      2702.55,      2735.30,      2653.75,      2686.60,-14.3
,CNX Media,      1152.65,      1152.65,      1157.80,      1137.25,      1147.95,-4.7
,CNX Smallcap,      3234.70,      3234.25,      3247.60,      3167.40,      3176.60,-58.1
,CNX 200,      2496.50,      2498.70,      2508.90,      2468.10,      2483.85,-12.65
,CNX Dividend Oppt,      1438.05,      1437.85,      1443.65,      1425.05,      1433.20,-4.85
,CNX Commodities,      2221.20,      2219.45,      2230.50,      2188.35,      2206.60,-14.6
,CNX Consumption,      1850.60,      1851.60,      1863.45,      1847.30,      1859.45,8.85
,CNX Finance,      3847.25,      3854.10,      3887.30,      3773.20,      3804.95,-42.3
,Nifty Dividend,          .16,          .16,          .16,          .16,          .16,0

,ADVANCES,455
,DECLINES,1014
,UNCHANGED,77

,Total securities that have hit their price bands today,78

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,LT,EQ,      1138.00,      1159.40,1.88,765.08
,SBIN,EQ,      1853.60,      1839.75,-0.75,548.25
,ICICIBANK,EQ,       813.20,       800.70,-1.54,379.84
,RELIANCE,EQ,       697.20,       681.30,-2.28,281.33
,INFY,EQ,      2311.30,      2338.95,1.2,230.29
,JSWSTEEL,EQ,       627.50,       619.75,-1.24,214.12
,TATAMOTORS,EQ,       297.50,       290.60,-2.32,206.43
,IRB,EQ,       105.25,       108.85,3.42,205.39
,AXISBANK,EQ,      1000.20,       997.65,-0.25,197.13
,HDFC,EQ,       645.80,       645.00,-0.12,189.03
,TCS,EQ,      1230.75,      1225.95,-0.39,157.75
,HDFCBANK,EQ,       510.55,       500.55,-1.96,138.36
,TATASTEEL,EQ,       412.00,       408.20,-0.92,133.08
,BAJAJ-AUTO,EQ,      1558.15,      1586.90,1.85,122.02
,IDFC,EQ,       120.85,       118.45,-1.99,119.91
,JUBLFOOD,EQ,      1131.15,      1148.30,1.52,116.9
,BHEL,EQ,       221.10,       217.15,-1.79,109.06
,HDIL,EQ,        64.40,        62.05,-3.65,104.67
,JPASSOCIAT,EQ,        62.90,        61.40,-2.38,98.34
,HINDALCO,EQ,       113.15,       111.80,-1.19,86.84
,DLF,EQ,       187.30,       182.55,-2.54,84.71
,COALINDIA,EQ,       314.50,       316.10,0.51,80.82
,MCDOWELL-N,EQ,       614.40,       630.30,2.59,80.01
,M&M,EQ,       655.05,       656.90,0.28,78.4
,RELCAPITAL,EQ,       294.40,       289.60,-1.63,77.87

,Top Five S&P CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,RANBAXY,EQ,       488.40,       477.80,2.22
,ASIANPAINT,EQ,      3697.25,      3623.85,2.03
,BPCL,EQ,       713.85,       700.30,1.93
,LT,EQ,      1159.40,      1138.00,1.88
,BAJAJ-AUTO,EQ,      1586.90,      1558.15,1.85

,Top Five S&P CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,CAIRN,EQ,       303.05,       317.30,-4.49
,BANKBARODA,EQ,       624.70,       648.80,-3.71
,PNB,EQ,       723.85,       744.85,-2.82
,SAIL,EQ,        86.85,        89.30,-2.74
,RELINFRA,EQ,       460.85,       473.05,-2.58

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        87.25,                  4816685.80,54387
,3IINFOTECH,EQ,        12.45,                  6633545.30,529228
,3MINDIA,EQ,      3700.90,                   330008.40,89
,A2ZMES,EQ,        96.75,                 61564196.25,636691
,AANJANEYA,EQ,       513.55,                 47735185.20,92533
,AARTIDRUGS,EQ,       108.35,                   568634.25,5234
,AARTIIND,EQ,        65.65,                  3485156.00,52689
,AARVEEDEN,EQ,        34.90,                    37815.15,1082
,ABAN,EQ,       350.65,                160393841.20,455969
,ABB,EQ,       712.10,                 36156076.35,50468
,ABBOTINDIA,EQ,      1506.90,                  1943983.80,1287
,ABCIL,EQ,        70.30,                   375404.25,5166
,ABGSHIP,EQ,       379.40,                 39470764.40,104558
,ABHISHEK,EQ,         7.75,                     7272.15,990
,ACE,EQ,        29.10,                  1121636.50,38144
,ACROPETAL,EQ,        12.30,                   290909.05,23532
,ADANIPOWER,EQ,        50.15,                215196950.60,4279111
,ADFFOODS,EQ,        46.65,                   445126.45,9489
,ADHUNIK,EQ,        37.45,                   869068.45,23063
,ADORWELD,EQ,       133.25,                   118906.35,889
,ADSL,EQ,        22.80,                  1319609.55,57425
,ADVANTA,EQ,       393.40,                 15019718.20,37332
,AEGISCHEM,EQ,       136.75,                   357070.85,2583
,AFL,EQ,        34.55,                   236491.50,6903
,AFTEK,EQ,         9.80,                  1009861.70,102828
,AGCNET,EQ,       219.15,                  2900638.70,12832
,AGRODUTCH,EQ,         4.30,                    14985.25,3479
,AHLEAST,EQ,       253.85,                   540263.75,2215
,AHLUCONT,EQ,        57.90,                   915917.70,15739
,AHLWEST,EQ,       136.75,                   362994.60,2718
,AHMEDFORGE,EQ,       148.15,                   443696.70,2950
,AIAENG,EQ,       355.10,                   239320.30,676
,AJANTPHARM,EQ,       554.70,                  7381356.50,13218
,AJMERA,EQ,       111.35,                   974343.60,8706
,AKZOINDIA,EQ,       842.55,                  6225123.90,7398
,ALBK,EQ,       147.10,                130877156.40,893071
,ALCHEM,EQ,        58.40,                   193020.95,3260
,ALEMBICLTD,EQ,        15.75,                  1121674.75,69685
,ALICON,EQ,        62.05,                     9307.50,150
,ALKALI,EQ,        26.15,                    55006.90,2085
,ALKYLAMINE,EQ,        96.00,                    37583.25,390
,ALLCARGO,EQ,       113.90,                  1094738.90,9580
,ALLSEC,EQ,        10.75,                    60293.30,5576
,ALMONDZ,EQ,         7.30,                    26251.95,3565
,ALOKTEXT,EQ,        17.95,                 60245441.70,3340693
,ALPA,EQ,         7.90,                     6199.70,783
,ALPHAGEO,EQ,        48.70,                    10322.05,211
,ALPSINDUS,EQ,         1.85,                    23119.95,11961
,ALSTOMT&D,EQ,       144.70,                  6639130.50,45416
,AMAR,EQ,       158.15,                  7197092.30,45232
,AMARAJABAT,EQ,       291.60,                  2823837.85,9452
,AMARJOTHI,EQ,        38.20,                     6501.00,179
,AMBIKCO,EQ,       151.05,                   272248.65,1801
,AMDIND,EQ,        15.00,                   101286.95,6640
,AMLSTEEL,EQ,         8.20,                    11115.00,1355
,AMRUTANJAN,EQ,       718.70,                  6916376.40,9545
,AMTEKAUTO,EQ,       120.15,                 10324297.80,85810
,AMTEKINDIA,EQ,        97.20,                 14383521.70,147371
,ANANTRAJ,EQ,        52.55,                  1498735.10,28467
,ANDHRACEMT,EQ,         8.65,                    45778.20,5243
,ANDHRSUGAR,EQ,       126.85,                  1186590.45,9241
,ANIKINDS,EQ,        26.95,                   730695.90,26871
,ANKURDRUGS,EQ,        13.20,                    73928.05,5577
,ANSALAPI,EQ,        29.65,                  1220212.25,41339
,ANSALHSG,EQ,        44.85,                   407029.75,9109
,ANTGRAPHIC,EQ,          .20,                     2310.00,10900
,APARINDS,EQ,       155.90,                  1510281.90,9749
,APCOTEXIND,EQ,       151.20,                   372186.75,2458
,APIL,EQ,       349.25,                 34030275.20,97860
,APLAB,EQ,        24.00,                    14425.00,600
,APLAPOLLO,EQ,       165.75,                    45963.05,276
