,29-MAY-2012
The Nifty witnessed an intraday movement of about 38 points.The closing index was 0.09 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 8510.49
, Traded Quantity (in Lakhs), 5148.11
, Number of Trades, 4546181
, Total Market Capitalisation (Rs. Crores), 5752596.05

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,S&P CNX Nifty,      4985.65,      5005.35,      5020.15,      4982.15,      4990.10,4.45
,CNX IT,      5916.30,      5927.90,      6005.85,      5904.90,      5983.25,66.95
,CNX Nifty Junior,      9648.90,      9650.35,      9683.50,      9613.00,      9631.95,-16.95
,S&P CNX Defty,      3127.75,      3128.60,      3135.70,      3100.80,      3108.30,-19.45
,BANK Nifty,      9698.30,      9734.85,      9783.45,      9687.65,      9708.10,9.8
,CNX Midcap,      7029.15,      7030.90,      7055.90,      6985.20,      6996.20,-32.95
,S&P CNX 500,      3961.05,      3972.05,      3983.55,      3955.80,      3961.10,.05
,CNX 100,      4881.05,      4897.45,      4911.95,      4875.70,      4883.40,2.35
,Nifty Midcap 50,      2030.25,      2031.00,      2041.70,      2012.30,      2016.10,-14.15
,CNX Realty,       210.60,       210.80,       213.95,       210.00,       212.10,1.5
,CNX Infra,      2215.40,      2226.75,      2231.15,      2208.05,      2212.85,-2.55
,CNX Energy,      7062.50,      7083.75,      7118.40,      7056.95,      7087.55,25.05
,CNX FMCG,     11783.35,     11806.05,     11812.70,     11636.00,     11661.15,-122.2
,CNX MNC,      4997.40,      5010.05,      5034.20,      4992.05,      5004.05,6.65
,CNX Pharma,      5064.25,      5075.60,      5104.55,      5046.05,      5051.90,-12.35
,CNX PSE,      2677.10,      2691.60,      2697.15,      2679.75,      2689.95,12.85
,CNX PSU Bank,      3122.80,      3138.45,      3173.15,      3129.20,      3136.25,13.45
,CNX Service,      5988.20,      6007.80,      6038.15,      5984.45,      6004.85,16.65
,India VIX,        23.68,        23.68,        24.33,        22.70,        24.03,.35
,CNX AUTO,      3946.90,      3973.55,      3986.30,      3944.80,      3958.85,11.95
,CNX Metal,      2716.70,      2731.30,      2752.75,      2718.15,      2731.60,14.9
,CNX Media,      1141.75,      1141.35,      1149.20,      1136.20,      1138.50,-3.25
,CNX Smallcap,      3252.20,      3266.65,      3274.10,      3249.70,      3253.60,1.4
,CNX 200,      2519.65,      2527.35,      2534.80,      2516.20,      2520.15,.5
,CNX Dividend Oppt,      1436.20,      1439.60,      1442.30,      1434.00,      1436.05,-.15
,CNX Commodities,      2231.70,      2239.60,      2246.60,      2228.70,      2236.60,4.9
,CNX Consumption,      1832.45,      1836.45,      1839.70,      1829.15,      1833.30,.85
,CNX Finance,      3964.80,      3978.00,      3989.75,      3951.40,      3959.60,-5.2
,Nifty Dividend,         7.99,         7.99,         7.99,         7.99,         7.99,0

,ADVANCES,754
,DECLINES,685
,UNCHANGED,97

,Total securities that have hit their price bands today,75

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SBIN,EQ,      2101.30,      2120.15,0.9,1028.91
,TATAMOTORS,EQ,       276.60,       275.75,-0.31,350.76
,RELIANCE,EQ,       701.65,       701.85,0.03,242.01
,ICICIBANK,EQ,       834.40,       838.70,0.52,217.94
,LT,EQ,      1204.60,      1202.15,-0.2,157.93
,INFY,EQ,      2385.80,      2409.50,0.99,154.91
,JSWSTEEL,EQ,       608.15,       621.75,2.24,150.43
,HDIL,EQ,        64.50,        66.85,3.64,149.31
,AXISBANK,EQ,      1029.40,      1024.00,-0.52,136.21
,HDFC,EQ,       664.10,       660.65,-0.52,134.25
,TATASTEEL,EQ,       411.85,       415.80,0.96,134.19
,HDFCBANK,EQ,       508.75,       504.95,-0.75,134.01
,JUBLFOOD,EQ,      1321.95,      1292.20,-2.25,126.35
,ITC,EQ,       235.05,       230.90,-1.77,122.55
,BHEL,EQ,       217.10,       217.95,0.39,112.46
,HINDALCO,EQ,       114.95,       114.55,-0.35,105.76
,RANBAXY,EQ,       525.20,       535.90,2.04,98.18
,TCS,EQ,      1224.70,      1240.35,1.28,97.41
,SAIL,EQ,        93.45,        93.10,-0.37,94.55
,MCDOWELL-N,EQ,       644.55,       652.65,1.26,93.82
,MARUTI,EQ,      1103.55,      1128.35,2.25,91.86
,HEROMOTOCO,EQ,      1849.45,      1860.75,0.61,87.18
,RELINFRA,EQ,       473.95,       472.70,-0.26,85.28
,BHARTIARTL,EQ,       302.35,       300.00,-0.78,78.33
,BAJAJ-AUTO,EQ,      1515.90,      1529.25,0.88,76.14

,Top Five S&P CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HCLTECH,EQ,       505.35,       491.55,2.81
,CAIRN,EQ,       336.75,       328.05,2.65
,WIPRO,EQ,       409.75,       399.85,2.48
,MARUTI,EQ,      1128.35,      1103.55,2.25
,COALINDIA,EQ,       321.85,       315.00,2.17

,Top Five S&P CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ACC,EQ,      1137.95,      1163.95,-2.23
,BPCL,EQ,       701.10,       716.15,-2.1
,ITC,EQ,       230.90,       235.05,-1.77
,IDFC,EQ,       124.65,       126.75,-1.66
,SIEMENS,EQ,       678.75,       686.65,-1.15

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        92.00,                 12436582.65,132780
,3IINFOTECH,EQ,        13.15,                 13403364.55,1018233
,3MINDIA,EQ,      3615.35,                  1694928.00,465
,A2ZMES,EQ,       104.25,                 11677017.90,111264
,AANJANEYA,EQ,       532.75,                  6599255.25,12214
,AARTIDRUGS,EQ,       105.60,                   152320.55,1440
,AARTIIND,EQ,        66.00,                   240278.30,3627
,AARVEEDEN,EQ,        35.35,                    43404.60,1236
,ABAN,EQ,       378.15,                377313969.20,992631
,ABB,EQ,       751.05,                 20357365.80,26964
,ABBOTINDIA,EQ,      1456.30,                  1155493.20,793
,ABCIL,EQ,        67.05,                   662307.00,9995
,ABGSHIP,EQ,       388.40,                 12014465.30,31102
,ABHISHEK,EQ,         7.30,                     3121.15,429
,ACE,EQ,        29.70,                   801082.85,27339
,ACROPETAL,EQ,        15.30,                  3858493.30,250586
,ADANIPOWER,EQ,        50.65,                 68647533.85,1345734
,ADFFOODS,EQ,        50.00,                   528520.75,10533
,ADHUNIK,EQ,        35.10,                   776378.05,21905
,ADORWELD,EQ,       132.10,                    88514.15,667
,ADSL,EQ,        26.70,                  2770824.75,102647
,ADVANTA,EQ,       477.65,                177361442.00,361183
,AEGISCHEM,EQ,       139.85,                   695077.70,4872
,AFL,EQ,        33.85,                   163588.25,4778
,AFTEK,EQ,         9.45,                   675150.40,71090
,AGCNET,EQ,       225.30,                   279441.75,1244
,AGRODUTCH,EQ,         4.60,                    19189.00,4196
,AHLEAST,EQ,       255.10,                     5613.70,22
,AHLUCONT,EQ,        57.00,                  2385516.40,41849
,AHLWEST,EQ,       126.00,                     8015.50,63
,AHMEDFORGE,EQ,       141.55,                  1014070.50,7138
,AIAENG,EQ,       355.55,                   842508.85,2361
,AICHAMP,BE,        24.50,                     1072.05,46
,AJANTPHARM,EQ,       709.95,                 63615979.85,90352
,AJMERA,EQ,       111.90,                  2179884.10,19278
,AKSHOPTFBR,BE,        17.10,                  1772282.95,104154
,AKZOINDIA,EQ,       876.60,                  4433602.10,5054
,ALBK,EQ,       138.30,                163377691.10,1169196
,ALCHEM,EQ,        61.90,                   374711.20,6044
,ALEMBICLTD,EQ,        15.75,                   343271.55,21742
,ALICON,EQ,        65.90,                     7495.00,120
,ALKALI,EQ,        25.65,                    83984.50,3271
,ALKYLAMINE,EQ,       101.00,                    51996.00,515
,ALLCARGO,EQ,       117.80,                   568269.15,4890
,ALLSEC,BE,        13.00,                       39.80,3
,ALMONDZ,EQ,         7.65,                    13238.20,1704
,ALOKTEXT,EQ,        18.90,                 31206760.70,1641757
,ALPA,EQ,         7.75,                     2712.50,350
,ALPHAGEO,EQ,        42.75,                   171639.35,3940
,ALPSINDUS,EQ,         1.95,                    33513.95,16634
,ALSTOMT&D,EQ,       163.25,                  5277809.20,32551
,AMAR,EQ,       153.40,                  7828303.00,50764
,AMARAJABAT,EQ,       305.25,                 76403898.20,248461
,AMARJOTHI,EQ,        35.30,                    19357.20,548
,AMBIKCO,EQ,       164.25,                    97969.80,587
,AMDIND,EQ,        14.55,                   152062.45,10413
,AMLSTEEL,EQ,         8.40,                      790.50,100
,AMRUTANJAN,EQ,       812.15,                128748837.65,156419
,AMTEKAUTO,EQ,       106.00,                  8628438.95,81488
,AMTEKINDIA,EQ,        99.20,                 25587148.45,258605
,ANANTRAJ,EQ,        46.60,                  9615458.55,204817
,ANDHRACEMT,EQ,         8.35,                    43409.05,5211
,ANDHRSUGAR,EQ,       135.15,                   962839.15,7160
,ANGIND,BE,        18.65,                       92.65,5
,ANIKINDS,EQ,        30.00,                   699696.60,23316
,ANKURDRUGS,EQ,        11.45,                   271465.00,23855
,ANSALAPI,EQ,        27.95,                  3830938.50,133863
,ANSALHSG,EQ,        43.15,                    84629.75,1946
,ANTGRAPHIC,EQ,          .15,                    14263.50,73955
,APARINDS,EQ,       143.00,                   183094.20,1285
,APCOTEXIND,EQ,       151.00,                   115224.05,758
,APIL,EQ,       357.15,                 36218840.00,101365
,APLAB,EQ,        23.50,                    58711.30,2431
,APLAPOLLO,EQ,       155.75,                   579305.55,3767
,APLLTD,EQ,        49.80,                   669634.05,13393
,APOLLOHOSP,EQ,       677.95,                295950190.00,438429
,APOLLOTYRE,EQ,        89.10,                202979776.05,2254662
,APPAPER,EQ,       243.45,                 17579993.45,71831
,APTECHT,EQ,        74.25,                 14009350.65,187141
,AQUA,EQ,         9.85,                  5882535.40,593942
,ARCHIDPLY,EQ,         9.50,                    15912.55,1674
,ARCHIES,EQ,        22.00,                   487353.95,22021
,ARIES,EQ,        65.10,                   244980.40,3754
,ARIHANT,EQ,        43.00,                      430.00,10
,AROGRANITE,EQ,        32.00,                    12800.00,400
,ARROWTEX,EQ,         5.60,                     1120.00,200
,ARSHIYA,EQ,       136.00,                  2843961.45,20763
,ARSSINFRA,EQ,        64.00,                  6982162.10,107226
,ARVIND,EQ,        77.45,                106905968.10,1382506
,ASAHIINDIA,EQ,        62.15,                  1100679.30,17646
,ASAHISONG,EQ,        75.65,                   130156.70,1711
,ASAL,EQ,        46.50,                    24332.90,519
,ASHAPURMIN,BE,         9.85,                   107931.70,10977
,ASHCONIUL,EQ,         1.45,                     5348.70,3559
,ASHIANA,EQ,       164.85,                   122067.90,751
,ASHIMASYN,BE,         3.55,                      355.00,100
,ASHOKA,EQ,       198.10,                   502193.00,2519
,ASIANELEC,EQ,         6.95,                  2498597.40,349907
,ASIANHOTNR,EQ,       205.00,                   118713.35,579
,ASIL,EQ,         1.40,                      420.00,300
,ASSAMCO,EQ,         6.05,                   903117.85,150685
,ASTEC,EQ,        25.05,                    46179.20,1839
,ASTERSILI,EQ,         7.25,                     9275.95,1286
,ASTRAL,EQ,       201.25,                   422719.10,2108
,ASTRAMICRO,EQ,        41.05,                  5758577.05,144683
,ASTRAZEN,EQ,      1968.80,                 40707188.00,20430
,ATFL,EQ,       463.65,                  6600085.10,14154
,ATLANTA,EQ,        60.90,                  1066740.50,17518
,ATLASCYCLE,BE,       320.05,                   321747.15,996
,ATNINTER,EQ,          .75,                    24453.75,31585
,ATUL,EQ,       201.00,                  3856140.70,19260
,AURIONPRO,EQ,       115.80,                   871630.35,7528
,AUROPHARMA,EQ,       110.40,                209631660.45,1858544
,AUSTRAL,EQ,         1.10,                    62109.85,57471
,AUTOAXLES,EQ,       455.00,                   171103.00,376
,AUTOIND,EQ,       168.95,                  8326933.30,48585
,AUTOLITIND,EQ,        16.00,                     2932.70,183
,AVANTI,EQ,       109.15,                    61701.55,560
,AVENTIS,EQ,      2077.15,                   870343.60,418
,AVTNPL,EQ,       392.25,                  6441676.50,16526
,AXIS-IT&T,EQ,        82.55,                  4614068.35,53961
,AXISGOLD,EQ,      2851.85,                   295863.95,104
,BAGFILMS,EQ,         3.70,                   583809.80,157860
,BAJAJCORP,EQ,       119.50,                   440565.10,3680
,BAJAJELEC,EQ,       196.00,                126251191.80,629656
,BAJAJFINSV,EQ,       668.80,                 17339228.60,25690
,BAJAJHIND,EQ,        26.85,                 16158286.60,599963
,BAJAJHLDNG,EQ,       771.55,                  6035656.35,7770
,BAJFINANCE,EQ,       842.25,                  6966588.35,8255
,BALAJITELE,EQ,        36.90,                  1136065.35,30348
,BALAMINES,EQ,        37.00,                   159599.55,4307
,BALKRISIND,EQ,       264.80,                  7978578.25,29990
,BALLARPUR,EQ,        22.55,                  2074204.75,92752
,BALMLAWRIE,EQ,       579.20,                 18811163.40,32396
,BALPHARMA,EQ,        19.60,                     2982.30,149
