,19-JUN-2012
The Nifty witnessed an intraday movement of about 65.5 points.The closing index was 0.78 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 9080.63
, Traded Quantity (in Lakhs), 5419.31
, Number of Trades, 4950239
, Total Market Capitalisation (Rs. Crores), 5816577.3

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,S&P CNX Nifty,      5064.25,      5050.80,      5113.60,      5048.10,      5103.85,39.6
,CNX IT,      6082.00,      6065.80,      6087.30,      6027.05,      6069.15,-12.85
,CNX Nifty Junior,      9576.30,      9562.30,      9617.10,      9501.45,      9604.45,28.15
,S&P CNX Defty,      3145.65,      3129.65,      3163.20,      3120.40,      3154.00,8.35
,BANK Nifty,      9749.90,      9730.00,      9808.00,      9619.15,      9786.45,36.55
,CNX Midcap,      6943.15,      6941.80,      6977.35,      6904.85,      6970.00,26.85
,S&P CNX 500,      3991.35,      3983.20,      4022.60,      3976.15,      4016.45,25.1
,CNX 100,      4940.70,      4928.50,      4984.65,      4922.30,      4975.75,35.05
,Nifty Midcap 50,      2003.05,      2001.40,      2010.40,      1989.65,      2007.60,4.55
,CNX Realty,       210.00,       209.80,       210.80,       206.40,       210.35,.35
,CNX Infra,      2288.10,      2276.45,      2306.75,      2270.00,      2300.75,12.65
,CNX Energy,      7202.85,      7175.90,      7342.50,      7175.90,      7328.40,125.55
,CNX FMCG,     12094.60,     12072.75,     12315.40,     12072.75,     12274.20,179.6
,CNX MNC,      5055.25,      5040.85,      5088.60,      5026.75,      5072.15,16.9
,CNX Pharma,      4947.00,      4938.35,      5010.75,      4938.35,      5004.45,57.45
,CNX PSE,      2725.00,      2715.70,      2766.40,      2715.70,      2759.35,34.35
,CNX PSU Bank,      3125.50,      3122.15,      3141.15,      3074.25,      3126.10,.6
,CNX Service,      6043.10,      6027.20,      6077.40,      5989.30,      6064.55,21.45
,India VIX,        22.60,        22.60,        22.60,        21.04,        21.43,-1.17
,CNX AUTO,      3850.00,      3848.00,      3878.75,      3830.10,      3850.40,.4
,CNX Metal,      2750.70,      2745.15,      2770.85,      2719.85,      2748.30,-2.4
,CNX Media,      1173.50,      1156.10,      1186.95,      1155.50,      1176.35,2.85
,CNX Smallcap,      3219.40,      3212.30,      3235.90,      3206.85,      3231.75,12.35
,CNX 200,      2545.05,      2539.35,      2566.55,      2535.00,      2562.20,17.15
,CNX Dividend Oppt,      1470.25,      1467.05,      1480.80,      1464.15,      1477.70,7.45
,CNX Commodities,      2283.30,      2274.70,      2300.60,      2266.90,      2296.20,12.9
,CNX Consumption,      1867.85,      1862.70,      1878.70,      1861.20,      1876.30,8.45
,CNX Finance,      3954.70,      3949.80,      3983.00,      3914.50,      3975.85,21.15
,Nifty Dividend,        33.04,        33.04,        33.04,        33.04,        33.04,0

,ADVANCES,709
,DECLINES,733
,UNCHANGED,84

,Total securities that have hit their price bands today,84

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SBIN,EQ,      2087.95,      2100.65,0.61,777.09
,LT,EQ,      1319.95,      1330.30,0.78,367.77
,ICICIBANK,EQ,       816.55,       826.80,1.26,251.36
,TATAMOTORS,EQ,       237.95,       238.15,0.08,249.77
,STER,EQ,        95.60,        94.05,-1.62,230.58
,RCOM,EQ,        65.15,        63.55,-2.46,225.4
,INFY,EQ,      2511.70,      2477.00,-1.38,198.78
,AXISBANK,EQ,      1000.15,      1001.55,0.14,191.13
,RELINFRA,EQ,       503.00,       505.70,0.54,178.18
,HDFC,EQ,       638.70,       642.20,0.55,165.77
,TATASTEEL,EQ,       419.75,       420.25,0.12,158.68
,HDFCBANK,EQ,       534.95,       536.45,0.28,157.68
,ITC,EQ,       243.20,       249.40,2.55,154.74
,RELIANCE,EQ,       718.90,       737.45,2.58,130.34
,DLF,EQ,       187.50,       188.70,0.64,128.19
,RELCAPITAL,EQ,       330.90,       333.15,0.68,123.76
,HDIL,EQ,        71.55,        72.60,1.47,122.95
,HINDPETRO,EQ,       302.05,       320.05,5.96,117.22
,TCS,EQ,      1257.15,      1273.95,1.34,112.1
,AMBUJACEM,EQ,       166.65,       173.35,4.02,110.32
,HCLTECH,EQ,       469.90,       471.95,0.44,106.7
,DRREDDY,EQ,      1543.10,      1546.75,0.24,101.16
,BHEL,EQ,       213.90,       211.55,-1.1,100.25
,PANTALOONR,EQ,       169.15,       174.75,3.31,99.74
,YESBANK,EQ,       324.90,       323.10,-0.55,90.2

,Top Five S&P CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,AMBUJACEM,EQ,       173.35,       166.65,4.02
,GAIL,EQ,       336.15,       327.40,2.67
,RELIANCE,EQ,       737.45,       718.90,2.58
,ITC,EQ,       249.40,       243.20,2.55
,SIEMENS,EQ,       697.50,       681.10,2.41

,Top Five S&P CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,SESAGOA,EQ,       177.15,       182.50,-2.93
,STER,EQ,        94.05,        95.60,-1.62
,PNB,EQ,       749.45,       760.25,-1.42
,TATAPOWER,EQ,        90.85,        92.15,-1.41
,INFY,EQ,      2477.00,      2511.70,-1.38

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        85.05,                  9623028.85,111879
,3IINFOTECH,EQ,         8.60,                 25554771.35,2923658
,3MINDIA,EQ,      3697.95,                  1223083.80,332
,A2ZMES,EQ,       102.25,                 18735198.10,183354
,AANJANEYA,EQ,       472.10,                 40005518.75,84644
,AARTIDRUGS,EQ,       123.75,                  2623045.45,21116
,AARTIIND,EQ,        71.90,                   633609.00,8860
,AARVEEDEN,EQ,        35.25,                    37404.50,1065
,ABAN,EQ,       352.65,                133844641.25,380401
,ABB,EQ,       766.85,                 21126963.10,27854
,ABBOTINDIA,EQ,      1439.30,                   542972.90,377
,ABCIL,EQ,        63.70,                   147852.15,2309
,ABGSHIP,EQ,       381.00,                 44934259.70,118742
,ABHISHEK,EQ,         8.20,                    52728.85,6472
,ACE,EQ,        28.15,                   193950.55,6864
,ACROPETAL,EQ,        13.95,                   421777.35,30216
,ADANIPOWER,EQ,        45.75,                 46865938.15,1025663
,ADFFOODS,EQ,        47.05,                    93433.50,1980
,ADHUNIK,EQ,        32.75,                  2396446.20,72832
,ADORWELD,EQ,       133.20,                   282624.10,2126
,ADSL,EQ,        25.05,                   516255.80,20646
,ADVANTA,EQ,       479.85,                 10400651.25,21718
,AEGISCHEM,EQ,       125.00,                   262306.55,2092
,AFL,EQ,        32.85,                    50847.85,1501
,AFTEK,EQ,         8.40,                  1296070.10,152309
,AGCNET,EQ,       247.75,                  1662625.55,6715
,AGRODUTCH,EQ,         5.10,                    29512.60,5823
,AHLEAST,EQ,       246.90,                    26181.40,106
,AHLUCONT,EQ,        52.35,                 14426164.50,280083
,AHLWEST,EQ,       125.05,                    83720.25,661
,AHMEDFORGE,EQ,       138.65,                  3740031.90,26553
,AIAENG,EQ,       325.20,                   515533.30,1575
,AICHAMP,BE,        26.85,                       53.70,2
,AJANTPHARM,EQ,       642.70,                 99561144.05,156707
,AJMERA,EQ,       112.45,                   730060.05,6458
,AKSHOPTFBR,EQ,        16.75,                  2815242.60,172466
,AKZOINDIA,EQ,       880.60,                  1189705.80,1350
,ALBK,EQ,       140.70,                178457545.90,1280022
,ALCHEM,EQ,        59.20,                    44369.80,746
,ALEMBICLTD,EQ,        15.25,                   780268.35,51004
,ALICON,EQ,        62.80,                    62804.45,1000
,ALKALI,EQ,        24.90,                    45259.20,1814
,ALKYLAMINE,EQ,        96.25,                      866.25,9
,ALLCARGO,EQ,       138.40,                  8380270.75,60827
,ALLSEC,BE,        25.00,                   268276.30,10745
,ALMONDZ,EQ,         7.95,                     2127.25,266
,ALOKTEXT,EQ,        17.95,                 13696790.10,763179
,ALPA,EQ,         7.90,                     5727.50,725
,ALPHAGEO,EQ,        58.30,                  5783868.65,98897
,ALPINEHOU,EQ,        13.10,                       13.10,1
,ALPSINDUS,EQ,         1.90,                    35271.65,18519
,ALSTOMT&D,EQ,       173.80,                  2736599.80,15634
,AMAR,EQ,       143.00,                 12480211.30,87236
,AMARAJABAT,EQ,       304.05,                  2905513.05,9516
,AMARJOTHI,EQ,        40.00,                      321.80,8
,AMBIKCO,EQ,       169.50,                    33536.00,198
,AMDIND,EQ,        15.20,                    39395.10,2533
,AMLSTEEL,EQ,        10.00,                    18409.50,1872
,AMRUTANJAN,EQ,       765.75,                  8471728.75,11043
,AMTEKAUTO,EQ,       101.00,                  4598163.90,45372
,AMTEKINDIA,EQ,       102.35,                 18893999.40,185287
,ANANTRAJ,EQ,        46.50,                 32131414.40,700487
,ANDHRACEMT,EQ,         8.60,                    54965.20,6362
,ANDHRSUGAR,EQ,       136.40,                   583840.65,4276
,ANGIND,EQ,        17.50,                     1207.25,72
,ANIKINDS,EQ,        31.30,                  4031865.60,126618
,ANKURDRUGS,EQ,        10.95,                    68579.55,6297
,ANSALAPI,EQ,        25.45,                  1197456.50,47189
,ANSALHSG,EQ,        45.25,                    29024.75,649
,ANTGRAPHIC,EQ,          .25,                     5375.20,25501
