,29-JUN-2012
The Nifty witnessed an intraday movement of about 97.25 points.The closing index was 2.52 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 13143.73
, Traded Quantity (in Lakhs), 7971.23
, Number of Trades, 5734397
, Total Market Capitalisation (Rs. Crores), 6026765.54

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,S&P CNX Nifty,      5149.15,      5191.25,      5286.25,      5189.00,      5278.90,129.75
,CNX IT,      6055.65,      6093.90,      6167.10,      6083.25,      6144.60,88.95
,CNX Nifty Junior,      9885.15,      9891.60,     10118.40,      9891.60,     10099.55,214.4
,S&P CNX Defty,      3131.50,      3174.95,      3275.80,      3174.95,      3269.30,137.8
,BANK Nifty,     10003.85,     10105.45,     10360.00,     10105.45,     10340.65,336.8
,CNX Midcap,      7197.00,      7199.30,      7361.45,      7199.30,      7351.80,154.8
,S&P CNX 500,      4075.05,      4098.60,      4174.20,      4098.60,      4170.65,95.6
,CNX 100,      5034.95,      5070.35,      5164.85,      5070.35,      5159.15,124.2
,Nifty Midcap 50,      2087.10,      2088.95,      2140.25,      2088.95,      2137.00,49.9
,CNX Realty,       217.75,       218.65,       223.85,       218.65,       222.95,5.2
,CNX Infra,      2341.45,      2360.00,      2418.25,      2360.00,      2415.90,74.45
,CNX Energy,      7385.65,      7424.10,      7558.00,      7424.10,      7543.50,157.85
,CNX FMCG,     12462.95,     12510.50,     12770.35,     12510.50,     12729.10,266.15
,CNX MNC,      5152.00,      5182.15,      5238.20,      5177.70,      5227.35,75.35
,CNX Pharma,      5111.55,      5127.45,      5221.20,      5127.45,      5216.00,104.45
,CNX PSE,      2847.25,      2862.35,      2911.80,      2862.35,      2907.05,59.8
,CNX PSU Bank,      3184.10,      3213.90,      3268.25,      3213.90,      3259.70,75.6
,CNX Service,      6139.55,      6192.75,      6299.65,      6192.75,      6293.20,153.65
,India VIX,        20.62,        20.62,        20.62,        18.80,        19.08,-1.54
,CNX AUTO,      3886.90,      3922.50,      3976.00,      3922.50,      3966.40,79.5
,CNX Metal,      2776.50,      2805.00,      2875.10,      2805.00,      2870.35,93.85
,CNX Media,      1234.30,      1246.45,      1274.75,      1239.80,      1267.25,32.95
,CNX Smallcap,      3297.95,      3310.00,      3354.25,      3310.00,      3350.85,52.9
,CNX 200,      2598.00,      2614.45,      2663.50,      2614.45,      2660.65,62.65
,CNX Dividend Oppt,      1514.70,      1521.45,      1549.90,      1521.45,      1547.55,32.85
,CNX Commodities,      2345.70,      2358.60,      2404.25,      2358.60,      2400.45,54.75
,CNX Consumption,      1901.05,      1912.85,      1946.55,      1912.85,      1944.20,43.15
,CNX Finance,      4049.25,      4090.45,      4178.05,      4090.45,      4171.65,122.4
,Nifty Dividend,        43.31,        43.31,        43.31,        43.31,        43.31,0

,ADVANCES,1117
,DECLINES,393
,UNCHANGED,56

,Total securities that have hit their price bands today,112

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,CAIRN,EQ,       327.35,       307.55,-6.05,2024.99
,SBIN,EQ,      2098.30,      2159.00,2.89,555.57
,ICICIBANK,EQ,       856.95,       899.50,4.97,425.16
,LT,EQ,      1343.35,      1397.80,4.05,334.15
,AXISBANK,EQ,       978.60,      1015.75,3.8,333.72
,TATAMOTORS,EQ,       240.35,       242.45,0.87,320.06
,INFY,EQ,      2473.30,      2509.20,1.45,293.45
,RELIANCE,EQ,       719.90,       737.85,2.49,281.3
,JINDALSTEL,EQ,       431.85,       470.35,8.92,273.99
,ITC,EQ,       251.30,       258.90,3.02,235.5
,HINDUNILVR,EQ,       451.65,       454.50,0.63,204.48
,TATASTEEL,EQ,       429.05,       441.45,2.89,191.15
,BHEL,EQ,       221.05,       232.45,5.16,189.5
,HDFCBANK,EQ,       548.50,       563.55,2.74,177.17
,HDFC,EQ,       645.10,       653.20,1.26,167.2
,MARUTI,EQ,      1120.85,      1169.75,4.36,156.43
,BHARTIARTL,EQ,       303.60,       305.05,0.48,153.09
,RELINFRA,EQ,       535.70,       558.25,4.21,137.21
,RELCAPITAL,EQ,       342.40,       358.45,4.69,129.66
,TCS,EQ,      1258.85,      1277.45,1.48,127.26
,HDIL,EQ,        85.10,        86.95,2.17,126.03
,TITAN,EQ,       216.05,       223.40,3.4,118.49
,ONGC,EQ,       277.90,       284.85,2.5,115.81
,JSWSTEEL,EQ,       669.25,       679.70,1.56,103.03
,M&M,EQ,       691.60,       707.25,2.26,95.12

,Top Five S&P CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,JINDALSTEL,EQ,       470.35,       431.85,8.92
,TATAPOWER,EQ,       104.70,        98.90,5.86
,STER,EQ,       102.70,        97.50,5.33
,BHEL,EQ,       232.45,       221.05,5.16
,ICICIBANK,EQ,       899.50,       856.95,4.97

,Top Five S&P CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,CAIRN,EQ,       307.55,       327.35,-6.05
,BPCL,EQ,       743.95,       751.15,-0.96
,COALINDIA,EQ,       346.80,       347.85,-0.3

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        85.80,                 10477602.50,121703
,3IINFOTECH,EQ,         9.85,                 20140854.75,2028660
,3MINDIA,EQ,      3887.85,                  1397409.75,366
,A2ZMES,EQ,       108.65,                 37715043.65,346591
,AANJANEYA,EQ,       498.70,                 29330265.65,59257
,AARTIDRUGS,EQ,       119.85,                   265713.50,2209
,AARTIIND,EQ,        74.00,                  2566924.15,34883
,AARVEEDEN,EQ,        34.50,                    28679.45,827
,ABAN,EQ,       389.75,                458157757.60,1171690
,ABB,EQ,       802.15,                 65760229.20,81208
,ABBOTINDIA,EQ,      1477.20,                  4929768.30,3360
,ABCIL,EQ,        66.00,                   147531.35,2247
,ABGSHIP,EQ,       378.20,                 87259800.30,232196
,ABHISHEK,EQ,         8.20,                    13164.35,1631
,ACE,EQ,        29.55,                  1128403.45,38136
,ACROPETAL,EQ,        15.00,                  2420824.35,161385
,ADANIPOWER,EQ,        49.95,                223764897.35,4521651
,ADFFOODS,EQ,        47.75,                   192629.05,4086
,ADHUNIK,EQ,        33.25,                  3295570.05,99293
,ADORWELD,EQ,       142.20,                   600859.10,4210
,ADSL,EQ,        25.40,                  2305791.45,90482
,ADVANTA,EQ,       498.40,                 25499412.90,51061
,AEGISCHEM,EQ,       130.10,                  1122738.00,8646
,AFL,EQ,        30.15,                   190872.75,6360
,AFTEK,EQ,         9.05,                  1964938.10,217327
,AGCNET,EQ,       249.55,                   706625.25,2812
,AGRODUTCH,EQ,         5.00,                    66519.80,13413
,AHLEAST,EQ,       244.75,                   219141.80,894
,AHLUCONT,EQ,        52.25,                   241430.25,4625
,AHLWEST,EQ,       133.00,                  1335109.30,10091
,AHMEDFORGE,EQ,       141.50,                   424980.65,2995
,AIAENG,EQ,       343.65,                  3795402.75,11089
,AICHAMP,BE,        30.00,                       30.00,1
,AJANTPHARM,EQ,       701.20,                 46934168.70,66581
,AJMERA,EQ,       111.95,                   675794.95,6001
,AKSHOPTFBR,EQ,        15.90,                  1156661.10,73045
,AKZOINDIA,EQ,       880.75,                  2975196.85,3386
,ALBK,EQ,       149.65,                311295948.70,2079672
,ALCHEM,EQ,        60.95,                   321676.60,5237
,ALEMBICLTD,EQ,        15.50,                  1722270.20,109957
,ALICON,EQ,        65.00,                   346078.65,5322
,ALKALI,EQ,        31.30,                  3367337.85,102228
,ALKYLAMINE,EQ,        98.00,                    53702.20,548
,ALLCARGO,EQ,       132.90,                  1634536.60,12355
,ALLSEC,BE,        36.75,                    44798.25,1219
,ALMONDZ,EQ,         8.10,                    19257.75,2301
,ALOKTEXT,EQ,        17.65,                 46266957.10,2629889
,ALPA,EQ,         8.10,                    37387.65,4647
,ALPHAGEO,BE,        46.60,                   256632.50,5541
,ALPINEHOU,EQ,        11.65,                       11.65,1
,ALPSINDUS,EQ,         2.05,                     9535.00,4800
,ALSTOMT&D,EQ,       195.20,                 20305173.50,105910
,AMAR,EQ,       134.50,                 20525565.65,152242
,AMARAJABAT,EQ,       302.00,                  7658399.65,25115
,AMARJOTHI,EQ,        42.30,                    61100.40,1448
,AMBIKCO,EQ,       171.05,                    17611.10,103
,AMDIND,EQ,        15.25,                    81033.20,5195
,AMLSTEEL,EQ,         9.50,                     1293.90,135
,AMRUTANJAN,EQ,       784.45,                 22335105.45,28413
,AMTEKAUTO,EQ,       106.30,                  8036470.55,75392
,AMTEKINDIA,EQ,       104.00,                 24667242.55,237147
,ANANTRAJ,EQ,        48.00,                 18587353.55,385847
,ANDHRACEMT,EQ,         8.75,                   205588.65,24109
,ANDHRSUGAR,EQ,       138.00,                  1390247.45,10096
,ANGIND,EQ,        18.70,                    27859.40,1498
,ANIKINDS,EQ,        33.65,                  3393074.10,101514
,ANKURDRUGS,EQ,        11.00,                   282576.80,25307
,ANSALAPI,EQ,        27.20,                  4629324.65,170183
,ANSALHSG,EQ,        44.95,                   232729.60,5184
,ANTGRAPHIC,EQ,          .20,                    26005.10,115923
,APARINDS,EQ,       138.70,                   821949.70,5943
