,11-JUL-2012
The Nifty witnessed an intraday movement of about 36.2 points.The closing index was 0.73 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 10105.15
, Traded Quantity (in Lakhs), 6571.36
, Number of Trades, 5373260
, Total Market Capitalisation (Rs. Crores), 6082463.52

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,S&P CNX Nifty,      5345.35,      5315.25,      5336.45,      5300.25,      5306.30,-39.05
,CNX IT,      6056.50,      6034.55,      6110.55,      6021.70,      6049.35,-7.15
,CNX Nifty Junior,     10320.40,     10317.15,     10346.65,     10271.85,     10283.30,-37.1
,S&P CNX Defty,      3338.00,      3309.50,      3341.30,      3308.50,      3318.35,-19.65
,BANK Nifty,     10751.55,     10701.60,     10782.55,     10692.95,     10713.30,-38.25
,CNX Midcap,      7496.35,      7495.30,      7523.00,      7466.70,      7472.60,-23.75
,S&P CNX 500,      4235.80,      4219.05,      4234.75,      4208.40,      4210.65,-25.15
,CNX 100,      5231.25,      5206.05,      5225.50,      5191.75,      5196.00,-35.25
,Nifty Midcap 50,      2182.50,      2181.15,      2186.00,      2167.10,      2170.10,-12.4
,CNX Realty,       234.15,       233.70,       233.75,       230.95,       231.80,-2.35
,CNX Infra,      2474.45,      2459.95,      2478.25,      2458.65,      2467.10,-7.35
,CNX Energy,      7544.60,      7485.05,      7521.25,      7450.95,      7466.85,-77.75
,CNX FMCG,     12673.80,     12628.00,     12636.95,     12485.70,     12499.15,-174.65
,CNX MNC,      5248.00,      5235.35,      5235.35,      5188.50,      5194.30,-53.7
,CNX Pharma,      5271.25,      5264.15,      5275.25,      5246.15,      5255.65,-15.6
,CNX PSE,      2932.80,      2916.90,      2930.35,      2909.10,      2917.65,-15.15
,CNX PSU Bank,      3349.10,      3335.35,      3374.75,      3327.35,      3337.60,-11.5
,CNX Service,      6440.95,      6407.30,      6454.20,      6404.90,      6413.65,-27.3
,India VIX,        17.83,        17.83,        18.57,        17.80,        18.39,.56
,CNX AUTO,      4006.50,      3988.55,      3996.70,      3957.15,      3960.90,-45.6
,CNX Metal,      2926.40,      2911.15,      2935.05,      2893.25,      2898.00,-28.4
,CNX Media,      1279.80,      1276.00,      1290.05,      1271.25,      1279.50,-.3
,CNX Smallcap,      3444.35,      3441.40,      3464.50,      3426.65,      3429.60,-14.75
,CNX 200,      2699.75,      2688.05,      2698.35,      2680.95,      2683.05,-16.7
,CNX Dividend Oppt,      1542.95,      1538.90,      1543.35,      1533.55,      1535.45,-7.5
,CNX Commodities,      2421.60,      2409.45,      2423.65,      2402.20,      2405.00,-16.6
,CNX Consumption,      1952.20,      1946.10,      1949.75,      1935.75,      1937.40,-14.8
,CNX Finance,      4350.80,      4327.05,      4358.85,      4324.95,      4331.30,-19.5
,Nifty Dividend,        46.63,        46.63,        46.63,        46.63,        46.63,0

,ADVANCES,546
,DECLINES,942
,UNCHANGED,71

,Total securities that have hit their price bands today,71

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SBIN,EQ,      2229.00,      2218.70,-0.46,550.32
,INFY,EQ,      2459.40,      2471.00,0.47,524.63
,ICICIBANK,EQ,       942.90,       936.55,-0.67,340.81
,FINANTECH,EQ,       753.30,       776.40,3.07,245.37
,LT,EQ,      1417.00,      1435.90,1.33,238.76
,MCX,EQ,      1156.45,      1128.70,-2.4,232.38
,TATAMOTORS,EQ,       246.50,       241.45,-2.05,210.75
,AXISBANK,EQ,      1075.30,      1066.70,-0.8,203.81
,INFOTECENT,EQ,       182.50,       189.70,3.95,198.86
,RELIANCE,EQ,       739.70,       725.65,-1.9,198.79
,HDFCBANK,EQ,       588.65,       587.00,-0.28,181.06
,HDFC,EQ,       682.40,       678.80,-0.53,173.42
,WIPRO,EQ,       384.50,       374.30,-2.65,170.23
,M&M,EQ,       733.50,       730.55,-0.4,137.81
,TATASTEEL,EQ,       438.80,       436.00,-0.64,133.54
,MCDOWELL-N,EQ,       717.75,       721.20,0.48,131.5
,TCS,EQ,      1261.70,      1258.30,-0.27,128.34
,ITC,EQ,       258.40,       253.30,-1.97,124.85
,RCOM,EQ,        71.15,        70.65,-0.7,119.75
,RELCAPITAL,EQ,       381.90,       373.85,-2.11,112.53
,HINDUNILVR,EQ,       446.40,       441.40,-1.12,109.76
,HDIL,EQ,        90.00,        88.95,-1.17,104.67
,RELINFRA,EQ,       569.25,       555.50,-2.42,100.68
,JPASSOCIAT,EQ,        77.55,        76.30,-1.61,100.48
,APPAPER,EQ,       299.50,       334.90,11.82,96.98

,Top Five S&P CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,KOTAKBANK,EQ,       607.15,       599.15,1.34
,LT,EQ,      1435.90,      1417.00,1.33
,BPCL,EQ,       776.80,       768.90,1.03
,BANKBARODA,EQ,       735.65,       730.05,.77
,INFY,EQ,      2471.00,      2459.40,.47

,Top Five S&P CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HINDALCO,EQ,       123.85,       127.65,-2.98
,WIPRO,EQ,       374.30,       384.50,-2.65
,RELINFRA,EQ,       555.50,       569.25,-2.42
,TATAMOTORS,EQ,       241.45,       246.50,-2.05
,SIEMENS,EQ,       719.70,       734.55,-2.02

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        94.50,                 75711165.50,812265
,3IINFOTECH,EQ,        12.50,                 53624974.45,4228561
,3MINDIA,EQ,      3949.35,                   630529.70,160
,A2ZMES,EQ,       103.80,                 17832620.15,170344
,AANJANEYA,EQ,       511.30,                 30471083.30,59681
,AARTIDRUGS,EQ,       121.55,                   442214.10,3621
,AARTIIND,EQ,        73.00,                  1938164.70,26277
,AARVEEDEN,EQ,        35.60,                    28496.10,795
,ABAN,EQ,       421.15,                439894704.00,1034761
,ABB,EQ,       792.15,                 23391341.45,29407
,ABBOTINDIA,EQ,      1475.60,                  1698311.10,1145
,ABCIL,EQ,        74.85,                   177709.60,2384
,ABGSHIP,EQ,       368.65,                 37081301.00,100621
,ABHISHEK,EQ,         7.85,                    11546.75,1477
,ACE,EQ,        30.15,                   589232.10,19492
,ACROPETAL,EQ,        14.60,                   816338.05,55633
,ADANIPOWER,EQ,        51.35,                131468712.25,2570486
,ADFFOODS,EQ,        48.60,                    70058.70,1433
,ADHUNIK,EQ,        34.60,                  5903209.45,167906
,ADORWELD,EQ,       151.40,                   692745.65,4561
,ADSL,EQ,        27.50,                  1072372.40,38784
,ADVANIHOTR,EQ,        26.90,                    38100.60,1412
,ADVANTA,EQ,       502.70,                 10500028.80,20717
,AEGISCHEM,EQ,       127.60,                  2840778.20,22105
,AFL,EQ,        35.10,                   770555.00,22352
,AFTEK,EQ,         9.05,                  1502821.65,164345
,AGCNET,EQ,       271.55,                  2511003.80,9189
,AGRODUTCH,EQ,         5.10,                    38596.15,7523
,AHLEAST,EQ,       242.65,                   383392.80,1584
,AHLUCONT,EQ,        50.50,                   205534.35,4026
,AHLWEST,EQ,       131.70,                    53743.35,406
,AHMEDFORGE,EQ,       138.95,                  1949010.50,13910
,AIAENG,EQ,       326.70,                   450054.55,1376
,AICHAMP,BE,        22.00,                    12298.00,559
,AIL,EQ,       411.50,                 22937710.05,55642
,AJANTPHARM,EQ,       718.80,                 22209761.90,30699
,AJMERA,EQ,       115.60,                   708266.40,6027
,AKSHOPTFBR,EQ,        16.00,                  1454777.90,91295
,AKZOINDIA,EQ,       892.75,                 11178664.90,12436
,ALBK,EQ,       146.35,                200306751.80,1361184
,ALCHEM,EQ,        59.25,                   196563.10,3308
,ALEMBICLTD,EQ,        15.95,                   411536.95,25706
,ALICON,EQ,        62.05,                  1805072.85,29270
,ALKALI,EQ,        29.70,                    98895.10,3354
,ALKYLAMINE,EQ,       105.75,                     7215.00,70
,ALLCARGO,EQ,       135.05,                  1347098.30,9995
,ALLSEC,BE,        32.60,                   192531.30,5902
,ALMONDZ,EQ,         8.70,                       88.45,10
,ALOKTEXT,EQ,        17.65,                 43362082.60,2445515
,ALPA,EQ,         8.10,                    79400.10,9611
,ALPHAGEO,BE,        47.10,                   170631.50,3549
,ALPINEHOU,EQ,        11.60,                       11.60,1
,ALPSINDUS,EQ,         2.00,                    23310.25,11545
,ALSTOMT&D,EQ,       197.90,                 19228119.30,97464
,AMAR,EQ,       144.35,                 13339045.95,92087
,AMARAJABAT,EQ,       311.10,                  2249966.75,7211
,AMBIKCO,EQ,       176.70,                    60769.25,341
,AMDIND,EQ,        15.65,                   422665.95,27066
,AMRUTANJAN,EQ,       796.75,                 27501169.90,34391
,AMTEKAUTO,EQ,       110.20,                  2481818.65,22373
,AMTEKINDIA,EQ,        94.75,                 23879865.35,251365
,ANANTRAJ,EQ,        55.35,                 22266947.75,398585
,ANDHRACEMT,EQ,         9.00,                   145200.15,16147
,ANDHRSUGAR,EQ,       141.00,                  2627953.90,18576
,ANIKINDS,EQ,        35.50,                  1741531.20,47888
,ANKURDRUGS,EQ,        16.70,                   410286.15,24753
,ANSALAPI,EQ,        28.60,                  2394190.50,83496
,ANSALHSG,EQ,        46.05,                   121422.75,2620
,ANTGRAPHIC,EQ,          .25,                     4123.70,17842
,APARINDS,EQ,       138.70,                  1189078.40,8604
,APCOTEXIND,EQ,       152.60,                   180171.05,1175
