,16-JUL-2012
The Nifty witnessed an intraday movement of about 56.4 points.The closing index was 0.57 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 7977.6
, Traded Quantity (in Lakhs), 5175.21
, Number of Trades, 4404158
, Total Market Capitalisation (Rs. Crores), 5996786.52

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,S&P CNX Nifty,      5227.25,      5232.35,      5246.85,      5190.45,      5197.25,-30
,CNX IT,      5713.90,      5713.40,      5740.05,      5562.60,      5576.75,-137.15
,CNX Nifty Junior,     10185.95,     10188.30,     10222.85,     10136.25,     10160.85,-25.1
,S&P CNX Defty,      3273.70,      3305.70,      3318.80,      3253.60,      3258.80,-14.9
,BANK Nifty,     10594.45,     10614.10,     10692.80,     10552.70,     10568.20,-26.25
,CNX Midcap,      7431.85,      7431.65,      7455.15,      7382.70,      7390.45,-41.4
,S&P CNX 500,      4156.75,      4159.65,      4171.00,      4130.80,      4134.75,-22
,CNX 100,      5122.90,      5127.30,      5140.90,      5090.40,      5096.05,-26.85
,Nifty Midcap 50,      2147.75,      2148.05,      2155.35,      2129.85,      2132.55,-15.2
,CNX Realty,       230.90,       231.50,       232.40,       226.20,       227.10,-3.8
,CNX Infra,      2424.95,      2435.30,      2440.55,      2411.75,      2417.05,-7.9
,CNX Energy,      7465.45,      7466.75,      7503.45,      7431.85,      7463.55,-1.9
,CNX FMCG,     12523.35,     12504.20,     12583.70,     12449.70,     12476.10,-47.25
,CNX MNC,      5149.50,      5155.10,      5180.70,      5141.40,      5151.15,1.65
,CNX Pharma,      5247.45,      5248.55,      5344.75,      5248.55,      5312.50,65.05
,CNX PSE,      2936.70,      2936.10,      2944.25,      2918.05,      2926.65,-10.05
,CNX PSU Bank,      3277.95,      3284.70,      3314.40,      3265.25,      3291.45,13.5
,CNX Service,      6266.45,      6275.45,      6298.15,      6221.20,      6228.65,-37.8
,India VIX,        18.26,        18.26,        19.01,        18.08,        18.77,.51
,CNX AUTO,      3919.35,      3932.50,      3948.10,      3884.50,      3888.80,-30.55
,CNX Metal,      2831.75,      2820.20,      2825.30,      2765.55,      2770.15,-61.6
,CNX Media,      1281.30,      1281.50,      1289.45,      1274.15,      1278.30,-3
,CNX Smallcap,      3394.75,      3406.05,      3419.05,      3364.80,      3369.50,-25.25
,CNX 200,      2646.35,      2648.40,      2655.55,      2629.10,      2631.95,-14.4
,CNX Dividend Oppt,      1531.05,      1530.35,      1537.60,      1527.45,      1528.95,-2.1
,CNX Commodities,      2382.90,      2379.30,      2383.90,      2353.20,      2356.70,-26.2
,CNX Consumption,      1925.15,      1928.30,      1941.30,      1925.45,      1927.80,2.65
,CNX Finance,      4289.65,      4296.10,      4325.95,      4279.70,      4285.95,-3.7
,Nifty Dividend,        48.92,        51.48,        51.48,        51.48,        51.48,2.56

,ADVANCES,542
,DECLINES,938
,UNCHANGED,68

,Total securities that have hit their price bands today,79

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,INFY,EQ,      2229.80,      2171.30,-2.62,504.8
,SBIN,EQ,      2178.45,      2199.45,0.96,407.95
,TCS,EQ,      1249.40,      1207.35,-3.37,221.65
,TATAMOTORS,EQ,       235.95,       229.25,-2.84,201.89
,ICICIBANK,EQ,       926.05,       920.10,-0.64,201.6
,AXISBANK,EQ,      1034.70,      1046.30,1.12,194.06
,HDFCBANK,EQ,       587.05,       582.65,-0.75,188.72
,LT,EQ,      1404.75,      1383.25,-1.53,185.38
,BHARTIARTL,EQ,       307.95,       319.55,3.77,184.33
,MCDOWELL-N,EQ,       774.95,       777.95,0.39,181.21
,TATASTEEL,EQ,       425.00,       407.95,-4.01,165.11
,JPASSOCIAT,EQ,        77.55,        77.45,-0.13,141.81
,HDIL,EQ,        86.55,        86.50,-0.06,125.58
,RELIANCE,EQ,       718.50,       720.35,0.26,120.36
,RELCAPITAL,EQ,       360.10,       355.50,-1.28,99.25
,DLF,EQ,       208.15,       205.35,-1.35,94.3
,RELINFRA,EQ,       546.85,       534.65,-2.23,89.6
,HDFC,EQ,       676.35,       680.45,0.61,89.29
,JINDALSTEL,EQ,       431.10,       418.90,-2.83,80.59
,JSWSTEEL,EQ,       691.50,       675.55,-2.31,78.35
,HINDALCO,EQ,       120.40,       118.25,-1.79,77.66
,MARUTI,EQ,      1183.95,      1203.30,1.63,72.19
,M&M,EQ,       719.85,       717.70,-0.3,70.85
,CAIRN,EQ,       316.15,       315.65,-0.16,68.48
,SINTEX,EQ,        66.65,        65.90,-1.13,60.7

,Top Five S&P CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BHARTIARTL,EQ,       319.55,       307.95,3.77
,DRREDDY,EQ,      1675.35,      1646.60,1.75
,MARUTI,EQ,      1203.30,      1183.95,1.63
,CIPLA,EQ,       332.95,       328.85,1.25
,PNB,EQ,       852.65,       842.95,1.15

,Top Five S&P CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TATASTEEL,EQ,       407.95,       425.00,-4.01
,TCS,EQ,      1207.35,      1249.40,-3.37
,TATAMOTORS,EQ,       229.25,       235.95,-2.84
,JINDALSTEL,EQ,       418.90,       431.10,-2.83
,INFY,EQ,      2171.30,      2229.80,-2.62

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        91.15,                  8605424.10,92798
,3IINFOTECH,EQ,        12.25,                 30273510.25,2429227
,3MINDIA,EQ,      3957.00,                  3340301.55,849
,A2ZMES,EQ,        96.60,                 25311883.75,257962
,AANJANEYA,EQ,       521.00,                  4982467.80,9497
,AARTIDRUGS,EQ,       122.00,                   159808.80,1311
,AARTIIND,EQ,        73.65,                  3097348.75,41772
,AARVEEDEN,EQ,        34.15,                    27459.70,802
,ABAN,EQ,       420.30,                508689857.75,1191864
,ABB,EQ,       778.25,                  9457586.00,12086
,ABBOTINDIA,EQ,      1475.75,                  4946560.40,3358
,ABCIL,EQ,        75.55,                   283187.05,3754
,ABGSHIP,EQ,       369.10,                 42486112.80,115759
,ABHISHEK,EQ,         7.65,                    13829.20,1780
,ACE,EQ,        28.95,                   403743.35,13882
,ACROPETAL,EQ,        14.25,                   618015.80,43007
,ADANIPOWER,EQ,        48.75,                 91483418.70,1862174
,ADFFOODS,EQ,        47.35,                   306108.05,6444
,ADHUNIK,EQ,        33.55,                  7031197.55,207009
,ADORWELD,EQ,       144.60,                   867739.40,6030
,ADSL,EQ,        25.75,                  1338703.65,51380
,ADVANIHOTR,EQ,        26.65,                      799.50,30
,ADVANTA,EQ,       491.80,                  6293031.35,12764
,AEGISCHEM,EQ,       121.75,                  1045741.25,8512
,AFL,EQ,        33.85,                   209743.95,6193
,AFTEK,EQ,         8.50,                  1045690.00,121824
,AGCNET,EQ,       251.50,                  2522036.80,10002
,AGRODUTCH,EQ,         5.00,                    69076.85,14004
,AHLEAST,EQ,       240.80,                   111187.05,462
,AHLUCONT,EQ,        52.95,                   929669.65,17491
,AHLWEST,EQ,       127.50,                    71821.00,570
,AHMEDFORGE,EQ,       132.00,                   741280.50,5504
,AIAENG,EQ,       327.80,                   416050.60,1272
,AIL,EQ,       407.15,                 37424040.20,92113
,AJANTPHARM,EQ,       711.10,                 10086835.25,14131
,AJMERA,EQ,       111.75,                   470160.80,4189
,AKSHOPTFBR,EQ,        16.25,                  3831389.50,234512
,AKZOINDIA,EQ,       881.05,                  2423604.25,2717
,ALBK,EQ,       142.70,                131471773.55,916545
,ALCHEM,EQ,        58.80,                   144722.80,2446
,ALEMBICLTD,EQ,        15.30,                   960939.55,62202
,ALICON,EQ,        60.95,                   186922.70,3072
,ALKALI,EQ,        29.10,                    44501.20,1530
,ALKYLAMINE,EQ,       102.50,                   167905.45,1627
,ALLCARGO,EQ,       140.00,                  3086515.70,22046
,ALLSEC,BE,        30.90,                   222773.95,7466
,ALMONDZ,EQ,         8.45,                     3076.60,371
,ALOKTEXT,EQ,        17.40,                 90337596.45,5192591
,ALPA,EQ,         8.05,                    24218.85,3027
,ALPHAGEO,BE,        47.55,                    41575.50,883
,ALPINEHOU,EQ,        10.00,                       10.00,1
,ALPSINDUS,EQ,         1.95,                     3645.65,1867
,ALSTOMT&D,EQ,       189.55,                  2356043.75,12321
,AMAR,EQ,       143.95,                 14327360.30,99859
,AMARAJABAT,EQ,       304.45,                  2816776.15,9252
,AMARJOTHI,EQ,        41.55,                       41.55,1
,AMBIKCO,EQ,       176.05,                    84522.70,480
,AMDIND,EQ,        15.55,                    28929.25,1863
,AMLSTEEL,EQ,         9.10,                      910.00,100
,AMRUTANJAN,EQ,       780.10,                  9004725.70,11461
,AMTEKAUTO,EQ,       106.20,                  3769417.90,35188
,AMTEKINDIA,EQ,        92.45,                 34285836.70,367115
,ANANTRAJ,EQ,        54.95,                 37548860.55,672236
,ANDHRACEMT,EQ,         9.00,                    67533.15,7431
,ANDHRSUGAR,EQ,       148.35,                 23375086.30,157077
,ANGIND,EQ,        17.30,                    58417.10,3308
,ANIKINDS,EQ,        34.70,                  1626093.80,46805
,ANKURDRUGS,EQ,        18.05,                  1335033.50,72456
,ANSALAPI,EQ,        27.35,                  1399972.25,50708
,ANSALHSG,EQ,        45.05,                   444147.40,9879
