,23-JUL-2012
The Nifty witnessed an intraday movement of about 56.1 points.The closing index was 1.67 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 7783.35
, Traded Quantity (in Lakhs), 4787.65
, Number of Trades, 4217191
, Total Market Capitalisation (Rs. Crores), 5901274.74

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,S&P CNX Nifty,      5205.10,      5163.25,      5164.20,      5108.10,      5117.95,-87.15
,CNX IT,      5674.20,      5624.75,      5651.70,      5601.50,      5609.20,-65
,CNX Nifty Junior,     10123.55,     10116.50,     10116.50,      9950.15,      9979.80,-143.75
,S&P CNX Defty,      3265.25,      3212.80,      3217.05,      3163.95,      3170.50,-94.75
,BANK Nifty,     10481.60,     10401.70,     10402.25,     10254.00,     10274.60,-207
,CNX Midcap,      7350.90,      7349.65,      7349.65,      7203.95,      7227.80,-123.1
,S&P CNX 500,      4134.75,      4111.30,      4111.30,      4060.30,      4069.05,-65.7
,CNX 100,      5099.70,      5064.40,      5064.40,      5006.40,      5016.30,-83.4
,Nifty Midcap 50,      2124.85,      2123.60,      2123.60,      2075.80,      2083.40,-41.45
,CNX Realty,       224.85,       223.80,       223.80,       217.70,       218.45,-6.4
,CNX Infra,      2404.70,      2392.35,      2392.35,      2339.50,      2349.00,-55.7
,CNX Energy,      7451.15,      7392.40,      7426.60,      7322.10,      7370.80,-80.35
,CNX FMCG,     12589.35,     12545.60,     12554.65,     12425.80,     12450.55,-138.8
,CNX MNC,      5183.35,      5147.35,      5147.35,      5070.25,      5080.50,-102.85
,CNX Pharma,      5264.60,      5248.15,      5265.25,      5228.95,      5257.50,-7.1
,CNX PSE,      2908.45,      2893.85,      2893.85,      2846.55,      2862.35,-46.1
,CNX PSU Bank,      3176.55,      3155.00,      3157.20,      3103.70,      3112.80,-63.75
,CNX Service,      6226.15,      6181.15,      6183.35,      6109.05,      6117.20,-108.95
,India VIX,        16.89,        16.89,        18.67,        16.89,        18.66,1.77
,CNX AUTO,      3856.65,      3818.45,      3818.45,      3755.00,      3763.20,-93.45
,CNX Metal,      2834.40,      2809.40,      2809.40,      2734.15,      2740.50,-93.9
,CNX Media,      1293.20,      1293.10,      1304.05,      1279.40,      1290.25,-2.95
,CNX Smallcap,      3358.15,      3339.40,      3346.00,      3305.75,      3311.65,-46.5
,CNX 200,      2632.90,      2616.55,      2616.55,      2583.95,      2589.60,-43.3
,CNX Dividend Oppt,      1520.30,      1514.45,      1514.45,      1493.80,      1499.75,-20.55
,CNX Commodities,      2376.50,      2359.30,      2359.30,      2324.35,      2332.60,-43.9
,CNX Consumption,      1936.05,      1925.15,      1925.15,      1900.90,      1901.90,-34.15
,CNX Finance,      4270.45,      4239.80,      4239.80,      4185.95,      4194.95,-75.5
,Nifty Dividend,        53.74,        54.23,        54.23,        54.23,        54.23,.49

,ADVANCES,360
,DECLINES,1132
,UNCHANGED,58

,Total securities that have hit their price bands today,87

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,LT,EQ,      1390.40,      1378.10,-0.88,552.19
,MARUTI,EQ,      1147.50,      1079.95,-5.89,437.68
,SBIN,EQ,      2132.00,      2093.15,-1.82,334.36
,ICICIBANK,EQ,       935.15,       913.00,-2.37,294.14
,TCS,EQ,      1223.05,      1214.25,-0.72,177.17
,RELIANCE,EQ,       722.65,       719.00,-0.51,168.13
,MCDOWELL-N,EQ,       817.90,       805.55,-1.51,141.74
,JPASSOCIAT,EQ,        77.75,        74.10,-4.69,129.8
,TATAMOTORS,EQ,       223.40,       216.05,-3.29,124.19
,HDIL,EQ,        81.90,        76.30,-6.84,120.16
,TATASTEEL,EQ,       415.95,       399.50,-3.95,118.12
,INFY,EQ,      2218.75,      2189.10,-1.34,106.68
,AXISBANK,EQ,      1040.80,      1027.55,-1.27,106.05
,HDFC,EQ,       684.75,       677.00,-1.13,103.48
,BHARTIARTL,EQ,       314.65,       304.25,-3.31,102.54
,PANTALOONR,EQ,       190.10,       174.80,-8.05,101.9
,RELINFRA,EQ,       526.10,       506.20,-3.78,94.02
,HINDUNILVR,EQ,       446.05,       442.95,-0.69,87.98
,HDFCBANK,EQ,       582.60,       573.00,-1.65,87.57
,JINDALSTEL,EQ,       426.60,       415.05,-2.71,86.19
,RELCAPITAL,EQ,       351.65,       335.65,-4.55,85.35
,NTPC,EQ,       155.90,       153.75,-1.38,78.62
,BHEL,EQ,       228.10,       219.40,-3.81,73.78
,KOTAKBANK,EQ,       563.05,       551.65,-2.02,69.7
,HEROMOTOCO,EQ,      2082.00,      2052.20,-1.43,68.79

,Top Five S&P CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,DRREDDY,EQ,      1629.40,      1611.20,1.13
,CIPLA,EQ,       327.95,       325.65,.71

,Top Five S&P CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,MARUTI,EQ,      1079.95,      1147.50,-5.89
,STER,EQ,        99.65,       105.10,-5.19
,HINDALCO,EQ,       116.40,       122.20,-4.75
,JPASSOCIAT,EQ,        74.10,        77.75,-4.69
,SESAGOA,EQ,       183.55,       192.55,-4.67

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        96.70,                 11825470.00,122573
,3IINFOTECH,BE,        10.75,                  8732438.90,800966
,3MINDIA,EQ,      3840.80,                  1082289.80,281
,A2ZMES,EQ,        88.35,                 27095555.00,302714
,AANJANEYA,EQ,       526.30,                  9322654.65,17777
,AARTIDRUGS,EQ,       116.80,                   447123.75,3798
,AARTIIND,EQ,        74.05,                   866572.30,11714
,AARVEEDEN,EQ,        33.15,                    62488.45,1869
,ABAN,EQ,       397.80,                192532375.30,478027
,ABB,EQ,       735.25,                 37937224.25,51195
,ABBOTINDIA,EQ,      1474.45,                  4978116.85,3384
,ABCIL,EQ,        75.50,                    48689.00,641
,ABGSHIP,EQ,       358.10,                 13209883.40,36566
,ABHISHEK,EQ,         7.80,                    27558.70,3560
,ACE,EQ,        28.25,                   381492.00,13468
,ACROPETAL,EQ,        13.80,                   539387.95,39144
,ADANIPOWER,EQ,        45.05,                 56681431.95,1256428
,ADFFOODS,EQ,        47.00,                    28812.95,612
,ADHUNIK,EQ,        32.05,                  2042314.05,63443
,ADORWELD,EQ,       137.95,                   883316.95,6328
,ADSL,EQ,        26.10,                  1367472.00,52091
,ADVANIHOTR,EQ,        26.50,                    13260.00,500
,ADVANTA,EQ,       471.40,                  3233930.30,6732
,AEGISCHEM,EQ,       118.10,                   783305.25,6582
,AFL,EQ,        31.80,                    31710.65,997
,AFTEK,EQ,         8.40,                   799179.15,95700
,AGCNET,EQ,       236.05,                  1546165.35,6444
,AGRODUTCH,EQ,         4.65,                    81144.70,16835
,AHLEAST,EQ,       242.50,                   187806.50,777
,AHLUCONT,EQ,        52.50,                   998049.90,18989
,AHLWEST,EQ,       127.00,                    53035.30,418
,AHMEDFORGE,EQ,       130.15,                   718092.45,5479
,AIAENG,EQ,       314.70,                   293829.25,942
,AIL,EQ,       379.00,                 11749869.30,30742
,AJANTPHARM,EQ,       729.80,                 15071169.40,20680
,AJMERA,EQ,       110.55,                  1673928.65,15420
,AKSHOPTFBR,EQ,        16.30,                  1102347.90,67511
,AKZOINDIA,EQ,       875.65,                  1752186.35,2000
,ALBK,EQ,       134.85,                150497735.40,1108949
,ALCHEM,EQ,        59.15,                  1594419.25,26827
,ALEMBICLTD,EQ,        15.00,                  1483901.70,98002
,ALICON,EQ,        61.40,                   322105.70,5266
,ALKALI,EQ,        28.60,                   125962.40,4370
,ALKYLAMINE,EQ,       100.00,                     1198.35,12
,ALLCARGO,EQ,       133.80,                  1655577.80,12308
,ALLSEC,BE,        38.90,                  1724199.85,44659
,ALMONDZ,EQ,         8.55,                       17.10,2
,ALOKTEXT,EQ,        16.95,                 88427932.65,5219172
,ALPA,EQ,         8.20,                    41375.75,5029
,ALPHAGEO,BE,        48.00,                    46266.05,969
,ALPSINDUS,EQ,         2.00,                     3073.80,1607
,ALSTOMT&D,EQ,       185.00,                  2007437.20,10943
,AMAR,EQ,       137.80,                 14859005.90,107266
,AMARAJABAT,EQ,       299.45,                  2687694.50,8944
,AMARJOTHI,EQ,        41.95,                    18936.40,452
,AMBIKCO,EQ,       188.60,                   622244.90,3320
,AMDIND,EQ,        15.65,                    48666.40,3139
,AMLSTEEL,EQ,         8.60,                     5003.35,579
,AMRUTANJAN,EQ,       765.05,                  9320735.20,12115
,AMTEKAUTO,EQ,       105.45,                  7792578.40,74344
,AMTEKINDIA,EQ,        93.35,                 21875274.80,234427
,ANANTRAJ,EQ,        50.50,                 16628403.35,330962
,ANDHRACEMT,EQ,         8.75,                    34883.25,4007
,ANDHRSUGAR,EQ,       151.45,                  1885859.50,12397
,ANGIND,EQ,        16.70,                      808.20,48
,ANIKINDS,EQ,        35.15,                  2176013.30,59425
,ANKURDRUGS,BE,        16.25,                   147536.65,9360
,ANSALAPI,EQ,        27.15,                  1910283.80,70304
,ANSALHSG,EQ,        45.35,                   322771.35,7160
,ANTGRAPHIC,EQ,          .25,                    32802.90,164013
,APARINDS,EQ,       132.75,                   157624.80,1185
,APCOTEXIND,EQ,       167.90,                   120226.35,707
,APLAPOLLO,EQ,       164.60,                    64956.25,394
,APLLTD,EQ,        60.90,                 18236884.05,303894
,APOLLOHOSP,EQ,       616.35,                111190429.25,180124
,APOLLOTYRE,EQ,        81.70,                105071445.50,1285938
,APPAPER,EQ,       310.50,                 58890132.35,187410
,APTECHT,EQ,        72.80,                 22195909.95,302767
,AQUA,EQ,        11.05,                   708373.15,63556
,ARCHIDPLY,EQ,         9.00,                    13480.60,1536
,ARCHIES,EQ,        23.25,                   812206.65,35202
,ARIES,EQ,        59.00,                   175322.60,2950
,ARIHANT,EQ,        47.30,                    77500.20,1665
,AROGRANITE,EQ,        32.90,                    16131.55,491
,ARROWTEX,BE,         7.15,                       78.85,11
,ARSHIYA,EQ,       128.95,                  2618767.60,20301
,ARSSINFRA,EQ,        41.35,                  9346262.10,224148
,ARVIND,EQ,        72.30,                 85595999.10,1186075
,ARVINDREM,EQ,        22.40,                   165410.00,7372
,ASAHIINDIA,EQ,        61.80,                   639833.65,10386
,ASAHISONG,EQ,        90.00,                   629891.35,6975
,ASAL,EQ,        50.40,                   959018.70,18636
,ASHAPURMIN,EQ,        16.60,                  1143374.80,68878
,ASHCONIUL,BE,         1.30,                     1170.00,900
,ASHIANA,EQ,       174.45,                  3925709.80,22479
,ASHOKA,EQ,       206.50,                    31393.55,152
,ASIANELEC,BE,         6.00,                   153952.00,25571
,ASIANHOTNR,EQ,       195.90,                   458763.30,2377
,ASIANTILES,EQ,        43.15,                     7929.15,185
,ASIL,EQ,         1.25,                      250.00,200
,ASSAMCO,EQ,         6.05,                  1722786.00,283646
,ASTEC,EQ,        26.10,                    12949.80,498
,ASTERSILI,EQ,         7.50,                    18199.15,2367
,ASTRAL,EQ,       230.90,                   777722.60,3324
,ASTRAMICRO,EQ,        41.00,                  4790252.05,116257
,ASTRAZEN,EQ,      1748.30,                  8943092.65,5082
