,27-JUL-2012
The Nifty witnessed an intraday movement of about 72.45 points.The closing index was 1.13 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 10673.62
, Traded Quantity (in Lakhs), 6903.72
, Number of Trades, 5667560
, Total Market Capitalisation (Rs. Crores), 5819768.61

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,S&P CNX Nifty,      5043.00,      5124.30,      5149.95,      5077.50,      5099.85,56.85
,CNX IT,      5489.60,      5562.40,      5577.80,      5497.95,      5562.00,72.4
,CNX Nifty Junior,      9813.45,      9823.05,      9968.55,      9756.30,      9783.80,-29.65
,S&P CNX Defty,      3119.00,      3200.40,      3223.10,      3167.45,      3187.15,68.15
,BANK Nifty,     10083.80,     10256.25,     10401.65,     10102.75,     10140.55,56.75
,CNX Midcap,      7064.65,      7067.65,      7179.75,      7001.20,      7023.75,-40.9
,S&P CNX 500,      4003.60,      4048.90,      4080.35,      4015.10,      4028.25,24.65
,CNX 100,      4941.30,      5009.55,      5041.90,      4966.80,      4986.20,44.9
,Nifty Midcap 50,      2014.75,      2017.65,      2058.40,      1995.75,      2002.20,-12.55
,CNX Realty,       210.10,       210.95,       214.90,       206.90,       208.25,-1.85
,CNX Infra,      2278.50,      2307.30,      2333.45,      2275.85,      2289.00,10.5
,CNX Energy,      7254.15,      7356.80,      7409.85,      7284.45,      7332.05,77.9
,CNX FMCG,     12555.90,     12713.90,     12761.75,     12656.70,     12724.65,168.75
,CNX MNC,      5155.30,      5200.65,      5242.50,      5192.05,      5200.30,45
,CNX Pharma,      5273.85,      5303.75,      5316.35,      5257.10,      5287.00,13.15
,CNX PSE,      2812.60,      2844.35,      2861.65,      2809.80,      2825.90,13.3
,CNX PSU Bank,      2988.00,      3025.80,      3055.05,      2857.55,      2868.40,-119.6
,CNX Service,      6004.15,      6101.60,      6140.40,      6039.95,      6059.05,54.9
,India VIX,        16.37,        16.37,        16.75,        15.42,        16.44,.07
,CNX AUTO,      3701.15,      3751.95,      3766.75,      3711.45,      3735.15,34
,CNX Metal,      2651.90,      2696.30,      2739.45,      2691.30,      2708.20,56.3
,CNX Media,      1314.50,      1300.30,      1307.60,      1279.20,      1283.65,-30.85
,CNX Smallcap,      3192.80,      3198.20,      3234.65,      3137.30,      3142.90,-49.9
,CNX 200,      2549.40,      2581.05,      2600.60,      2558.70,      2568.20,18.8
,CNX Dividend Oppt,      1484.15,      1496.40,      1505.75,      1477.15,      1480.95,-3.2
,CNX Commodities,      2282.70,      2313.50,      2341.30,      2301.60,      2313.30,30.6
,CNX Consumption,      1892.55,      1911.10,      1915.45,      1897.65,      1902.15,9.6
,CNX Finance,      4127.35,      4197.30,      4240.90,      4146.40,      4159.60,32.25
,Nifty Dividend,        54.88,        54.88,        54.88,        54.88,        54.88,0

,ADVANCES,492
,DECLINES,989
,UNCHANGED,70

,Total securities that have hit their price bands today,124

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SBIN,EQ,      2017.40,      1941.00,-3.79,841.12
,ICICIBANK,EQ,       906.75,       928.25,2.37,660.64
,INFY,EQ,      2123.80,      2148.65,1.17,264
,SUNTV,EQ,       295.90,       261.35,-11.68,263.46
,AXISBANK,EQ,      1002.20,       997.15,-0.5,250.46
,TATAMOTORS,EQ,       205.10,       212.85,3.78,249.66
,PNB,EQ,       755.95,       714.85,-5.44,249.2
,RELIANCE,EQ,       710.15,       721.00,1.53,222.04
,TATASTEEL,EQ,       384.00,       399.15,3.95,203.27
,LT,EQ,      1318.15,      1319.80,0.13,201.26
,HDFCBANK,EQ,       565.80,       584.60,3.32,195.65
,MCDOWELL-N,EQ,       745.45,       721.20,-3.25,185.24
,HINDUNILVR,EQ,       461.85,       464.60,0.6,185.06
,PIPAVAVDOC,EQ,        62.25,        55.75,-10.44,178.56
,HDIL,EQ,        73.10,        75.70,3.56,175.51
,ITC,EQ,       249.45,       254.95,2.2,163.07
,BHARTIARTL,EQ,       300.50,       307.45,2.31,121.35
,UNIONBANK,EQ,       177.95,       164.10,-7.78,112.82
,TCS,EQ,      1198.45,      1225.30,2.24,112.32
,RELINFRA,EQ,       476.45,       474.25,-0.46,110.46
,HCLTECH,EQ,       511.75,       517.70,1.16,103.75
,RELCAPITAL,EQ,       321.10,       321.10,0,101.23
,YESBANK,EQ,       345.65,       354.40,2.53,99.22
,MARUTI,EQ,      1108.55,      1112.95,0.4,98.37
,JPASSOCIAT,EQ,        71.65,        69.85,-2.51,96.99

,Top Five S&P CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TATASTEEL,EQ,       399.15,       384.00,3.95
,TATAMOTORS,EQ,       212.85,       205.10,3.78
,STER,EQ,       101.10,        97.45,3.75
,HDFCBANK,EQ,       584.60,       565.80,3.32
,HINDALCO,EQ,       117.50,       114.40,2.71

,Top Five S&P CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,PNB,EQ,       714.85,       755.95,-5.44
,SBIN,EQ,      1941.00,      2017.40,-3.79
,JPASSOCIAT,EQ,        69.85,        71.65,-2.51
,BANKBARODA,EQ,       649.80,       665.90,-2.42
,KOTAKBANK,EQ,       529.55,       541.40,-2.19

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        96.20,                 10794309.40,111850
,3IINFOTECH,BE,         9.65,                 10112675.55,1028650
,3MINDIA,EQ,      3775.20,                   816915.05,215
,A2ZMES,EQ,        73.65,                 26965128.05,348799
,AANJANEYA,EQ,       509.00,                 16747646.65,33008
,AARTIDRUGS,EQ,       119.85,                   652777.90,5427
,AARTIIND,EQ,        73.90,                  1769635.15,23923
,AARVEEDEN,EQ,        34.45,                    63594.05,1859
,ABAN,EQ,       368.15,                189221719.40,515402
,ABB,EQ,       775.55,                 82622686.95,106894
,ABBOTINDIA,EQ,      1444.85,                   926584.70,638
,ABCIL,EQ,        70.70,                    39766.60,559
,ABGSHIP,EQ,       368.30,                 24825380.75,67509
,ABHISHEK,EQ,         7.25,                    19173.10,2637
,ACE,EQ,        27.10,                   421911.70,15351
,ACROPETAL,EQ,        13.55,                   607072.25,44060
,ADANIPOWER,EQ,        41.75,                 92347043.70,2187007
,ADFFOODS,EQ,        46.60,                   145621.15,3124
,ADHUNIK,EQ,        30.40,                  3248655.30,104909
,ADORWELD,EQ,       133.80,                   174339.85,1299
,ADSL,EQ,        24.55,                  1216836.65,48384
,ADVANIHOTR,EQ,        26.50,                     5544.00,206
,ADVANTA,EQ,       490.10,                 14935446.40,29677
,AEGISCHEM,EQ,       111.95,                  2952200.65,25604
,AFL,EQ,        32.20,                    92505.80,2889
,AFTEK,EQ,         7.60,                  1624867.10,208416
,AGCNET,EQ,       265.45,                  3009569.15,11320
,AGRODUTCH,EQ,         4.40,                    25633.25,5757
,AHLEAST,EQ,       239.20,                     9418.10,39
,AHLUCONT,EQ,        47.75,                    80916.70,1672
,AHLWEST,EQ,       125.00,                   261182.00,2090
,AHMEDFORGE,EQ,       125.85,                   328118.70,2588
,AIAENG,EQ,       309.85,                   276869.95,893
,AICHAMP,BE,        19.05,                       39.20,2
,AIL,EQ,       363.05,                 30440839.05,81460
,AJANTPHARM,EQ,       731.60,                 23827632.55,32724
,AJMERA,EQ,       108.00,                   421839.25,3895
,AKSHOPTFBR,EQ,        16.55,                  2461390.25,148713
,AKZOINDIA,EQ,       898.75,                  1497987.60,1669
,ALBK,EQ,       128.95,                215701086.55,1635338
,ALCHEM,EQ,        50.95,                   557439.60,10363
,ALEMBICLTD,EQ,        14.80,                   552519.40,37097
,ALICON,EQ,        60.10,                   156408.15,2598
,ALKALI,EQ,        26.15,                   128078.25,4886
,ALKYLAMINE,EQ,        98.55,                   154760.85,1564
,ALLCARGO,EQ,       141.25,                 71601158.25,502476
,ALLSEC,BE,        37.25,                   584886.60,15034
,ALMONDZ,EQ,         7.40,                    14150.25,1735
,ALOKTEXT,EQ,        15.50,                141253220.75,8981988
,ALPA,EQ,         8.15,                   375133.00,46110
,ALPHAGEO,BE,        44.85,                    69286.00,1531
,ALPINEHOU,EQ,         8.60,                        8.60,1
,ALPSINDUS,EQ,         1.85,                    15618.65,8157
,ALSTOMT&D,EQ,       178.70,                  5177470.40,28947
,AMAR,EQ,        88.45,                 43055117.65,468526
,AMARAJABAT,EQ,       292.30,                  3787670.15,12888
,AMARJOTHI,EQ,        41.50,                       41.50,1
,AMBIKCO,EQ,       181.85,                    70317.25,381
,AMDIND,EQ,        14.80,                    52764.70,3555
,AMLSTEEL,EQ,         9.50,                     6842.25,750
,AMRUTANJAN,EQ,       737.00,                  7714372.20,10346
,AMTEKAUTO,EQ,       100.15,                 11058235.05,109338
,AMTEKINDIA,EQ,        90.15,                 27291728.45,298160
,ANANTRAJ,EQ,        47.25,                 11238268.25,231967
,ANDHRACEMT,EQ,         8.40,                    50329.15,5930
,ANDHRSUGAR,EQ,       150.55,                  4457576.40,28926
,ANGIND,EQ,        16.95,                   140672.70,8303
,ANIKINDS,EQ,        33.25,                  3509053.10,102528
,ANKURDRUGS,BE,        14.70,                   171316.25,11923
,ANSALAPI,EQ,        25.20,                  2138949.40,82727
,ANSALHSG,EQ,        45.00,                    82154.95,1824
,ANTGRAPHIC,EQ,          .25,                     3586.75,15428
,APARINDS,EQ,       137.10,                   401616.00,2966
,APCOTEXIND,EQ,       167.65,                   211576.85,1264
,APLAB,EQ,        23.00,                    11522.15,501
,APLAPOLLO,EQ,       154.00,                  5568876.25,35830
,APLLTD,EQ,        60.00,                  3957072.65,65706
,APOLLOHOSP,EQ,       624.10,                 82193240.05,131278
,APOLLOTYRE,EQ,        79.40,                333825062.20,4112913
,APPAPER,EQ,       275.95,                 50159024.35,176203
,APTECHT,EQ,        67.60,                 20264152.90,290928
,AQUA,EQ,        10.15,                   241335.00,23350
