,07-AUG-2012
The Nifty witnessed an intraday movement of about 68.45 points.The closing index was 1.03 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 9862.12
, Traded Quantity (in Lakhs), 5529.23
, Number of Trades, 4887004
, Total Market Capitalisation (Rs. Crores), 6046750.82

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,S&P CNX Nifty,      5282.55,      5295.40,      5350.10,      5281.65,      5336.70,54.15
,CNX IT,      5699.10,      5733.95,      5818.70,      5733.95,      5799.80,100.7
,CNX Nifty Junior,     10152.90,     10154.45,     10236.10,     10154.45,     10194.90,42
,S&P CNX Defty,      3298.75,      3313.20,      3353.80,      3302.40,      3342.60,43.85
,BANK Nifty,     10462.40,     10499.70,     10616.90,     10463.55,     10591.95,129.55
,CNX Midcap,      7287.20,      7288.00,      7329.25,      7288.00,      7297.00,9.8
,S&P CNX 500,      4172.45,      4179.65,      4217.05,      4174.90,      4206.15,33.7
,CNX 100,      5166.25,      5177.05,      5228.25,      5166.95,      5214.45,48.2
,Nifty Midcap 50,      2100.40,      2100.85,      2118.45,      2100.85,      2109.50,9.1
,CNX Realty,       220.80,       221.10,       225.25,       220.95,       224.10,3.3
,CNX Infra,      2392.25,      2395.70,      2410.75,      2388.75,      2403.30,11.05
,CNX Energy,      7765.20,      7761.05,      7822.85,      7726.45,      7777.15,11.95
,CNX FMCG,     12959.80,     12968.05,     13054.90,     12935.85,     13036.40,76.6
,CNX MNC,      5337.65,      5339.25,      5377.05,      5331.80,      5361.50,23.85
,CNX Pharma,      5532.45,      5557.70,      5578.20,      5520.60,      5529.55,-2.9
,CNX PSE,      2913.10,      2908.95,      2930.45,      2905.75,      2928.45,15.35
,CNX PSU Bank,      2963.20,      2964.60,      3019.70,      2953.10,      3001.40,38.2
,CNX Service,      6251.50,      6274.40,      6350.25,      6259.70,      6338.25,86.75
,India VIX,        16.22,        16.22,        16.33,        15.74,        16.21,-.01
,CNX AUTO,      3852.05,      3857.80,      3915.55,      3853.20,      3910.55,58.5
,CNX Metal,      2743.80,      2746.45,      2771.90,      2740.85,      2759.15,15.35
,CNX Media,      1321.20,      1323.35,      1360.00,      1323.35,      1352.95,31.75
,CNX Smallcap,      3274.75,      3280.35,      3300.05,      3280.35,      3283.55,8.8
,CNX 200,      2661.60,      2666.65,      2691.65,      2662.50,      2684.15,22.55
,CNX Dividend Oppt,      1526.45,      1524.50,      1539.70,      1524.35,      1534.45,8
,CNX Commodities,      2380.95,      2380.90,      2399.30,      2376.80,      2393.80,12.85
,CNX Consumption,      1939.55,      1939.65,      1951.05,      1938.10,      1946.30,6.75
,CNX Finance,      4328.95,      4341.65,      4397.00,      4326.85,      4389.45,60.5
,Nifty Dividend,        55.87,        57.24,        57.24,        57.24,        57.24,1.37

,ADVANCES,822
,DECLINES,656
,UNCHANGED,86

,Total securities that have hit their price bands today,107

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SBIN,EQ,      2018.25,      2061.25,2.13,518.2
,ICICIBANK,EQ,       954.00,       974.30,2.13,378.42
,RELIANCE,EQ,       786.05,       783.75,-0.29,353.63
,TATAMOTORS,EQ,       229.05,       238.80,4.26,287.28
,AXISBANK,EQ,      1063.60,      1091.30,2.6,263.76
,HDFC,EQ,       710.40,       719.55,1.29,219.56
,MCDOWELL-N,EQ,       866.10,       842.85,-2.68,193.57
,DLF,EQ,       211.25,       217.15,2.79,189.32
,HDFCBANK,EQ,       600.25,       600.10,-0.02,168.38
,RELCAPITAL,EQ,       350.20,       361.75,3.3,156.48
,INFY,EQ,      2216.80,      2253.30,1.65,153.88
,JPASSOCIAT,EQ,        75.80,        77.55,2.31,142.46
,BHARTIARTL,EQ,       296.20,       293.80,-0.81,131.35
,TCS,EQ,      1228.90,      1264.05,2.86,131.33
,HCLTECH,EQ,       523.20,       530.50,1.4,128.81
,LT,EQ,      1406.20,      1417.70,0.82,125.57
,HDIL,EQ,        82.70,        83.65,1.15,124.94
,RELINFRA,EQ,       514.35,       520.50,1.2,113.62
,BAJAJ-AUTO,EQ,      1636.45,      1667.15,1.88,113.51
,TATASTEEL,EQ,       404.30,       406.15,0.46,110.21
,IDFC,EQ,       130.80,       136.00,3.98,110.2
,JETAIRWAYS,EQ,       377.75,       387.70,2.63,106.15
,ORISSAMINE,EQ,     57602.70,     55275.65,-4.04,103.85
,YESBANK,EQ,       365.70,       370.30,1.26,99.45
,HINDUNILVR,EQ,       467.35,       469.90,0.55,91.34

,Top Five S&P CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TATAMOTORS,EQ,       238.80,       229.05,4.26
,IDFC,EQ,       136.00,       130.80,3.98
,GAIL,EQ,       378.70,       365.55,3.6
,AMBUJACEM,EQ,       190.80,       185.00,3.14
,TCS,EQ,      1264.05,      1228.90,2.86

,Top Five S&P CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,POWERGRID,EQ,       118.55,       120.45,-1.58
,HEROMOTOCO,EQ,      1952.25,      1978.75,-1.34
,CAIRN,EQ,       329.75,       333.75,-1.2
,BPCL,EQ,       341.35,       344.40,-0.89
,BHARTIARTL,EQ,       293.80,       296.20,-0.81

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,       113.40,                 50868396.15,441120
,3IINFOTECH,BE,         9.85,                 11582716.45,1168198
,3MINDIA,EQ,      3801.20,                  1037487.05,273
,A2ZMES,EQ,        84.75,                 38815131.85,450875
,AANJANEYA,EQ,       506.70,                  7786283.65,15405
,AARTIDRUGS,EQ,       125.15,                   304286.25,2424
,AARTIIND,EQ,        72.45,                   462114.50,6355
,AARVEEDEN,EQ,        35.50,                    24672.30,695
,ABAN,EQ,       390.90,                170909010.45,434615
,ABB,EQ,       791.05,                 21276389.00,26803
,ABBOTINDIA,EQ,      1505.85,                  1388690.65,916
,ABCIL,EQ,        75.15,                   141874.20,1901
,ABGSHIP,EQ,       359.60,                  7642893.55,21147
,ABHISHEK,EQ,         7.40,                    24197.15,3391
,ACE,EQ,        24.35,                  5013530.05,200263
,ACROPETAL,EQ,        13.25,                  2074298.30,154735
,ADANIPOWER,EQ,        43.15,                 41013651.95,948392
,ADFFOODS,EQ,        47.95,                   177517.95,3727
,ADHUNIK,EQ,        30.30,                  1822336.75,59947
,ADORWELD,EQ,       138.20,                   650246.15,4686
,ADSL,EQ,        25.50,                  1341028.90,52202
,ADVANIHOTR,EQ,        28.00,                    27470.00,1035
,ADVANTA,EQ,       488.05,                  9218233.85,18810
,AEGISCHEM,EQ,       114.20,                  6577313.35,57228
,AFL,EQ,        31.90,                  1708322.25,50137
,AFTEK,EQ,         7.90,                  1349008.65,168283
,AGCNET,EQ,       267.75,                   599924.85,2200
,AGRODUTCH,EQ,         4.55,                    42822.95,9611
,AHLEAST,EQ,       240.30,                    44882.85,186
,AHLUCONT,EQ,        48.35,                    70572.20,1459
,AHLWEST,EQ,       130.15,                    80734.35,628
,AHMEDFORGE,EQ,       126.20,                   169020.95,1335
,AIAENG,EQ,       306.30,                   298626.75,966
,AICHAMP,BE,        19.95,                    23775.25,1190
,AIL,EQ,       384.75,                 21479928.10,55487
,AJANTPHARM,EQ,       739.50,                 21443296.40,28947
,AJMERA,EQ,       107.15,                   233849.55,2174
,AKSHOPTFBR,EQ,        15.60,                  2586001.45,164785
,AKZOINDIA,EQ,       885.85,                  2481273.85,2778
,ALBK,EQ,       132.35,                192705410.55,1441856
,ALCHEM,EQ,        51.20,                   714824.25,13822
,ALEMBICLTD,EQ,        16.10,                   378198.15,23211
,ALICON,EQ,        61.40,                    52522.20,873
,ALKALI,EQ,        26.35,                   242988.75,9149
,ALKYLAMINE,EQ,       111.20,                   584367.50,5425
,ALLCARGO,EQ,       138.65,                   458566.75,3281
,ALLSEC,BE,        35.65,                    16955.30,474
,ALMONDZ,EQ,         8.20,                     1544.95,188
,ALOKTEXT,EQ,        15.60,                 46362227.90,2956114
,ALPA,EQ,         8.00,                     1692.00,209
,ALPHAGEO,BE,        45.45,                    49114.95,1072
,ALPSINDUS,EQ,         1.80,                    33314.15,18859
,ALSTOMT&D,EQ,       194.10,                  3587498.25,18635
,AMAR,EQ,        71.40,                 29508090.95,411706
,AMARAJABAT,EQ,       310.35,                  3393021.55,10898
,AMARJOTHI,EQ,        40.00,                       80.00,2
,AMBIKCO,EQ,       184.50,                   565189.65,3044
,AMDIND,EQ,        15.50,                    80691.50,5196
,AMLSTEEL,EQ,         8.70,                    33489.85,3753
,AMRUTANJAN,EQ,       773.50,                 18676571.90,23916
,AMTEKAUTO,EQ,        98.35,                  7440989.45,74672
,AMTEKINDIA,EQ,        87.15,                 41879043.05,473542
,AMTL,BE,        22.80,                   110125.00,4786
,ANANTRAJ,EQ,        50.95,                 29071424.90,566737
,ANDHRACEMT,EQ,         8.70,                   227322.25,26233
,ANDHRSUGAR,EQ,       153.10,                  3664256.65,23832
,ANGIND,EQ,        16.60,                    38570.50,2367
,ANIKINDS,EQ,        32.50,                  1255273.35,39543
,ANKURDRUGS,BE,        14.30,                    72177.85,4999
,ANSALAPI,EQ,        26.65,                  1117508.30,41679
