,17-AUG-2012
The Nifty witnessed an intraday movement of about 58.25 points.The closing index was 0.06 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 10262.5
, Traded Quantity (in Lakhs), 6511.06
, Number of Trades, 5312686
, Total Market Capitalisation (Rs. Crores), 6067178.19

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,S&P CNX Nifty,      5362.95,      5368.60,      5399.95,      5341.70,      5366.30,3.35
,CNX IT,      5915.90,      5928.20,      5995.10,      5921.05,      5980.65,64.75
,CNX Nifty Junior,     10207.10,     10209.50,     10288.45,     10150.00,     10190.55,-16.55
,S&P CNX Defty,      3326.50,      3337.90,      3360.10,      3324.90,      3339.55,13.05
,BANK Nifty,     10426.75,     10425.85,     10505.85,     10354.70,     10417.90,-8.85
,CNX Midcap,      7286.25,      7287.20,      7344.05,      7246.35,      7275.75,-10.5
,S&P CNX 500,      4222.65,      4225.90,      4252.30,      4206.50,      4223.70,1.05
,CNX 100,      5237.20,      5242.05,      5273.20,      5215.80,      5238.70,1.5
,Nifty Midcap 50,      2113.70,      2114.70,      2132.00,      2088.50,      2094.50,-19.2
,CNX Realty,       220.80,       220.45,       221.55,       215.35,       216.35,-4.45
,CNX Infra,      2393.15,      2397.15,      2403.25,      2350.90,      2363.50,-29.65
,CNX Energy,      7947.35,      7964.80,      7997.75,      7849.25,      7885.30,-62.05
,CNX FMCG,     13136.00,     13130.00,     13365.00,     13130.00,     13306.20,170.2
,CNX MNC,      5480.35,      5484.55,      5525.00,      5467.20,      5493.80,13.45
,CNX Pharma,      5500.70,      5506.15,      5536.40,      5498.95,      5524.95,24.25
,CNX PSE,      2932.55,      2933.45,      2944.05,      2904.35,      2909.90,-22.65
,CNX PSU Bank,      2847.55,      2849.20,      2871.75,      2826.35,      2839.80,-7.75
,CNX Service,      6291.95,      6304.25,      6339.10,      6272.65,      6300.25,8.3
,India VIX,        15.69,        15.69,        16.02,        15.21,        15.73,.04
,CNX AUTO,      3988.45,      3999.35,      4041.20,      3999.35,      4014.35,25.9
,CNX Metal,      2786.05,      2783.30,      2797.05,      2737.30,      2741.25,-44.8
,CNX Media,      1377.50,      1382.45,      1386.50,      1354.30,      1361.60,-15.9
,CNX Smallcap,      3309.50,      3303.80,      3348.90,      3302.30,      3323.50,14
,CNX 200,      2694.60,      2696.85,      2713.60,      2683.40,      2695.15,.55
,CNX Dividend Oppt,      1535.40,      1534.75,      1544.20,      1530.90,      1534.55,-.85
,CNX Commodities,      2429.05,      2430.70,      2437.00,      2393.85,      2400.90,-28.15
,CNX Consumption,      1957.25,      1960.55,      1973.15,      1951.30,      1960.95,3.7
,CNX Finance,      4343.40,      4349.00,      4377.70,      4324.45,      4346.60,3.2
,Nifty Dividend,        62.26,        62.26,        62.26,        62.26,        62.26,0

,ADVANCES,681
,DECLINES,818
,UNCHANGED,77

,Total securities that have hit their price bands today,118

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SBIN,EQ,      1894.45,      1897.05,0.14,544.4
,MCDOWELL-N,EQ,       909.10,       921.70,1.39,532.4
,TATAMOTORS,EQ,       235.45,       240.20,2.02,305.67
,ICICIBANK,EQ,       956.40,       962.15,0.6,284.46
,RELIANCE,EQ,       816.15,       816.10,-0.01,267.82
,INFY,EQ,      2315.45,      2351.05,1.54,249.03
,MARUTI,EQ,      1172.60,      1177.55,0.42,234.54
,BHARTIARTL,EQ,       260.00,       262.30,0.88,232.42
,LT,EQ,      1477.40,      1451.85,-1.73,185.05
,AXISBANK,EQ,      1113.95,      1110.20,-0.34,178.59
,TATASTEEL,EQ,       398.25,       394.80,-0.87,178.29
,HDFC,EQ,       710.15,       713.30,0.44,173.05
,JINDALSTEL,EQ,       418.55,       401.45,-4.09,153.87
,JSWSTEEL,EQ,       750.55,       720.65,-3.98,140.9
,RELINFRA,EQ,       527.75,       510.50,-3.27,139.62
,DLF,EQ,       215.85,       209.00,-3.17,138.74
,ITC,EQ,       258.35,       262.10,1.45,136.28
,HINDUNILVR,EQ,       494.75,       503.40,1.75,129.09
,HDIL,EQ,        83.90,        82.50,-1.67,123.72
,HINDALCO,EQ,       116.70,       113.70,-2.57,116.33
,HDFCBANK,EQ,       600.05,       595.10,-0.82,114.64
,RPOWER,EQ,        93.15,        87.65,-5.9,107.73
,COALINDIA,EQ,       353.60,       349.90,-1.05,106.78
,LUPIN,EQ,       556.05,       570.50,2.6,103.43
,RELCAPITAL,EQ,       358.75,       352.35,-1.78,95.6

,Top Five S&P CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TATAMOTORS,EQ,       240.20,       235.45,2.02
,HINDUNILVR,EQ,       503.40,       494.75,1.75
,INFY,EQ,      2351.05,      2315.45,1.54
,ITC,EQ,       262.10,       258.35,1.45
,TCS,EQ,      1278.60,      1263.55,1.19

,Top Five S&P CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,JINDALSTEL,EQ,       401.45,       418.55,-4.09
,TATAPOWER,EQ,        97.25,       101.25,-3.95
,RELINFRA,EQ,       510.50,       527.75,-3.27
,DLF,EQ,       209.00,       215.85,-3.17
,HINDALCO,EQ,       113.70,       116.70,-2.57

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,       116.20,                 10964625.45,93905
,3IINFOTECH,BE,         8.50,                 17989554.20,2095389
,3MINDIA,EQ,      3950.55,                  1211478.45,311
,A2ZMES,EQ,        80.55,                118409460.65,1436912
,AANJANEYA,EQ,       636.75,                 22077246.25,34277
,AARTIDRUGS,EQ,       140.35,                   692107.95,4928
,AARTIIND,EQ,        72.15,                   497857.55,6847
,AARVEEDEN,EQ,        40.90,                   124586.95,2977
,ABAN,EQ,       421.55,                610614854.95,1461316
,ABB,EQ,       764.65,                 31383892.45,40934
,ABBOTINDIA,EQ,      1573.15,                  3575451.05,2279
,ABCIL,EQ,        81.10,                   709853.60,8772
,ABGSHIP,EQ,       358.35,                 29233741.95,80319
,ABHISHEK,EQ,         7.00,                     8450.00,1200
,ACE,EQ,        24.05,                   270401.55,11192
,ACROPETAL,EQ,        14.15,                  1760949.55,123948
,ADANIPOWER,EQ,        42.10,                 62663427.60,1469632
,ADFFOODS,EQ,        51.10,                   822860.10,16176
,ADHUNIK,EQ,        28.20,                  6277846.05,217060
,ADORWELD,EQ,       135.40,                   262236.60,1930
,ADSL,EQ,        24.90,                  3619984.40,142757
,ADVANIHOTR,EQ,        26.45,                     6499.25,251
,ADVANTA,EQ,       494.85,                 13964950.30,28178
,AEGISCHEM,EQ,       120.80,                  5399023.10,44469
,AFL,EQ,        32.85,                   311878.45,9541
,AFTEK,EQ,         7.80,                  3616474.45,453447
,AGCNET,EQ,       275.75,                  4078912.65,14855
,AGRODUTCH,EQ,         3.95,                    75507.65,18820
,AHLEAST,EQ,       242.60,                    14577.00,60
,AHLUCONT,EQ,        44.50,                  3158585.15,70226
,AHLWEST,EQ,       130.00,                    19546.05,153
,AHMEDFORGE,EQ,       132.80,                  1499772.65,11353
,AIAENG,EQ,       331.30,                   917841.05,2765
,AICHAMP,BE,        19.80,                    13289.15,721
,AIL,EQ,       382.55,                 22625193.65,58894
,AJANTPHARM,EQ,       388.10,                 17432764.15,45433
,AJMERA,EQ,       105.40,                   951574.55,8894
,AKSHOPTFBR,EQ,        14.15,                  1055909.95,75530
,AKZOINDIA,EQ,       863.30,                  5179871.30,5966
,ALBK,EQ,       127.05,                233468341.10,1818754
,ALCHEM,EQ,        62.20,                 13012757.50,196879
,ALEMBICLTD,EQ,        14.95,                  1043749.55,68964
,ALICON,EQ,        58.05,                    98946.75,1681
,ALKALI,EQ,        25.35,                    89729.30,3516
,ALKYLAMINE,EQ,       110.20,                    29665.10,260
,ALLCARGO,EQ,       138.60,                   347626.05,2527
,ALLSEC,BE,        32.05,                    47456.10,1497
,ALMONDZ,EQ,         8.05,                       33.20,4
,ALOKTEXT,EQ,        15.90,                 88990184.90,5547817
,ALPA,EQ,         8.20,                    19815.85,2440
,ALPHAGEO,BE,        44.95,                    46788.75,1039
,ALPINEHOU,EQ,         8.55,                      730.10,94
,ALPSINDUS,EQ,         1.85,                     7391.60,3920
,ALSTOMT&D,EQ,       184.80,                  2772429.50,15090
,AMAR,EQ,        72.80,                 18728472.15,254857
,AMARAJABAT,EQ,       387.85,                274764951.30,711930
,AMARJOTHI,EQ,        42.05,                    37510.00,900
,AMBIKCO,EQ,       182.60,                   180811.25,990
,AMDIND,EQ,        15.95,                   330771.15,19165
,AMLSTEEL,EQ,         8.15,                     9024.80,1102
,AMRUTANJAN,EQ,       773.00,                 19124943.60,24596
,AMTEKAUTO,EQ,        96.75,                 14737886.45,151741
,AMTEKINDIA,EQ,        97.40,                 24168825.85,247517
,AMTL,BE,        16.80,                    42363.40,2414
,ANANTRAJ,EQ,        44.85,                 24536406.05,530143
,ANDHRACEMT,EQ,         8.55,                    48724.05,5671
,ANDHRSUGAR,EQ,       148.90,                  2659144.00,17801
,ANGIND,EQ,        15.30,                    78120.05,5311
,ANIKINDS,EQ,        34.05,                   578338.15,17663
,ANKURDRUGS,BE,        13.70,                    87835.90,6385
,ANSALAPI,EQ,        25.50,                  1176834.20,45906
,ANSALHSG,EQ,        45.00,                   218806.10,4858
,ANTGRAPHIC,EQ,          .20,                    26890.35,125219
,APARINDS,EQ,       133.70,                   249919.50,1875
,APCOTEXIND,EQ,       165.75,                   192907.80,1158
,APLAB,EQ,        25.00,                     1880.20,77
,APLAPOLLO,EQ,       166.75,                   110028.35,660
,APLLTD,EQ,        62.85,                 10730243.90,172932
,APOLLOHOSP,EQ,       625.65,                 68837553.05,110308
,APOLLOTYRE,EQ,        91.30,                559552281.40,6177834
,APPAPER,EQ,       300.00,                 39849059.50,131744
,APTECHT,EQ,        73.15,                105982587.00,1421082
,AQUA,EQ,        10.00,                  4426699.40,442455
,ARCHIDPLY,EQ,         8.55,                    32305.50,3763
,ARCHIES,EQ,        22.95,                   714743.70,30874
,ARIES,EQ,        57.45,                   728288.90,12441
,ARIHANT,EQ,        41.25,                       41.25,1
,AROGRANITE,EQ,        32.70,                     3689.80,113
,ARROWTEX,BE,         7.05,                    28171.15,4003
,ARSHIYA,EQ,       125.75,                 21642346.30,169724
,ARSSINFRA,EQ,        41.60,                 23623959.75,556846
,ARVIND,EQ,        69.85,                 63045278.75,893994
,ARVINDREM,EQ,        24.55,                   653927.75,26251
,ASAHIINDIA,EQ,        66.00,                   375931.25,5672
,ASAHISONG,EQ,        88.15,                   398037.35,4463
,ASAL,EQ,        46.30,                    32609.85,702
,ASHAPURMIN,EQ,        27.00,                  1216293.00,45059
,ASHCONIUL,BE,         1.15,                    29139.10,25049
,ASHIANA,EQ,       155.75,                   153608.50,986
,ASHIMASYN,BE,         3.40,                    25000.00,7500
,ASHOKA,EQ,       261.35,                  1381392.90,5275
,ASIANELEC,BE,         4.50,                   129325.50,28739
,ASIANHOTNR,EQ,       187.20,                    20545.80,110
,ASIANTILES,EQ,        46.00,                       46.00,1
,ASSAMCO,EQ,         5.50,                  1582391.20,285867
,ASTEC,EQ,        26.15,                   231068.45,9048
,ASTERSILI,EQ,         8.65,                    36482.55,4181
,ASTRAL,EQ,       245.80,                  2994243.25,12319
,ASTRAMICRO,EQ,        43.05,                  9492535.85,216394
