,21-AUG-2012
The Nifty witnessed an intraday movement of about 56.45 points.The closing index was 1.02 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 9357.05
, Traded Quantity (in Lakhs), 5137.11
, Number of Trades, 4824260
, Total Market Capitalisation (Rs. Crores), 6114551.81

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,S&P CNX Nifty,      5366.30,      5368.70,      5425.15,      5368.70,      5421.00,54.7
,CNX IT,      5980.65,      5994.10,      6131.80,      5994.10,      6085.30,104.65
,CNX Nifty Junior,     10190.55,     10190.90,     10224.10,     10149.50,     10217.55,27
,S&P CNX Defty,      3339.55,      3346.95,      3386.75,      3346.95,      3384.35,44.8
,BANK Nifty,     10417.90,     10436.85,     10484.55,     10353.85,     10469.50,51.6
,CNX Midcap,      7275.75,      7276.25,      7303.70,      7258.20,      7295.55,19.8
,S&P CNX 500,      4223.70,      4225.05,      4259.90,      4225.05,      4257.95,34.25
,CNX 100,      5238.70,      5240.70,      5289.95,      5240.70,      5286.20,47.5
,Nifty Midcap 50,      2094.50,      2095.00,      2103.95,      2087.90,      2101.60,7.1
,CNX Realty,       216.35,       216.75,       220.05,       216.75,       219.75,3.4
,CNX Infra,      2363.50,      2360.60,      2387.55,      2357.65,      2385.05,21.55
,CNX Energy,      7885.30,      7881.95,      7957.65,      7881.95,      7947.55,62.25
,CNX FMCG,     13306.20,     13303.50,     13369.15,     13236.35,     13350.95,44.75
,CNX MNC,      5493.80,      5492.85,      5577.75,      5486.15,      5571.50,77.7
,CNX Pharma,      5524.95,      5524.15,      5541.70,      5504.00,      5528.45,3.5
,CNX PSE,      2909.90,      2906.10,      2945.80,      2906.10,      2944.95,35.05
,CNX PSU Bank,      2839.80,      2844.05,      2853.85,      2823.90,      2847.90,8.1
,CNX Service,      6300.25,      6305.65,      6389.75,      6305.65,      6382.45,82.2
,India VIX,        15.73,        15.73,        16.49,        15.71,        16.30,.57
,CNX AUTO,      4014.35,      4022.60,      4074.45,      4022.60,      4067.70,53.35
,CNX Metal,      2741.25,      2736.55,      2766.60,      2713.20,      2762.65,21.4
,CNX Media,      1361.60,      1366.75,      1383.10,      1351.85,      1374.10,12.5
,CNX Smallcap,      3323.50,      3334.40,      3341.20,      3314.60,      3330.30,6.8
,CNX 200,      2695.15,      2696.10,      2719.75,      2696.10,      2718.05,22.9
,CNX Dividend Oppt,      1534.55,      1533.60,      1542.95,      1530.80,      1542.15,7.6
,CNX Commodities,      2400.90,      2400.50,      2425.70,      2393.75,      2423.25,22.35
,CNX Consumption,      1960.95,      1961.25,      1977.00,      1959.40,      1975.40,14.45
,CNX Finance,      4346.60,      4351.10,      4405.65,      4340.95,      4398.45,51.85
,Nifty Dividend,        62.26,        62.26,        62.26,        62.26,        62.26,0

,ADVANCES,815
,DECLINES,673
,UNCHANGED,85

,Total securities that have hit their price bands today,129

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,MCDOWELL-N,EQ,       921.70,       982.15,6.56,549.08
,SBIN,EQ,      1897.05,      1915.10,0.95,375.68
,INFY,EQ,      2351.05,      2409.00,2.46,368.01
,BHARTIARTL,EQ,       262.30,       258.55,-1.43,364.26
,HDFC,EQ,       713.30,       732.50,2.69,304.4
,TATAMOTORS,EQ,       240.20,       246.20,2.5,241.94
,TATASTEEL,EQ,       394.80,       392.10,-0.68,220.06
,RELIANCE,EQ,       816.10,       814.25,-0.23,206.38
,ICICIBANK,EQ,       962.15,       975.20,1.36,201.66
,LT,EQ,      1451.85,      1466.75,1.03,180.47
,ITC,EQ,       262.10,       260.75,-0.52,166.16
,RELCAPITAL,EQ,       352.35,       371.55,5.45,163.44
,AXISBANK,EQ,      1110.20,      1110.70,0.05,144.61
,RELINFRA,EQ,       510.50,       514.60,0.8,142.51
,MARUTI,EQ,      1177.55,      1187.90,0.88,140.58
,TCS,EQ,      1278.60,      1298.65,1.57,132.91
,HINDUNILVR,EQ,       503.40,       513.60,2.03,131.45
,HINDALCO,EQ,       113.70,       112.35,-1.19,129.95
,HDFCBANK,EQ,       595.10,       596.40,0.22,123.39
,WOCKPHARMA,EQ,      1299.05,      1264.40,-2.67,106.28
,HDIL,EQ,        82.50,        82.60,0.12,105.47
,HEROMOTOCO,EQ,      1935.20,      1921.05,-0.73,97.66
,DLF,EQ,       209.00,       216.10,3.4,94.13
,JSWSTEEL,EQ,       720.65,       733.20,1.74,90.21
,CIPLA,EQ,       354.95,       359.95,1.41,88.51

,Top Five S&P CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,STER,EQ,       113.90,       109.00,4.5
,SESAGOA,EQ,       193.65,       187.10,3.5
,DLF,EQ,       216.10,       209.00,3.4
,NTPC,EQ,       173.75,       168.05,3.39
,AMBUJACEM,EQ,       194.25,       188.95,2.8

,Top Five S&P CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BHARTIARTL,EQ,       258.55,       262.30,-1.43
,HINDALCO,EQ,       112.35,       113.70,-1.19
,PNB,EQ,       719.80,       727.35,-1.04
,CAIRN,EQ,       331.85,       334.50,-0.79
,HEROMOTOCO,EQ,      1921.05,      1935.20,-0.73

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,       117.85,                 15233303.65,130080
,3IINFOTECH,BE,         8.10,                 14631229.10,1775183
,3MINDIA,EQ,      3986.45,                   827321.20,208
,A2ZMES,EQ,        79.40,                 52786131.50,655600
,AANJANEYA,EQ,       622.05,                 16451790.45,26057
,AARTIDRUGS,EQ,       141.40,                  1970303.75,13823
,AARTIIND,EQ,        72.40,                  1204817.75,16550
,AARVEEDEN,EQ,        42.10,                   170198.85,4050
,ABAN,EQ,       423.85,                337652547.15,794002
,ABB,EQ,       770.75,                 22435467.65,29114
,ABBOTINDIA,EQ,      1587.50,                  1621665.90,1025
,ABCIL,EQ,        83.80,                  3645846.65,41101
,ABGSHIP,EQ,       360.50,                  7017668.30,19386
,ABHISHEK,EQ,         6.95,                     9186.35,1310
,ACE,EQ,        24.25,                   280441.50,11606
,ACROPETAL,EQ,        14.95,                  6469211.15,429206
,ADANIPOWER,EQ,        42.10,                 61743114.25,1469108
,ADFFOODS,EQ,        50.60,                   196428.20,3870
,ADHUNIK,EQ,        28.70,                  1354960.15,47496
,ADORWELD,EQ,       136.05,                   292118.95,2143
,ADSL,EQ,        24.95,                   751786.15,30174
,ADVANIHOTR,EQ,        27.75,                     1387.50,50
,ADVANTA,EQ,       498.95,                 12725133.80,25403
,AEGISCHEM,EQ,       120.40,                  5641404.85,46411
,AFL,EQ,        33.25,                   203323.50,6196
,AFTEK,EQ,         7.70,                   876400.05,113873
,AGCNET,EQ,       305.35,                 11543487.55,38998
,AGRODUTCH,EQ,         4.00,                    64710.65,16131
,AHLEAST,EQ,       239.45,                    26591.95,111
,AHLUCONT,EQ,        43.20,                   202812.85,4613
,AHLWEST,EQ,       127.15,                    10612.65,82
,AHMEDFORGE,EQ,       133.70,                   694350.60,5219
,AIAENG,EQ,       334.40,                 53963724.55,161090
,AICHAMP,BE,        19.90,                    19019.90,1001
,AIL,EQ,       381.65,                  9299150.90,24357
,AJANTPHARM,EQ,       405.50,                 36096455.80,90123
,AJMERA,EQ,       105.10,                  2049632.40,19207
,AKSHOPTFBR,EQ,        13.60,                  1740238.35,127324
,AKZOINDIA,EQ,       869.80,                  1822346.40,2099
,ALBK,EQ,       127.45,                104548366.30,822321
,ALCHEM,EQ,        60.95,                  1283550.20,20842
,ALEMBICLTD,EQ,        15.95,                  3540053.45,221612
,ALICON,EQ,        59.80,                    20832.50,350
,ALKALI,EQ,        25.70,                    59103.50,2296
,ALKYLAMINE,EQ,       114.85,                     9556.40,86
,ALLCARGO,EQ,       135.40,                   769146.65,5640
,ALLSEC,BE,        32.40,                    13387.00,417
,ALMONDZ,EQ,         8.35,                     4791.85,564
,ALOKTEXT,EQ,        15.95,                 38250425.55,2402135
,ALPA,EQ,         8.60,                   121063.80,14469
,ALPHAGEO,BE,        44.55,                    15764.90,357
,ALPINEHOU,EQ,         8.95,                      895.00,100
,ALPSINDUS,EQ,         1.90,                    53562.10,28170
,ALSTOMT&D,EQ,       187.45,                  4586920.25,24622
,AMAR,EQ,        70.60,                 17762107.80,245503
,AMARAJABAT,EQ,       390.20,                155071242.50,400042
,AMARJOTHI,EQ,        40.00,                     5225.75,130
,AMBIKCO,EQ,       186.45,                   361581.70,1905
,AMDIND,EQ,        15.60,                    48952.45,3104
,AMLSTEEL,EQ,         8.50,                     6040.25,758
,AMRUTANJAN,EQ,       771.30,                 14180390.85,18347
,AMTEKAUTO,EQ,        96.75,                 12944416.95,133454
,AMTEKINDIA,EQ,        97.55,                 20514670.55,210837
,AMTL,BE,        16.20,                   223578.30,13704
,ANANTRAJ,EQ,        46.95,                 10443327.85,224760
,ANDHRACEMT,EQ,         8.65,                    42040.25,4938
,ANDHRSUGAR,EQ,       151.45,                  1050490.40,6964
,ANGIND,EQ,        14.95,                    47444.60,3186
,ANIKINDS,EQ,        33.85,                  3056733.15,89791
,ANKURDRUGS,BE,        13.75,                   206481.80,14979
