,22-AUG-2012
The Nifty witnessed an intraday movement of about 38.55 points.The closing index was 0.15 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 8898.96
, Traded Quantity (in Lakhs), 5282.55
, Number of Trades, 5035637
, Total Market Capitalisation (Rs. Crores), 6103658.41

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,S&P CNX Nifty,      5421.00,      5395.75,      5433.35,      5394.80,      5412.85,-8.15
,CNX IT,      6085.30,      6070.20,      6115.65,      6064.95,      6099.10,13.8
,CNX Nifty Junior,     10217.55,     10213.80,     10230.75,     10155.55,     10167.15,-50.4
,S&P CNX Defty,      3384.35,      3367.15,      3399.80,      3367.15,      3382.30,-2.05
,BANK Nifty,     10469.50,     10413.95,     10533.70,     10401.75,     10472.20,2.7
,CNX Midcap,      7295.55,      7294.85,      7311.60,      7253.00,      7257.90,-37.65
,S&P CNX 500,      4257.95,      4243.80,      4266.20,      4243.80,      4249.65,-8.3
,CNX 100,      5286.20,      5264.95,      5295.90,      5264.55,      5275.55,-10.65
,Nifty Midcap 50,      2101.60,      2100.90,      2104.00,      2078.35,      2081.60,-20
,CNX Realty,       219.75,       219.10,       219.65,       216.60,       217.35,-2.4
,CNX Infra,      2385.05,      2369.20,      2373.80,      2352.70,      2356.20,-28.85
,CNX Energy,      7947.55,      7906.30,      7957.70,      7889.05,      7902.40,-45.15
,CNX FMCG,     13350.95,     13325.45,     13407.55,     13303.60,     13357.85,6.9
,CNX MNC,      5571.50,      5560.70,      5579.15,      5548.60,      5561.05,-10.45
,CNX Pharma,      5528.45,      5528.15,      5581.05,      5522.00,      5551.50,23.05
,CNX PSE,      2944.95,      2933.10,      2955.70,      2932.40,      2946.85,1.9
,CNX PSU Bank,      2847.90,      2832.65,      2862.30,      2828.55,      2841.30,-6.6
,CNX Service,      6382.45,      6351.45,      6384.80,      6345.90,      6361.10,-21.35
,India VIX,        16.30,        16.30,        16.53,        15.79,        16.00,-.3
,CNX AUTO,      4067.70,      4052.70,      4099.35,      4052.50,      4077.70,10
,CNX Metal,      2762.65,      2751.30,      2771.85,      2748.10,      2756.65,-6
,CNX Media,      1374.10,      1373.90,      1373.90,      1358.85,      1361.40,-12.7
,CNX Smallcap,      3330.30,      3329.85,      3341.80,      3318.75,      3322.80,-7.5
,CNX 200,      2718.05,      2708.20,      2723.00,      2707.55,      2712.30,-5.75
,CNX Dividend Oppt,      1542.15,      1538.85,      1546.90,      1537.60,      1541.60,-.55
,CNX Commodities,      2423.25,      2414.85,      2426.35,      2412.15,      2416.30,-6.95
,CNX Consumption,      1975.40,      1969.15,      1976.75,      1965.55,      1967.20,-8.2
,CNX Finance,      4398.45,      4374.90,      4405.60,      4370.95,      4383.80,-14.65
,Nifty Dividend,        62.26,        62.26,        62.26,        62.26,        62.26,0

,ADVANCES,676
,DECLINES,815
,UNCHANGED,80

,Total securities that have hit their price bands today,113

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,MCDOWELL-N,EQ,       982.15,       945.75,-3.71,555.64
,SBIN,EQ,      1915.10,      1912.15,-0.15,484.82
,BHARTIARTL,EQ,       258.55,       248.65,-3.83,278.34
,TATAMOTORS,EQ,       246.20,       248.10,0.77,215.3
,ICICIBANK,EQ,       975.20,       973.85,-0.14,210.26
,HDFC,EQ,       732.50,       726.40,-0.83,200.62
,RELCAPITAL,EQ,       371.55,       364.60,-1.87,171.98
,RELIANCE,EQ,       814.25,       807.80,-0.79,161.94
,JETAIRWAYS,EQ,       380.55,       397.20,4.38,157.84
,INFY,EQ,      2409.00,      2433.60,1.02,155.92
,TATASTEEL,EQ,       392.10,       392.55,0.11,149.04
,HDFCBANK,EQ,       596.40,       596.90,0.08,143.28
,LT,EQ,      1466.75,      1457.25,-0.65,126.01
,AXISBANK,EQ,      1110.70,      1108.00,-0.24,118.2
,RELINFRA,EQ,       514.60,       510.25,-0.85,100.88
,RANBAXY,EQ,       514.05,       533.60,3.8,100.88
,HDIL,EQ,        82.60,        79.50,-3.75,100.23
,JSWSTEEL,EQ,       733.20,       720.55,-1.73,88.56
,JPASSOCIAT,EQ,        77.20,        77.20,0,88.28
,MARUTI,EQ,      1187.90,      1183.15,-0.4,83.57
,HINDUNILVR,EQ,       513.60,       512.85,-0.15,82.13
,SKSMICRO,EQ,       121.80,       125.70,3.2,77.94
,ITC,EQ,       260.75,       261.65,0.35,77.34
,DLF,EQ,       216.10,       214.95,-0.53,77.14
,TCS,EQ,      1298.65,      1291.65,-0.54,73.65

,Top Five S&P CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,RANBAXY,EQ,       533.60,       514.05,3.8
,BPCL,EQ,       348.90,       338.75,3
,BANKBARODA,EQ,       645.20,       636.85,1.31
,INFY,EQ,      2433.60,      2409.00,1.02
,DRREDDY,EQ,      1676.10,      1659.95,.97

,Top Five S&P CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BHARTIARTL,EQ,       248.65,       258.55,-3.83
,SESAGOA,EQ,       190.50,       193.65,-1.63
,STER,EQ,       112.10,       113.90,-1.58
,IDFC,EQ,       142.10,       144.35,-1.56
,PNB,EQ,       709.55,       719.80,-1.42

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,       116.35,                  8125588.45,69282
,3IINFOTECH,BE,         7.75,                 13442876.20,1712131
,3MINDIA,EQ,      3947.55,                  1786678.95,451
,A2ZMES,EQ,        79.00,                 54705723.00,685138
,AANJANEYA,EQ,       612.65,                 28846043.20,46407
,AARTIDRUGS,EQ,       139.05,                   848975.45,6088
,AARTIIND,EQ,        73.15,                  2442632.20,33481
,AARVEEDEN,EQ,        41.10,                   152765.85,3762
,ABAN,EQ,       409.45,                226018198.55,541578
,ABB,EQ,       764.40,                 27924304.70,36483
,ABBOTINDIA,EQ,      1597.45,                  3002795.75,1874
,ABCIL,EQ,        82.15,                   652998.20,7750
,ABGSHIP,EQ,       375.75,                 74083263.55,198173
,ABHISHEK,EQ,         6.90,                     4670.60,657
,ACE,EQ,        23.90,                   751451.30,31242
,ACROPETAL,EQ,        14.95,                  2506439.05,167556
,ADANIPOWER,EQ,        41.90,                 93234706.30,2217142
,ADFFOODS,EQ,        51.10,                   311052.50,6044
,ADHUNIK,EQ,        29.00,                  1169532.00,40502
,ADORWELD,EQ,       135.95,                   291760.45,2142
,ADSL,EQ,        24.45,                  1496050.50,60191
,ADVANTA,EQ,       494.05,                  7607045.00,15289
,AEGISCHEM,EQ,       118.40,                  2237532.15,18748
,AFL,EQ,        32.75,                   495341.65,14985
,AFTEK,EQ,         7.95,                  1943487.20,246913
,AGCNET,EQ,       366.40,                 40017053.30,114521
,AGRODUTCH,EQ,         3.95,                    44414.00,10991
,AHLEAST,EQ,       244.70,                     6309.30,26
,AHLUCONT,EQ,        38.25,                  2333115.50,59563
,AHLWEST,EQ,       128.25,                    17868.70,138
,AHMEDFORGE,EQ,       134.55,                  3107677.15,22577
,AIAENG,EQ,       341.75,                 76021433.90,223898
,AICHAMP,BE,        18.95,                      113.70,6
,AIL,EQ,       385.25,                 51979928.15,134202
,AJANTPHARM,EQ,       424.00,                 48820676.90,116392
,AJMERA,EQ,        99.55,                  3814561.10,37274
,AKSHOPTFBR,EQ,        14.10,                  1308401.40,93836
,AKZOINDIA,EQ,       872.70,                  2079669.40,2392
,ALBK,EQ,       126.50,                131270309.55,1035438
,ALCHEM,EQ,        59.75,                   615842.65,10282
,ALEMBICLTD,EQ,        15.70,                   937970.10,59033
,ALICON,EQ,        59.00,                    34220.00,580
,ALKALI,EQ,        26.60,                    83503.05,3171
,ALKYLAMINE,EQ,       117.75,                   253660.00,2182
,ALLCARGO,EQ,       133.95,                   622385.75,4598
,ALLSEC,BE,        31.40,                    38706.60,1229
,ALMONDZ,EQ,         8.45,                     4704.35,558
,ALOKTEXT,EQ,        15.55,                124606316.85,7935348
,ALPA,EQ,         9.30,                   625231.35,69807
,ALPHAGEO,BE,        42.80,                    69462.20,1614
,ALPINEHOU,EQ,         9.35,                       18.70,2
,ALPSINDUS,EQ,         1.95,                    15337.75,7936
,ALSTOMT&D,EQ,       188.35,                  3718284.75,19960
,AMAR,EQ,        70.15,                  8232399.55,116468
,AMARAJABAT,EQ,       380.25,                 50767191.50,131886
,AMARJOTHI,EQ,        42.00,                    33641.75,801
,AMBIKCO,EQ,       187.60,                   267677.55,1428
,AMDIND,EQ,        15.80,                    82228.30,5233
,AMLSTEEL,EQ,         8.85,                     2106.35,251
,AMRUTANJAN,EQ,       770.30,                 12553394.20,16228
,AMTEKAUTO,EQ,        97.20,                  9745365.70,100905
,AMTEKINDIA,EQ,        97.60,                 21976799.90,225336
,AMTL,BE,        16.50,                    75841.70,4740
,ANANTRAJ,EQ,        46.10,                  5458658.40,118043
,ANDHRACEMT,EQ,         8.50,                    97008.40,11258
,ANDHRSUGAR,EQ,       152.95,                  2510098.90,16467
,ANGIND,EQ,        13.85,                   105025.95,7531
,ANIKINDS,EQ,        34.00,                   473357.75,13962
,ANKURDRUGS,BE,        13.40,                   116232.15,8599
,ANSALAPI,EQ,        25.10,                  2618259.05,103235
,ANSALHSG,EQ,        45.10,                   237458.50,5276
,ANTGRAPHIC,EQ,          .20,                    29612.50,131550
,APARINDS,EQ,       130.65,                   166294.05,1272
,APCOTEXIND,EQ,       168.95,                   246088.80,1460
,APLAPOLLO,EQ,       157.75,                   134939.05,848
,APLLTD,EQ,        68.15,                 21833748.35,326851
,APOLLOHOSP,EQ,       632.05,                 31524784.90,49821
,APOLLOTYRE,EQ,        93.90,                399739337.75,4201509
,APPAPER,EQ,       295.55,                 16562473.35,55779
,APTECHT,EQ,        71.85,                 23188879.10,319109
,AQUA,EQ,         9.80,                   390053.35,38820
,ARCHIDPLY,EQ,         8.50,                    35713.50,4217
,ARCHIES,EQ,        23.20,                   686887.30,29696
,ARIES,EQ,        57.60,                   661571.05,11656
,AROGRANITE,EQ,        33.65,                    30928.45,919
,ARROWTEX,BE,         6.85,                    13316.20,1933
,ARSHIYA,EQ,       130.60,                 10202703.05,76877
,ARSSINFRA,EQ,        40.90,                  9140097.35,218480
,ARVIND,EQ,        68.95,                 53768863.65,775220
,ARVINDREM,EQ,        27.35,                  3293530.45,119590
,ASAHIINDIA,EQ,        71.50,                  7449731.55,104509
,ASAHISONG,EQ,        88.50,                   423356.65,4815
,ASAL,EQ,        47.05,                    21844.40,467
,ASHAPURMIN,EQ,        29.75,                 22782011.95,782043
,ASHCONIUL,BE,         1.20,                    21342.60,17798
,ASHIANA,EQ,       160.50,                  2761648.55,17233
,ASHIMASYN,BE,         3.70,                    54008.50,14694
,ASHOKA,EQ,       260.10,                   980556.00,3764
,ASIANHOTNR,EQ,       185.25,                    21129.95,114
,ASIANTILES,EQ,        45.80,                    12855.15,283
,ASSAMCO,EQ,         5.45,                  1496696.05,270434
,ASTEC,EQ,        30.40,                  1643914.30,52905
,ASTERSILI,BE,         8.50,                    21714.45,2580
,ASTRAL,EQ,       272.65,                  1521510.35,5659
,ASTRAMICRO,EQ,        43.85,                  2268142.95,52216
,ASTRAZEN,EQ,      1799.35,                105311622.50,59157
,ATFL,EQ,       450.30,                  4166319.80,9256
,ATLANTA,EQ,        55.55,                   399862.75,7164
,ATLASCYCLE,EQ,       423.95,                107911572.65,252204
,ATNINTER,EQ,          .65,                      263.25,405
,ATUL,EQ,       309.40,                 92032626.90,295646
,AURIONPRO,EQ,       111.05,                    47966.90,432
,AUROPHARMA,EQ,       107.35,                239328523.65,2227899
,AUSTRAL,BE,          .90,                    72417.85,79059
,AUTOAXLES,EQ,       339.50,                   176337.90,516
,AUTOIND,EQ,       176.60,                192315356.20,1030495
,AUTOLITIND,EQ,        20.20,                   346495.55,17575
,AVANTI,EQ,       146.95,                  1876746.90,12526
,AVTNPL,EQ,        32.90,                   891107.00,26855
,AXIS-IT&T,EQ,       100.95,                 50814731.05,486951
,AXISGOLD,EQ,      2943.05,                  1232094.70,418
,BAGFILMS,BE,         4.00,                   100550.25,25235
,BAJAJCORP,EQ,       178.55,                 28485228.15,159746
,BAJAJELEC,EQ,       178.05,                  2459616.80,13761
,BAJAJFINSV,EQ,       926.20,                149355534.80,158608
,BAJAJHIND,EQ,        31.65,                 56927647.35,1770473
,BAJAJHLDNG,EQ,       804.15,                 26417186.50,32983
,BAJFINANCE,EQ,      1081.60,                  7120995.95,6591
,BALAJITELE,EQ,        46.00,                 12699908.85,278544
,BALAMINES,EQ,        47.15,                  3181135.10,68086
,BALKRISIND,EQ,       280.30,                 24443172.95,87649
,BALLARPUR,EQ,        18.70,                  1271838.10,68128
,BALMLAWRIE,EQ,       621.75,                  9122898.50,14750
,BALPHARMA,EQ,        19.80,                    31574.95,1598
,BALRAMCHIN,EQ,        64.65,                132056519.70,2014799
,BANARISUG,EQ,       902.40,                   737445.45,819
,BANCOINDIA,EQ,        57.10,                   420384.30,7399
,BANG,BE,        16.30,                     4878.00,303
,BANKBEES,EQ,      1052.58,                   373611.87,355
,BANSWRAS,EQ,        67.50,                    66550.25,985
,BARTRONICS,EQ,        24.10,                  1046584.75,43114
,BASF,EQ,       657.45,                 39208155.25,59059
,BASML,BE,        85.00,                   844859.05,9751
,BATAINDIA,EQ,       901.20,                293741981.05,328566
,BAYERCROP,EQ,       957.25,                 13740988.35,14249
,BBL,EQ,       577.40,                  1830415.50,3164
,BBTC,EQ,       545.30,                 17673200.90,31843
,BEARDSELL,EQ,        39.80,                    28845.00,725
,BECREL,BE,         6.20,                      403.00,65
,BEDMUTHA,BE,        12.05,                    64221.50,5255
,BEML,EQ,       278.05,                 73695134.80,264181
,BEPL,EQ,        18.50,                     6019.05,334
,BERGEPAINT,EQ,       136.00,                  7645645.60,55876
,BFINVEST,EQ,        42.60,                   331809.70,7722
,BFUTILITIE,EQ,       441.20,                423525711.90,955085
,BGLOBAL,EQ,         5.95,                     5840.00,1000
,BGRENERGY,EQ,       272.25,                 87169038.55,318919
,BHAGWATIHO,EQ,        64.50,                   690579.05,10622
,BHAGYNAGAR,EQ,        14.00,                   595360.90,42558
,BHARATGEAR,EQ,        62.95,                   183929.85,2872
,BHARATRAS,EQ,       139.60,                   101979.00,724
,BHARTISHIP,EQ,        70.15,                 50461535.20,706971
,BHUSANSTL,EQ,       469.35,                 39851831.15,84729
,BIL,EQ,        48.85,                   843793.00,16991
,BILENERGY,EQ,        74.00,                   120471.15,1626
,BILPOWER,BE,        35.15,                   116079.00,3310
,BIMETAL,EQ,       251.75,                   140442.05,558
,BINANIIND,EQ,       103.15,                   759901.40,7321
,BINDALAGRO,EQ,        33.45,                  2009335.85,59473
,BIRLACORPN,EQ,       217.30,                   314365.60,1444
,BIRLACOT,EQ,          .25,                   147434.45,666917
,BIRLAERIC,EQ,         8.95,                    58250.20,6363
,BIRLAMONEY,EQ,        13.10,                    58844.95,4550
,BIRLAPOWER,BE,          .35,                   228611.20,612920
,BLBLIMITED,BE,         3.80,                     1900.00,500
,BLISSGVS,EQ,        37.40,                 11600378.10,308346
,BLKASHYAP,EQ,         9.10,                   157935.95,17288
,BLUECHIP,EQ,          .70,                      465.00,700
,BLUECOAST,BE,       119.50,                     7092.60,54
,BLUEDART,EQ,      2026.00,                   330102.15,162
,BLUESTARCO,EQ,       183.80,                 16586147.85,89621
,BLUESTINFO,EQ,        62.95,                    64931.50,1044
,BOC,EQ,       421.90,                 15080443.55,35624
,BODALCHEM,BE,         9.95,                     9153.40,932
,BODHTREE,EQ,        17.25,                    12695.00,740
,BOMDYEING,EQ,       494.50,                 87263654.85,174917
,BPL,EQ,        16.80,                   620017.85,36664
,BRANDHOUSE,EQ,        13.80,                   329929.10,23614
,BRFL,EQ,       237.80,                   110127.85,462
,BRIGADE,EQ,        47.65,                  3336875.25,69898
,BRITANNIA,EQ,       474.15,                 36311968.05,76630
,BRITANNIA,N1,       171.81,                   170307.96,991
,BROADCAST,EQ,         7.90,                     6380.70,800
,BROOKS,EQ,        16.95,                   345696.40,20537
,BSELINFRA,EQ,         2.95,                    43192.30,14426
,BSL,EQ,        14.95,                    22845.50,1503
,BSLGOLDETF,EQ,      2983.90,                   131355.00,44
,BSLNIFTY,EQ,        53.56,                     1690.88,33
,BSTRANSCOM,EQ,       197.65,                  6654311.05,33481
,BURNPUR,EQ,         6.05,                    74554.10,12256
,BVCL,EQ,        10.10,                     9877.75,985
,CADILAHC,EQ,       877.75,                 39873038.70,45326
