,30-AUG-2012
The Nifty witnessed an intraday movement of about 87.75 points.The closing index was 0.52 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 15011.04
, Traded Quantity (in Lakhs), 8424.56
, Number of Trades, 5614213
, Total Market Capitalisation (Rs. Crores), 5985237.49

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,S&P CNX Nifty,      5287.80,      5268.60,      5342.80,      5255.05,      5315.05,27.25
,CNX IT,      6099.15,      6086.80,      6181.15,      6058.00,      6144.55,45.4
,CNX Nifty Junior,      9876.80,      9875.05,      9921.50,      9821.45,      9898.40,21.6
,S&P CNX Defty,      3292.70,      3276.60,      3329.95,      3269.10,      3312.50,19.8
,BANK Nifty,     10011.90,      9978.20,     10130.90,      9959.05,     10085.20,73.3
,CNX Midcap,      7042.15,      7041.45,      7080.30,      6996.90,      7072.05,29.9
,S&P CNX 500,      4143.60,      4132.95,      4173.15,      4119.10,      4162.95,19.35
,CNX 100,      5149.45,      5133.35,      5194.40,      5118.55,      5173.75,24.3
,Nifty Midcap 50,      1998.25,      1997.50,      2005.30,      1980.30,      2001.55,3.3
,CNX Realty,       198.60,       198.25,       202.15,       196.65,       201.75,3.15
,CNX Infra,      2240.10,      2231.65,      2257.90,      2218.05,      2251.95,11.85
,CNX Energy,      7729.75,      7712.15,      7766.55,      7666.85,      7737.30,7.55
,CNX FMCG,     13698.65,     13667.25,     13905.90,     13622.80,     13793.60,94.95
,CNX MNC,      5497.75,      5469.35,      5571.50,      5461.75,      5516.40,18.65
,CNX Pharma,      5618.00,      5623.05,      5669.75,      5613.70,      5650.30,32.3
,CNX PSE,      2875.35,      2870.30,      2884.60,      2851.30,      2875.25,-.1
,CNX PSU Bank,      2697.80,      2688.85,      2723.35,      2676.65,      2719.40,21.6
,CNX Service,      6206.85,      6183.35,      6270.20,      6166.00,      6253.95,47.1
,India VIX,        16.74,        16.74,        17.04,        16.55,        16.67,-.07
,CNX AUTO,      3927.20,      3910.10,      3962.70,      3880.55,      3931.20,4
,CNX Metal,      2600.90,      2589.80,      2601.25,      2567.75,      2590.00,-10.9
,CNX Media,      1306.00,      1306.15,      1326.35,      1300.40,      1321.90,15.9
,CNX Smallcap,      3160.30,      3154.60,      3173.60,      3134.05,      3168.10,7.8
,CNX 200,      2645.20,      2637.75,      2668.10,      2629.35,      2658.30,13.1
,CNX Dividend Oppt,      1505.50,      1502.75,      1516.25,      1494.50,      1508.15,2.65
,CNX Commodities,      2336.90,      2329.15,      2337.60,      2318.00,      2330.90,-6
,CNX Consumption,      1945.65,      1941.10,      1962.40,      1935.75,      1951.35,5.7
,CNX Finance,      4214.25,      4196.60,      4278.20,      4181.10,      4255.10,40.85
,Nifty Dividend,        63.27,        63.27,        63.27,        63.27,        63.27,0

,ADVANCES,739
,DECLINES,726
,UNCHANGED,95

,Total securities that have hit their price bands today,141

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,HDFC,EQ,       715.05,       726.60,1.62,1064.13
,TECHM,EQ,       834.90,       793.05,-5.01,708.47
,ICICIBANK,EQ,       916.40,       919.95,0.39,507.53
,RELIANCE,EQ,       782.15,       783.40,0.16,486.05
,MTNL,EQ,        43.15,        40.30,-6.6,436.17
,ITC,EQ,       269.35,       270.60,0.46,431.68
,MCDOWELL-N,EQ,       978.50,       979.20,0.07,407.66
,SBIN,EQ,      1829.90,      1839.70,0.54,395.77
,HDFCBANK,EQ,       588.55,       595.90,1.25,337.55
,INFY,EQ,      2388.30,      2392.70,0.18,333.97
,LT,EQ,      1349.35,      1354.65,0.39,333.85
,AXISBANK,EQ,      1018.45,      1013.25,-0.51,267.73
,TCS,EQ,      1343.30,      1367.15,1.78,226.12
,BHARTIARTL,EQ,       242.30,       242.85,0.23,223.94
,JPASSOCIAT,EQ,        64.00,        65.60,2.5,221.4
,TATAMOTORS,EQ,       233.40,       236.75,1.44,208.41
,TATASTEEL,EQ,       374.40,       365.90,-2.27,206.3
,HINDUNILVR,EQ,       522.55,       528.70,1.18,185.52
,DLF,EQ,       190.85,       198.55,4.03,183.41
,HCLTECH,EQ,       547.55,       546.55,-0.18,148.62
,M&M,EQ,       771.80,       772.00,0.03,147.65
,ONGC,EQ,       275.45,       275.80,0.13,142.17
,JINDALSTEL,EQ,       359.60,       352.90,-1.86,133.74
,HEROMOTOCO,EQ,      1849.05,      1823.60,-1.38,130.32
,JSWSTEEL,EQ,       689.05,       695.00,0.86,123.32

,Top Five S&P CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,DLF,EQ,       198.55,       190.85,4.03
,IDFC,EQ,       138.45,       135.05,2.52
,JPASSOCIAT,EQ,        65.60,        64.00,2.5
,POWERGRID,EQ,       121.75,       119.05,2.27
,HINDALCO,EQ,       106.10,       103.80,2.22

,Top Five S&P CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,GAIL,EQ,       356.50,       364.85,-2.29
,TATASTEEL,EQ,       365.90,       374.40,-2.27
,MARUTI,EQ,      1143.60,      1167.80,-2.07
,JINDALSTEL,EQ,       352.90,       359.60,-1.86
,STER,EQ,        98.05,        99.45,-1.41

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,       120.55,                 11714202.55,96546
,3IINFOTECH,BE,         7.65,                  4203181.25,553284
,3MINDIA,EQ,      4116.05,                  1603032.70,390
,A2ZMES,EQ,        58.70,                 72553227.85,1231891
,AANJANEYA,EQ,       572.60,                 66121341.55,114533
,AARTIDRUGS,EQ,       134.50,                   134974.80,1004
,AARTIIND,EQ,        71.60,                  1018607.00,14375
,AARVEEDEN,EQ,        37.25,                    22206.80,597
,ABAN,EQ,       399.75,                315935009.65,811518
,ABB,EQ,       709.85,                 87495432.10,122226
,ABBOTINDIA,EQ,      1588.95,                   633457.35,399
,ABCIL,EQ,        78.80,                   138883.55,1752
,ABGSHIP,EQ,       342.25,                 13190471.55,38480
,ABHISHEK,EQ,         7.40,                    24354.80,3428
,ACE,EQ,        17.65,                  7307076.70,420140
,ACROPETAL,EQ,        14.10,                  2150099.45,151744
,ADANIPOWER,EQ,        37.70,                 91888680.75,2448792
,ADFFOODS,EQ,        47.50,                    65594.25,1387
,ADHUNIK,EQ,        27.85,                   443551.15,15911
,ADORWELD,EQ,       127.80,                   519911.20,4053
,ADSL,EQ,        22.40,                  1032247.45,46995
,ADVANIHOTR,EQ,        25.00,                      500.00,20
,ADVANTA,EQ,       525.85,                 14870192.00,28625
,AEGISCHEM,EQ,       120.25,                   924388.40,7698
,AFL,EQ,        31.05,                   259951.75,8357
,AFTEK,EQ,         6.70,                   720881.75,107771
,AGCNET,EQ,       380.85,                  8345302.95,22118
,AGRODUTCH,EQ,         3.75,                    24473.30,6397
,AHLEAST,EQ,       220.65,                    59503.15,269
,AHLUCONT,EQ,        33.85,                    56675.70,1680
,AHLWEST,EQ,       130.00,                    34476.95,265
,AHMEDFORGE,EQ,       125.05,                   202434.25,1614
,AIAENG,EQ,       340.30,                  3766727.45,11083
,AICHAMP,BE,        20.20,                     1373.60,68
,AIL,EQ,       377.15,                 59582536.10,158854
,AJANTPHARM,EQ,       416.85,                 10152571.30,24537
,AJMERA,EQ,       102.45,                  1542323.05,15135
,AKSHOPTFBR,EQ,        13.95,                  1138938.90,82414
,AKZOINDIA,EQ,       884.40,                 20209366.20,23352
,ALBK,EQ,       117.50,                184893157.00,1573456
,ALCHEM,EQ,        57.70,                   332990.45,5748
,ALEMBICLTD,EQ,        15.75,                   502844.95,31934
,ALICON,EQ,        57.20,                     5720.00,100
,ALKALI,EQ,        24.05,                    11258.95,467
,ALKYLAMINE,EQ,       109.15,                    14202.10,129
,ALLCARGO,EQ,       129.70,                   385128.70,2990
,ALLSEC,BE,        33.85,                    67771.85,1993
,ALMONDZ,EQ,         7.65,                       23.30,3
,ALOKTEXT,EQ,        11.50,                186475530.90,15975196
,ALPA,EQ,         9.00,                    20645.00,2300
,ALPHAGEO,BE,        42.50,                   116245.30,2724
,ALPINEHOU,EQ,        11.25,                     3723.75,307
,ALPSINDUS,EQ,         1.90,                    17251.40,9081
,ALSTOMT&D,EQ,       187.00,                  7160724.15,38456
,AMAR,EQ,        58.90,                   298269.60,5064
,AMARAJABAT,EQ,       370.80,                 94787182.35,254968
,AMBIKCO,EQ,       176.70,                    30277.90,173
,AMDIND,EQ,        15.30,                   157943.20,10317
,AMLSTEEL,EQ,         7.95,                     3008.25,410
,AMRUTANJAN,EQ,       752.15,                  6291651.10,8414
,AMTEKAUTO,EQ,        88.45,                 14577323.00,161776
,AMTEKINDIA,EQ,        96.70,                 24420553.40,252947
,AMTL,EQ,        16.65,                    49439.05,3031
,ANANTRAJ,EQ,        44.80,                  6724858.45,149855
,ANDHRACEMT,EQ,         8.25,                   101271.40,12374
,ANDHRSUGAR,EQ,       150.75,                  2690818.10,17897
,ANGIND,EQ,        13.05,                   105391.65,8390
,ANIKINDS,EQ,        33.10,                  2625148.15,79498
,ANKURDRUGS,BE,        12.95,                    16262.50,1260
,ANSALAPI,EQ,        22.65,                  1466099.40,65181
