,31-AUG-2012
The Nifty witnessed an intraday movement of about 64.35 points.The closing index was 1.06 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 10907.47
, Traded Quantity (in Lakhs), 6042.93
, Number of Trades, 5268757
, Total Market Capitalisation (Rs. Crores), 5942509.58

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,S&P CNX Nifty,      5315.05,      5298.20,      5303.25,      5238.90,      5258.50,-56.55
,CNX IT,      6144.55,      6120.90,      6120.90,      6061.80,      6072.35,-72.2
,CNX Nifty Junior,      9898.40,      9897.20,      9953.70,      9828.65,      9892.15,-6.25
,S&P CNX Defty,      3312.50,      3296.50,      3299.15,      3260.80,      3274.20,-38.3
,BANK Nifty,     10085.20,     10037.00,     10130.95,      9948.70,      9990.50,-94.7
,CNX Midcap,      7072.05,      7071.60,      7114.05,      7034.45,      7065.85,-6.2
,S&P CNX 500,      4162.95,      4153.60,      4162.50,      4115.45,      4129.90,-33.05
,CNX 100,      5173.75,      5159.65,      5167.85,      5105.30,      5126.30,-47.45
,Nifty Midcap 50,      2001.55,      2000.80,      2015.65,      1983.85,      1994.30,-7.25
,CNX Realty,       201.75,       200.55,       202.95,       197.75,       199.00,-2.75
,CNX Infra,      2251.95,      2242.20,      2250.20,      2220.60,      2233.85,-18.1
,CNX Energy,      7737.30,      7720.00,      7731.40,      7580.20,      7620.20,-117.1
,CNX FMCG,     13793.60,     13772.40,     13775.70,     13589.65,     13641.60,-152
,CNX MNC,      5516.40,      5508.50,      5509.45,      5421.80,      5455.05,-61.35
,CNX Pharma,      5650.30,      5641.25,      5692.20,      5619.00,      5648.95,-1.35
,CNX PSE,      2875.25,      2873.95,      2873.95,      2821.70,      2841.55,-33.7
,CNX PSU Bank,      2719.40,      2715.20,      2752.80,      2702.90,      2719.25,-.15
,CNX Service,      6253.95,      6230.50,      6261.75,      6182.20,      6208.10,-45.85
,India VIX,        16.67,        16.67,        17.35,        16.59,        17.30,.63
,CNX AUTO,      3931.20,      3924.70,      3929.45,      3869.60,      3889.25,-41.95
,CNX Metal,      2590.00,      2583.05,      2586.55,      2533.10,      2554.80,-35.2
,CNX Media,      1321.90,      1322.00,      1325.75,      1306.55,      1310.30,-11.6
,CNX Smallcap,      3168.10,      3164.55,      3183.50,      3151.90,      3158.40,-9.7
,CNX 200,      2658.30,      2651.75,      2657.30,      2625.45,      2635.60,-22.7
,CNX Dividend Oppt,      1508.15,      1506.45,      1506.75,      1491.60,      1496.40,-11.75
,CNX Commodities,      2330.90,      2326.20,      2327.00,      2290.40,      2303.75,-27.15
,CNX Consumption,      1951.35,      1947.85,      1950.65,      1932.65,      1936.45,-14.9
,CNX Finance,      4255.10,      4242.05,      4278.25,      4205.40,      4233.25,-21.85
,Nifty Dividend,        63.27,        63.90,        63.90,        63.90,        63.90,.63

,ADVANCES,634
,DECLINES,833
,UNCHANGED,87

,Total securities that have hit their price bands today,132

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,HDFC,EQ,       726.60,       735.30,1.2,1473.91
,SBIN,EQ,      1839.70,      1837.35,-0.13,514.6
,MCDOWELL-N,EQ,       979.20,       969.15,-1.03,389.82
,ICICIBANK,EQ,       919.95,       902.15,-1.93,321.38
,AXISBANK,EQ,      1013.25,       991.80,-2.12,273.51
,RELIANCE,EQ,       783.40,       766.40,-2.17,260.39
,LT,EQ,      1354.65,      1342.90,-0.87,224.51
,HDFCBANK,EQ,       595.90,       595.35,-0.09,186.19
,HINDUNILVR,EQ,       528.70,       515.10,-2.57,176.63
,TATASTEEL,EQ,       365.90,       361.40,-1.23,173.41
,INFY,EQ,      2392.70,      2361.65,-1.3,172.06
,TATAMOTORS,EQ,       236.75,       234.30,-1.03,159.38
,BHARTIARTL,EQ,       242.85,       247.80,2.04,150.34
,IDFC,EQ,       138.45,       134.05,-3.18,146.26
,ITC,EQ,       270.60,       267.65,-1.09,139.86
,CIPLA,EQ,       372.30,       376.45,1.11,128.58
,STER,EQ,        98.05,        96.15,-1.94,126.27
,IGL,EQ,       245.45,       238.95,-2.65,125.78
,JPASSOCIAT,EQ,        65.60,        64.55,-1.6,123.24
,HDIL,EQ,        68.95,        66.85,-3.05,122.73
,ONGC,EQ,       275.80,       275.90,0.04,120.31
,TCS,EQ,      1367.15,      1343.75,-1.71,119.32
,JSWSTEEL,EQ,       695.00,       693.70,-0.19,114.47
,JINDALSTEL,EQ,       352.90,       352.15,-0.21,109.97
,CAIRN,EQ,       342.40,       340.05,-0.69,109.96

,Top Five S&P CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BHARTIARTL,EQ,       247.80,       242.85,2.04
,HDFC,EQ,       735.30,       726.60,1.2
,CIPLA,EQ,       376.45,       372.30,1.11
,GRASIM,EQ,      2989.80,      2975.90,.47
,RANBAXY,EQ,       551.70,       549.50,.4

,Top Five S&P CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BPCL,EQ,       334.85,       348.00,-3.78
,HEROMOTOCO,EQ,      1763.00,      1823.60,-3.32
,IDFC,EQ,       134.05,       138.45,-3.18
,KOTAKBANK,EQ,       574.10,       592.55,-3.11
,BHEL,EQ,       213.25,       219.10,-2.67

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,       118.45,                 13102153.60,109431
,3IINFOTECH,BE,         7.85,                  3311835.65,421875
,3MINDIA,EQ,      4047.50,                  1345969.85,331
,A2ZMES,EQ,        56.35,                 70275461.35,1208838
,AANJANEYA,EQ,       604.65,                 66572441.75,111535
,AARTIDRUGS,EQ,       135.85,                   473459.45,3465
,AARTIIND,EQ,        71.50,                  1167959.30,16242
,AARVEEDEN,EQ,        36.75,                    29612.35,788
,ABAN,EQ,       400.85,                254424152.60,631225
,ABB,EQ,       713.95,                 35470931.70,49714
,ABBOTINDIA,EQ,      1608.75,                  4136657.10,2575
,ABCIL,EQ,        78.30,                   235194.20,3033
,ABGSHIP,EQ,       340.80,                  4470947.85,13075
,ABHISHEK,EQ,         7.40,                     1487.40,201
,ACE,EQ,        18.00,                  1337417.30,72983
,ACROPETAL,EQ,        14.25,                   499440.65,35002
,ADANIPOWER,EQ,        39.80,                 93890987.45,2399695
,ADFFOODS,EQ,        47.15,                   164495.70,3485
,ADHUNIK,EQ,        28.10,                  1216688.30,42862
,ADORWELD,EQ,       126.75,                   308326.60,2423
,ADSL,EQ,        21.85,                   777455.35,35156
,ADVANTA,EQ,       563.25,                128559306.35,233350
,AEGISCHEM,EQ,       119.00,                   919505.75,7704
,AFL,EQ,        30.65,                   252663.20,8189
,AFTEK,EQ,         6.65,                   413239.50,61716
,AGCNET,EQ,       390.45,                 22631975.10,56913
,AGRODUTCH,EQ,         3.65,                    19963.35,5379
,AHLEAST,EQ,       220.00,                   164703.20,752
,AHLUCONT,EQ,        34.15,                    90677.35,2624
,AHLWEST,EQ,       130.95,                     7640.95,59
,AHMEDFORGE,EQ,       126.40,                   269640.70,2147
,AIAENG,EQ,       335.15,                  2160160.80,6478
,AIL,EQ,       374.00,                 12464413.40,33225
,AJANTPHARM,EQ,       415.40,                  5765124.65,13750
,AJMERA,EQ,       102.00,                  9278911.50,87868
,AKSHOPTFBR,EQ,        13.70,                   993180.85,72395
,AKZOINDIA,EQ,       885.65,                  1765586.25,2014
,ALBK,EQ,       119.05,                126863704.85,1066276
,ALCHEM,EQ,        57.10,                   310702.05,5427
,ALEMBICLTD,EQ,        15.75,                   233226.25,14825
,ALICON,EQ,        57.05,                     5705.00,100
,ALKALI,EQ,        24.50,                     6893.90,281
,ALKYLAMINE,EQ,       110.00,                     2389.00,21
,ALLCARGO,EQ,       131.00,                   129027.45,1001
,ALLSEC,EQ,        33.40,                    10689.65,322
,ALMONDZ,EQ,         8.30,                    22689.95,2729
,ALOKTEXT,EQ,        11.85,                 58808831.00,4961322
,ALPA,EQ,         8.70,                    12558.75,1371
,ALPHAGEO,EQ,        43.05,                    10992.75,253
,ALPINEHOU,EQ,        11.80,                       34.30,3
,ALPSINDUS,EQ,         1.85,                     7788.40,4190
,ALSTOMT&D,EQ,       184.60,                  6779809.20,36753
,AMAR,EQ,        56.00,                   180656.00,3226
,AMARAJABAT,EQ,       375.00,                 23135933.05,62006
,AMBIKCO,EQ,       172.10,                    62268.20,360
,AMDIND,EQ,        15.10,                   157097.15,10305
,AMRUTANJAN,EQ,       749.80,                  4066578.80,5393
,AMTEKAUTO,EQ,        88.35,                  5454875.80,61568
,AMTEKINDIA,EQ,        97.75,                 28640805.10,292185
,AMTL,EQ,        16.50,                    12479.00,751
,ANANTRAJ,EQ,        44.80,                  7816223.80,173827
,ANDHRACEMT,EQ,         8.25,                   168653.45,20231
,ANDHRSUGAR,EQ,       149.15,                  1931715.55,12929
,ANGIND,EQ,        12.80,                     6071.75,473
,ANIKINDS,EQ,        33.10,                  1049526.70,32377
,ANKURDRUGS,EQ,        13.55,                   183208.85,13605
,ANSALAPI,EQ,        23.10,                   674559.65,29210
,ANSALHSG,EQ,        45.05,                   137229.95,3022
,ANTGRAPHIC,EQ,          .25,                     9048.95,43482
,APARINDS,EQ,       128.00,                   666437.35,5199
,APCOTEXIND,EQ,       156.25,                   206932.85,1322
