,01-OCT-2012
The Nifty witnessed an intraday movement of about 28.95 points.The closing index was 0.27 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 10486.43
, Traded Quantity (in Lakhs), 6521.2
, Number of Trades, 5334385
, Total Market Capitalisation (Rs. Crores), 6456966.31

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,S&P CNX Nifty,      5703.30,      5704.75,      5722.95,      5694.00,      5718.80,15.5
,CNX IT,      6313.80,      6327.40,      6449.25,      6327.40,      6435.40,121.6
,CNX Nifty Junior,     11042.75,     11044.70,     11123.25,     11044.70,     11115.00,72.25
,S&P CNX Defty,      3755.05,      3732.10,      3773.15,      3729.50,      3768.35,13.3
,BANK Nifty,     11456.80,     11462.10,     11466.05,     11366.40,     11420.45,-36.35
,CNX Midcap,      7840.55,      7841.00,      7919.00,      7841.00,      7916.85,76.3
,S&P CNX 500,      4504.35,      4505.30,      4525.00,      4504.30,      4522.95,18.6
,CNX 100,      5583.75,      5585.10,      5605.20,      5578.05,      5602.00,18.25
,Nifty Midcap 50,      2252.45,      2252.40,      2271.60,      2252.40,      2269.65,17.2
,CNX Realty,       245.40,       246.10,       247.20,       242.75,       246.05,.65
,CNX Infra,      2525.95,      2521.55,      2541.25,      2509.10,      2538.65,12.7
,CNX Energy,      8071.65,      8077.70,      8093.85,      8027.65,      8043.80,-27.85
,CNX FMCG,     14136.00,     14095.35,     14206.05,     14095.35,     14167.55,31.55
,CNX MNC,      5704.85,      5698.80,      5742.85,      5698.80,      5736.90,32.05
,CNX Pharma,      5623.00,      5642.80,      5659.25,      5620.60,      5635.40,12.4
,CNX PSE,      2971.60,      2972.30,      2979.70,      2963.90,      2972.30,.7
,CNX PSU Bank,      3369.50,      3372.10,      3396.85,      3364.30,      3389.55,20.05
,CNX Service,      6797.20,      6797.20,      6820.30,      6782.65,      6811.80,14.6
,India VIX,        16.16,        16.16,        16.77,        15.99,        16.34,.18
,CNX AUTO,      4369.55,      4378.90,      4415.35,      4372.55,      4399.95,30.4
,CNX Metal,      2768.40,      2776.70,      2784.90,      2741.75,      2777.10,8.7
,CNX Media,      1559.90,      1565.10,      1589.60,      1565.10,      1581.15,21.25
,CNX Smallcap,      3451.65,      3448.00,      3497.50,      3448.00,      3494.50,42.85
,CNX 200,      2876.45,      2877.15,      2888.60,      2874.95,      2887.10,10.65
,CNX Dividend Oppt,      1638.50,      1638.45,      1643.45,      1633.80,      1638.20,-.3
,CNX Commodities,      2495.10,      2496.15,      2511.40,      2488.00,      2509.60,14.5
,CNX Consumption,      2113.65,      2113.95,      2121.25,      2112.25,      2117.35,3.7
,CNX Finance,      4735.70,      4732.95,      4734.85,      4693.95,      4711.75,-23.95
,Nifty Dividend,        67.24,        67.24,        67.24,        67.24,        67.24,0

,ADVANCES,969
,DECLINES,551
,UNCHANGED,65

,Total securities that have hit their price bands today,134

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,MCDOWELL-N,EQ,      1216.10,      1239.05,1.89,377.28
,SBIN,EQ,      2240.60,      2270.15,1.32,359.66
,INFY,EQ,      2534.95,      2609.65,2.95,286.02
,TECHM,EQ,       972.05,      1025.55,5.5,266.54
,TATAMOTORS,EQ,       267.55,       274.70,2.67,257.25
,DLF,EQ,       233.25,       229.00,-1.82,227.65
,ICICIBANK,EQ,      1058.80,      1050.65,-0.77,227.35
,JPASSOCIAT,EQ,        82.25,        85.95,4.5,174.54
,RELCAPITAL,EQ,       431.45,       444.20,2.96,170.68
,HDIL,EQ,        97.40,       100.30,2.98,170.19
,RELIANCE,EQ,       837.20,       833.50,-0.44,166.29
,HCLTECH,EQ,       577.45,       581.15,0.64,151.19
,TATASTEEL,EQ,       400.90,       398.95,-0.49,149.67
,SATYAMCOMP,EQ,       110.75,       114.20,3.12,145.37
,AXISBANK,EQ,      1136.00,      1130.70,-0.47,144.55
,RELINFRA,EQ,       537.60,       553.15,2.89,143.79
,LT,EQ,      1596.80,      1606.70,0.62,140.68
,ITC,EQ,       272.40,       273.25,0.31,137.58
,HDFCBANK,EQ,       629.15,       622.85,-1,125.51
,JINDALSTEL,EQ,       427.15,       436.70,2.24,124.51
,JSWSTEEL,EQ,       756.95,       737.55,-2.56,122.14
,MARUTI,EQ,      1350.60,      1358.00,0.55,118.01
,M&M,EQ,       864.70,       863.65,-0.12,117.41
,TCS,EQ,      1295.90,      1302.95,0.54,116.9
,AMBUJACEM,EQ,       202.00,       209.50,3.71,112.76

,Top Five S&P CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,JPASSOCIAT,EQ,        85.95,        82.25,4.5
,AMBUJACEM,EQ,       209.50,       202.00,3.71
,INFY,EQ,      2609.65,      2534.95,2.95
,RELINFRA,EQ,       553.15,       537.60,2.89
,TATAMOTORS,EQ,       274.70,       267.55,2.67

,Top Five S&P CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,DLF,EQ,       229.00,       233.25,-1.82
,BANKBARODA,EQ,       784.65,       797.80,-1.65
,BAJAJ-AUTO,EQ,      1810.40,      1830.10,-1.08
,ONGC,EQ,       277.95,       280.85,-1.03
,PNB,EQ,       831.70,       840.30,-1.02

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,       119.75,                 57910638.55,490534
,3IINFOTECH,BE,         8.40,                 17116085.75,2072579
,3MINDIA,EQ,      4016.85,                   969510.45,238
,A2ZMES,EQ,        76.90,                192832515.35,2579606
,AANJANEYA,EQ,       684.35,                  7354154.45,10702
,AARTIDRUGS,EQ,       155.15,                   842347.30,5442
,AARTIIND,EQ,        77.45,                  1696429.65,21865
,AARVEEDEN,EQ,        40.10,                     4053.00,101
,ABAN,EQ,       445.80,                204055431.45,459607
,ABB,EQ,       793.55,                 56232949.65,70498
,ABBOTINDIA,EQ,      1587.20,                  3323623.75,2091
,ABCIL,EQ,        84.90,                   450704.00,5311
,ABGSHIP,EQ,       374.35,                 25176485.45,66842
,ABHISHEK,EQ,         7.25,                     8884.00,1224
,ACCELYA,BE,       205.10,                   632594.40,3099
,ACE,EQ,        26.30,                  1783849.30,67670
,ACROPETAL,EQ,        15.45,                  2367649.45,153018
,ADANIPOWER,EQ,        51.85,                 80333476.65,1549085
,ADFFOODS,EQ,        49.55,                   114909.35,2313
,ADHUNIK,EQ,        31.80,                 15924823.15,509442
,ADORWELD,EQ,       135.40,                   770567.30,5690
,ADSL,EQ,        24.15,                  2427646.05,100980
,ADVANTA,EQ,       748.65,                 12042900.65,16086
,AEGISCHEM,EQ,       159.45,                 46865785.30,294047
,AFL,EQ,        31.70,                    75713.35,2392
,AFTEK,EQ,         8.20,                  2595817.35,319072
,AGCNET,EQ,       401.20,                  2524393.80,6301
,AGRODUTCH,EQ,         4.00,                    27154.40,6844
,AHLEAST,EQ,       233.40,                    84530.35,365
,AHLUCONT,EQ,        40.10,                   125103.35,3102
,AHLWEST,EQ,       130.85,                    62927.45,483
,AHMEDFORGE,EQ,       141.30,                  5355078.40,37248
,AIAENG,EQ,       356.20,                  1408126.55,3949
,AICHAMP,BE,        19.95,                    42595.25,2226
,AIL,EQ,       407.05,                 17970757.95,43941
,AJANTPHARM,EQ,       417.05,                  6384514.90,15387
,AJMERA,EQ,       116.95,                  2260986.10,19257
,AKSHOPTFBR,EQ,        15.00,                   385518.00,25819
,AKZOINDIA,EQ,       869.90,                  4857255.75,5573
,ALBK,EQ,       148.80,                308268676.55,2077351
,ALCHEM,EQ,        53.05,                   388450.35,7295
,ALEMBICLTD,EQ,        16.10,                  1117063.90,69732
,ALICON,EQ,        69.90,                  1389040.70,19777
,ALKALI,EQ,        27.95,                   120190.65,4316
,ALKYLAMINE,EQ,       135.50,                    77986.10,579
,ALLCARGO,EQ,       136.00,                   517844.70,3835
,ALLSEC,EQ,        31.75,                   102481.75,3258
,ALMONDZ,EQ,         9.80,                   105279.45,10650
,ALOKTEXT,EQ,        12.85,                 90676327.85,7097717
,ALPA,EQ,        10.10,                  1458800.95,143016
,ALPHAGEO,EQ,        57.35,                    79538.40,1377
,ALPINEHOU,EQ,        17.20,                     1548.60,92
,ALPSINDUS,EQ,         1.95,                    23645.60,11823
,ALSTOMT&D,EQ,       214.30,                  8554319.85,39758
,AMAR,EQ,        36.65,                 55573392.65,1535360
,AMARAJABAT,EQ,       221.65,                 45009263.70,205645
,AMARJOTHI,EQ,        40.50,                      124.05,3
,AMBIKCO,EQ,       188.25,                   486332.70,2614
,AMDIND,EQ,        15.60,                     9315.60,601
,AMLSTEEL,EQ,         9.00,                    12138.75,1390
,AMRUTANJAN,EQ,       784.80,                 10748486.00,13679
,AMTEKAUTO,EQ,        89.45,                 25770180.60,288049
,AMTEKINDIA,EQ,        96.00,                 13626136.95,140864
,AMTL,EQ,        17.60,                    18286.90,1036
,ANANTRAJ,EQ,        76.80,                203307504.10,2733376
,ANDHRABANK,EQ,       113.90,                 70570177.55,619953
,ANDHRACEMT,EQ,         9.15,                  1494023.75,161268
,ANDHRSUGAR,EQ,       145.95,                  1991804.70,13617
,ANGIND,EQ,        13.35,                    12417.90,924
,ANIKINDS,EQ,        32.00,                   343865.20,10403
