,11-OCT-2012
The Nifty witnessed an intraday movement of about 84.15 points.The closing index was 0.99 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 12677.27
, Traded Quantity (in Lakhs), 8551.17
, Number of Trades, 5890990
, Total Market Capitalisation (Rs. Crores), 6462062.9

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,S&P CNX Nifty,      5652.15,      5663.50,      5721.10,      5636.95,      5708.05,55.9
,CNX IT,      6225.80,      6221.00,      6336.50,      6199.25,      6268.70,42.9
,CNX Nifty Junior,     11081.05,     11083.75,     11226.65,     11023.80,     11208.45,127.4
,S&P CNX Defty,      3694.20,      3694.60,      3760.25,      3677.10,      3748.85,54.65
,BANK Nifty,     11291.50,     11334.90,     11476.95,     11244.70,     11431.30,139.8
,CNX Midcap,      7814.55,      7814.80,      7926.60,      7780.40,      7915.85,101.3
,S&P CNX 500,      4477.30,      4483.70,      4531.85,      4465.45,      4523.60,46.3
,CNX 100,      5543.70,      5553.35,      5611.30,      5527.80,      5599.80,56.1
,Nifty Midcap 50,      2238.95,      2239.80,      2291.25,      2227.10,      2287.35,48.4
,CNX Realty,       240.05,       239.70,       252.40,       239.70,       251.70,11.65
,CNX Infra,      2505.65,      2513.55,      2559.15,      2492.80,      2556.25,50.6
,CNX Energy,      7906.95,      7938.50,      7987.15,      7888.80,      7965.75,58.8
,CNX FMCG,     14572.75,     14532.95,     14730.15,     14440.90,     14694.20,121.45
,CNX MNC,      5797.75,      5817.00,      5835.40,      5773.95,      5826.90,29.15
,CNX Pharma,      5637.00,      5640.50,      5651.45,      5564.10,      5598.60,-38.4
,CNX PSE,      2960.85,      2967.90,      3003.10,      2959.05,      2997.45,36.6
,CNX PSU Bank,      3289.25,      3294.35,      3380.70,      3249.85,      3362.85,73.6
,CNX Service,      6667.40,      6685.60,      6757.30,      6638.80,      6739.95,72.55
,India VIX,        16.83,        16.83,        17.24,        16.12,        16.49,-.34
,CNX AUTO,      4314.40,      4321.10,      4349.90,      4279.80,      4337.85,23.45
,CNX Metal,      2743.25,      2756.35,      2795.30,      2736.95,      2787.60,44.35
,CNX Media,      1525.95,      1539.70,      1542.10,      1508.15,      1536.20,10.25
,CNX Smallcap,      3449.80,      3450.30,      3489.90,      3431.30,      3488.05,38.25
,CNX 200,      2856.75,      2861.20,      2892.70,      2848.10,      2887.05,30.3
,CNX Dividend Oppt,      1624.50,      1625.45,      1646.15,      1618.20,      1642.80,18.3
,CNX Commodities,      2471.40,      2480.45,      2505.60,      2469.15,      2500.60,29.2
,CNX Consumption,      2097.55,      2099.30,      2116.35,      2086.25,      2112.35,14.8
,CNX Finance,      4645.00,      4662.45,      4711.55,      4623.20,      4699.05,54.05
,Nifty Dividend,        67.24,        67.24,        67.24,        67.24,        67.24,0

,ADVANCES,922
,DECLINES,565
,UNCHANGED,85

,Total securities that have hit their price bands today,116

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SBIN,EQ,      2223.55,      2267.15,1.96,656.78
,INFY,EQ,      2504.15,      2533.20,1.16,472.87
,ICICIBANK,EQ,      1054.20,      1057.95,0.36,453.99
,MCDOWELL-N,EQ,      1261.50,      1260.60,-0.07,366.27
,LT,EQ,      1616.50,      1653.15,2.27,280.79
,AXISBANK,EQ,      1106.80,      1133.70,2.43,272.36
,TATASTEEL,EQ,       411.60,       420.25,2.1,249.79
,HDFC,EQ,       741.20,       748.10,0.93,242.52
,DLF,EQ,       213.10,       221.20,3.8,230.76
,RELCAPITAL,EQ,       443.65,       458.25,3.29,228.44
,UNITECH,EQ,        23.20,        27.20,17.24,223.44
,RELIANCE,EQ,       816.00,       819.95,0.48,221.25
,HDIL,EQ,        99.60,       103.55,3.97,219
,JPASSOCIAT,EQ,        87.40,        91.00,4.12,214.76
,TATAMOTORS,EQ,       267.45,       273.80,2.37,212.4
,LUPIN,EQ,       566.95,       549.35,-3.1,179.29
,MARUTI,EQ,      1378.95,      1369.20,-0.71,174.69
,BHEL,EQ,       245.15,       251.65,2.65,174.03
,PANTALOONR,EQ,       188.70,       196.40,4.08,173.66
,ITC,EQ,       281.00,       283.50,0.89,164.51
,RELINFRA,EQ,       504.70,       517.70,2.58,156.04
,HDFCBANK,EQ,       617.95,       624.85,1.12,153.16
,TATAGLOBAL,EQ,       156.15,       160.05,2.5,138.3
,YESBANK,EQ,       393.20,       397.05,0.98,137.48
,IDFC,EQ,       151.30,       154.10,1.85,127.28

,Top Five S&P CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,JPASSOCIAT,EQ,        91.00,        87.40,4.12
,DLF,EQ,       221.20,       213.10,3.8
,PNB,EQ,       821.35,       797.05,3.05
,BANKBARODA,EQ,       788.65,       766.20,2.93
,BHEL,EQ,       251.65,       245.15,2.65

,Top Five S&P CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,LUPIN,EQ,       549.35,       566.95,-3.1
,CIPLA,EQ,       360.25,       367.30,-1.92
,WIPRO,EQ,       358.25,       360.85,-0.72
,MARUTI,EQ,      1369.20,      1378.95,-0.71
,ULTRACEMCO,EQ,      2038.70,      2048.85,-0.5

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,       117.75,                 14854865.35,125291
,3IINFOTECH,BE,         7.95,                  3371086.40,423077
,3MINDIA,EQ,      3946.40,                  2930812.10,735
,A2ZMES,EQ,        72.80,                 46608711.10,648369
,AANJANEYA,EQ,       655.30,                 16349341.95,25032
,AARTIDRUGS,EQ,       156.30,                  1048244.30,6723
,AARTIIND,EQ,        86.15,                  6091583.95,71628
,AARVEEDEN,EQ,        40.35,                    17178.75,422
,ABAN,EQ,       463.95,                228002912.00,493279
,ABB,EQ,       783.20,                126569477.85,161930
,ABBOTINDIA,EQ,      1527.05,                  2318147.35,1513
,ABCIL,EQ,        85.70,                   259210.80,3025
,ABGSHIP,EQ,       377.45,                 10894116.60,28989
,ABHISHEK,EQ,         7.35,                     6592.60,901
,ACCELYA,BE,       212.45,                  1662235.95,7848
,ACE,EQ,        25.40,                   640646.05,25205
,ACROPETAL,EQ,        15.60,                  1181441.60,76170
,ADANIPOWER,EQ,        50.45,                173413505.65,3513443
,ADFFOODS,EQ,        53.20,                   940938.25,17786
,ADHUNIK,EQ,        31.70,                  2058251.40,65207
,ADORWELD,EQ,       136.30,                   475292.45,3505
,ADSL,EQ,        23.95,                  1406554.20,59086
,ADVANIHOTR,EQ,        30.00,                     3920.00,134
,ADVANTA,EQ,       791.35,                 32206435.90,40492
,AEGISCHEM,EQ,       185.10,                 23892101.05,130510
,AFL,EQ,        32.70,                   175327.90,5369
,AFTEK,EQ,         8.50,                  1546651.75,181088
,AGCNET,EQ,       400.05,                  1014716.45,2535
,AGRODUTCH,EQ,         3.90,                    19565.45,5054
,AHLEAST,EQ,       236.85,                   191948.50,811
,AHLUCONT,EQ,        42.05,                    68087.10,1601
,AHLWEST,EQ,       130.55,                    13232.50,101
,AHMEDFORGE,EQ,       135.75,                   578321.75,4263
,AIAENG,EQ,       366.70,                   203482.55,556
,AICHAMP,BE,        19.90,                       41.40,2
,AIL,EQ,       400.65,                 18145797.70,45474
,AJANTPHARM,EQ,       386.85,                  3426594.35,8861
,AJMERA,EQ,       125.75,                  8016181.70,63806
,AKSHOPTFBR,EQ,        14.00,                  2178236.75,156113
,AKZOINDIA,EQ,       901.70,                 12817998.95,14276
,ALBK,EQ,       141.60,                359548038.75,2588316
,ALCHEM,EQ,        54.90,                  2426156.20,44440
,ALEMBICLTD,EQ,        16.15,                   675444.25,41784
,ALICON,EQ,        68.90,                   133295.60,1953
,ALKALI,EQ,        27.45,                   187262.35,6821
,ALKYLAMINE,EQ,       147.80,                   645943.85,4375
,ALLCARGO,EQ,       130.80,                   208184.70,1587
,ALLSEC,EQ,        32.75,                    35770.15,1102
,ALMONDZ,EQ,         8.40,                     1641.95,192
,ALOKTEXT,EQ,        12.60,                 50129406.00,3993039
,ALPA,EQ,        10.20,                    30238.80,3005
,ALPHAGEO,EQ,        53.00,                    69821.70,1302
,ALPINEHOU,EQ,        21.50,                    85738.60,3988
,ALPSINDUS,EQ,         2.00,                    13784.40,6926
,ALSTOMT&D,EQ,       206.15,                  3515717.40,16984
,AMAR,EQ,        43.60,                 14209700.45,329078
,AMARAJABAT,EQ,       218.70,                 23259860.50,106495
,AMBIKCO,EQ,       190.40,                   683785.00,3572
,AMDIND,EQ,        15.55,                    43375.90,2812
,AMLSTEEL,EQ,         8.45,                    10080.85,1193
,AMRUTANJAN,EQ,       777.40,                  8565454.05,11024
,AMTEKAUTO,EQ,        80.00,                 89567007.05,1111061
,AMTEKINDIA,EQ,        97.70,                 25968974.30,265707
,AMTL,EQ,        19.05,                   173981.45,9174
,ANANTRAJ,EQ,        80.15,                 69063314.80,859638
,ANDHRABANK,EQ,       109.35,                 97042006.95,898708
,ANDHRACEMT,EQ,         9.75,                   225630.35,23677
,ANDHRSUGAR,EQ,       149.30,                  2897247.10,19491
,ANGIND,EQ,        12.85,                     6824.45,530
