,18-OCT-2012
The Nifty witnessed an intraday movement of about 71.95 points.The closing index was 1.03 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 11654.01
, Traded Quantity (in Lakhs), 7267.14
, Number of Trades, 5579067
, Total Market Capitalisation (Rs. Crores), 6473959.67

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,S&P CNX Nifty,      5660.25,      5675.30,      5722.50,      5650.55,      5718.70,58.45
,CNX IT,      6045.15,      6043.10,      6098.75,      6020.40,      6088.85,43.7
,CNX Nifty Junior,     11073.00,     11077.15,     11180.30,     11066.60,     11174.85,101.85
,S&P CNX Defty,      3706.50,      3711.05,      3742.70,      3689.20,      3740.15,33.65
,BANK Nifty,     11358.25,     11406.45,     11594.60,     11364.20,     11586.35,228.1
,CNX Midcap,      7861.55,      7862.55,      7947.65,      7862.55,      7945.35,83.8
,S&P CNX 500,      4488.50,      4497.05,      4536.60,      4486.25,      4535.20,46.7
,CNX 100,      5549.90,      5562.80,      5609.40,      5542.75,      5606.25,56.35
,Nifty Midcap 50,      2251.40,      2252.10,      2283.10,      2250.80,      2281.30,29.9
,CNX Realty,       240.90,       242.05,       248.60,       241.20,       248.10,7.2
,CNX Infra,      2534.30,      2540.20,      2569.05,      2526.60,      2562.40,28.1
,CNX Energy,      7912.45,      7933.50,      7977.05,      7883.20,      7949.20,36.75
,CNX FMCG,     14844.70,     14853.10,     14960.70,     14773.85,     14945.50,100.8
,CNX MNC,      5838.80,      5854.65,      5884.85,      5842.60,      5849.65,10.85
,CNX Pharma,      5626.45,      5631.85,      5641.35,      5600.95,      5613.05,-13.4
,CNX PSE,      2963.80,      2968.30,      2980.90,      2959.90,      2972.10,8.3
,CNX PSU Bank,      3297.85,      3311.80,      3403.75,      3296.90,      3400.25,102.4
,CNX Service,      6661.25,      6677.15,      6753.90,      6651.85,      6749.05,87.8
,India VIX,        15.17,        15.17,        15.17,        14.15,        14.76,-.41
,CNX AUTO,      4278.40,      4291.85,      4341.05,      4287.80,      4334.45,56.05
,CNX Metal,      2726.95,      2734.15,      2761.90,      2718.65,      2757.25,30.3
,CNX Media,      1595.00,      1611.20,      1622.30,      1597.50,      1603.90,8.9
,CNX Smallcap,      3493.40,      3498.85,      3547.05,      3498.85,      3545.40,52
,CNX 200,      2862.00,      2868.00,      2893.60,      2859.85,      2892.10,30.1
,CNX Dividend Oppt,      1633.85,      1635.80,      1651.85,      1635.80,      1650.40,16.55
,CNX Commodities,      2481.05,      2489.20,      2504.00,      2480.05,      2497.10,16.05
,CNX Consumption,      2118.95,      2121.25,      2132.20,      2115.30,      2131.20,12.25
,CNX Finance,      4671.90,      4690.30,      4756.35,      4669.60,      4751.95,80.05
,Nifty Dividend,        67.24,        69.53,        69.53,        69.53,        69.53,2.29

,ADVANCES,989
,DECLINES,521
,UNCHANGED,84

,Total securities that have hit their price bands today,126

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SBIN,EQ,      2214.70,      2278.20,2.87,546.19
,RELIANCE,EQ,       805.15,       811.30,0.76,491.21
,AXISBANK,EQ,      1153.95,      1202.35,4.19,489.7
,ICICIBANK,EQ,      1049.55,      1064.95,1.47,480.93
,INFY,EQ,      2370.15,      2377.60,0.31,302.14
,ITC,EQ,       288.25,       291.60,1.16,245.79
,JPASSOCIAT,EQ,        90.95,        95.05,4.51,238.63
,DLF,EQ,       201.10,       205.15,2.01,217.51
,MCDOWELL-N,EQ,      1285.15,      1267.70,-1.36,214.66
,LT,EQ,      1626.25,      1652.10,1.59,200.81
,HDIL,EQ,       102.60,       105.55,2.88,182.49
,TATAMOTORS,EQ,       264.90,       270.25,2.02,178.45
,DISHTV,EQ,        80.50,        77.90,-3.23,167.75
,TATASTEEL,EQ,       407.20,       411.75,1.12,166.78
,HDFC,EQ,       752.85,       761.65,1.17,163.68
,LICHSGFIN,EQ,       250.90,       251.75,0.34,159.96
,KTKBANK,EQ,       123.40,       130.20,5.51,158.12
,RELCAPITAL,EQ,       444.05,       455.45,2.57,156.42
,HCLTECH,EQ,       580.55,       601.00,3.52,152.39
,CAIRN,EQ,       340.55,       337.95,-0.76,144.7
,ACC,EQ,      1427.65,      1416.15,-0.81,143.81
,AMBUJACEM,EQ,       203.20,       203.25,0.02,137.7
,BHARTIARTL,EQ,       270.55,       265.90,-1.72,134.55
,BANKBARODA,EQ,       770.35,       800.00,3.85,115.41
,RELINFRA,EQ,       504.25,       516.80,2.49,104.66

,Top Five S&P CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,JPASSOCIAT,EQ,        95.05,        90.95,4.51
,AXISBANK,EQ,      1202.35,      1153.95,4.19
,BANKBARODA,EQ,       800.00,       770.35,3.85
,HCLTECH,EQ,       601.00,       580.55,3.52
,TATAPOWER,EQ,       107.00,       103.95,2.93

,Top Five S&P CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BHARTIARTL,EQ,       265.90,       270.55,-1.72
,WIPRO,EQ,       346.10,       352.05,-1.69
,SUNPHARMA,EQ,       699.80,       711.50,-1.64
,ACC,EQ,      1416.15,      1427.65,-0.81
,GAIL,EQ,       368.20,       371.05,-0.77

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,       111.85,                 17125103.95,153353
,3IINFOTECH,BE,         7.65,                 14354492.20,1849740
,3MINDIA,EQ,      3934.35,                   443702.05,113
,A2ZMES,EQ,        66.25,                 22966629.90,345024
,AANJANEYA,EQ,       647.40,                 41553815.65,65577
,AARTIDRUGS,EQ,       169.00,                  3335366.30,20044
,AARTIIND,EQ,        87.10,                  2906338.25,33407
,AARVEEDEN,EQ,        54.35,                  4794409.00,86075
,ABAN,EQ,       473.25,                315153493.70,667991
,ABB,EQ,       780.60,                  9336442.25,11935
,ABBOTINDIA,EQ,      1484.85,                  7317558.65,4979
,ABCIL,EQ,        89.85,                   918242.20,10237
,ABGSHIP,EQ,       360.80,                  9709263.50,26819
,ABHISHEK,EQ,         7.25,                     7205.75,1011
,ACCELYA,BE,       235.15,                  3851166.90,16397
,ACE,EQ,        25.10,                   567904.50,22690
,ACROPETAL,EQ,        15.45,                   922845.70,59682
,ADANIPOWER,EQ,        50.15,                 79430473.35,1589402
,ADFFOODS,EQ,        55.75,                   369392.15,6692
,ADHUNIK,EQ,        33.05,                  2895151.10,87665
,ADORWELD,EQ,       138.50,                   839451.85,6089
,ADSL,EQ,        23.40,                   811226.95,34494
,ADVANTA,EQ,       796.00,                 15378751.10,19212
,AEGISCHEM,EQ,       179.80,                 16175835.35,89781
,AFL,EQ,        35.15,                   251814.40,7239
,AFTEK,EQ,         8.60,                  4698858.35,542443
,AGCNET,EQ,       407.20,                  1658129.55,4090
,AGRODUTCH,EQ,         3.85,                    40375.40,10540
,AHLEAST,EQ,       224.60,                   684033.35,3031
,AHLUCONT,EQ,        41.95,                   112456.75,2710
,AHLWEST,EQ,       133.85,                   389388.80,2918
,AHMEDFORGE,EQ,       137.50,                  1182309.70,8675
,AIAENG,EQ,       362.70,                   674989.70,1853
,AICHAMP,BE,        18.85,                     3448.30,200
,AIL,EQ,       418.85,                 10912606.55,26144
,AJANTPHARM,EQ,       374.45,                 14762868.45,40027
,AJMERA,BE,       116.70,                   855539.30,7344
,AKSHOPTFBR,EQ,        14.20,                   263102.00,18772
,AKZOINDIA,EQ,       930.75,                  9831289.30,10467
,ALBK,EQ,       143.10,                307792563.35,2184970
,ALCHEM,EQ,        53.00,                   456812.00,8610
,ALEMBICLTD,EQ,        15.95,                   766425.50,48233
,ALICON,EQ,        70.00,                  2204600.00,31500
,ALKALI,EQ,        27.35,                    84667.70,3079
,ALKYLAMINE,EQ,       149.65,                    46965.35,317
,ALLCARGO,EQ,       130.30,                   600153.45,4600
,ALLSEC,EQ,        32.65,                    27460.35,876
,ALMONDZ,EQ,         9.20,                      929.25,101
,ALOKTEXT,EQ,        12.10,                 35532676.60,2924372
,ALPA,EQ,        10.45,                   119374.05,11109
,ALPHAGEO,BE,        53.45,                    17268.95,321
,ALPINEHOU,EQ,        23.35,                     2397.75,105
,ALPSINDUS,EQ,         1.80,                   189020.85,104545
,ALSTOMT&D,EQ,       204.90,                  6336354.10,30908
,AMAR,EQ,        44.10,                 11136701.05,254184
,AMARAJABAT,EQ,       237.50,                117071345.55,500256
,AMARJOTHI,EQ,        43.00,                     6376.90,150
,AMBIKCO,EQ,       188.85,                    69180.00,366
,AMDIND,EQ,        15.80,                    14276.10,903
,AMLSTEEL,EQ,         7.65,                      494.00,60
,AMRUTANJAN,EQ,       838.95,                 54441376.80,65264
,AMTEKAUTO,EQ,        76.35,                 31029446.25,403213
,AMTEKINDIA,EQ,        99.75,                 20608101.30,207193
,AMTL,EQ,        21.00,                   246118.75,11750
,ANANTRAJ,EQ,        79.35,                106305707.55,1362007
,ANDHRABANK,EQ,       112.35,                110587256.70,1000463
,ANDHRACEMT,BE,         9.40,                    83714.90,8830
,ANDHRSUGAR,EQ,       147.15,                  2187749.00,14923
,ANGIND,EQ,        14.70,                    42951.40,3046
,ANIKINDS,EQ,        33.05,                   131277.60,3953
,ANKURDRUGS,BE,        15.75,                    66604.90,4233
,ANSALAPI,EQ,        30.25,                  6474170.45,215299
,ANSALHSG,EQ,        50.40,                   181675.10,3658
,ANTGRAPHIC,EQ,          .30,                    35637.80,108054
,APARINDS,EQ,       180.20,                 10779729.70,59673
,APCOTEXIND,EQ,       194.10,                  1225174.35,6351
,APLAB,EQ,        24.15,                    13252.50,550
,APLAPOLLO,EQ,       162.80,                   269843.90,1660
,APLLTD,EQ,        70.50,                  7709441.65,108620
,APOLLOTYRE,EQ,        85.95,                280517954.05,3255745
,APPAPER,EQ,       312.25,                 30316388.80,96983
,APTECHT,EQ,        71.00,                 16119093.75,226910
,AQUA,EQ,         9.20,                 12432582.55,1338950
,ARCHIDPLY,EQ,         9.90,                    14981.40,1518
,ARCHIES,EQ,        28.05,                  9447107.20,341480
,ARIES,EQ,        61.40,                   473743.35,7665
,ARIHANT,EQ,        51.50,                    32959.50,645
,AROGRANITE,EQ,        39.75,                   139286.55,3627
,ARROWTEX,EQ,         6.55,                    13293.75,1935
,ARSHIYA,EQ,       135.80,                 11322824.90,84551
,ARSSINFRA,BE,        50.70,                  5120693.90,102414
,ARVIND,EQ,        77.15,                103839596.20,1350449
,ARVINDREM,EQ,        31.40,                  1698067.10,53400
,ASAHIINDIA,EQ,        66.10,                  1884010.65,28572
,ASAHISONG,EQ,        92.75,                    80283.05,883
,ASAL,EQ,        49.85,                    20820.00,418
,ASHAPURMIN,BE,        34.95,                  4671579.65,134999
,ASHCONIUL,BE,         1.30,                     3510.00,2700
,ASHIANA,EQ,       177.50,                   335495.50,1908
,ASHIMASYN,BE,         6.00,                    33036.00,5506
,ASHOKA,EQ,       221.70,                   407333.25,1833
,ASIANHOTNR,EQ,       193.85,                   223016.10,1161
,ASIL,EQ,         1.35,                     1417.50,1050
,ASSAMCO,EQ,         6.45,                  2222347.20,347002
,ASTEC,BE,        33.40,                   446098.55,13371
,ASTERSILI,BE,         5.65,                    70156.05,12417
,ASTRAL,EQ,       308.05,                  2905655.15,9482
,ASTRAMICRO,EQ,        43.60,                  1460687.60,33549
,ASTRAZEN,EQ,      1625.75,                 23407330.20,14372
,ATFL,EQ,       431.35,                 22754204.25,52235
,ATLANTA,EQ,        38.25,                  4097378.90,107056
,ATLASCYCLE,EQ,       424.40,                 45256867.10,107415
,ATNINTER,EQ,          .65,                        1.30,2
,ATUL,EQ,       377.80,                 29486823.25,77504
,AURIONPRO,EQ,       117.40,                   164272.10,1374
,AUROPHARMA,EQ,       158.95,                251734313.05,1579750
,AUSOMENT,EQ,        18.25,                      182.50,10
,AUSTRAL,BE,         1.35,                    13500.00,10000
,AUTOAXLES,EQ,       391.85,                   324578.35,831
,AUTOIND,EQ,       191.95,                 18369237.25,95088
,AUTOLITIND,BE,        17.35,                     1922.50,110
,AVANTI,EQ,       164.65,                  3208504.70,18880
,AVTNPL,EQ,        40.85,                  1748120.40,42504
,AXIS-IT&T,EQ,        82.85,                   482299.30,5872
,AXISGOLD,EQ,      3023.20,                   926928.10,306
,BAGFILMS,EQ,         4.20,                   346946.60,82639
,BAJAJCORP,EQ,       193.20,                 73771630.60,387869
,BAJAJELEC,EQ,       231.40,                 30049159.85,130957
,BAJAJFINSV,EQ,       871.70,                 93539195.85,108133
,BAJAJHIND,EQ,        31.20,                 30721839.80,985359
,BAJFINANCE,EQ,      1290.90,                 54618286.85,42555
,BALAJITELE,EQ,        53.30,                  9683007.55,179960
,BALAMINES,EQ,        59.60,                   435357.15,7365
,BALKRISIND,EQ,       272.00,                 85142005.60,313067
,BALLARPUR,EQ,        23.00,                 26387949.95,1148625
,BALMLAWRIE,EQ,       639.85,                  4148457.35,6543
,BALPHARMA,EQ,        21.65,                    37624.35,1753
,BALRAMCHIN,EQ,        70.60,                 86004265.10,1209761
,BANARISUG,EQ,       900.25,                   343446.45,381
,BANCOINDIA,EQ,        65.40,                  1593276.75,24754
,BANG,EQ,        18.35,                    32667.80,1778
,BANKBEES,EQ,      1166.51,                  1205722.28,1042
,BANSWRAS,EQ,        67.00,                    96577.70,1464
,BARTRONICS,EQ,        24.35,                   951461.05,39418
,BASF,EQ,       677.95,                  4534901.95,6695
,BASML,BE,        87.35,                     9426.10,104
,BATAINDIA,EQ,       935.30,                209153279.35,223359
,BAYERCROP,EQ,      1076.25,                 11690924.15,10881
,BBL,EQ,       604.10,                   852559.45,1413
,BBTC,EQ,       574.85,                  2253398.20,3910
,BECREL,BE,         6.10,                    16236.50,2802
,BEDMUTHA,EQ,        12.55,                    79066.80,6230
,BEL,EQ,      1303.25,                 67197012.70,51970
,BEML,EQ,       314.15,                 20760262.10,66658
,BEPL,EQ,        16.75,                     3769.25,225
,BERGEPAINT,EQ,       143.15,                 27359733.75,190534
,BFINVEST,EQ,        44.10,                   358080.90,8120
,BFUTILITIE,EQ,       397.85,                 74508329.20,187583
,BGLOBAL,EQ,         7.20,                    16907.95,2369
,BGRENERGY,EQ,       274.55,                 56914034.85,207250
,BHAGWATIHO,EQ,        73.45,                   174282.90,2375
,BHAGYNAGAR,EQ,        14.15,                    17282.30,1221
,BHARATFORG,W2,        41.40,                  2070000.00,50000
,BHARATGEAR,EQ,        65.95,                   167464.85,2549
,BHARATRAS,EQ,       140.00,                    49189.95,351
,BHARTISHIP,EQ,        75.15,                  9171961.15,121734
,BHUSANSTL,EQ,       499.80,                 50737106.90,101336
,BIL,EQ,        88.85,                 35082112.75,404356
,BILENERGY,EQ,        52.10,                   278366.05,5344
,BILPOWER,EQ,        23.50,                  5568255.75,238962
,BIMETAL,EQ,       265.75,                   157161.85,592
,BINANIIND,EQ,       130.55,                  3779145.00,28974
,BINDALAGRO,EQ,        32.40,                  5146323.30,157299
,BIRLACORPN,EQ,       275.00,                  5715939.45,20740
,BIRLACOT,BE,          .20,                   120341.50,512109
,BIRLAERIC,EQ,         9.60,                     6628.60,681
,BIRLAMONEY,BE,        20.50,                   218693.80,10913
,BIRLAPOWER,BE,          .40,                   217486.00,522941
,BLBLIMITED,EQ,         3.25,                    88865.50,27675
,BLISSGVS,EQ,        41.00,                  1285857.50,31092
,BLKASHYAP,EQ,        11.25,                  1264815.85,112288
,BLUECHIP,EQ,          .60,                    42654.50,69370
,BLUECOAST,EQ,       125.75,                      503.00,4
,BLUEDART,EQ,      1772.45,                  1785650.30,1010
,BLUESTARCO,EQ,       206.90,                  7381800.70,35394
,BLUESTINFO,EQ,        64.05,                    41585.40,652
,BOC,EQ,       421.55,                  2675661.25,6362
,BOMDYEING,EQ,       548.90,                215388571.60,394427
,BPL,EQ,        20.25,                  3194984.35,154852
,BRANDHOUSE,EQ,        14.75,                   862653.10,58376
,BRFL,EQ,       266.95,                   322194.35,1202
,BRIGADE,EQ,        65.15,                  1491835.75,23016
,BRITANNIA,EQ,       488.45,                 37096102.75,75943
,BRITANNIA,N1,       177.00,                   357363.19,2019
,BROADCAST,EQ,         7.65,                    12486.35,1632
,BROOKS,EQ,        17.60,                   209555.45,11903
,BSELINFRA,EQ,         3.40,                    56291.25,16635
,BSL,EQ,        14.30,                     1571.50,110
,BSLGOLDETF,EQ,      3065.00,                   205528.15,67
,BSLNIFTY,EQ,        53.00,                      983.24,19
,BSTRANSCOM,EQ,       214.65,                 21228942.80,98494
,BURNPUR,EQ,        11.05,                  2650826.40,247137
,BVCL,BE,        10.65,                    13640.05,1306
,CADILAHC,EQ,       868.00,                 53874419.75,61909
,CALSOFT,EQ,        13.55,                      691.25,51
,CANDC,EQ,        65.65,                  2380192.70,36914
,CANFINHOME,EQ,       134.05,                102896671.65,811809
,CANTABIL,EQ,        18.60,                    37879.50,2034
,CARBORUNIV,EQ,       159.20,                   583424.80,3692
,CAREERP,EQ,       156.00,                   347445.95,2245
,CASTROL,EQ,       328.45,                 19641552.70,59546
,CCCL,EQ,        13.80,                   986140.25,70757
,CCL,EQ,       294.15,                  1549659.05,5271
,CEATLTD,EQ,       118.85,                 13135474.00,110847
,CEBBCO,EQ,       101.95,                 21389932.80,209780
,CELEBRITY,EQ,         4.50,                    13330.30,2728
,CELESTIAL,EQ,        15.35,                   135714.90,8816
,CENTENKA,EQ,       136.35,                 37336769.55,275110
,CENTEXT,EQ,         2.10,                    19660.55,9501
,CENTRALBK,EQ,        77.00,                 75176281.00,987554
,CENTUM,EQ,        68.70,                     1234.00,18
