,23-OCT-2012
The Nifty witnessed an intraday movement of about 39.35 points.The closing index was 0.45 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 8284.21
, Traded Quantity (in Lakhs), 5543.16
, Number of Trades, 4254633
, Total Market Capitalisation (Rs. Crores), 6438840.45

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,S&P CNX Nifty,      5717.15,      5715.65,      5720.80,      5681.45,      5691.40,-25.75
,CNX IT,      6112.80,      6090.25,      6100.70,      6053.20,      6063.15,-49.65
,CNX Nifty Junior,     11124.65,     11123.75,     11154.45,     11063.25,     11078.80,-45.85
,S&P CNX Defty,      3701.65,      3709.80,      3709.80,      3669.80,      3672.30,-29.35
,BANK Nifty,     11607.40,     11605.80,     11656.80,     11534.55,     11578.15,-29.25
,CNX Midcap,      7909.25,      7909.25,      7933.10,      7866.85,      7873.90,-35.35
,S&P CNX 500,      4528.45,      4527.55,      4534.50,      4505.45,      4510.00,-18.45
,CNX 100,      5601.30,      5600.00,      5606.30,      5567.90,      5576.40,-24.9
,Nifty Midcap 50,      2258.80,      2258.45,      2266.30,      2237.50,      2239.60,-19.2
,CNX Realty,       246.65,       246.80,       248.55,       244.60,       245.05,-1.6
,CNX Infra,      2566.60,      2564.85,      2584.95,      2564.85,      2568.90,2.3
,CNX Energy,      7940.70,      7924.80,      7935.00,      7878.05,      7893.20,-47.5
,CNX FMCG,     15006.15,     15032.55,     15032.55,     14846.50,     14890.35,-115.8
,CNX MNC,      5813.75,      5819.05,      5839.90,      5804.50,      5808.00,-5.75
,CNX Pharma,      5642.55,      5648.80,      5678.00,      5625.05,      5631.45,-11.1
,CNX PSE,      2951.35,      2946.45,      2954.65,      2934.10,      2935.70,-15.65
,CNX PSU Bank,      3359.15,      3350.90,      3385.25,      3340.55,      3346.60,-12.55
,CNX Service,      6744.45,      6740.05,      6755.75,      6704.10,      6715.40,-29.05
,India VIX,        13.04,        13.04,        14.22,        12.93,        13.71,.67
,CNX AUTO,      4295.40,      4288.65,      4288.75,      4252.40,      4263.45,-31.95
,CNX Metal,      2723.30,      2716.05,      2729.35,      2696.85,      2700.55,-22.75
,CNX Media,      1570.80,      1565.90,      1576.40,      1560.45,      1564.50,-6.3
,CNX Smallcap,      3507.10,      3511.85,      3527.00,      3488.05,      3490.50,-16.6
,CNX 200,      2888.25,      2887.60,      2891.65,      2871.95,      2875.80,-12.45
,CNX Dividend Oppt,      1645.00,      1642.15,      1646.75,      1635.35,      1637.80,-7.2
,CNX Commodities,      2478.95,      2476.45,      2482.95,      2463.05,      2465.65,-13.3
,CNX Consumption,      2132.45,      2131.10,      2131.10,      2118.55,      2121.10,-11.35
,CNX Finance,      4742.65,      4749.05,      4760.45,      4716.85,      4730.45,-12.2
,Nifty Dividend,        70.02,        70.02,        70.02,        70.02,        70.02,0

,ADVANCES,603
,DECLINES,884
,UNCHANGED,94

,Total securities that have hit their price bands today,115

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,LT,EQ,      1671.00,      1701.35,1.82,508.12
,SBIN,EQ,      2240.95,      2234.70,-0.28,314.66
,YESBANK,EQ,       387.05,       399.35,3.18,289.1
,MCDOWELL-N,EQ,      1291.75,      1263.85,-2.16,252.54
,ICICIBANK,EQ,      1075.60,      1079.45,0.36,245.95
,RELIANCE,EQ,       815.60,       809.95,-0.69,175.65
,AXISBANK,EQ,      1223.75,      1222.25,-0.12,168.56
,CAIRN,EQ,       337.90,       337.85,-0.01,150.54
,HDIL,EQ,       104.00,       103.35,-0.63,142.83
,INFY,EQ,      2385.55,      2353.10,-1.36,139.97
,HDFCBANK,EQ,       639.00,       634.10,-0.77,132.08
,LICHSGFIN,EQ,       247.00,       246.40,-0.24,117.2
,KTKBANK,EQ,       129.45,       134.65,4.02,116.8
,JPASSOCIAT,EQ,        96.00,        94.70,-1.35,116.8
,HDFC,EQ,       750.75,       750.55,-0.03,115.54
,ITC,EQ,       294.00,       290.00,-1.36,102.6
,ADANIENT,EQ,       223.35,       223.90,0.25,95.81
,DLF,EQ,       207.10,       205.45,-0.8,92.08
,RELCAPITAL,EQ,       444.55,       440.10,-1,89.79
,LUPIN,EQ,       569.80,       562.95,-1.2,89.62
,TATAMOTORS,EQ,       267.05,       264.60,-0.92,82.69
,TCS,EQ,      1318.90,      1314.60,-0.33,74.81
,HEROMOTOCO,EQ,      1827.65,      1795.75,-1.75,70.45
,TATASTEEL,EQ,       407.85,       404.40,-0.85,68.4
,BANKBARODA,EQ,       784.45,       783.90,-0.07,65.49

,Top Five S&P CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,LT,EQ,      1701.35,      1671.00,1.82
,BPCL,EQ,       348.55,       342.40,1.8
,SIEMENS,EQ,       694.85,       687.05,1.14
,IDFC,EQ,       153.65,       152.65,.66
,ICICIBANK,EQ,      1079.45,      1075.60,.36

,Top Five S&P CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,JINDALSTEL,EQ,       390.75,       400.45,-2.42
,KOTAKBANK,EQ,       620.70,       633.50,-2.02
,HEROMOTOCO,EQ,      1795.75,      1827.65,-1.75
,HINDALCO,EQ,       113.35,       115.15,-1.56
,ITC,EQ,       290.00,       294.00,-1.36

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,       110.70,                 17605872.30,157416
,3IINFOTECH,BE,         7.80,                  2060608.60,262400
,3MINDIA,EQ,      3887.00,                   846583.95,217
,A2ZMES,EQ,        63.30,                 25169377.90,392331
,AANJANEYA,EQ,       636.40,                 10612218.80,16620
,AARTIDRUGS,EQ,       176.90,                  4888279.50,27562
,AARTIIND,EQ,        92.50,                  9532988.20,102779
,AARVEEDEN,EQ,        50.80,                   469263.65,9174
,ABAN,EQ,       462.75,                150800891.60,324113
,ABB,EQ,       756.20,                 13971209.75,18299
,ABBOTINDIA,EQ,      1478.00,                  1324937.90,891
,ABCIL,EQ,        95.90,                  1284446.30,13268
,ABGSHIP,EQ,       378.15,                 60263812.35,159718
,ABHISHEK,EQ,         7.15,                     1457.05,208
,ACCELYA,BE,       234.90,                  3667405.20,15234
,ACE,EQ,        27.90,                  9874087.00,350574
,ACROPETAL,EQ,        14.70,                  1472016.75,98252
,ADANIPOWER,EQ,        47.90,                286534701.95,5912376
,ADFFOODS,EQ,        56.10,                  4395927.05,77225
,ADHUNIK,EQ,        30.65,                  6354447.25,202420
,ADORWELD,EQ,       143.25,                  1683151.90,11835
,ADSL,EQ,        23.20,                  1566355.80,66861
,ADVANIHOTR,EQ,        29.35,                     7739.00,260
,ADVANTA,EQ,       828.85,                 53053137.70,63761
,AEGISCHEM,EQ,       175.30,                  6061384.20,34127
,AFL,EQ,        35.15,                   382640.15,10641
,AFTEK,EQ,         8.35,                  1062173.65,126908
,AGCNET,EQ,       424.65,                  8176783.35,19119
,AGRODUTCH,EQ,         3.75,                    23052.20,6076
,AHLUCONT,EQ,        41.05,                   636838.30,15170
,AHLWEST,EQ,       132.05,                    25693.55,194
,AHMEDFORGE,EQ,       138.35,                   353160.50,2529
,AIAENG,EQ,       374.65,                  1897114.50,5113
,AICHAMP,BE,        17.95,                     6642.20,373
,AIL,EQ,       418.15,                 12319160.35,29311
,AJANTPHARM,EQ,       386.35,                  8957128.90,23017
,AJMERA,BE,       118.95,                  1490150.90,12452
,AKSHOPTFBR,EQ,        13.60,                  1027487.15,74362
,AKZOINDIA,EQ,       933.05,                  1718862.60,1842
,ALBK,EQ,       143.05,                315120273.50,2205572
,ALCHEM,EQ,        52.60,                   494569.00,9293
,ALEMBICLTD,EQ,        15.70,                   514349.70,32808
,ALICON,EQ,        78.30,                  6735019.20,85749
,ALKALI,EQ,        27.40,                   320899.85,11487
,ALKYLAMINE,EQ,       151.50,                   223332.15,1411
,ALLCARGO,EQ,       130.45,                   194718.95,1494
,ALLSEC,EQ,        33.55,                  1277601.80,35917
,ALMONDZ,EQ,         8.55,                     2936.55,345
,ALOKTEXT,EQ,        11.70,                 27980717.55,2385991
,ALPA,EQ,        10.85,                   605016.30,57497
,ALPHAGEO,BE,        53.70,                    99631.95,1869
,ALPINEHOU,EQ,        23.00,                     3011.00,130
,ALPSINDUS,EQ,         1.80,                    38435.30,20860
,ALSTOMT&D,EQ,       202.55,                  1453896.10,7185
,AMAR,EQ,        40.45,                  4226901.55,102541
,AMARAJABAT,EQ,       227.85,                 38558364.95,169417
,AMBIKCO,EQ,       189.10,                     5483.85,29
,AMDIND,EQ,        15.80,                    37950.50,2390
,AMLSTEEL,EQ,         7.80,                     1638.00,210
,AMRUTANJAN,EQ,       876.30,                113383414.20,128929
,AMTEKAUTO,EQ,        75.05,                 49174685.65,654535
,AMTEKINDIA,EQ,        96.50,                 24746831.75,255524
,AMTL,EQ,        19.95,                    48287.50,2435
,ANANTRAJ,EQ,        79.95,                318468372.55,3882736
,ANDHRABANK,EQ,       113.35,                 44552044.80,390662
,ANDHRACEMT,BE,         9.25,                    42098.65,4529
,ANDHRSUGAR,EQ,       145.55,                  1008270.15,6914
,ANGIND,EQ,        14.20,                    15662.85,1126
,ANIKINDS,EQ,        32.80,                   675227.15,20468
,ANKURDRUGS,BE,        14.50,                    91970.80,6321
,ANSALAPI,EQ,        32.40,                 50658772.30,1549829
