,26-OCT-2012
The Nifty witnessed an intraday movement of about 55.45 points.The closing index was 0.72 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 9557.43
, Traded Quantity (in Lakhs), 6252.33
, Number of Trades, 4923859
, Total Market Capitalisation (Rs. Crores), 6382149.81

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,S&P CNX Nifty,      5705.30,      5683.55,      5697.20,      5641.75,      5664.30,-41
,CNX IT,      6051.70,      6024.90,      6059.10,      6011.70,      6025.40,-26.3
,CNX Nifty Junior,     11075.60,     11068.95,     11100.55,     10907.60,     10934.15,-141.45
,S&P CNX Defty,      3690.20,      3667.65,      3676.55,      3650.20,      3664.80,-25.4
,BANK Nifty,     11614.50,     11580.85,     11631.25,     11468.25,     11509.15,-105.35
,CNX Midcap,      7882.25,      7880.70,      7900.80,      7766.90,      7790.50,-91.75
,S&P CNX 500,      4518.40,      4505.95,      4516.10,      4465.75,      4480.30,-38.1
,CNX 100,      5587.85,      5569.10,      5582.25,      5522.65,      5543.15,-44.7
,Nifty Midcap 50,      2228.80,      2227.60,      2234.10,      2191.00,      2199.00,-29.8
,CNX Realty,       241.10,       240.40,       242.20,       236.95,       238.35,-2.75
,CNX Infra,      2568.20,      2556.60,      2567.40,      2530.20,      2545.10,-23.1
,CNX Energy,      7897.10,      7854.45,      7882.45,      7779.40,      7821.30,-75.8
,CNX FMCG,     14913.25,     14890.40,     14929.65,     14603.90,     14643.00,-270.25
,CNX MNC,      5782.95,      5772.65,      5803.20,      5716.50,      5729.90,-53.05
,CNX Pharma,      5603.85,      5584.55,      5596.45,      5517.55,      5542.25,-61.6
,CNX PSE,      2937.60,      2927.35,      2938.75,      2908.65,      2918.30,-19.3
,CNX PSU Bank,      3312.10,      3297.25,      3319.55,      3229.50,      3239.60,-72.5
,CNX Service,      6733.45,      6712.65,      6724.75,      6654.15,      6676.85,-56.6
,India VIX,        13.52,        13.52,        14.81,        13.52,        14.21,.69
,CNX AUTO,      4286.60,      4280.10,      4333.20,      4280.10,      4323.50,36.9
,CNX Metal,      2685.65,      2672.85,      2682.55,      2662.35,      2678.05,-7.6
,CNX Media,      1557.30,      1539.00,      1546.15,      1500.30,      1507.25,-50.05
,CNX Smallcap,      3490.25,      3493.10,      3496.05,      3438.55,      3443.70,-46.55
,CNX 200,      2881.50,      2872.80,      2879.45,      2846.30,      2856.75,-24.75
,CNX Dividend Oppt,      1637.90,      1635.95,      1640.60,      1621.15,      1623.45,-14.45
,CNX Commodities,      2462.90,      2454.75,      2464.50,      2442.55,      2454.45,-8.45
,CNX Consumption,      2124.80,      2122.35,      2130.30,      2104.00,      2112.15,-12.65
,CNX Finance,      4762.10,      4749.70,      4759.05,      4699.10,      4718.50,-43.6
,Nifty Dividend,        70.02,        70.02,        70.02,        70.02,        70.02,0

,ADVANCES,458
,DECLINES,1044
,UNCHANGED,67

,Total securities that have hit their price bands today,115

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,ICICIBANK,EQ,      1087.15,      1078.35,-0.81,550.42
,SBIN,EQ,      2199.35,      2173.35,-1.18,399.14
,MCDOWELL-N,EQ,      1224.15,      1203.10,-1.72,378.13
,HINDUNILVR,EQ,       563.95,       552.20,-2.08,342.85
,CESC,EQ,       330.45,       280.75,-15.04,299.18
,PNB,EQ,       803.85,       749.45,-6.77,287.66
,LT,EQ,      1712.40,      1709.30,-0.18,252.58
,AXISBANK,EQ,      1238.05,      1231.65,-0.52,214.61
,M&M,EQ,       857.90,       880.90,2.68,202.71
,YESBANK,EQ,       416.20,       413.00,-0.77,201.62
,HDFC,EQ,       765.75,       758.30,-0.97,175.92
,RELIANCE,EQ,       810.40,       798.95,-1.41,154.58
,NTPC,EQ,       169.30,       169.10,-0.12,146.42
,IRB,EQ,       119.10,       118.85,-0.21,141.84
,HDIL,EQ,       101.10,        98.10,-2.97,138.87
,JPASSOCIAT,EQ,        95.30,        90.60,-4.93,127.79
,ITC,EQ,       292.05,       285.85,-2.12,119.55
,IDFC,EQ,       157.40,       157.85,0.29,115.98
,HDFCBANK,EQ,       637.35,       637.15,-0.03,105.79
,SUNTV,EQ,       343.45,       319.05,-7.1,99.98
,INFY,EQ,      2344.75,      2329.60,-0.65,99.75
,TATAMOTORS,EQ,       261.25,       261.50,0.1,93.93
,RELCAPITAL,EQ,       430.45,       417.40,-3.03,93.5
,HEROMOTOCO,EQ,      1832.30,      1869.70,2.04,86.43
,LICHSGFIN,EQ,       244.95,       251.65,2.74,86.11

,Top Five S&P CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,M&M,EQ,       880.90,       857.90,2.68
,HEROMOTOCO,EQ,      1869.70,      1832.30,2.04
,BAJAJ-AUTO,EQ,      1788.05,      1759.10,1.65
,AMBUJACEM,EQ,       208.20,       206.10,1.02
,GAIL,EQ,       364.25,       361.20,.84

,Top Five S&P CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,PNB,EQ,       749.45,       803.85,-6.77
,JPASSOCIAT,EQ,        90.60,        95.30,-4.93
,POWERGRID,EQ,       113.85,       116.70,-2.44
,ITC,EQ,       285.85,       292.05,-2.12
,HINDUNILVR,EQ,       552.20,       563.95,-2.08

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,       106.55,                 17035679.50,157936
,3IINFOTECH,BE,         7.75,                  3459963.85,445168
,3MINDIA,EQ,      3840.20,                  1810812.35,471
,A2ZMES,EQ,        60.05,                 16404572.75,271230
,AANJANEYA,EQ,       633.60,                 33392064.55,53012
,AARTIDRUGS,EQ,       172.65,                  1462588.20,8505
,AARTIIND,EQ,        90.90,                  3073258.05,33173
,AARVEEDEN,EQ,        49.60,                   412175.40,8205
,ABAN,EQ,       451.25,                120659247.05,266486
,ABB,EQ,       747.65,                  8711611.80,11596
,ABBOTINDIA,EQ,      1462.75,                  1559545.65,1063
,ABCIL,EQ,        93.10,                   634983.75,6785
,ABGSHIP,EQ,       377.35,                 11950509.35,31687
,ABHISHEK,EQ,         7.10,                     3483.05,504
,ACCELYA,BE,       227.70,                  1290247.55,5588
,ACE,EQ,        26.25,                  1169691.30,43987
,ACROPETAL,EQ,        14.95,                  1705555.75,115793
,ADANIPOWER,EQ,        47.40,                 56946161.35,1199449
,ADFFOODS,EQ,        54.25,                   278099.90,4971
,ADHUNIK,EQ,        30.15,                  2716733.80,89486
,ADORWELD,EQ,       143.00,                  2418025.90,16932
,ADSL,EQ,        22.45,                   738197.20,32593
,ADVANTA,EQ,       803.10,                 12727402.90,15802
,AEGISCHEM,EQ,       168.10,                  3662548.60,21640
,AFL,EQ,        34.50,                   188624.25,5455
,AFTEK,EQ,         8.00,                   918685.60,113380
,AGCNET,EQ,       426.75,                  2547824.45,5955
,AGRODUTCH,EQ,         3.70,                    42143.00,11287
,AHLEAST,EQ,       223.55,                    24813.20,111
,AHLUCONT,EQ,        42.75,                   283976.75,6696
,AHLWEST,EQ,       132.15,                    39455.60,297
,AHMEDFORGE,EQ,       133.90,                   960349.30,7210
,AIAENG,EQ,       374.70,                  1600687.45,4316
,AICHAMP,BE,        17.20,                     4304.10,264
,AIL,EQ,       423.05,                 27321180.40,64314
,AJANTPHARM,EQ,       411.25,                 45095217.25,107953
,AJMERA,BE,       114.25,                   545079.10,4747
,AKSHOPTFBR,EQ,        13.60,                   995289.00,71790
,AKZOINDIA,EQ,       956.60,                 21441663.10,22415
,ALBK,EQ,       134.45,                269598356.40,1981775
,ALCHEM,EQ,        51.85,                   253097.20,4831
,ALEMBICLTD,EQ,        15.45,                   384554.70,24787
,ALICON,EQ,        72.85,                  5814077.80,78186
,ALKALI,EQ,        27.05,                   344968.30,12545
,ALKYLAMINE,EQ,       143.90,                    46480.30,323
,ALLCARGO,EQ,       132.00,                   179569.90,1358
,ALLSEC,EQ,        31.25,                   293331.45,9179
,ALMONDZ,EQ,         8.55,                      889.45,104
,ALOKTEXT,EQ,        11.50,                 39630422.80,3437689
,ALPA,EQ,        10.15,                    56313.45,5546
,ALPHAGEO,BE,        56.05,                    78082.90,1393
,ALPSINDUS,EQ,         1.85,                    42779.50,22890
,ALSTOMT&D,EQ,       204.70,                 22799740.40,111881
,AMAR,EQ,        39.25,                  2880651.70,72940
,AMARAJABAT,EQ,       229.35,                 38174417.50,167993
,AMARJOTHI,EQ,        42.05,                    12450.05,296
,AMBIKCO,EQ,       188.50,                   248165.70,1318
,AMDIND,EQ,        15.95,                    23462.35,1460
,AMLSTEEL,EQ,         7.45,                       88.45,11
,AMRUTANJAN,EQ,       160.45,                 17507781.65,108082
,AMTEKAUTO,EQ,        76.00,                 17163387.40,222211
,AMTEKINDIA,EQ,        98.35,                 28258518.85,284912
,AMTL,EQ,        19.80,                    21112.05,1067
,ANANTRAJ,EQ,        82.70,                756991507.90,9671340
,ANDHRABANK,EQ,       107.25,                 97417848.50,886430
,ANDHRACEMT,BE,         9.05,                    50972.15,5654
,ANDHRSUGAR,EQ,       143.90,                  1383003.15,9582
,ANGIND,EQ,        13.60,                    13110.75,964
,ANIKINDS,EQ,        32.00,                  1190744.45,36872
,ANKURDRUGS,BE,        14.35,                   168831.25,11625
,ANSALAPI,EQ,        30.40,                  9021939.50,289665
