,29-OCT-2012
The Nifty witnessed an intraday movement of about 53.2 points.The closing index was 0.02 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 9207.22
, Traded Quantity (in Lakhs), 5385.75
, Number of Trades, 4843334
, Total Market Capitalisation (Rs. Crores), 6372861.86

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,S&P CNX Nifty,      5664.30,      5665.20,      5698.30,      5645.10,      5665.60,1.3
,CNX IT,      6025.40,      6012.65,      6038.85,      6003.85,      6032.45,7.05
,CNX Nifty Junior,     10934.15,     10934.20,     10967.65,     10819.35,     10865.85,-68.3
,S&P CNX Defty,      3664.80,      3645.95,      3670.65,      3623.30,      3638.80,-26
,BANK Nifty,     11509.15,     11506.50,     11585.80,     11431.95,     11472.15,-37
,CNX Midcap,      7790.50,      7790.35,      7830.15,      7748.65,      7766.55,-23.95
,S&P CNX 500,      4480.30,      4480.85,      4503.25,      4461.15,      4475.00,-5.3
,CNX 100,      5543.15,      5543.90,      5573.70,      5519.35,      5539.25,-3.9
,Nifty Midcap 50,      2199.00,      2198.75,      2211.10,      2182.10,      2188.10,-10.9
,CNX Realty,       238.35,       237.70,       240.40,       234.95,       236.35,-2
,CNX Infra,      2545.10,      2548.05,      2559.55,      2521.05,      2528.45,-16.65
,CNX Energy,      7821.30,      7832.95,      7904.75,      7832.95,      7874.20,52.9
,CNX FMCG,     14643.00,     14635.50,     14741.20,     14491.80,     14613.10,-29.9
,CNX MNC,      5729.90,      5731.10,      5743.90,      5676.60,      5705.35,-24.55
,CNX Pharma,      5542.25,      5547.10,      5583.00,      5544.95,      5570.05,27.8
,CNX PSE,      2918.30,      2915.25,      2930.30,      2885.30,      2891.75,-26.55
,CNX PSU Bank,      3239.60,      3237.35,      3270.10,      3210.75,      3222.90,-16.7
,CNX Service,      6676.85,      6671.90,      6704.60,      6648.30,      6674.15,-2.7
,India VIX,        14.21,        14.21,        15.37,        14.21,        15.12,.91
,CNX AUTO,      4323.50,      4330.35,      4358.75,      4304.45,      4324.15,.65
,CNX Metal,      2678.05,      2681.45,      2703.85,      2667.00,      2676.50,-1.55
,CNX Media,      1507.25,      1497.65,      1512.05,      1472.65,      1479.80,-27.45
,CNX Smallcap,      3443.70,      3456.20,      3463.65,      3418.40,      3428.60,-15.1
,CNX 200,      2856.75,      2857.15,      2872.10,      2844.40,      2854.65,-2.1
,CNX Dividend Oppt,      1623.45,      1622.65,      1630.60,      1616.85,      1622.95,-.5
,CNX Commodities,      2454.45,      2456.65,      2470.35,      2450.15,      2456.20,1.75
,CNX Consumption,      2112.15,      2114.05,      2124.90,      2101.50,      2114.65,2.5
,CNX Finance,      4718.50,      4717.35,      4749.45,      4692.15,      4709.55,-8.95
,Nifty Dividend,        70.02,        70.16,        70.16,        70.16,        70.16,.14

,ADVANCES,561
,DECLINES,940
,UNCHANGED,82

,Total securities that have hit their price bands today,129

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,MCDOWELL-N,EQ,      1203.10,      1095.00,-8.99,1171.75
,SBIN,EQ,      2173.35,      2167.70,-0.26,465.08
,UBL,EQ,       734.85,       776.05,5.61,273.28
,BHEL,EQ,       242.45,       226.90,-6.41,255.94
,ICICIBANK,EQ,      1078.35,      1068.45,-0.92,250.28
,LT,EQ,      1709.30,      1687.65,-1.27,205.46
,RELIANCE,EQ,       798.95,       811.20,1.53,203.61
,IDFC,EQ,       157.85,       158.35,0.32,164.09
,AXISBANK,EQ,      1231.65,      1221.75,-0.8,140.98
,INFY,EQ,      2329.60,      2335.50,0.25,137.6
,HINDUNILVR,EQ,       552.20,       546.05,-1.11,126.29
,HDIL,EQ,        98.10,        97.75,-0.36,125.77
,TATAMOTORS,EQ,       261.50,       256.75,-1.82,121.13
,M&M,EQ,       880.90,       888.85,0.9,119.13
,YESBANK,EQ,       413.00,       414.85,0.45,116.57
,RELCAPITAL,EQ,       417.40,       413.35,-0.97,113.31
,BANKINDIA,EQ,       287.15,       279.40,-2.7,113.03
,HEROMOTOCO,EQ,      1869.70,      1904.70,1.87,104.54
,JPASSOCIAT,EQ,        90.60,        89.75,-0.94,103.65
,KTKBANK,EQ,       126.35,       129.30,2.33,103.01
,MARUTI,EQ,      1365.70,      1362.20,-0.26,90.66
,HDFC,EQ,       758.30,       756.95,-0.18,90.31
,HDFCBANK,EQ,       637.15,       640.60,0.54,88.21
,NTPC,EQ,       169.10,       167.75,-0.8,88.03
,ITC,EQ,       285.85,       288.25,0.84,85.14

,Top Five S&P CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,WIPRO,EQ,       344.85,       336.05,2.62
,HEROMOTOCO,EQ,      1904.70,      1869.70,1.87
,TATAPOWER,EQ,       106.55,       104.75,1.72
,DRREDDY,EQ,      1697.70,      1670.25,1.64
,RELIANCE,EQ,       811.20,       798.95,1.53

,Top Five S&P CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BHEL,EQ,       226.90,       242.45,-6.41
,TATAMOTORS,EQ,       256.75,       261.50,-1.82
,BPCL,EQ,       342.60,       348.00,-1.55
,COALINDIA,EQ,       350.10,       355.05,-1.39
,LT,EQ,      1687.65,      1709.30,-1.27

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,       110.25,                 12011373.20,108521
,3IINFOTECH,BE,         7.65,                  2649410.90,345739
,3MINDIA,EQ,      3816.55,                   432117.30,113
,A2ZMES,EQ,        60.60,                 15266470.35,250955
,AANJANEYA,EQ,       635.75,                  9647740.00,15253
,AARTIDRUGS,EQ,       169.15,                  1625405.75,9556
,AARTIIND,EQ,        89.85,                  1615042.30,17770
,AARVEEDEN,EQ,        52.85,                   411372.15,7955
,ABAN,EQ,       447.45,                 94272382.80,208901
,ABB,EQ,       741.60,                 20430883.15,27430
,ABBOTINDIA,EQ,      1467.40,                  1050963.90,717
,ABCIL,EQ,        93.05,                  1141322.75,12277
,ABGSHIP,EQ,       374.95,                 57331819.60,152834
,ABHISHEK,EQ,         6.95,                     6158.70,878
,ACCELYA,BE,       226.25,                  1298236.70,5665
,ACE,EQ,        25.30,                   775549.85,30229
,ACROPETAL,EQ,        14.80,                   350620.95,23492
,ADANIPOWER,EQ,        47.85,                 56773469.15,1189608
,ADFFOODS,EQ,        56.55,                   597882.55,10749
,ADHUNIK,EQ,        30.65,                  3285784.70,106097
,ADORWELD,EQ,       139.95,                   502676.45,3573
,ADSL,EQ,        21.95,                   738761.10,33332
,ADVANIHOTR,EQ,        29.00,                    23365.00,800
,ADVANTA,EQ,       807.45,                 20138891.75,24716
,AEGISCHEM,EQ,       166.25,                  4595318.00,27131
,AFL,EQ,        34.50,                   327583.25,9435
,AFTEK,EQ,         7.80,                   700670.85,88506
,AGCNET,EQ,       433.50,                  2998572.15,6930
,AGRODUTCH,EQ,         3.65,                    14000.95,3792
,AHLEAST,EQ,       229.75,                   138451.75,609
,AHLUCONT,EQ,        42.75,                   145404.35,3398
,AHLWEST,EQ,       131.90,                    24121.70,183
,AHMEDFORGE,EQ,       131.10,                   904237.30,6846
,AIAENG,EQ,       377.40,                   751080.60,1998
,AICHAMP,BE,        17.85,                       17.85,1
,AIL,EQ,       415.45,                  5042097.15,11999
,AJANTPHARM,EQ,       406.00,                 14202662.40,34580
,AJMERA,BE,       112.35,                   377817.15,3339
,AKSHOPTFBR,EQ,        14.20,                   548412.85,38924
,AKZOINDIA,EQ,       962.90,                  9219907.75,9569
,ALBK,EQ,       132.00,                285122143.60,2143097
,ALCHEM,EQ,        51.55,                   175378.20,3365
,ALEMBICLTD,EQ,        15.40,                   385152.30,25089
,ALICON,EQ,        72.10,                   690983.35,9474
,ALKALI,EQ,        27.10,                    96983.20,3570
,ALKYLAMINE,EQ,       145.75,                    50703.30,353
,ALLCARGO,EQ,       132.00,                   303286.80,2300
,ALLSEC,EQ,        30.65,                    82141.10,2682
,ALMONDZ,EQ,         8.35,                    28231.80,3486
,ALOKTEXT,EQ,        11.30,                 33849232.10,2972929
,ALPA,EQ,        10.00,                     1120.00,112
,ALPHAGEO,BE,        56.30,                    16920.30,301
,ALPINEHOU,EQ,        21.00,                    38640.45,1726
,ALPSINDUS,EQ,         1.85,                    10847.15,5903
,ALSTOMT&D,EQ,       205.95,                  2244736.35,10990
,AMAR,EQ,        37.75,                  2093203.55,54320
,AMARAJABAT,EQ,       224.05,                 21241127.95,93797
,AMARJOTHI,EQ,        44.00,                     4665.00,106
,AMBIKCO,EQ,       193.05,                   697080.95,3638
,AMDIND,EQ,        15.90,                   102894.05,6498
,AMLSTEEL,EQ,         7.25,                     2885.50,398
,AMRUTANJAN,EQ,       160.85,                 20307987.85,125086
,AMTEKAUTO,EQ,        73.90,                 18046376.75,240655
,AMTEKINDIA,EQ,       101.25,                 31414854.95,306235
,AMTL,BE,        20.00,                    77358.00,3870
,ANANTRAJ,EQ,        75.35,                302106497.45,3808229
,ANDHRABANK,EQ,       106.05,                 71908161.50,672501
,ANDHRACEMT,BE,         9.00,                    27144.10,3014
,ANDHRSUGAR,EQ,       145.00,                   738015.20,5079
,ANGIND,EQ,        13.15,                    46124.95,3427
,ANIKINDS,EQ,        31.90,                    57757.05,1795
