,30-OCT-2012
The Nifty witnessed an intraday movement of about 100 points.The closing index was 1.19 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 10439.41
, Traded Quantity (in Lakhs), 6154.85
, Number of Trades, 4965032
, Total Market Capitalisation (Rs. Crores), 6306806.48

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,S&P CNX Nifty,      5665.60,      5656.35,      5689.90,      5589.90,      5597.90,-67.7
,CNX IT,      6032.45,      6016.50,      6082.90,      6016.50,      6066.10,33.65
,CNX Nifty Junior,     10865.85,     10864.90,     10926.35,     10733.10,     10778.65,-87.2
,S&P CNX Defty,      3638.80,      3624.45,      3657.10,      3578.80,      3586.35,-52.45
,BANK Nifty,     11472.15,     11467.20,     11600.05,     11173.80,     11203.00,-269.15
,CNX Midcap,      7766.55,      7767.15,      7794.00,      7658.95,      7682.35,-84.2
,S&P CNX 500,      4475.00,      4469.85,      4490.20,      4418.55,      4424.10,-50.9
,CNX 100,      5539.25,      5531.45,      5563.40,      5468.65,      5476.15,-63.1
,Nifty Midcap 50,      2188.10,      2187.95,      2200.65,      2150.20,      2162.00,-26.1
,CNX Realty,       236.35,       236.20,       238.75,       229.20,       230.95,-5.4
,CNX Infra,      2528.45,      2528.05,      2538.85,      2480.40,      2489.40,-39.05
,CNX Energy,      7874.20,      7857.20,      7875.80,      7785.50,      7802.25,-71.95
,CNX FMCG,     14613.10,     14580.15,     14680.60,     14523.45,     14550.50,-62.6
,CNX MNC,      5705.35,      5694.50,      5737.85,      5681.70,      5723.75,18.4
,CNX Pharma,      5570.05,      5563.25,      5588.75,      5548.80,      5566.45,-3.6
,CNX PSE,      2891.75,      2884.70,      2893.80,      2856.70,      2865.20,-26.55
,CNX PSU Bank,      3222.90,      3222.65,      3267.60,      3083.05,      3091.90,-131
,CNX Service,      6674.15,      6663.70,      6733.40,      6582.20,      6597.50,-76.65
,India VIX,        15.12,        15.12,        15.55,        15.09,        15.17,.05
,CNX AUTO,      4324.15,      4325.55,      4332.30,      4235.50,      4263.70,-60.45
,CNX Metal,      2676.50,      2673.20,      2682.70,      2631.30,      2636.10,-40.4
,CNX Media,      1479.80,      1480.35,      1485.35,      1453.90,      1484.00,4.2
,CNX Smallcap,      3428.60,      3426.25,      3443.70,      3380.60,      3382.55,-46.05
,CNX 200,      2854.65,      2851.05,      2866.35,      2817.60,      2822.05,-32.6
,CNX Dividend Oppt,      1622.95,      1620.75,      1627.85,      1595.65,      1601.85,-21.1
,CNX Commodities,      2456.20,      2452.40,      2456.60,      2419.40,      2421.25,-34.95
,CNX Consumption,      2114.65,      2113.50,      2121.15,      2097.15,      2105.50,-9.15
,CNX Finance,      4709.55,      4703.55,      4755.10,      4610.65,      4624.60,-84.95
,Nifty Dividend,        70.16,        70.16,        70.16,        70.16,        70.16,0

,ADVANCES,425
,DECLINES,1082
,UNCHANGED,69

,Total securities that have hit their price bands today,125

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SBIN,EQ,      2167.70,      2074.30,-4.31,974.68
,MCDOWELL-N,EQ,      1095.00,      1144.35,4.51,525.85
,ICICIBANK,EQ,      1068.45,      1045.15,-2.18,428.73
,AXISBANK,EQ,      1221.75,      1184.70,-3.03,328.08
,LT,EQ,      1687.65,      1638.80,-2.89,272.13
,TATAMOTORS,EQ,       256.75,       247.65,-3.54,238.33
,MARUTI,EQ,      1362.20,      1390.80,2.1,233.95
,IDFC,EQ,       158.35,       160.00,1.04,203.09
,BHEL,EQ,       226.90,       228.80,0.84,190.27
,RELIANCE,EQ,       811.20,       803.25,-0.98,171.86
,HDIL,EQ,        97.75,        93.00,-4.86,171.69
,INFY,EQ,      2335.50,      2358.35,0.98,168.68
,KTKBANK,EQ,       129.30,       133.20,3.02,159.09
,JPASSOCIAT,EQ,        89.75,        86.30,-3.84,159.06
,YESBANK,EQ,       414.85,       407.45,-1.78,156.45
,HDFC,EQ,       756.95,       750.65,-0.83,149.37
,PNB,EQ,       755.35,       728.85,-3.51,144.12
,HDFCBANK,EQ,       640.60,       633.65,-1.08,140.82
,RELCAPITAL,EQ,       413.35,       398.35,-3.63,121.32
,IRB,EQ,       115.20,       119.90,4.08,117.31
,DRREDDY,EQ,      1697.70,      1724.30,1.57,112.37
,BANKBARODA,EQ,       754.25,       718.50,-4.74,111.15
,M&M,EQ,       888.85,       873.65,-1.71,106.91
,UBL,EQ,       776.05,       746.50,-3.81,100.26
,ITC,EQ,       288.25,       284.10,-1.44,98.55

,Top Five S&P CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,MARUTI,EQ,      1390.80,      1362.20,2.1
,DRREDDY,EQ,      1724.30,      1697.70,1.57
,IDFC,EQ,       160.00,       158.35,1.04
,INFY,EQ,      2358.35,      2335.50,.98
,BHEL,EQ,       228.80,       226.90,.84

,Top Five S&P CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BANKBARODA,EQ,       718.50,       754.25,-4.74
,SBIN,EQ,      2074.30,      2167.70,-4.31
,JPASSOCIAT,EQ,        86.30,        89.75,-3.84
,TATAMOTORS,EQ,       247.65,       256.75,-3.54
,PNB,EQ,       728.85,       755.35,-3.51

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,       113.30,                 23980800.60,214282
,3IINFOTECH,BE,         7.50,                  4588933.45,608406
,3MINDIA,EQ,      3814.40,                  2433861.75,638
,A2ZMES,EQ,        58.95,                 15897260.00,268555
,AANJANEYA,EQ,       638.05,                 45853648.65,72328
,AARTIDRUGS,EQ,       171.15,                  3987524.15,23223
,AARTIIND,EQ,        88.20,                  1655086.20,18590
,AARVEEDEN,EQ,        56.40,                   957433.80,17110
,ABAN,EQ,       439.20,                111042150.90,250685
,ABB,EQ,       737.00,                 15670405.10,21217
,ABBOTINDIA,EQ,      1465.15,                   594695.20,405
,ABCIL,EQ,        93.90,                   688170.20,7354
,ABGSHIP,EQ,       373.95,                 52260035.45,139571
,ABHISHEK,EQ,         6.80,                    71492.80,10578
,ACCELYA,BE,       221.00,                   783243.95,3531
,ACE,EQ,        24.90,                  2536479.95,99568
,ACROPETAL,EQ,        14.65,                   585117.20,39632
,ADANIPOWER,EQ,        48.00,                 87126431.75,1831036
,ADFFOODS,EQ,        56.95,                   646962.05,11348
,ADHUNIK,EQ,        29.80,                  1434118.20,47782
,ADORWELD,EQ,       136.60,                   333464.75,2430
,ADSL,EQ,        21.45,                  1480157.30,67671
,ADVANIHOTR,EQ,        27.70,                    29877.10,1076
,ADVANTA,EQ,       816.45,                 23742101.50,29153
,AEGISCHEM,EQ,       161.90,                  6022067.90,36982
,AFL,EQ,        33.80,                   620530.95,18230
,AFTEK,EQ,         7.65,                   975804.05,127096
,AGCNET,EQ,       460.25,                 25223830.25,55746
,AGRODUTCH,EQ,         3.65,                    19390.25,5278
,AHLEAST,EQ,       225.35,                    41130.85,182
,AHLUCONT,EQ,        41.70,                    98182.60,2332
,AHLWEST,EQ,       130.40,                    66369.15,506
,AHMEDFORGE,EQ,       127.50,                   531345.20,4144
,AIAENG,EQ,       373.00,                   303082.45,807
,AICHAMP,BE,        18.65,                       18.65,1
,AIL,EQ,       413.80,                  4530781.80,10987
,AJANTPHARM,EQ,       390.85,                 14729197.85,37347
,AJMERA,BE,       112.00,                   842105.25,7541
,AKSHOPTFBR,EQ,        14.05,                   274018.50,19517
,AKZOINDIA,EQ,       955.15,                 34652426.75,36387
,ALBK,EQ,       131.45,                684090733.50,5212247
,ALCHEM,EQ,        51.65,                   137605.80,2667
,ALEMBICLTD,EQ,        15.30,                   524209.45,34114
,ALICON,EQ,        71.95,                    90082.80,1259
,ALKALI,EQ,        26.45,                   144065.25,5380
,ALKYLAMINE,EQ,       144.95,                    15702.75,111
,ALLCARGO,EQ,       131.65,                   142224.95,1084
,ALLSEC,EQ,        31.95,                   136845.00,4346
,ALMONDZ,EQ,         8.15,                     3679.00,454
,ALOKTEXT,EQ,        11.50,                133371095.80,11623184
,ALPA,EQ,        10.00,                     2010.00,201
,ALPHAGEO,BE,        56.40,                    12441.20,221
,ALPINEHOU,EQ,        20.50,                     2351.50,114
,ALPSINDUS,EQ,         1.90,                    10271.45,5561
,ALSTOMT&D,EQ,       205.50,                  4517555.45,22121
,AMAR,EQ,        36.40,                  1835053.80,50028
,AMARAJABAT,EQ,       219.70,                 18331258.15,83098
,AMARJOTHI,EQ,        46.20,                    24908.35,552
,AMBIKCO,EQ,       192.00,                   354758.30,1838
,AMDIND,EQ,        15.80,                     6616.75,422
,AMLSTEEL,EQ,         7.60,                    23263.60,3061
,AMRUTANJAN,EQ,       157.35,                 13798439.35,86913
,AMTEKAUTO,EQ,        71.55,                 19404385.70,268442
,AMTEKINDIA,EQ,        95.30,                 39300003.70,406605
,AMTL,BE,        19.30,                    10579.60,548
,ANANTRAJ,EQ,        78.15,                255177880.40,3319903
,ANDHRABANK,EQ,       103.65,                 91755529.25,875700
,ANDHRACEMT,BE,         9.25,                    78598.25,8499
,ANDHRSUGAR,EQ,       145.85,                  1088601.65,7506
,ANGIND,EQ,        12.85,                    11052.95,849
,ANIKINDS,EQ,        31.85,                  1790422.40,56409
,ANKURDRUGS,BE,        13.95,                   114148.70,8138
,ANSALAPI,EQ,        29.10,                  7089428.30,241196
,ANSALHSG,EQ,        49.80,                   237599.50,4776
,ANTGRAPHIC,EQ,          .35,                    76564.75,206079
,APARINDS,EQ,       174.05,                   908290.20,5196
,APCOTEXIND,EQ,       205.85,                   416216.25,2022
,APLAB,EQ,        23.30,                     4459.20,190
,APLAPOLLO,EQ,       163.10,                   186624.35,1147
,APLLTD,EQ,        66.85,                  6400956.80,94713
,APOLLOTYRE,EQ,        87.10,                529930866.80,6160030
,APPAPER,EQ,       302.25,                 20758636.05,67840
,APTECHT,EQ,        65.80,                  9014534.35,136190
,AQUA,EQ,         9.40,                   723892.15,75891
,ARCHIDPLY,EQ,         8.85,                    12131.90,1367
,ARCHIES,EQ,        25.25,                  3849013.85,151549
,ARIES,EQ,        65.00,                  1768088.90,26772
,ARIHANT,EQ,        53.90,                   160941.75,3117
,AROGRANITE,EQ,        34.90,                    24599.00,704
,ARROWTEX,EQ,         6.90,                    58541.75,8753
,ARSHIYA,EQ,       130.55,                  3241543.80,24795
,ARSSINFRA,BE,        44.70,                  2838795.85,62564
,ARVIND,EQ,        82.15,                132087659.85,1604550
,ARVINDREM,EQ,        31.40,                   830480.20,26365
,ASAHIINDIA,EQ,        65.45,                  1095295.10,16445
,ASAHISONG,EQ,        90.95,                   252348.05,2756
,ASAL,EQ,        44.50,                    68360.35,1546
,ASHAPURMIN,BE,        34.75,                  2797701.35,81558
,ASHIANA,EQ,       171.45,                   162380.15,923
,ASHIMASYN,BE,         5.20,                     5200.00,1000
,ASHOKA,EQ,       224.45,                   513742.25,2316
,ASIANHOTNR,EQ,       194.50,                   112796.70,586
,ASIANTILES,EQ,        43.85,                     6675.00,150
,ASSAMCO,EQ,         5.80,                   456378.80,77829
,ASTEC,BE,        33.50,                    65406.25,1957
,ASTRAL,EQ,       337.30,                  1831003.60,5390
,ASTRAMICRO,EQ,        40.55,                  4510268.95,109716
,ASTRAZEN,EQ,      1555.75,                  9634343.85,6152
,ATFL,EQ,       425.00,                  2232835.55,5247
,ATLANTA,EQ,        38.05,                  1592778.20,41756
,ATLASCYCLE,EQ,       392.95,                  4141219.15,10399
,ATNINTER,EQ,          .55,                      551.15,1002
,ATUL,EQ,       400.50,                 18906315.60,46977
,AURIONPRO,EQ,       115.00,                   448655.30,3902
,AUROPHARMA,EQ,       161.40,                218613688.35,1368870
,AUSTRAL,BE,         1.15,                   101834.25,87686
,AUTOAXLES,EQ,       379.95,                  1102818.10,2903
,AUTOIND,EQ,       162.30,                 30043104.80,180550
,AVANTI,EQ,       150.10,                   914346.75,6064
,AVTNPL,EQ,        37.25,                   746973.15,19934
,AXIS-IT&T,EQ,        78.10,                   462576.35,5852
,AXISGOLD,EQ,      3029.30,                  1125428.20,372
,BAGFILMS,EQ,         4.00,                   139630.60,34636
,BAJAJCORP,EQ,       185.60,                  5457604.15,29146
,BAJAJELEC,EQ,       196.10,                 10957714.50,56019
,BAJAJFINSV,EQ,       847.90,                 70908531.20,83358
,BAJAJHIND,EQ,        29.25,                 39852307.65,1349457
,BAJFINANCE,EQ,      1274.55,                 22146786.20,16918
,BALAJITELE,EQ,        50.85,                 22396054.65,446353
,BALAMINES,EQ,        53.95,                  3909160.90,70394
,BALKRISIND,EQ,       265.65,                  1403540.45,5280
,BALLARPUR,EQ,        22.00,                 20332460.65,920668
,BALMLAWRIE,EQ,       632.15,                  2454719.15,3861
,BALPHARMA,EQ,        21.65,                     6559.65,306
,BALRAMCHIN,EQ,        67.15,                 41845357.00,620327
,BANARISUG,EQ,       903.95,                   110911.30,123
,BANCOINDIA,EQ,        61.35,                   283357.20,4555
,BANG,EQ,        19.75,                     3973.75,205
,BANKBEES,EQ,      1166.93,                  1751735.90,1512
,BANSWRAS,EQ,        67.90,                  1533255.95,21884
,BARTRONICS,EQ,        23.95,                  7114768.80,293133
,BASF,EQ,       652.15,                  5134004.60,7837
,BASML,BE,        86.40,                     4579.50,53
,BATAINDIA,EQ,       887.55,                208518901.25,235256
,BAYERCROP,EQ,      1114.20,                  4764791.40,4323
,BBL,EQ,       559.10,                  2099538.50,3744
,BBTC,EQ,       550.50,                  2206407.65,3977
,BECREL,BE,         5.95,                     7493.45,1313
,BEDMUTHA,EQ,        11.55,                   210406.00,18141
,BEL,EQ,      1207.00,                 94327976.35,78423
,BEML,EQ,       293.80,                 19552490.00,65823
,BEPL,EQ,        15.25,                    15172.55,991
,BERGEPAINT,EQ,       137.15,                 11438992.25,83044
,BFINVEST,EQ,        40.50,                    88834.70,2180
,BFUTILITIE,EQ,       359.65,                 63873646.00,177645
,BGLOBAL,EQ,         6.60,                    17731.00,2685
,BGRENERGY,EQ,       263.30,                 29641278.55,111825
,BHAGWATIHO,EQ,        69.70,                   777482.00,11165
,BHAGYNAGAR,EQ,        14.20,                    31165.05,2183
,BHARATGEAR,EQ,        64.10,                   369241.30,5763
,BHARATRAS,EQ,       154.00,                    21282.10,139
,BHARTISHIP,EQ,        68.25,                  4053234.90,59317
,BHUSANSTL,EQ,       495.60,                 30169862.30,60946
,BIL,EQ,        97.65,                 13310037.90,135399
,BILENERGY,EQ,        72.75,                   144175.00,2040
,BILPOWER,EQ,        20.15,                  2117890.05,104257
,BIMETAL,EQ,       263.90,                    80200.70,310
,BINANIIND,EQ,       124.65,                  2515585.50,20058
,BINDALAGRO,EQ,        30.10,                  2374574.80,77842
,BIRLACORPN,EQ,       264.25,                  1873456.65,7052
,BIRLACOT,BE,          .20,                    28095.50,134975
,BIRLAERIC,EQ,         9.20,                    13488.00,1451
,BIRLAMONEY,BE,        19.15,                   193889.50,10121
,BIRLAPOWER,BE,          .35,                   120854.40,327320
,BLBLIMITED,EQ,         3.30,                     3295.00,1000
,BLISSGVS,EQ,        39.90,                  1273467.85,32154
,BLKASHYAP,EQ,         9.40,                   682917.80,71390
,BLUECHIP,EQ,          .70,                     3937.35,5444
,BLUEDART,EQ,      1737.35,                  5143148.50,2967
,BLUESTARCO,EQ,       197.25,                  3099865.35,15633
,BLUESTINFO,EQ,        62.15,                    68758.45,1101
,BOC,EQ,       408.00,                  4104366.40,10016
,BODALCHEM,BE,        10.00,                    15000.00,1500
,BOMDYEING,EQ,       110.20,                117588514.75,1057736
,BPL,EQ,        20.55,                 15489564.95,716141
,BRANDHOUSE,EQ,        12.80,                   684826.70,52450
,BRFL,EQ,       260.05,                   913289.70,3511
,BRIGADE,EQ,        65.05,                  4270864.05,64791
,BRITANNIA,EQ,       484.35,                 10451608.50,21478
,BRITANNIA,N1,       176.23,                    53503.38,306
,BROADCAST,EQ,         7.45,                    18831.70,2512
,BROOKS,EQ,        17.30,                   329965.05,18828
,BSELINFRA,EQ,         3.05,                    47080.05,15322
,BSL,EQ,        15.50,                   122140.50,7826
,BSLGOLDETF,EQ,      3053.55,                    36985.80,12
,BSLNIFTY,EQ,        51.89,                    64314.66,1226
,BSTRANSCOM,EQ,       196.70,                 17818415.40,88151
,BURNPUR,BE,         9.80,                   544027.60,55333
,BVCL,BE,         9.60,                    27235.90,2762
,CADILAHC,EQ,       859.55,                 16334241.60,19115
,CALSOFT,EQ,        12.90,                     2231.70,173
,CANDC,EQ,        61.60,                   397445.25,6387
,CANFINHOME,EQ,       121.15,                  4412471.35,35887
,CANTABIL,EQ,        19.10,                    48389.35,2586
,CARBORUNIV,EQ,       157.65,                   734026.05,4674
,CAREERP,EQ,       152.80,                   641323.45,4171
,CASTROL,EQ,       302.45,                 19115225.30,63189
,CCCL,EQ,        12.95,                   411287.45,31208
,CCL,EQ,       296.30,                  1038560.75,3498
,CEATLTD,EQ,       121.85,                 62465787.25,514507
,CEBBCO,EQ,        96.65,                  9360954.05,95815
,CELEBRITY,EQ,         4.50,                    16819.40,3801
,CELESTIAL,EQ,        16.35,                  2333770.50,140284
,CENTENKA,EQ,       129.70,                  8181781.70,62070
,CENTEXT,EQ,         2.00,                    36596.50,18145
,CENTRALBK,EQ,        69.15,                 64234879.30,914535
,CENTUM,EQ,        73.05,                    22143.05,301
,CENTURYPLY,EQ,        60.10,                   884084.15,14503
,CENTURYTEX,EQ,       377.10,                159603030.00,418988
,CERA,EQ,       369.65,                  1009761.30,2733
,CESC,EQ,       272.40,                359268823.95,1305154
,CHAMBLFERT,EQ,        66.85,                 45462201.10,678691
,CHEMFALKAL,EQ,        60.50,                     8849.60,143
,CHENNPETRO,EQ,       129.65,                  2906820.00,22372
,CHESLINTEX,EQ,         8.10,                     1278.90,157
,CHETTINAD,EQ,       808.45,                   353958.90,437
,CHOLAFIN,EQ,       226.05,                  2198863.60,9558
,CHROMATIC,EQ,        91.50,                  6399237.55,70669
,CILNOVA,EQ,        18.00,                     9000.00,500
,CIMMCO,EQ,        53.15,                    16280.25,312
,CINEMAXIN,BE,        81.65,                  4477686.00,54840
,CINEPRO,EQ,        12.20,                   474522.05,38513
,CINEVISTA,BE,         4.60,                     4462.00,970
,CLASSIC,BE,         4.10,                    18638.75,4475
,CLNINDIA,EQ,       661.60,                  1095955.65,1658
,CLUTCHAUTO,EQ,        21.75,                   169468.25,7769
,CMAHENDRA,EQ,        96.50,                 19961847.65,203962
,CMC,EQ,      1110.15,                  7774922.00,6983
,COMPUSOFT,EQ,        11.60,                   497617.30,43744
,CONSOFINVT,EQ,        44.15,                    79706.60,1783
,CORDSCABLE,EQ,        23.90,                    41138.95,1715
,COREEDUTEC,EQ,       313.80,                 43856661.25,140079
,COROENGG,EQ,       142.55,                    14252.50,100
,COROMANDEL,EQ,       277.70,                 11781306.05,42426
,COROMANDEL,N1,        14.72,                    74491.89,5060
,CORPBANK,EQ,       397.40,                 15513479.35,38742
,COSMOFILMS,EQ,        86.85,                   764902.05,8797
,COUNCODOS,EQ,         1.30,                    28646.05,21468
,COX&KINGS,EQ,       137.90,                 16657196.25,119943
,CREATIVEYE,BE,         5.15,                    31778.15,6221
,CRESTANI,EQ,        20.90,                  4391932.50,207364
,CREWBOS,EQ,        22.30,                  1192448.45,53125
,CRISIL,EQ,       938.80,                  4167382.45,4456
,CRMFGETF,EQ,      3103.50,                   319660.50,103
,CTE,EQ,         7.10,                     1777.10,251
,CUB,EQ,        56.15,                  9447342.20,167379
,CUBEXTUB,EQ,         7.30,                    24942.15,3479
,CURATECH,EQ,        30.50,                    12558.45,399
,CYBERTECH,EQ,        13.10,                   115389.10,8775
,DAAWAT,EQ,        61.50,                  1198336.85,19489
,DALMIABEL,EQ,       160.55,                   356861.65,2218
,DALMIASUG,BE,        19.95,                   102629.70,5201
,DATAMATICS,EQ,        30.40,                    71248.00,2346
,DBCORP,EQ,       206.90,                   768111.35,3746
,DBREALTY,EQ,        93.40,                 94194411.95,986894
,DBSTOCKBRO,EQ,        95.75,                 10776243.35,112486
,DCB,EQ,        43.00,                 47633943.65,1096933
,DCHL,EQ,         7.75,                 10590085.20,1352197
,DCM,EQ,       118.55,                   103625.10,872
