,31-OCT-2012
The Nifty witnessed an intraday movement of about 41.35 points.The closing index was 0.39 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 9949.66
, Traded Quantity (in Lakhs), 5991.24
, Number of Trades, 5105681
, Total Market Capitalisation (Rs. Crores), 6337675.93

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,S&P CNX Nifty,      5597.90,      5596.75,      5624.40,      5583.05,      5619.70,21.8
,CNX IT,      6066.10,      6053.50,      6095.90,      6053.50,      6087.85,21.75
,CNX Nifty Junior,     10778.65,     10776.70,     10907.85,     10767.00,     10898.45,119.8
,S&P CNX Defty,      3586.35,      3587.60,      3618.85,      3572.60,      3615.60,29.25
,BANK Nifty,     11203.00,     11204.95,     11290.00,     11125.20,     11268.80,65.8
,CNX Midcap,      7682.35,      7682.35,      7769.70,      7672.95,      7763.05,80.7
,S&P CNX 500,      4424.10,      4423.40,      4451.90,      4416.25,      4448.85,24.75
,CNX 100,      5476.15,      5475.10,      5507.55,      5465.10,      5503.20,27.05
,Nifty Midcap 50,      2162.00,      2161.70,      2176.35,      2151.10,      2174.40,12.4
,CNX Realty,       230.95,       230.90,       234.70,       228.30,       234.15,3.2
,CNX Infra,      2489.40,      2490.00,      2499.95,      2468.50,      2485.85,-3.55
,CNX Energy,      7802.25,      7793.30,      7816.05,      7744.05,      7785.65,-16.6
,CNX FMCG,     14550.50,     14572.35,     14595.85,     14459.60,     14523.50,-27
,CNX MNC,      5723.75,      5719.45,      5748.80,      5710.40,      5741.10,17.35
,CNX Pharma,      5566.45,      5561.65,      5676.35,      5561.65,      5667.05,100.6
,CNX PSE,      2865.20,      2860.75,      2865.45,      2833.75,      2850.60,-14.6
,CNX PSU Bank,      3091.90,      3087.35,      3146.00,      3065.80,      3140.05,48.15
,CNX Service,      6597.50,      6595.05,      6646.90,      6577.85,      6636.85,39.35
,India VIX,        15.17,        15.17,        15.18,        14.31,        14.40,-.77
,CNX AUTO,      4263.70,      4265.25,      4333.95,      4265.20,      4329.40,65.7
,CNX Metal,      2636.10,      2632.65,      2670.45,      2619.25,      2665.75,29.65
,CNX Media,      1484.00,      1497.60,      1546.50,      1489.35,      1542.70,58.7
,CNX Smallcap,      3382.55,      3382.20,      3411.80,      3376.75,      3410.25,27.7
,CNX 200,      2822.05,      2821.55,      2839.85,      2816.75,      2837.65,15.6
,CNX Dividend Oppt,      1601.85,      1600.75,      1612.60,      1596.45,      1610.90,9.05
,CNX Commodities,      2421.25,      2416.80,      2429.15,      2405.35,      2426.50,5.25
,CNX Consumption,      2105.50,      2105.00,      2123.15,      2105.00,      2120.30,14.8
,CNX Finance,      4624.60,      4627.45,      4671.45,      4595.75,      4663.00,38.4
,Nifty Dividend,        70.16,        70.64,        70.64,        70.64,        70.64,.48

,ADVANCES,825
,DECLINES,654
,UNCHANGED,101

,Total securities that have hit their price bands today,112

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SBIN,EQ,      2074.30,      2110.25,1.73,531.01
,MCDOWELL-N,EQ,      1144.35,      1175.75,2.74,398.41
,MARUTI,EQ,      1390.80,      1437.90,3.39,333.84
,LT,EQ,      1638.80,      1626.85,-0.73,277.35
,TATAMOTORS,EQ,       247.65,       254.75,2.87,229.93
,ICICIBANK,EQ,      1045.15,      1050.20,0.48,218.54
,HDFC,EQ,       750.65,       762.35,1.56,217.98
,AXISBANK,EQ,      1184.70,      1182.60,-0.18,209.59
,RELCAPITAL,EQ,       398.35,       381.95,-4.12,209.05
,LICHSGFIN,EQ,       242.30,       243.05,0.31,207.22
,INFY,EQ,      2358.35,      2363.00,0.2,192.47
,HDIL,EQ,        93.00,        95.95,3.17,174.97
,RELIANCE,EQ,       803.25,       805.50,0.28,173.13
,JPASSOCIAT,EQ,        86.30,        87.35,1.22,166.03
,CAIRN,EQ,       335.40,       336.50,0.33,162.69
,TATASTEEL,EQ,       393.05,       392.20,-0.22,149.94
,ONGC,EQ,       273.00,       268.50,-1.65,131.27
,DRREDDY,EQ,      1724.30,      1756.50,1.87,120.27
,GLENMARK,EQ,       394.25,       428.30,8.64,120.11
,HDFCBANK,EQ,       633.65,       634.20,0.09,118.63
,HINDUNILVR,EQ,       550.60,       546.60,-0.73,108.95
,RELINFRA,EQ,       481.25,       469.50,-2.44,108.08
,ITC,EQ,       284.10,       282.55,-0.55,107.63
,DLF,EQ,       199.10,       202.80,1.86,107.43
,M&M,EQ,       873.65,       884.45,1.24,98.13

,Top Five S&P CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HINDALCO,EQ,       116.55,       110.90,5.09
,MARUTI,EQ,      1437.90,      1390.80,3.39
,TATAMOTORS,EQ,       254.75,       247.65,2.87
,SESAGOA,EQ,       171.15,       166.90,2.55
,CIPLA,EQ,       363.30,       354.65,2.44

,Top Five S&P CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,RELINFRA,EQ,       469.50,       481.25,-2.44
,GAIL,EQ,       348.90,       355.60,-1.88
,BHEL,EQ,       224.80,       228.80,-1.75
,ONGC,EQ,       268.50,       273.00,-1.65
,ULTRACEMCO,EQ,      1996.20,      2012.95,-0.83

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,       114.45,                 16317142.55,142597
,3IINFOTECH,BE,         7.55,                  2772743.15,369845
,3MINDIA,EQ,      3835.65,                   156612.35,41
,A2ZMES,EQ,        58.75,                 13618242.70,232971
,AANJANEYA,EQ,       632.25,                 39854926.00,62537
,AARTIDRUGS,EQ,       173.25,                  4110924.45,23695
,AARTIIND,EQ,        92.60,                  8752804.85,94963
,AARVEEDEN,EQ,        54.75,                   342293.20,6134
,ABAN,EQ,       440.40,                 89116387.50,202366
,ABB,EQ,       737.85,                  9467052.90,12828
,ABBOTINDIA,EQ,      1437.70,                  6180155.45,4302
,ABCIL,EQ,        94.30,                  1344800.55,14178
,ABGSHIP,EQ,       374.25,                 63554116.65,169675
,ABHISHEK,EQ,         6.90,                    26331.45,3779
,ACCELYA,BE,       219.75,                   415977.95,1896
,ACE,EQ,        24.25,                  1960381.35,80464
,ACROPETAL,EQ,        13.50,                  5841325.60,423882
,ADANIPOWER,EQ,        48.20,                 40554882.50,842880
,ADFFOODS,EQ,        56.40,                   249150.00,4413
,ADHUNIK,EQ,        29.80,                   485348.70,16259
,ADORWELD,EQ,       135.30,                   539463.90,3979
,ADSL,EQ,        21.55,                   800208.10,37099
,ADVANIHOTR,EQ,        28.75,                    57524.85,2072
,ADVANTA,EQ,       820.50,                  8500987.35,10355
,AEGISCHEM,EQ,       166.95,                  6547133.90,39321
,AFL,EQ,        33.65,                   518496.25,15364
,AFTEK,EQ,         7.55,                   855427.90,113206
,AGCNET,EQ,       398.45,                 32634124.60,78967
,AGRODUTCH,EQ,         3.65,                    27364.80,7433
,AHLEAST,EQ,       225.15,                   157350.65,699
,AHLUCONT,EQ,        40.20,                    87757.25,2184
,AHLWEST,EQ,       132.00,                  3115736.55,22949
,AHMEDFORGE,EQ,       126.40,                   468877.60,3680
,AIAENG,EQ,       389.45,                  3286966.50,8543
,AIL,EQ,       409.15,                 36612757.05,88495
,AJANTPHARM,EQ,       391.40,                  6172232.45,15688
,AJMERA,BE,       114.40,                   593060.95,5184
,AKSHOPTFBR,EQ,        14.40,                   485460.20,34297
,AKZOINDIA,EQ,       968.35,                 11576418.60,11997
,ALBK,EQ,       136.10,                275295608.00,2055512
,ALCHEM,EQ,        51.30,                   163001.85,3188
,ALEMBICLTD,EQ,        15.50,                   318688.00,20518
,ALICON,EQ,        69.50,                  1043711.80,14989
,ALKALI,EQ,        26.75,                   165751.85,6172
,ALKYLAMINE,EQ,       141.65,                   442205.30,3089
,ALLCARGO,EQ,       132.00,                   505808.15,3833
,ALLSEC,EQ,        35.10,                   318191.45,9146
,ALMONDZ,EQ,         8.70,                     1024.40,126
,ALOKTEXT,EQ,        11.50,                 49376428.25,4348139
,ALPA,EQ,        10.00,                    34529.05,3451
,ALPHAGEO,BE,        55.00,                    73340.25,1333
,ALPINEHOU,EQ,        21.50,                      107.50,5
,ALPSINDUS,EQ,         1.80,                    11965.80,6506
,ALSTOMT&D,EQ,       204.15,                  2289650.90,11208
,AMAR,EQ,        38.20,                  2751922.55,74276
,AMARAJABAT,EQ,       226.10,                 24970289.05,112097
,AMARJOTHI,EQ,        46.00,                    28965.05,639
,AMBIKCO,EQ,       192.30,                  1036506.45,5436
,AMDIND,EQ,        15.60,                    43751.85,2803
,AMLSTEEL,EQ,         7.95,                     3203.80,408
,AMRUTANJAN,EQ,       156.50,                 11019126.70,70829
,AMTEKAUTO,EQ,        71.45,                 36867494.85,512253
,AMTEKINDIA,EQ,        95.00,                 28578820.55,300201
,AMTL,BE,        19.10,                    67099.30,3506
,ANANTRAJ,EQ,        81.30,                139718425.25,1748531
,ANDHRABANK,EQ,       103.25,                139037540.75,1354515
,ANDHRACEMT,BE,         9.35,                   148510.00,16066
,ANDHRSUGAR,EQ,       146.60,                  1400786.65,9539
,ANGIND,EQ,        13.80,                     6495.65,473
,ANIKINDS,EQ,        32.00,                  1036156.55,32534
