,05-NOV-2012
The Nifty witnessed an intraday movement of about 29.7 points.The closing index was 0.11 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 7761.39
, Traded Quantity (in Lakhs), 4785.66
, Number of Trades, 4502918
, Total Market Capitalisation (Rs. Crores), 6425387.3

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,S&P CNX Nifty,      5697.70,      5693.05,      5709.20,      5679.50,      5704.20,6.5
,CNX IT,      6163.45,      6163.95,      6176.35,      6127.70,      6144.20,-19.25
,CNX Nifty Junior,     11080.40,     11077.35,     11105.35,     11026.30,     11064.40,-16
,S&P CNX Defty,      3671.45,      3644.95,      3660.10,      3608.65,      3628.85,-42.6
,BANK Nifty,     11460.45,     11449.70,     11489.30,     11401.30,     11475.15,14.7
,CNX Midcap,      7876.10,      7875.35,      7887.95,      7827.50,      7839.85,-36.25
,S&P CNX 500,      4510.25,      4507.50,      4519.55,      4495.60,      4511.30,1.05
,CNX 100,      5581.80,      5577.70,      5593.10,      5562.80,      5586.10,4.3
,Nifty Midcap 50,      2226.45,      2225.85,      2225.85,      2202.10,      2208.50,-17.95
,CNX Realty,       239.50,       239.35,       240.20,       237.20,       238.90,-.6
,CNX Infra,      2540.65,      2536.90,      2551.00,      2522.25,      2531.65,-9
,CNX Energy,      7828.30,      7797.15,      7822.90,      7787.45,      7807.90,-20.4
,CNX FMCG,     14502.25,     14544.40,     14683.40,     14512.45,     14670.15,167.9
,CNX MNC,      5723.40,      5725.45,      5738.75,      5713.50,      5733.05,9.65
,CNX Pharma,      5736.80,      5736.50,      5796.90,      5736.50,      5756.50,19.7
,CNX PSE,      2882.50,      2877.20,      2893.50,      2873.45,      2884.60,2.1
,CNX PSU Bank,      3236.65,      3229.75,      3237.95,      3195.25,      3218.85,-17.8
,CNX Service,      6736.45,      6733.70,      6745.15,      6704.30,      6735.25,-1.2
,India VIX,        13.66,        13.66,        14.98,        13.49,        14.63,.97
,CNX AUTO,      4488.70,      4485.00,      4500.30,      4436.80,      4463.85,-24.85
,CNX Metal,      2707.05,      2696.75,      2704.05,      2675.45,      2684.10,-22.95
,CNX Media,      1559.70,      1559.20,      1578.70,      1553.90,      1572.65,12.95
,CNX Smallcap,      3443.55,      3449.20,      3457.50,      3432.80,      3437.75,-5.8
,CNX 200,      2878.20,      2876.30,      2884.35,      2867.95,      2879.20,1
,CNX Dividend Oppt,      1633.10,      1633.00,      1637.70,      1623.75,      1631.05,-2.05
,CNX Commodities,      2455.00,      2448.10,      2453.95,      2442.20,      2449.20,-5.8
,CNX Consumption,      2156.80,      2156.75,      2163.50,      2148.05,      2160.00,3.2
,CNX Finance,      4727.20,      4724.80,      4742.20,      4707.65,      4738.15,10.95
,Nifty Dividend,        74.71,        75.40,        75.40,        75.40,        75.40,.69

,ADVANCES,672
,DECLINES,834
,UNCHANGED,78

,Total securities that have hit their price bands today,133

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,MCDOWELL-N,EQ,      1183.85,      1219.65,3.02,360.37
,SBIN,EQ,      2152.45,      2144.75,-0.36,260.13
,TATAMOTORS,EQ,       270.05,       269.80,-0.09,211.23
,CROMPGREAV,EQ,       122.80,       112.55,-8.35,192.38
,LT,EQ,      1675.40,      1676.15,0.04,165.09
,INFY,EQ,      2388.10,      2378.45,-0.4,147.25
,CIPLA,EQ,       377.00,       380.20,0.85,145.03
,ALBK,EQ,       137.75,       134.60,-2.29,143.66
,ICICIBANK,EQ,      1079.65,      1077.65,-0.19,136.76
,AXISBANK,EQ,      1215.50,      1214.25,-0.1,113.83
,ITC,EQ,       283.20,       288.65,1.92,111.73
,MARUTI,EQ,      1465.90,      1478.25,0.84,109.04
,DRREDDY,EQ,      1774.65,      1797.60,1.29,102.21
,HDIL,EQ,        99.85,       100.05,0.2,101.97
,RELCAPITAL,EQ,       392.20,       394.55,0.6,97.4
,RELIANCE,EQ,       807.95,       806.15,-0.22,93.32
,HDFC,EQ,       766.25,       770.00,0.49,84.58
,JPASSOCIAT,EQ,        88.75,        87.45,-1.46,83.25
,TCS,EQ,      1331.20,      1329.60,-0.12,81.66
,HINDUNILVR,EQ,       533.00,       533.00,0,80.08
,TITAN,EQ,       289.35,       289.95,0.21,74.52
,BAJAJ-AUTO,EQ,      1897.75,      1858.60,-2.06,69.65
,TATASTEEL,EQ,       402.35,       397.65,-1.17,67.93
,20MICRONS,EQ,       148.05,       163.90,10.71,67.53
,TTKPRESTIG,EQ,      3401.80,      3397.55,-0.12,66.61

,Top Five S&P CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,KOTAKBANK,EQ,       625.65,       612.30,2.18
,ACC,EQ,      1436.55,      1408.40,2
,ITC,EQ,       288.65,       283.20,1.92
,ASIANPAINT,EQ,      3957.00,      3903.30,1.38
,DRREDDY,EQ,      1797.60,      1774.65,1.29

,Top Five S&P CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HINDALCO,EQ,       114.50,       117.70,-2.72
,JINDALSTEL,EQ,       380.35,       388.85,-2.19
,BAJAJ-AUTO,EQ,      1858.60,      1897.75,-2.06
,JPASSOCIAT,EQ,        87.45,        88.75,-1.46
,CAIRN,EQ,       330.15,       334.80,-1.39

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,       163.90,                675348328.90,4066100
,3IINFOTECH,BE,         7.70,                  5242959.60,673577
,3MINDIA,EQ,      3847.20,                   918973.80,240
,A2ZMES,EQ,        60.50,                 12814381.95,210975
,AANJANEYA,EQ,       641.65,                 22580395.70,34986
,AARTIDRUGS,EQ,       190.50,                  6061098.85,31398
,AARTIIND,EQ,        93.30,                  4196130.55,45073
,AARVEEDEN,EQ,        63.00,                  1399169.00,22065
,ABAN,EQ,       437.65,                 80750023.10,184177
,ABB,EQ,       721.95,                 32023286.80,44251
,ABBOTINDIA,EQ,      1429.30,                  2945074.45,2050
,ABCIL,EQ,        91.85,                   378023.65,4104
,ABGSHIP,EQ,       373.55,                 16280327.05,43654
,ABHISHEK,EQ,         6.90,                    16124.05,2401
,ACCELYA,BE,       221.55,                  1817485.90,8138
,ACE,EQ,        26.85,                  3616375.85,140244
,ACROPETAL,EQ,        13.10,                  1648794.90,125788
,ADANIPOWER,EQ,        48.75,                 35558878.75,722421
,ADFFOODS,EQ,        62.40,                  3128766.00,50577
,ADHUNIK,EQ,        30.75,                   851335.55,27475
,ADORWELD,EQ,       136.10,                   141530.35,1035
,ADSL,EQ,        22.25,                   819659.85,36790
,ADVANIHOTR,EQ,        27.10,                     6010.00,220
,ADVANTA,EQ,       823.30,                  8342117.85,10143
,AEGISCHEM,EQ,       171.70,                  6248715.60,35846
,AFL,EQ,        31.60,                   532025.15,16601
,AFTEK,EQ,         7.70,                   516006.20,67381
,AGCNET,EQ,       389.55,                  6815538.25,17513
,AGRODUTCH,EQ,         3.65,                    31196.60,8449
,AHLEAST,EQ,       228.00,                    24564.00,108
,AHLUCONT,EQ,        40.90,                    38477.55,948
,AHLWEST,EQ,       134.00,                      268.90,2
,AHMEDFORGE,EQ,       130.20,                   690657.25,5347
,AIAENG,EQ,       376.50,                   418130.00,1097
,AICHAMP,BE,        18.40,                      379.15,22
,AIL,EQ,       417.60,                  7972889.10,19133
,AJANTPHARM,EQ,       385.30,                  5754204.75,14847
,AJMERA,BE,       117.50,                   462542.50,3990
,AKSHOPTFBR,EQ,        14.15,                   494105.65,34783
,AKZOINDIA,EQ,       947.55,                  3295531.15,3486
,ALBK,EQ,       134.60,               1436577309.85,10895299
,ALCHEM,EQ,        52.10,                   162319.20,3116
,ALEMBICLTD,EQ,        15.50,                   363594.70,23439
,ALICON,EQ,        73.00,                   195383.30,2684
,ALKALI,EQ,        27.30,                   170125.40,6216
,ALKYLAMINE,EQ,       148.95,                    75080.90,504
,ALLCARGO,EQ,       130.05,                   829648.00,6327
,ALLSEC,EQ,        42.50,                   727785.25,17282
,ALMONDZ,EQ,         7.95,                     8155.25,993
,ALOKTEXT,EQ,        11.95,                 45164867.35,3745060
,ALPA,EQ,        10.00,                    16445.95,1630
,ALPINEHOU,EQ,        22.50,                       22.50,1
,ALPSINDUS,EQ,         1.90,                     3522.60,1896
,ALSTOMT&D,EQ,       202.30,                  2572131.10,12667
,AMAR,EQ,        37.85,                  1791423.45,46954
,AMARAJABAT,EQ,       222.70,                 66158040.30,291717
,AMARJOTHI,EQ,        45.00,                      450.00,10
,AMBIKCO,EQ,       202.30,                  1686025.75,8298
,AMDIND,EQ,        15.25,                    71629.05,4645
,AMLSTEEL,EQ,         8.20,                     8646.00,1030
,AMRUTANJAN,EQ,       157.85,                  9574826.65,60635
,AMTEKAUTO,EQ,        72.15,                 17770674.80,246176
,AMTEKINDIA,EQ,        95.75,                 18062603.50,187809
,AMTL,BE,        19.10,                     2573.00,130
,ANANTRAJ,EQ,        79.15,                 79475681.10,992758
,ANDHRABANK,EQ,       102.70,                123716683.55,1192366
,ANDHRACEMT,BE,         9.15,                    24575.85,2659
,ANDHRSUGAR,EQ,       147.15,                  2967562.10,20089
,ANGIND,EQ,        13.35,                       40.05,3
,ANIKINDS,EQ,        33.25,                  1794243.80,53453
,ANKURDRUGS,BE,        14.25,                   231814.35,16253
