,08-NOV-2012
The Nifty witnessed an intraday movement of about 50.55 points.The closing index was 0.37 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 11132.91
, Traded Quantity (in Lakhs), 6838.17
, Number of Trades, 5593052
, Total Market Capitalisation (Rs. Crores), 6482039.13

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,S&P CNX Nifty,      5760.10,      5709.00,      5744.50,      5693.95,      5738.75,-21.35
,CNX IT,      6192.75,      6138.00,      6166.80,      6120.80,      6163.05,-29.7
,CNX Nifty Junior,     11229.45,     11222.05,     11249.60,     11127.75,     11239.95,10.5
,S&P CNX Defty,      3685.30,      3623.35,      3660.35,      3615.15,      3648.65,-36.65
,BANK Nifty,     11665.50,     11561.35,     11637.95,     11533.30,     11613.55,-51.95
,CNX Midcap,      7947.10,      7945.50,      7969.85,      7875.70,      7966.75,19.65
,S&P CNX 500,      4559.10,      4530.30,      4552.60,      4519.30,      4548.95,-10.15
,CNX 100,      5644.95,      5601.60,      5633.15,      5592.20,      5627.80,-17.15
,Nifty Midcap 50,      2238.80,      2237.30,      2244.95,      2213.05,      2242.30,3.5
,CNX Realty,       251.20,       250.10,       256.60,       246.15,       256.00,4.8
,CNX Infra,      2547.10,      2523.25,      2536.45,      2515.55,      2531.55,-15.55
,CNX Energy,      7811.15,      7744.75,      7772.05,      7720.00,      7758.80,-52.35
,CNX FMCG,     14753.05,     14685.70,     14853.70,     14680.65,     14782.20,29.15
,CNX MNC,      5770.00,      5741.65,      5771.25,      5732.90,      5759.40,-10.6
,CNX Pharma,      5805.00,      5794.55,      5837.95,      5739.90,      5766.65,-38.35
,CNX PSE,      2905.05,      2889.90,      2901.55,      2881.95,      2899.40,-5.65
,CNX PSU Bank,      3332.80,      3303.10,      3383.10,      3285.60,      3366.45,33.65
,CNX Service,      6837.60,      6773.85,      6815.35,      6761.85,      6807.60,-30
,India VIX,        14.51,        14.51,        14.57,        13.86,        14.22,-.29
,CNX AUTO,      4478.00,      4446.60,      4531.05,      4431.25,      4515.00,37
,CNX Metal,      2690.15,      2672.15,      2697.65,      2663.35,      2691.30,1.15
,CNX Media,      1592.05,      1571.65,      1597.90,      1566.25,      1584.25,-7.8
,CNX Smallcap,      3499.15,      3482.90,      3506.30,      3465.25,      3497.55,-1.6
,CNX 200,      2909.95,      2889.85,      2905.25,      2883.05,      2902.65,-7.3
,CNX Dividend Oppt,      1651.20,      1644.20,      1651.40,      1638.60,      1650.20,-1
,CNX Commodities,      2460.95,      2445.40,      2455.60,      2438.00,      2452.90,-8.05
,CNX Consumption,      2177.40,      2165.00,      2184.90,      2157.75,      2181.60,4.2
,CNX Finance,      4828.40,      4782.55,      4808.15,      4768.05,      4800.35,-28.05
,Nifty Dividend,        75.40,        75.40,        75.40,        75.40,        75.40,0

,ADVANCES,662
,DECLINES,854
,UNCHANGED,69

,Total securities that have hit their price bands today,127

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,MCDOWELL-N,EQ,      1299.70,      1343.45,3.37,1177.55
,TATAMOTORS,EQ,       269.35,       283.95,5.42,682.88
,SBIN,EQ,      2217.00,      2242.30,1.14,614.22
,LT,EQ,      1669.45,      1635.35,-2.04,225.52
,RELIANCE,EQ,       800.85,       796.60,-0.53,225.25
,HDIL,EQ,       105.25,       105.75,0.48,207.64
,BHARTIARTL,EQ,       271.10,       277.05,2.19,190.98
,PANTALOONR,EQ,       200.05,       207.35,3.65,184.9
,RANBAXY,EQ,       550.45,       549.10,-0.25,184.17
,ICICIBANK,EQ,      1092.95,      1076.00,-1.55,170.28
,JPASSOCIAT,EQ,        93.55,        92.65,-0.96,162.38
,INFY,EQ,      2404.40,      2375.30,-1.21,155.08
,AXISBANK,EQ,      1232.05,      1222.50,-0.78,153.54
,HDFC,EQ,       799.65,       793.80,-0.73,145.55
,JUBLFOOD,EQ,      1317.70,      1372.85,4.19,138.36
,UBL,EQ,       774.70,       788.25,1.75,128.57
,SUNPHARMA,EQ,       700.35,       696.55,-0.54,124.23
,UNITECH,EQ,        25.70,        27.05,5.25,123.21
,L&TFH,EQ,        59.25,        62.45,5.4,123.02
,RELCAPITAL,EQ,       406.55,       401.05,-1.35,118.39
,TATAGLOBAL,EQ,       159.55,       167.35,4.89,113.8
,DLF,EQ,       211.50,       214.00,1.18,110.89
,RELINFRA,EQ,       485.05,       476.35,-1.79,93.9
,TATAMTRDVR,EQ,       166.00,       172.10,3.67,92.97
,TATASTEEL,EQ,       401.95,       403.95,0.5,91.15

,Top Five S&P CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TATAMOTORS,EQ,       283.95,       269.35,5.42
,BHARTIARTL,EQ,       277.05,       271.10,2.19
,WIPRO,EQ,       375.40,       367.85,2.05
,ASIANPAINT,EQ,      4178.10,      4120.45,1.4
,DLF,EQ,       214.00,       211.50,1.18

,Top Five S&P CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,GAIL,EQ,       358.60,       366.10,-2.05
,LT,EQ,      1635.35,      1669.45,-2.04
,TATAPOWER,EQ,       101.75,       103.80,-1.97
,RELINFRA,EQ,       476.35,       485.05,-1.79
,IDFC,EQ,       163.60,       166.40,-1.68

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,       159.65,                353317369.10,2298736
,3IINFOTECH,BE,         7.45,                  4307286.90,579315
,3MINDIA,EQ,      3745.00,                   123350.25,33
,A2ZMES,EQ,        61.50,                 15087866.40,243752
,AANJANEYA,EQ,       644.30,                 27140710.30,42050
,AARTIDRUGS,EQ,       218.55,                 31971909.35,146324
,AARTIIND,EQ,        95.15,                  4446011.40,46796
,AARVEEDEN,EQ,        70.80,                  4502359.45,61052
,ABAN,EQ,       411.00,                196357248.85,474191
,ABB,EQ,       725.90,                 26708604.75,36753
,ABBOTINDIA,EQ,      1455.75,                   505405.70,347
,ABCIL,EQ,        88.05,                   326113.10,3689
,ABGSHIP,EQ,       399.45,                 54695196.50,137417
,ABHISHEK,EQ,         6.70,                     7699.70,1161
,ACCELYA,BE,       256.40,                   627667.20,2448
,ACE,EQ,        25.75,                   672481.40,26123
,ACROPETAL,EQ,        12.25,                  3165255.65,255042
,ADANIPOWER,EQ,        49.30,                 29193409.55,592007
,ADFFOODS,EQ,        70.20,                 17024854.65,244112
,ADHUNIK,EQ,        30.10,                  2381018.30,78817
,ADORWELD,EQ,       135.75,                   374742.70,2764
,ADSL,EQ,        22.25,                   725967.50,32318
,ADVANIHOTR,EQ,        26.60,                    13414.20,504
,ADVANTA,EQ,       816.50,                 13904701.05,16856
,AEGISCHEM,EQ,       174.20,                  5889788.50,33568
,AFL,EQ,        32.20,                   651463.25,20462
,AFTEK,EQ,         7.60,                   257708.80,33591
,AGCNET,EQ,       384.35,                  2148242.80,5539
,AGRODUTCH,EQ,         3.70,                    74353.10,20327
,AHLEAST,EQ,       223.50,                    88007.45,390
,AHLUCONT,EQ,        40.40,                   177690.75,4436
,AHLWEST,EQ,       130.30,                    10426.50,80
,AHMEDFORGE,EQ,       130.15,                  1630443.75,12380
,AIAENG,EQ,       374.95,                   497124.45,1319
,AICHAMP,BE,        18.15,                      930.80,51
,AIL,EQ,       415.25,                  9747240.95,23607
,AJANTPHARM,EQ,       371.15,                  9010687.80,24156
,AJMERA,BE,       120.50,                   751839.25,6203
,AKSHOPTFBR,EQ,        15.85,                  9270345.35,560716
,AKZOINDIA,EQ,       937.80,                  2268071.55,2416
,ALBK,EQ,       148.60,                658226878.10,4528890
,ALCHEM,EQ,        52.75,                   144681.60,2748
,ALEMBICLTD,EQ,        15.60,                  3075464.65,194182
,ALICON,EQ,        79.35,                  1309570.25,16659
,ALKALI,EQ,        27.25,                   133897.55,4915
,ALKYLAMINE,EQ,       144.90,                    97450.35,675
,ALLCARGO,EQ,       128.95,                    69925.95,542
,ALLSEC,EQ,        49.10,                   156923.60,3196
,ALMONDZ,EQ,         8.40,                      168.00,20
,ALOKTEXT,EQ,        11.75,                 28729789.75,2440914
,ALPA,EQ,        10.05,                    50994.75,5079
,ALPHAGEO,BE,        53.00,                   254455.60,4776
,ALPINEHOU,EQ,        22.00,                    59167.00,2681
,ALPSINDUS,EQ,         1.90,                    23149.70,12424
,ALSTOMT&D,EQ,       204.10,                  7858093.55,38602
,AMAR,EQ,        40.75,                  2778572.15,67802
,AMARAJABAT,EQ,       258.00,                252409072.45,978601
,AMARJOTHI,EQ,        47.35,                    10563.85,224
,AMBIKCO,EQ,       210.10,                   781751.55,3719
,AMDIND,EQ,        15.55,                    16818.00,1078
,AMLSTEEL,EQ,         8.50,                     1220.25,148
,AMRUTANJAN,EQ,       158.50,                  9625838.45,60466
,AMTEKAUTO,EQ,        72.35,                 10957300.45,151574
,AMTEKINDIA,EQ,       107.65,                 22912603.80,213667
,AMTL,BE,        18.15,                   189610.60,10135
,ANANTRAJ,EQ,        93.80,                633895895.45,6839591
,ANDHRABANK,EQ,       108.80,                148789111.25,1386801
,ANDHRACEMT,BE,         9.10,                    70101.20,7799
,ANDHRSUGAR,EQ,       145.20,                   959648.85,6593
,ANGIND,EQ,        13.90,                       13.90,1
,ANIKINDS,EQ,        35.00,                   872935.70,24697
