,26-NOV-2012
The Nifty witnessed an intraday movement of about 25.75 points.The closing index was 0.17 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 9476.99
, Traded Quantity (in Lakhs), 6196.34
, Number of Trades, 5078956
, Total Market Capitalisation (Rs. Crores), 6381862.17

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,S&P CNX Nifty,      5626.60,      5648.65,      5649.20,      5623.45,      5635.90,9.3
,CNX IT,      6099.10,      6117.70,      6180.35,      6117.70,      6174.45,75.35
,CNX Nifty Junior,     11253.75,     11254.60,     11439.15,     11254.60,     11413.60,159.85
,S&P CNX Defty,      3514.35,      3527.55,      3528.85,      3495.10,      3500.90,-13.45
,BANK Nifty,     11475.80,     11534.20,     11534.20,     11411.10,     11432.45,-43.35
,CNX Midcap,      7787.25,      7787.75,      7864.30,      7787.75,      7853.50,66.25
,S&P CNX 500,      4474.15,      4486.45,      4500.75,      4482.50,      4493.60,19.45
,CNX 100,      5534.80,      5553.35,      5563.10,      5541.35,      5554.25,19.45
,Nifty Midcap 50,      2176.10,      2176.40,      2200.60,      2176.40,      2195.60,19.5
,CNX Realty,       247.90,       248.15,       251.05,       246.25,       248.75,.85
,CNX Infra,      2496.80,      2504.50,      2525.70,      2503.35,      2522.15,25.35
,CNX Energy,      7507.05,      7537.35,      7551.35,      7488.20,      7501.30,-5.75
,CNX FMCG,     14915.45,     14946.90,     15115.80,     14946.90,     15091.70,176.25
,CNX MNC,      5654.50,      5660.25,      5713.00,      5660.25,      5695.90,41.4
,CNX Pharma,      5680.85,      5689.15,      5728.55,      5682.95,      5698.40,17.55
,CNX PSE,      2791.40,      2800.40,      2801.40,      2774.70,      2777.80,-13.6
,CNX PSU Bank,      3169.30,      3174.80,      3185.85,      3153.75,      3167.65,-1.65
,CNX Service,      6745.00,      6777.30,      6778.20,      6735.80,      6762.60,17.6
,India VIX,        14.68,        14.68,        14.94,        14.09,        14.67,-.01
,CNX AUTO,      4443.50,      4457.10,      4470.45,      4429.95,      4434.50,-9
,CNX Metal,      2582.70,      2585.55,      2617.10,      2585.55,      2600.35,17.65
,CNX Media,      1650.45,      1656.85,      1681.80,      1656.85,      1665.50,15.05
,CNX Smallcap,      3492.05,      3508.35,      3549.75,      3507.00,      3536.00,43.95
,CNX 200,      2853.95,      2862.60,      2870.45,      2858.65,      2865.60,11.65
,CNX Dividend Oppt,      1602.80,      1605.55,      1619.90,      1605.55,      1615.85,13.05
,CNX Commodities,      2347.65,      2352.75,      2361.20,      2347.95,      2350.20,2.55
,CNX Consumption,      2226.35,      2232.05,      2256.80,      2232.05,      2249.15,22.8
,CNX Finance,      4738.75,      4764.05,      4764.05,      4710.25,      4723.80,-14.95
,Nifty Dividend,        75.40,        75.40,        75.40,        75.40,        75.40,0

,ADVANCES,869
,DECLINES,622
,UNCHANGED,92

,Total securities that have hit their price bands today,131

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,JETAIRWAYS,EQ,       505.60,       560.85,10.93,743.4
,MCDOWELL-N,EQ,      1880.45,      1941.25,3.23,606.77
,SBIN,EQ,      2089.50,      2091.90,0.11,283.52
,PANTALOONR,EQ,       182.60,       194.95,6.76,225.53
,ICICIBANK,EQ,      1025.10,      1018.30,-0.66,206.13
,RCOM,EQ,        63.40,        67.75,6.86,203.93
,TATAMOTORS,EQ,       260.50,       263.20,1.04,201.49
,M&M,EQ,       954.05,       922.05,-3.35,192.27
,AXISBANK,EQ,      1256.75,      1265.80,0.72,170.48
,KTKBANK,EQ,       152.35,       155.75,2.23,161.56
,HDIL,EQ,       104.05,       103.45,-0.58,131.22
,RELCAPITAL,EQ,       382.90,       393.85,2.86,128.76
,LT,EQ,      1587.35,      1610.65,1.47,121.98
,BHARTIARTL,EQ,       305.45,       310.25,1.57,119.51
,JPASSOCIAT,EQ,        89.10,        89.10,0,114.67
,INFY,EQ,      2377.55,      2417.40,1.68,113.89
,STAR,EQ,       975.45,      1060.95,8.77,113.24
,TATASTEEL,EQ,       364.85,       371.85,1.92,107.26
,EROSMEDIA,EQ,       184.20,       207.75,12.79,96.43
,HCLTECH,EQ,       636.45,       639.95,0.55,91.66
,HDFCBANK,EQ,       669.75,       661.90,-1.17,90.88
,RELIANCE,EQ,       773.75,       773.65,-0.01,80.44
,HDFC,EQ,       779.35,       775.65,-0.47,80.36
,DLF,EQ,       200.70,       200.30,-0.2,78.11
,UNITECH,EQ,        26.60,        26.55,-0.19,73.45

,Top Five S&P CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,IDFC,EQ,       161.90,       157.75,2.63
,WIPRO,EQ,       375.45,       366.85,2.34
,TATASTEEL,EQ,       371.85,       364.85,1.92
,HINDALCO,EQ,       109.80,       107.90,1.76
,INFY,EQ,      2417.40,      2377.55,1.68

,Top Five S&P CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,M&M,EQ,       922.05,       954.05,-3.35
,BPCL,EQ,       315.45,       321.45,-1.87
,BHEL,EQ,       221.15,       224.70,-1.58
,ULTRACEMCO,EQ,      1868.60,      1896.05,-1.45
,SUNPHARMA,EQ,       696.80,       705.30,-1.21

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,       141.55,                305748491.35,2214524
,3IINFOTECH,EQ,         7.15,                  5317032.25,739601
,3MINDIA,EQ,      3837.10,                  6813572.10,1787
,A2ZMES,EQ,        57.85,                  8627488.65,148840
,AANJANEYA,EQ,       783.00,                 98822816.70,125577
,AARTIDRUGS,EQ,       222.50,                  4472354.10,20086
,AARTIIND,EQ,        90.55,                  2674916.05,29536
,AARVEEDEN,EQ,        68.75,                   835029.60,12383
,ABAN,EQ,       378.30,                255538925.30,675441
,ABB,EQ,       701.20,                 27205802.85,38618
,ABBOTINDIA,EQ,      1430.90,                  1160214.20,806
,ABCIL,EQ,        87.05,                   166727.60,1912
,ABGSHIP,EQ,       385.15,                 52604410.50,136104
,ABHISHEK,EQ,         6.80,                    25138.15,3638
,ACCELYA,BE,       371.30,                  6590036.85,17807
,ACE,EQ,        24.60,                  1554669.45,62793
,ACROPETAL,EQ,        11.75,                  1386229.40,114883
,ADANIPOWER,EQ,        47.00,                 21300431.60,452882
,ADFFOODS,EQ,        60.30,                   577694.65,9485
,ADHUNIK,EQ,        31.05,                  1555468.40,50056
,ADORWELD,EQ,       131.10,                   381015.35,2897
,ADSL,EQ,        20.20,                   772804.50,38168
,ADVANIHOTR,EQ,        26.00,                    15859.00,609
,ADVANTA,EQ,       833.20,                 13286158.20,15680
,AEGISCHEM,EQ,       173.85,                  9791822.45,56957
,AFL,EQ,        34.90,                   907846.15,26328
,AFTEK,EQ,         7.20,                   451635.10,61859
,AGCNET,EQ,       386.20,                  1948528.75,5191
,AGRODUTCH,EQ,         3.55,                    26360.75,7405
,AHLEAST,EQ,       223.30,                    21028.30,94
,AHLUCONT,EQ,        37.05,                    86229.30,2309
,AHLWEST,EQ,       129.00,                   256236.85,1985
,AHMEDFORGE,EQ,       131.00,                   321822.90,2477
,AIAENG,EQ,       339.15,                  4339585.45,12747
,AICHAMP,BE,        20.40,                       20.40,1
,AIL,EQ,       411.35,                  4897827.00,11892
,AJANTPHARM,EQ,       369.35,                  2567026.45,6954
,AJMERA,BE,       123.00,                  2514695.65,20779
,AKSHOPTFBR,EQ,        18.05,                   490932.65,27231
,AKZOINDIA,EQ,       929.90,                  2177077.80,2330
,ALBK,EQ,       134.70,                100621455.30,746486
,ALCHEM,EQ,        52.30,                   563061.85,10758
,ALEMBICLTD,EQ,        15.90,                  1068908.70,68169
,ALICON,EQ,        72.00,                    63833.50,890
,ALKALI,EQ,        25.05,                    29891.25,1192
,ALKYLAMINE,EQ,       140.00,                     3042.05,22
,ALLCARGO,EQ,       129.30,                    39526.60,305
,ALLSEC,BE,        52.90,                   170061.40,3254
,ALMONDZ,EQ,         7.85,                      533.80,68
,ALOKTEXT,EQ,        11.10,                205801575.70,18400211
,ALPA,EQ,        10.00,                    31700.00,3155
,ALPHAGEO,BE,        53.20,                    15872.00,300
,ALPINEHOU,EQ,        18.50,                       75.40,4
,ALPSINDUS,EQ,         2.20,                   212185.30,98137
,ALSTOMT&D,EQ,       196.85,                  1128494.35,5711
,AMAR,EQ,        36.60,                  6605323.85,178684
,AMARAJABAT,EQ,       255.00,                 33430670.55,129975
,AMARJOTHI,EQ,        52.00,                     6843.40,129
,AMBIKCO,EQ,       194.40,                    73333.15,379
,AMDIND,EQ,        15.60,                    20114.30,1292
,AMLSTEEL,EQ,         8.15,                     2456.10,307
,AMRUTANJAN,EQ,       149.80,                  2427959.40,16158
,AMTEKAUTO,EQ,        70.55,                 10767300.90,151741
,AMTEKINDIA,EQ,        97.85,                  3480424.45,35352
,AMTL,BE,        19.05,                    22860.00,1200
,ANANTRAJ,EQ,        95.15,                177066877.90,1870820
,ANDHRABANK,EQ,       103.10,                 26742881.20,258579
,ANDHRACEMT,BE,         8.70,                    36417.10,4161
,ANDHRSUGAR,EQ,       145.65,                  1602347.45,11000
,ANGIND,EQ,        12.15,                    19109.70,1575
