,10-DEC-2012
The Nifty witnessed an intraday movement of about 31.85 points.The closing index was 0.03 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 10957.33
, Traded Quantity (in Lakhs), 6917.89
, Number of Trades, 5577631
, Total Market Capitalisation (Rs. Crores), 6681446.63

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,S&P CNX Nifty,      5907.40,      5916.05,      5919.95,      5888.10,      5908.90,1.5
,CNX IT,      6006.25,      6013.80,      6046.45,      5951.50,      5969.45,-36.8
,CNX Nifty Junior,     11999.35,     12004.30,     12062.05,     12004.30,     12046.55,47.2
,S&P CNX Defty,      3769.65,      3773.75,      3776.55,      3751.95,      3766.15,-3.5
,BANK Nifty,     12363.70,     12380.00,     12409.75,     12341.15,     12381.65,17.95
,CNX Midcap,      8376.30,      8377.50,      8443.30,      8377.50,      8436.20,59.9
,S&P CNX 500,      4724.25,      4729.30,      4737.55,      4715.95,      4731.90,7.65
,CNX 100,      5824.45,      5832.05,      5838.80,      5809.00,      5829.15,4.7
,Nifty Midcap 50,      2360.10,      2361.70,      2380.10,      2361.70,      2377.95,17.85
,CNX Realty,       280.65,       281.35,       285.75,       280.30,       283.85,3.2
,CNX Infra,      2654.05,      2662.25,      2662.90,      2632.65,      2638.75,-15.3
,CNX Energy,      7954.75,      7976.95,      7976.95,      7865.25,      7896.95,-57.8
,CNX FMCG,     15610.30,     15587.25,     15700.75,     15562.05,     15679.25,68.95
,CNX MNC,      5771.00,      5770.35,      5780.50,      5763.55,      5772.05,1.05
,CNX Pharma,      5887.15,      5891.85,      5975.10,      5879.95,      5955.05,67.9
,CNX PSE,      2895.55,      2906.05,      2906.05,      2879.95,      2886.65,-8.9
,CNX PSU Bank,      3510.10,      3517.50,      3576.10,      3500.35,      3570.35,60.25
,CNX Service,      7088.35,      7101.95,      7118.20,      7079.35,      7102.75,14.4
,India VIX,        14.96,        14.96,        14.96,        14.22,        14.51,-.45
,CNX AUTO,      4618.15,      4621.10,      4639.45,      4591.70,      4604.30,-13.85
,CNX Metal,      2765.10,      2767.50,      2776.30,      2756.25,      2771.00,5.9
,CNX Media,      1743.00,      1744.00,      1757.90,      1718.40,      1727.05,-15.95
,CNX Smallcap,      3728.35,      3737.60,      3752.10,      3734.90,      3742.90,14.55
,CNX 200,      3014.00,      3017.55,      3022.10,      3007.45,      3018.50,4.5
,CNX Dividend Oppt,      1702.85,      1703.80,      1720.95,      1701.65,      1719.25,16.4
,CNX Commodities,      2485.90,      2492.10,      2492.10,      2470.55,      2477.60,-8.3
,CNX Consumption,      2327.95,      2329.80,      2335.70,      2320.95,      2325.35,-2.6
,CNX Finance,      5106.85,      5114.05,      5149.25,      5089.75,      5139.55,32.7
,Nifty Dividend,        75.40,        75.40,        75.40,        75.40,        75.40,0

,ADVANCES,758
,DECLINES,757
,UNCHANGED,76

,Total securities that have hit their price bands today,138

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,KTKBANK,EQ,       175.50,       195.65,11.48,639.51
,SBIN,EQ,      2316.20,      2320.25,0.17,315.27
,MCDOWELL-N,EQ,      1916.80,      1938.10,1.11,279.04
,TATAMOTORS,EQ,       281.90,       279.95,-0.69,268.39
,ICICIBANK,EQ,      1131.70,      1121.45,-0.91,238.38
,AXISBANK,EQ,      1328.75,      1322.85,-0.44,215.36
,HDFC,EQ,       837.75,       865.80,3.35,214.05
,INFY,EQ,      2321.15,      2313.55,-0.33,198.38
,TCS,EQ,      1264.15,      1237.20,-2.13,188.38
,PANTALOONR,EQ,       242.75,       230.45,-5.07,179.49
,DLF,EQ,       220.20,       222.00,0.82,163.31
,RELIANCE,EQ,       834.60,       828.30,-0.75,154.8
,UNITECH,EQ,        35.05,        36.00,2.71,152.97
,HDIL,EQ,       117.10,       119.75,2.26,151.06
,RELCAPITAL,EQ,       446.55,       458.95,2.78,150.57
,HDFCBANK,EQ,       693.10,       693.00,-0.01,144.15
,CAIRN,EQ,       333.00,       326.40,-1.98,127.24
,JPASSOCIAT,EQ,       105.15,       104.40,-0.71,114.03
,RELINFRA,EQ,       507.05,       518.55,2.27,110.51
,BHARTIARTL,EQ,       322.45,       317.90,-1.41,105.72
,IDFC,EQ,       175.45,       172.60,-1.62,104.84
,TATASTEEL,EQ,       394.25,       400.30,1.53,103.56
,HINDUNILVR,EQ,       530.65,       534.85,0.79,102.07
,INDUSINDBK,EQ,       411.45,       417.60,1.49,95.45
,JETAIRWAYS,EQ,       530.50,       514.70,-2.98,91.79

,Top Five S&P CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BANKBARODA,EQ,       828.15,       798.20,3.75
,HDFC,EQ,       865.80,       837.75,3.35
,DRREDDY,EQ,      1883.75,      1839.40,2.41
,PNB,EQ,       839.70,       821.05,2.27
,RELINFRA,EQ,       518.55,       507.05,2.27

,Top Five S&P CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TCS,EQ,      1237.20,      1264.15,-2.13
,CAIRN,EQ,       326.40,       333.00,-1.98
,NTPC,EQ,       156.90,       159.85,-1.85
,IDFC,EQ,       172.60,       175.45,-1.62
,GRASIM,EQ,      3201.60,      3248.25,-1.44

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,       136.15,                 47217441.30,347076
,3IINFOTECH,EQ,         9.90,                  4209014.70,425153
,3MINDIA,EQ,      3999.70,                  8299380.10,2075
,A2ZMES,EQ,        61.50,                 34257405.75,551964
,AANJANEYA,EQ,       762.60,                112722874.25,146040
,AARTIDRUGS,BE,       211.45,                  1231426.90,5812
,AARTIIND,EQ,       100.10,                 12057501.50,117860
,AARVEEDEN,EQ,        65.40,                   165335.40,2496
,ABAN,EQ,       391.15,                108484136.95,276876
,ABB,EQ,       711.90,                 17464865.50,24433
,ABBOTINDIA,EQ,      1446.50,                   832382.15,574
,ABCIL,EQ,        92.50,                  1670018.75,18362
,ABGSHIP,EQ,       372.85,                  6351901.45,17103
,ABHISHEK,EQ,         6.80,                    33028.90,5001
,ACCELYA,BE,       356.00,                  3240489.50,9156
,ACE,EQ,        24.45,                  8234872.90,333397
,ACROPETAL,EQ,        12.15,                  1017097.90,83331
,ADANIPOWER,EQ,        60.80,                330464320.50,5505344
,ADFFOODS,EQ,        66.50,                  1221144.40,18212
,ADHUNIK,EQ,        35.40,                  6225568.65,175719
,ADORWELD,EQ,       138.65,                   506852.90,3646
,ADSL,EQ,        21.45,                   763826.60,35119
,ADVANTA,EQ,       883.15,                 95143661.55,107107
,AEGISCHEM,EQ,       203.45,                 29013593.75,142148
,AFL,EQ,        35.20,                  1299992.35,36782
,AFTEK,EQ,         8.20,                  1147660.50,141310
,AGCNET,EQ,       423.00,                   537352.20,1266
,AGRODUTCH,EQ,         4.80,                   194856.85,40418
,AHLEAST,EQ,       219.90,                    35397.50,161
,AHLUCONT,EQ,        36.65,                   256271.05,6932
,AHLWEST,EQ,       138.30,                   193685.50,1407
,AHMEDFORGE,EQ,       135.20,                  1784718.95,13279
,AIAENG,EQ,       340.00,                 17636743.45,51888
,AICHAMP,BE,        19.95,                     3305.65,163
,AIL,EQ,       416.75,                 10738331.10,25712
,AJANTPHARM,EQ,       403.30,                 14451361.05,36019
,AJMERA,EQ,       119.85,                  1592209.15,13282
,AKSHOPTFBR,EQ,        16.85,                   275578.00,16194
,AKZOINDIA,EQ,       942.25,                 17585615.40,18665
,ALBK,EQ,       164.05,                355023906.10,2195955
,ALCHEM,EQ,        61.75,                  2318418.70,37139
,ALEMBICLTD,EQ,        16.25,                   401403.85,24852
,ALICON,EQ,        71.00,                    14200.00,200
,ALKALI,EQ,        26.35,                    51617.90,1950
,ALKYLAMINE,EQ,       145.00,                   427390.60,2951
,ALLCARGO,EQ,       126.85,                   327971.50,2585
,ALLSEC,BE,        60.15,                   456345.20,7562
,ALMONDZ,EQ,         8.60,                     4408.60,501
,ALOKTEXT,EQ,        10.90,                 57172148.30,5183725
,ALPA,EQ,        10.75,                    74230.60,6935
,ALPHAGEO,EQ,        50.15,                    26106.70,516
,ALPINEHOU,EQ,        17.50,                     5255.00,300
,ALPSINDUS,EQ,         2.35,                    49746.95,21050
,ALSTOMT&D,EQ,       200.05,                  5118218.05,25618
,AMAR,EQ,        35.05,                  2828079.10,79161
,AMARAJABAT,EQ,       252.85,                 10815578.60,42445
,AMARJOTHI,EQ,        53.25,                    76650.00,1400
,AMBIKCO,EQ,       196.95,                    96767.25,485
,AMDIND,EQ,        15.60,                    93093.85,5971
,AMLSTEEL,EQ,         9.10,                    21705.20,2394
,AMRUTANJAN,EQ,       163.10,                 82082812.85,506217
,AMTEKAUTO,EQ,        73.25,                 11482581.60,156261
,AMTEKINDIA,EQ,       102.15,                  2555758.55,24837
,ANANTRAJ,EQ,        98.15,                180679036.95,1828166
,ANDHRABANK,EQ,       120.35,                156136726.90,1309735
,ANDHRACEMT,EQ,         9.10,                    35545.55,3920
,ANDHRSUGAR,EQ,       144.45,                  2959007.35,20479
,ANGIND,EQ,        12.25,                    12277.30,984
,ANIKINDS,EQ,        35.55,                   452825.70,12658
,ANKURDRUGS,EQ,        13.35,                   149502.80,11158
,ANSALAPI,EQ,        36.65,                 15801498.85,426814
