,07-JAN-2013
The Nifty witnessed an intraday movement of about 65 points.The closing index was 0.46 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 12364.82
, Traded Quantity (in Lakhs), 8921.6
, Number of Trades, 6149133
, Total Market Capitalisation (Rs. Crores), 6922343.25

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,S&P CNX Nifty,      6016.15,      6042.15,      6042.15,      5977.15,      5988.40,-27.75
,CNX IT,      6153.20,      6159.35,      6190.55,      6141.20,      6175.45,22.25
,CNX Nifty Junior,     12624.00,     12626.65,     12711.75,     12613.75,     12640.45,16.45
,S&P CNX Defty,      3791.60,      3808.30,      3809.65,      3750.25,      3758.90,-32.7
,BANK Nifty,     12787.35,     12837.45,     12837.45,     12682.80,     12708.70,-78.65
,CNX Midcap,      8746.95,      8748.20,      8821.70,      8748.20,      8768.05,21.1
,S&P CNX 500,      4844.00,      4858.65,      4861.35,      4823.90,      4831.45,-12.55
,CNX 100,      5961.25,      5983.25,      5983.25,      5928.55,      5939.25,-22
,Nifty Midcap 50,      2446.40,      2446.85,      2470.85,      2446.85,      2456.15,9.75
,CNX Realty,       293.40,       292.90,       295.20,       289.90,       291.50,-1.9
,CNX Infra,      2648.50,      2656.55,      2656.55,      2616.75,      2621.35,-27.15
,CNX Energy,      8183.50,      8231.15,      8248.80,      8159.75,      8174.70,-8.8
,CNX FMCG,     15134.35,     15182.55,     15192.60,     14938.05,     14966.90,-167.45
,CNX MNC,      5921.35,      5931.40,      5947.90,      5898.60,      5913.95,-7.4
,CNX Pharma,      6080.40,      6110.75,      6130.80,      6093.00,      6104.45,24.05
,CNX PSE,      3002.65,      3015.90,      3022.30,      3000.75,      3004.65,2
,CNX PSU Bank,      3828.85,      3834.20,      3851.00,      3797.45,      3805.35,-23.5
,CNX Service,      7274.95,      7300.10,      7300.10,      7223.90,      7236.25,-38.7
,India VIX,        13.37,        13.37,        14.04,        13.37,        13.92,.55
,CNX AUTO,      4892.90,      4913.20,      4949.25,      4906.50,      4913.20,20.3
,CNX Metal,      2955.80,      2965.00,      3013.90,      2936.80,      2986.05,30.25
,CNX Media,      1826.75,      1827.80,      1844.40,      1815.50,      1819.05,-7.7
,CNX Smallcap,      3879.40,      3884.10,      3925.35,      3883.75,      3888.70,9.3
,CNX 200,      3089.15,      3099.40,      3099.40,      3074.10,      3079.75,-9.4
,CNX Dividend Oppt,      1792.85,      1795.90,      1801.40,      1785.85,      1789.40,-3.45
,CNX Commodities,      2587.30,      2597.30,      2612.80,      2585.35,      2599.40,12.1
,CNX Consumption,      2384.55,      2390.65,      2397.85,      2375.05,      2379.65,-4.9
,CNX Finance,      5237.60,      5259.25,      5259.25,      5176.50,      5188.30,-49.3
,Nifty Dividend,        78.19,        78.19,        78.19,        78.19,        78.19,0

,ADVANCES,841
,DECLINES,683
,UNCHANGED,67

,Total securities that have hit their price bands today,136

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,       861.85,       856.60,-0.61,301.23
,TATASTEEL,EQ,       433.50,       440.90,1.71,301.22
,LT,EQ,      1628.00,      1588.15,-2.45,293.43
,INFY,EQ,      2349.55,      2374.80,1.07,259.32
,SBIN,EQ,      2486.70,      2467.60,-0.77,254.69
,IFCI,EQ,        38.15,        38.90,1.97,237.04
,ITC,EQ,       282.40,       279.05,-1.19,228.29
,ICICIBANK,EQ,      1182.40,      1182.15,-0.02,208.2
,MCDOWELL-N,EQ,      1938.00,      1914.25,-1.23,194.73
,JSWSTEEL,EQ,       827.55,       854.80,3.29,186.09
,HDFCBANK,EQ,       679.35,       668.20,-1.64,184.61
,CAIRN,EQ,       337.15,       342.65,1.63,172.01
,KTKBANK,EQ,       181.10,       178.45,-1.46,168.66
,HDFC,EQ,       837.70,       822.95,-1.76,166.56
,INDIABULLS,EQ,       310.35,       329.85,6.28,166.34
,AXISBANK,EQ,      1378.95,      1372.85,-0.44,157.17
,TATAMOTORS,EQ,       315.40,       313.25,-0.68,154.25
,MARUTI,EQ,      1545.45,      1584.60,2.53,151.16
,JPASSOCIAT,EQ,       101.00,        98.80,-2.18,133.23
,UNITECH,EQ,        35.90,        35.75,-0.42,127.41
,YESBANK,EQ,       489.05,       498.25,1.88,123.43
,NHPC,EQ,        25.15,        24.90,-0.99,122.74
,HINDUNILVR,EQ,       534.70,       525.40,-1.74,121.94
,M&M,EQ,       941.25,       954.15,1.37,120.26
,RELCAPITAL,EQ,       501.75,       501.45,-0.06,118.31

,Top Five S&P CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BPCL,EQ,       385.50,       374.00,3.07
,MARUTI,EQ,      1584.60,      1545.45,2.53
,CIPLA,EQ,       424.35,       416.15,1.97
,TATASTEEL,EQ,       440.90,       433.50,1.71
,CAIRN,EQ,       342.65,       337.15,1.63

,Top Five S&P CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,LT,EQ,      1588.15,      1628.00,-2.45
,JPASSOCIAT,EQ,        98.80,       101.00,-2.18
,HDFC,EQ,       822.95,       837.70,-1.76
,HINDUNILVR,EQ,       525.40,       534.70,-1.74
,HDFCBANK,EQ,       668.20,       679.35,-1.64

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,       149.80,                 86413864.25,572102
,3IINFOTECH,BE,         8.75,                  8761998.70,989197
,3MINDIA,EQ,      4152.05,                  3620140.25,873
,A2ZMES,EQ,        61.25,                 33306873.65,539282
,AANJANEYA,EQ,       742.55,                 18095150.25,24314
,AARTIDRUGS,BE,       222.55,                   817334.25,3640
,AARTIIND,EQ,       104.15,                  6506759.80,62720
,AARVEEDEN,EQ,        67.50,                    92572.10,1369
,ABAN,EQ,       398.05,                232194764.55,577989
,ABB,EQ,       725.65,                 74975636.05,102453
,ABBOTINDIA,EQ,      1482.55,                  1403123.55,944
,ABCIL,EQ,       102.40,                  1094254.60,10646
,ABGSHIP,EQ,       403.25,                147294170.30,368638
,ABHISHEK,EQ,         6.55,                    31680.20,4836
,ACCELYA,BE,       367.10,                  5762060.20,15689
,ACE,EQ,        23.85,                  3708160.35,154252
,ACROPETAL,EQ,        12.45,                   978735.25,77872
,ADANIPOWER,EQ,        65.10,                264008852.20,4073998
,ADFFOODS,EQ,        84.50,                 15886801.85,187264
,ADHUNIK,EQ,        46.70,                 38240524.85,814381
,ADORWELD,EQ,       145.35,                  3015079.30,20522
,ADSL,EQ,        21.40,                  1030480.45,47807
,ADVANIHOTR,EQ,        29.15,                   146790.75,5084
,ADVANTA,EQ,       974.20,                 16533003.45,16931
,AEGISCHEM,EQ,       188.55,                  5984222.65,30988
,AFL,EQ,        32.70,                   951457.85,28898
,AFTEK,EQ,         8.70,                  1321756.55,150805
,AGCNET,EQ,       216.30,                 11470643.45,52061
,AGRODUTCH,EQ,         4.05,                    45464.15,11106
,AHLEAST,EQ,       219.95,                   139920.80,634
,AHLUCONT,EQ,        39.80,                   898569.55,22615
,AHLWEST,EQ,       138.60,                   334482.65,2372
,AHMEDFORGE,EQ,       148.00,                  2172547.80,14715
,AIAENG,EQ,       338.45,                 18206276.05,54083
,AICHAMP,BE,        18.05,                    30150.30,1678
,AIL,EQ,       403.85,                  4752375.70,11712
,AJANTPHARM,EQ,       410.95,                 18168290.75,44781
,AJMERA,EQ,       136.95,                  9983379.30,72275
,AKSHOPTFBR,EQ,        17.95,                  1671031.25,91539
,AKZOINDIA,EQ,       975.90,                  8361734.65,8512
,ALBK,EQ,       183.60,                355752394.40,1926240
,ALCHEM,EQ,        70.50,                  1559269.30,21958
,ALEMBICLTD,EQ,        18.00,                  2269988.30,124703
,ALICON,EQ,        74.85,                   150010.25,2005
,ALKALI,EQ,        26.10,                    85397.50,3242
,ALKYLAMINE,EQ,       152.05,                    60033.95,389
,ALLCARGO,EQ,       137.70,                   798461.20,5805
,ALLSEC,BE,        66.00,                   569641.25,8509
,ALMONDZ,EQ,         8.25,                    15557.95,1904
,ALOKTEXT,EQ,        12.20,                 98086909.70,7968324
,ALPA,BE,        11.30,                    22655.50,2027
,ALPHAGEO,EQ,        46.75,                   543429.45,11495
,ALPSINDUS,EQ,         1.95,                   223770.95,111794
,ALSTOMT&D,EQ,       186.05,                  5585052.65,30014
,AMAR,EQ,        44.45,                 50464108.85,1171836
,AMARAJABAT,EQ,       257.25,                 20206425.20,77868
,AMARJOTHI,EQ,        55.00,                      770.00,14
,AMBIKCO,EQ,       214.65,                  5563688.95,26018
,AMDIND,EQ,        15.55,                    16865.50,1098
,AMLSTEEL,EQ,         9.00,                     4078.20,454
,AMRUTANJAN,EQ,       156.55,                  4540679.30,28844
,AMTEKAUTO,EQ,        90.35,                 29317305.80,321775
,AMTEKINDIA,EQ,       101.05,                 28674657.90,281031
,AMTL,EQ,        19.00,                     3074.10,159
,ANANTRAJ,EQ,        96.35,                141594137.25,1455072
,ANDHRABANK,EQ,       129.05,                338156187.40,2630710
,ANDHRACEMT,EQ,         9.25,                   154802.70,16436
,ANDHRSUGAR,EQ,       145.70,                  5675334.90,38834
,ANGIND,EQ,        12.00,                    26666.80,2212
,ANIKINDS,EQ,        36.30,                  2333180.25,63452
