,09-JAN-2013
The Nifty witnessed an intraday movement of about 61.65 points.The closing index was 0.5 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 13572.37
, Traded Quantity (in Lakhs), 9581.25
, Number of Trades, 6420908
, Total Market Capitalisation (Rs. Crores), 6902234.13

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,S&P CNX Nifty,      6001.70,      6006.20,      6020.10,      5958.45,      5971.50,-30.2
,CNX IT,      6147.90,      6143.95,      6177.30,      6091.20,      6101.05,-46.85
,CNX Nifty Junior,     12633.40,     12637.10,     12744.00,     12583.80,     12609.40,-24
,S&P CNX Defty,      3772.80,      3784.25,      3802.60,      3762.05,      3771.95,-.85
,BANK Nifty,     12725.50,     12724.40,     12791.70,     12687.95,     12718.00,-7.5
,CNX Midcap,      8791.05,      8791.75,      8859.40,      8725.95,      8742.05,-49
,S&P CNX 500,      4837.95,      4840.65,      4857.75,      4808.05,      4815.75,-22.2
,CNX 100,      5949.90,      5953.90,      5971.65,      5910.85,      5922.85,-27.05
,Nifty Midcap 50,      2465.30,      2466.25,      2486.45,      2440.25,      2446.85,-18.45
,CNX Realty,       295.55,       295.50,       300.05,       291.55,       292.60,-2.95
,CNX Infra,      2625.70,      2626.45,      2640.40,      2601.55,      2606.95,-18.75
,CNX Energy,      8164.45,      8187.45,      8217.10,      8130.50,      8186.15,21.7
,CNX FMCG,     15148.60,     15124.35,     15166.75,     14891.25,     14918.85,-229.75
,CNX MNC,      5906.30,      5913.55,      5935.85,      5857.15,      5862.70,-43.6
,CNX Pharma,      6156.55,      6165.05,      6205.90,      6151.15,      6169.25,12.7
,CNX PSE,      3011.15,      3016.55,      3031.40,      2991.70,      3016.65,5.5
,CNX PSU Bank,      3823.05,      3825.90,      3859.40,      3815.55,      3825.00,1.95
,CNX Service,      7256.85,      7258.85,      7275.80,      7214.85,      7227.75,-29.1
,India VIX,        13.27,        13.27,        13.56,        12.58,        13.32,.05
,CNX AUTO,      4915.30,      4937.70,      5002.85,      4937.70,      4951.75,36.45
,CNX Metal,      2955.40,      2962.60,      2971.25,      2914.55,      2919.55,-35.85
,CNX Media,      1820.35,      1824.55,      1842.20,      1808.35,      1815.05,-5.3
,CNX Smallcap,      3880.75,      3884.55,      3905.60,      3855.70,      3862.15,-18.6
,CNX 200,      3085.00,      3086.85,      3097.35,      3064.50,      3070.35,-14.65
,CNX Dividend Oppt,      1789.30,      1791.20,      1796.30,      1769.15,      1774.25,-15.05
,CNX Commodities,      2589.85,      2594.95,      2600.85,      2560.90,      2572.40,-17.45
,CNX Consumption,      2386.60,      2388.55,      2394.55,      2368.55,      2370.50,-16.1
,CNX Finance,      5211.85,      5211.25,      5220.40,      5181.50,      5191.35,-20.5
,Nifty Dividend,        78.19,        78.19,        78.19,        78.19,        78.19,0

,ADVANCES,600
,DECLINES,923
,UNCHANGED,80

,Total securities that have hit their price bands today,111

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SBIN,EQ,      2493.35,      2522.80,1.18,566.07
,TATAMOTORS,EQ,       314.15,       327.35,4.2,539.94
,ICICIBANK,EQ,      1179.55,      1180.45,0.08,425.26
,LT,EQ,      1566.90,      1549.70,-1.1,381.68
,RELIANCE,EQ,       850.65,       852.70,0.24,333.51
,TATASTEEL,EQ,       433.35,       422.30,-2.55,319.38
,MCDOWELL-N,EQ,      1874.90,      1902.50,1.47,309.59
,UNITECH,EQ,        37.90,        37.40,-1.32,237.44
,HDFC,EQ,       840.30,       830.00,-1.23,219.33
,HDFCBANK,EQ,       670.25,       667.50,-0.41,215.59
,AXISBANK,EQ,      1360.30,      1349.65,-0.78,212.92
,HDIL,EQ,       118.20,       120.15,1.65,206.42
,TCS,EQ,      1300.25,      1276.60,-1.82,201.38
,ITC,EQ,       285.70,       279.50,-2.17,200.17
,INFY,EQ,      2344.00,      2331.00,-0.55,179.95
,SUZLON,EQ,        18.45,        19.75,7.05,176.06
,BHARTIARTL,EQ,       330.30,       333.75,1.04,171.2
,JETAIRWAYS,EQ,       588.40,       600.55,2.06,156.74
,BAJAJ-AUTO,EQ,      2198.45,      2157.90,-1.84,150.4
,INDUSINDBK,EQ,       433.75,       434.55,0.18,139.31
,CAIRN,EQ,       343.40,       343.55,0.04,138.55
,YESBANK,EQ,       499.65,       504.20,0.91,134.14
,RELCAPITAL,EQ,       501.65,       497.60,-0.81,126
,DRREDDY,EQ,      1908.15,      1910.90,0.14,116.22
,COALINDIA,EQ,       360.25,       363.70,0.96,116.16

,Top Five S&P CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TATAMOTORS,EQ,       327.35,       314.15,4.2
,GAIL,EQ,       370.60,       364.55,1.66
,BPCL,EQ,       385.70,       380.75,1.3
,SBIN,EQ,      2522.80,      2493.35,1.18
,BHARTIARTL,EQ,       333.75,       330.30,1.04

,Top Five S&P CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BHEL,EQ,       236.90,       243.90,-2.87
,ULTRACEMCO,EQ,      1962.35,      2019.15,-2.81
,TATASTEEL,EQ,       422.30,       433.35,-2.55
,AMBUJACEM,EQ,       197.00,       202.00,-2.48
,ITC,EQ,       279.50,       285.70,-2.17

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,       149.45,                 29851949.35,196595
,3IINFOTECH,BE,         8.60,                  9928262.90,1145421
,3MINDIA,EQ,      4080.10,                  3642935.95,884
,A2ZMES,EQ,        58.70,                 22279644.15,375740
,AANJANEYA,EQ,       742.60,                 59059022.70,79321
,AARTIDRUGS,BE,       226.35,                  2888166.10,12698
,AARTIIND,EQ,       104.95,                 11340285.95,107261
,AARVEEDEN,EQ,        72.80,                  3352065.15,44935
,ABAN,EQ,       393.10,                147502105.30,370588
,ABB,EQ,       716.55,                 58314917.60,80109
,ABBOTINDIA,EQ,      1476.15,                  1134510.75,767
,ABCIL,EQ,       105.90,                  1164497.95,10967
,ABGSHIP,EQ,       406.45,                 62082532.10,152258
,ABHISHEK,EQ,         6.70,                       33.20,5
,ACCELYA,BE,       367.85,                  5616908.05,15056
,ACE,EQ,        23.45,                  4715949.80,198703
,ACROPETAL,EQ,        12.40,                   339176.15,27212
,ADANIPOWER,EQ,        63.95,                102591420.75,1593295
,ADFFOODS,EQ,        89.90,                 12312799.25,137057
,ADHUNIK,EQ,        45.45,                  7895404.80,171180
,ADORWELD,EQ,       144.25,                  1327878.35,9158
,ADSL,EQ,        20.60,                   811451.45,38701
,ADVANIHOTR,EQ,        31.00,                    94586.90,3049
,ADVANTA,EQ,       974.45,                  2597168.40,2664
,AEGISCHEM,EQ,       193.30,                  8934112.10,46364
,AFL,EQ,        32.60,                   683283.80,20851
,AFTEK,EQ,         9.90,                 21324488.05,2106500
,AGCNET,EQ,       222.20,                  6959294.50,31002
,AGRODUTCH,EQ,         4.00,                    48480.55,12047
,AHLEAST,EQ,       217.95,                    27671.05,126
,AHLUCONT,EQ,        38.50,                   127748.90,3293
,AHLWEST,EQ,       135.35,                     4802.00,35
,AHMEDFORGE,EQ,       143.90,                  1464409.70,10138
,AIAENG,EQ,       336.65,                   253437.40,752
,AICHAMP,BE,        18.45,                      738.00,40
,AIL,EQ,       398.00,                  4983449.10,12423
,AJANTPHARM,EQ,       399.95,                  8804138.15,21655
,AJMERA,EQ,       134.50,                   834241.75,6122
,AKSHOPTFBR,EQ,        17.90,                   498286.05,28061
,AKZOINDIA,EQ,       969.25,                 25697962.55,26557
,ALBK,EQ,       180.70,                365213929.75,2000286
,ALCHEM,EQ,        69.05,                   755464.70,10833
,ALEMBICLTD,EQ,        17.80,                  2391672.80,133290
,ALICON,EQ,        75.60,                   167341.00,2204
,ALKALI,EQ,        27.35,                   611260.15,22720
,ALKYLAMINE,EQ,       154.50,                   196704.70,1264
,ALLCARGO,EQ,       135.10,                   466087.85,3410
,ALLSEC,BE,        72.75,                   984007.10,13619
,ALMONDZ,EQ,         8.35,                     6455.20,790
,ALOKTEXT,EQ,        12.15,                 91871134.10,7471653
,ALPA,BE,        11.00,                    17891.05,1621
,ALPHAGEO,EQ,        46.65,                    26678.65,576
,ALPINEHOU,EQ,        18.25,                      127.85,7
,ALPSINDUS,EQ,         1.95,                   289049.50,146203
,ALSTOMT&D,EQ,       186.05,                  6289102.70,33751
,AMAR,EQ,        45.60,                 20150854.10,447090
,AMARAJABAT,EQ,       270.15,                188209692.60,700724
,AMARJOTHI,EQ,        55.05,                    11060.00,201
,AMBIKCO,EQ,       214.15,                   602515.05,2757
,AMDIND,EQ,        15.35,                    51882.00,3369
,AMLSTEEL,EQ,         8.65,                    63831.95,7291
,AMRUTANJAN,EQ,       155.10,                  4355569.15,27892
,AMTEKAUTO,EQ,        89.45,                 23482432.25,259002
,AMTEKINDIA,EQ,       100.95,                  4657490.75,45708
,AMTL,EQ,        18.60,                    19645.50,1052
,ANANTRAJ,EQ,        94.10,                136857193.10,1429234
,ANDHRABANK,EQ,       126.05,                129744909.15,1017670
,ANDHRACEMT,EQ,         9.25,                    34362.80,3745
,ANDHRSUGAR,EQ,       145.45,                  1071221.35,7343
,ANGIND,EQ,        11.15,                   499323.10,43539
,ANIKINDS,EQ,        36.00,                  4025931.80,110590
,ANKURDRUGS,EQ,        13.15,                   278655.90,21071
,ANSALAPI,EQ,        39.40,                 16388617.80,409830
,ANSALHSG,EQ,        54.85,                   337071.85,6044
,ANTGRAPHIC,BE,          .40,                     5588.20,13958
,APARINDS,EQ,       154.55,                  2025283.85,13149
,APCOTEXIND,EQ,       260.15,                   832836.35,3191
,APLAB,EQ,        23.05,                       23.05,1
,APLAPOLLO,EQ,       166.75,                 11639225.45,68415
,APLLTD,EQ,        70.50,                  5339206.60,75504
,APOLLOTYRE,EQ,        89.05,                258935309.80,2876118
,APPAPER,EQ,       295.60,                 96243919.85,323167
,APTECHT,EQ,        69.60,                 27312646.40,389310
,AQUA,EQ,        15.65,                  7479479.60,469010
,ARCHIDPLY,EQ,         9.90,                   166120.40,17026
,ARCHIES,EQ,        26.75,                  1890274.35,70428
,ARIES,EQ,        62.85,                   799659.65,12687
,ARIHANT,EQ,        54.00,                     5400.00,100
,AROGRANITE,EQ,        35.55,                    15250.75,427
,ARROWTEX,EQ,         6.75,                        6.75,1
,ARSHIYA,EQ,        97.35,                378196659.40,3583776
,ARSSINFRA,EQ,        51.30,                  6885097.20,132132
,ARVIND,EQ,       103.80,                111056708.35,1061374
,ARVINDREM,EQ,        31.20,                   498905.55,15928
,ASAHIINDIA,EQ,        51.90,                  1821330.05,34921
,ASAHISONG,EQ,        76.90,                   365840.00,4744
,ASAL,EQ,        50.30,                  1758428.75,34562
,ASHAPURMIN,BE,        47.50,                  1297473.05,26886
,ASHCONIUL,EQ,          .65,                    43607.15,67676
,ASHIANA,EQ,       226.15,                   460088.20,2030
,ASHIMASYN,EQ,         5.20,                     6095.00,1155
,ASHOKA,EQ,       209.70,                   535750.00,2532
,ASIANHOTNR,EQ,       176.00,                   164513.25,947
,ASIANTILES,EQ,        45.55,                    59904.05,1320
,ASSAMCO,EQ,         8.00,                 28114845.55,3475537
,ASTEC,EQ,        30.45,                    40223.85,1324
,ASTRAL,EQ,       375.35,                  6503780.45,17355
,ASTRAMICRO,EQ,        42.40,                  4015987.80,93972
,ASTRAZEN,EQ,      1435.45,                 29696447.65,20722
,ATFL,EQ,       510.70,                  2944428.80,5747
,ATLANTA,EQ,        39.35,                  4184718.00,104811
,ATLASCYCLE,EQ,       378.00,                  7954401.75,20862
,ATNINTER,EQ,          .55,                    13575.00,24000
,ATUL,EQ,       406.80,                 10715852.10,26298
,AURIONPRO,EQ,       112.45,                    28115.45,250
