,14-JAN-2013
The Nifty witnessed an intraday movement of about 74.75 points.The closing index was 1.22 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 12702.55
, Traded Quantity (in Lakhs), 6706
, Number of Trades, 5856512
, Total Market Capitalisation (Rs. Crores), 6911398.89

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,S&P CNX Nifty,      5951.30,      5967.20,      6036.90,      5962.15,      6024.05,72.75
,CNX IT,      6639.85,      6719.75,      6846.15,      6716.85,      6809.50,169.65
,CNX Nifty Junior,     12429.10,     12429.15,     12628.15,     12387.30,     12610.25,181.15
,S&P CNX Defty,      3768.85,      3774.10,      3840.60,      3770.95,      3831.40,62.55
,BANK Nifty,     12617.85,     12622.05,     12773.35,     12609.90,     12758.75,140.9
,CNX Midcap,      8544.00,      8544.50,      8676.25,      8505.55,      8664.55,120.55
,S&P CNX 500,      4778.15,      4787.00,      4843.60,      4779.80,      4836.70,58.55
,CNX 100,      5892.70,      5906.00,      5978.25,      5899.20,      5966.90,74.2
,Nifty Midcap 50,      2395.20,      2395.15,      2451.55,      2378.90,      2446.00,50.8
,CNX Realty,       287.10,       287.55,       302.70,       285.35,       301.60,14.5
,CNX Infra,      2547.90,      2553.55,      2585.90,      2541.45,      2582.30,34.4
,CNX Energy,      8069.45,      8079.95,      8203.10,      8072.80,      8170.85,101.4
,CNX FMCG,     14582.75,     14597.10,     14762.60,     14583.50,     14737.55,154.8
,CNX MNC,      5721.60,      5735.90,      5756.85,      5693.20,      5745.25,23.65
,CNX Pharma,      6056.10,      6060.55,      6060.65,      6016.85,      6031.35,-24.75
,CNX PSE,      2970.25,      2972.20,      3025.65,      2968.15,      3015.45,45.2
,CNX PSU Bank,      3771.50,      3772.65,      3844.40,      3743.35,      3833.25,61.75
,CNX Service,      7311.45,      7339.95,      7445.00,      7337.25,      7429.55,118.1
,India VIX,        13.23,        13.23,        14.02,        13.22,        13.70,.47
,CNX AUTO,      4908.35,      4908.90,      4925.75,      4870.90,      4882.10,-26.25
,CNX Metal,      2859.85,      2861.15,      2907.90,      2835.35,      2901.00,41.15
,CNX Media,      1824.45,      1825.80,      1842.80,      1819.05,      1836.40,11.95
,CNX Smallcap,      3801.50,      3809.05,      3856.55,      3789.65,      3854.90,53.4
,CNX 200,      3048.90,      3055.10,      3093.40,      3050.25,      3087.70,38.8
,CNX Dividend Oppt,      1743.25,      1743.50,      1770.95,      1736.80,      1767.60,24.35
,CNX Commodities,      2514.75,      2517.35,      2551.35,      2504.75,      2544.45,29.7
,CNX Consumption,      2332.00,      2333.70,      2345.75,      2324.00,      2343.85,11.85
,CNX Finance,      5125.30,      5127.20,      5200.85,      5115.85,      5187.30,62
,Nifty Dividend,        78.19,        78.19,        78.19,        78.19,        78.19,0

,ADVANCES,910
,DECLINES,593
,UNCHANGED,75

,Total securities that have hit their price bands today,117

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,INFY,EQ,      2712.10,      2806.50,3.48,1782.82
,SBIN,EQ,      2491.05,      2499.75,0.35,443.11
,TCS,EQ,      1306.35,      1334.50,2.15,385.99
,ICICIBANK,EQ,      1163.55,      1185.15,1.86,320.57
,DLF,EQ,       230.45,       247.20,7.27,252.8
,TATAMOTORS,EQ,       330.40,       327.70,-0.82,234.5
,MARUTI,EQ,      1565.25,      1539.10,-1.67,229.82
,UNITECH,EQ,        38.25,        40.00,4.58,220.91
,HCLTECH,EQ,       644.85,       672.80,4.33,200.97
,HDFCBANK,EQ,       669.30,       669.30,0,190.53
,ITC,EQ,       273.40,       277.90,1.65,189.63
,AXISBANK,EQ,      1364.10,      1386.10,1.61,181.52
,ONGC,EQ,       292.35,       305.25,4.41,175.52
,LT,EQ,      1531.95,      1554.80,1.49,172.54
,JPASSOCIAT,EQ,        93.10,        95.50,2.58,170.87
,HDIL,EQ,       113.70,       120.20,5.72,156.78
,MCDOWELL-N,EQ,      1897.45,      1872.15,-1.33,153
,RELCAPITAL,EQ,       479.40,       495.05,3.26,146.42
,RELIANCE,EQ,       839.90,       847.55,0.91,136.25
,HDFC,EQ,       809.50,       827.05,2.17,131.52
,HINDUNILVR,EQ,       498.10,       505.30,1.45,126.33
,YESBANK,EQ,       498.40,       506.50,1.63,125.67
,TATASTEEL,EQ,       417.30,       423.80,1.56,117.06
,PCJEWELLER,EQ,       155.80,       172.20,10.53,111.56
,RELINFRA,EQ,       547.90,       558.55,1.94,109.68

,Top Five S&P CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,DLF,EQ,       247.20,       230.45,7.27
,ONGC,EQ,       305.25,       292.35,4.41
,HCLTECH,EQ,       672.80,       644.85,4.33
,INFY,EQ,      2806.50,      2712.10,3.48
,JINDALSTEL,EQ,       446.85,       432.00,3.44

,Top Five S&P CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,MARUTI,EQ,      1539.10,      1565.25,-1.67
,LUPIN,EQ,       579.10,       587.70,-1.46
,CIPLA,EQ,       416.30,       421.50,-1.23
,BAJAJ-AUTO,EQ,      2093.35,      2118.10,-1.17
,POWERGRID,EQ,       112.05,       113.15,-0.97

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,       146.15,                 24436744.70,166678
,3IINFOTECH,BE,         8.40,                  4579416.05,546152
,3MINDIA,EQ,      4076.45,                 10215714.00,2492
,A2ZMES,EQ,        56.15,                 14854041.75,265324
,AANJANEYA,EQ,       747.25,                 64709235.55,86545
,AARTIDRUGS,BE,       234.60,                  1142258.35,4913
,AARTIIND,EQ,       102.30,                  2170533.80,21274
,AARVEEDEN,EQ,        78.85,                  2593146.40,32640
,ABAN,EQ,       383.50,                 83857922.50,220035
,ABB,EQ,       698.70,                 20170565.10,29039
,ABBOTINDIA,EQ,      1485.30,                   508208.35,342
,ABCIL,EQ,       102.80,                   913569.95,8905
,ABGSHIP,EQ,       402.25,                 74555761.60,185332
,ABHISHEK,EQ,         6.40,                     9601.20,1502
,ACCELYA,BE,       357.05,                  1044815.45,2929
,ACE,EQ,        22.50,                  4689633.50,212255
,ACROPETAL,EQ,        11.90,                   533304.80,44732
,ADANIPOWER,EQ,        64.10,                120258691.85,1907989
,ADFFOODS,EQ,        86.60,                  1106719.30,12868
,ADHUNIK,EQ,        43.10,                  9012748.75,211646
,ADORWELD,EQ,       141.15,                   675792.50,4772
,ADSL,EQ,        20.35,                   270965.75,13338
,ADVANIHOTR,EQ,        30.70,                   248791.50,8100
,ADVANTA,EQ,      1008.00,                 34155276.10,33124
,AEGISCHEM,EQ,       184.80,                  8487791.20,45648
,AFL,EQ,        32.00,                   671166.20,20901
,AFTEK,EQ,         9.75,                  2748607.30,284201
,AGCNET,EQ,       229.90,                 10346581.20,45694
,AGRODUTCH,EQ,         3.60,                   127831.65,34326
,AHLEAST,EQ,       218.05,                   129045.00,584
,AHLUCONT,EQ,        38.15,                    90762.90,2364
,AHLWEST,EQ,       135.90,                  5167931.05,38762
,AHMEDFORGE,EQ,       142.00,                   587863.10,4149
,AIAENG,EQ,       336.05,                 34088336.90,102031
,AIL,EQ,       393.75,                  3580538.85,9080
,AJANTPHARM,EQ,       395.45,                  2459460.45,6179
,AJMERA,EQ,       131.65,                  1644894.50,12530
,AKSHOPTFBR,EQ,        16.70,                   232102.25,13919
,AKZOINDIA,EQ,       958.40,                 26097992.70,27186
,ALBK,EQ,       182.50,                483259522.15,2706178
,ALCHEM,EQ,        67.80,                  1081647.10,16140
,ALEMBICLTD,EQ,        16.95,                   352716.05,20833
,ALICON,EQ,        73.00,                    41099.00,563
,ALKALI,EQ,        25.70,                   160162.55,6196
,ALKYLAMINE,EQ,       193.55,                  7761401.40,41584
,ALLCARGO,EQ,       133.40,                   368792.55,2782
,ALLSEC,BE,        77.35,                   520917.05,6543
,ALMONDZ,EQ,         8.20,                       16.40,2
,ALOKTEXT,EQ,        12.10,                 91102268.75,7545091
,ALPA,BE,        10.90,                    21784.20,2001
,ALPHAGEO,EQ,        49.90,                   822676.10,16753
,ALPINEHOU,EQ,        17.35,                      903.75,52
,ALPSINDUS,EQ,         1.85,                    59238.95,32332
,ALSTOMT&D,EQ,       186.35,                  5079091.70,27255
,AMAR,EQ,        44.30,                  6544686.85,144973
,AMARAJABAT,EQ,       286.65,                106145024.20,370281
,AMBIKCO,EQ,       219.45,                   459906.00,2121
,AMDIND,EQ,        15.30,                    50322.85,3282
,AMRUTANJAN,EQ,       153.40,                  3383577.85,22084
,AMTEKAUTO,EQ,        81.10,                 22810181.65,280940
,AMTEKINDIA,EQ,        98.10,                  6979765.60,71255
,AMTL,EQ,        19.80,                     4528.00,237
,ANANTRAJ,EQ,        94.00,                149421674.90,1623022
,ANDHRABANK,EQ,       126.15,                250399075.15,1993375
,ANDHRACEMT,EQ,         9.45,                    77305.20,8175
,ANDHRSUGAR,EQ,       146.60,                  2661470.05,18212
,ANGIND,EQ,        11.15,                    60728.55,5375
,ANIKINDS,EQ,        37.20,                  5671493.30,152387
,ANKURDRUGS,EQ,        12.70,                    59726.70,4664
