,16-JAN-2013
The Nifty witnessed an intraday movement of about 63.9 points.The closing index was 0.9 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 12788.38
, Traded Quantity (in Lakhs), 7192.11
, Number of Trades, 5908175
, Total Market Capitalisation (Rs. Crores), 6869923.53

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,S&P CNX Nifty,      6056.60,      6049.00,      6055.95,      5992.05,      6001.85,-54.75
,CNX IT,      6791.50,      6785.20,      6792.30,      6738.65,      6777.95,-13.55
,CNX Nifty Junior,     12647.00,     12647.50,     12682.50,     12460.90,     12475.35,-171.65
,S&P CNX Defty,      3850.55,      3827.20,      3834.65,      3784.25,      3791.95,-58.6
,BANK Nifty,     12855.40,     12836.20,     12836.20,     12616.20,     12638.50,-216.9
,CNX Midcap,      8684.25,      8684.90,      8710.50,      8555.25,      8567.05,-117.2
,S&P CNX 500,      4858.90,      4854.70,      4860.75,      4801.05,      4807.55,-51.35
,CNX 100,      5996.85,      5990.50,      5998.05,      5929.60,      5938.40,-58.45
,Nifty Midcap 50,      2449.90,      2450.25,      2458.75,      2399.10,      2404.00,-45.9
,CNX Realty,       305.15,       304.90,       306.65,       299.45,       300.30,-4.85
,CNX Infra,      2614.85,      2607.80,      2617.45,      2573.10,      2579.50,-35.35
,CNX Energy,      8213.05,      8208.20,      8299.50,      8208.20,      8244.00,30.95
,CNX FMCG,     14852.35,     14880.40,     14887.65,     14755.80,     14815.30,-37.05
,CNX MNC,      5757.30,      5756.90,      5778.85,      5699.40,      5705.05,-52.25
,CNX Pharma,      6032.20,      6027.15,      6093.30,      6012.80,      6018.20,-14
,CNX PSE,      3026.80,      3024.10,      3035.45,      3000.40,      3003.45,-23.35
,CNX PSU Bank,      3828.95,      3817.65,      3825.65,      3739.05,      3747.35,-81.6
,CNX Service,      7466.40,      7460.30,      7460.30,      7370.45,      7380.65,-85.75
,India VIX,        13.58,        13.58,        14.14,        13.06,        13.99,.41
,CNX AUTO,      4903.25,      4892.90,      4900.00,      4774.85,      4784.05,-119.2
,CNX Metal,      2894.50,      2883.80,      2892.30,      2820.75,      2827.60,-66.9
,CNX Media,      1823.40,      1824.45,      1831.35,      1782.05,      1784.75,-38.65
,CNX Smallcap,      3848.10,      3852.40,      3858.20,      3782.25,      3788.90,-59.2
,CNX 200,      3102.60,      3099.65,      3103.45,      3065.35,      3070.00,-32.6
,CNX Dividend Oppt,      1775.85,      1775.10,      1778.95,      1754.40,      1756.85,-19
,CNX Commodities,      2564.65,      2561.10,      2568.30,      2531.15,      2535.40,-29.25
,CNX Consumption,      2357.60,      2357.25,      2359.25,      2321.20,      2324.40,-33.2
,CNX Finance,      5210.35,      5205.05,      5205.40,      5122.80,      5131.30,-79.05
,Nifty Dividend,        78.19,        78.36,        78.36,        78.36,        78.36,.17

,ADVANCES,328
,DECLINES,1198
,UNCHANGED,68

,Total securities that have hit their price bands today,105

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,MCDOWELL-N,EQ,      1824.10,      1792.20,-1.75,516.89
,TATAMOTORS,EQ,       331.55,       320.05,-3.47,407.41
,INFY,EQ,      2787.05,      2767.45,-0.7,403.31
,ICICIBANK,EQ,      1204.35,      1179.85,-2.03,391.39
,RELIANCE,EQ,       847.15,       861.35,1.68,386.18
,YESBANK,EQ,       527.95,       518.05,-1.88,377.89
,HDIL,EQ,       118.60,       120.05,1.22,370.58
,SBIN,EQ,      2489.85,      2432.40,-2.31,354.22
,AXISBANK,EQ,      1424.30,      1409.45,-1.04,333.73
,TCS,EQ,      1337.45,      1347.75,0.77,274.15
,BAJAJ-AUTO,EQ,      2115.35,      2076.50,-1.84,229.88
,UNITECH,EQ,        39.65,        37.90,-4.41,209.42
,DLF,EQ,       252.95,       248.55,-1.74,209.21
,RCOM,EQ,        86.10,        80.90,-6.04,183.58
,MARUTI,EQ,      1546.00,      1493.20,-3.42,183.34
,HCLTECH,EQ,       664.10,       673.80,1.46,179.68
,RELCAPITAL,EQ,       496.85,       480.00,-3.39,176.08
,ITC,EQ,       284.10,       284.00,-0.04,169.29
,JPASSOCIAT,EQ,        96.30,        92.35,-4.1,153.62
,HDFCBANK,EQ,       668.30,       660.50,-1.17,152.07
,TTKPRESTIG,EQ,      3515.10,      3745.65,6.56,146.46
,LT,EQ,      1560.00,      1544.20,-1.01,143.67
,BHARTIARTL,EQ,       345.20,       342.90,-0.67,141.02
,STAR,EQ,      1060.45,      1080.35,1.88,116.4
,HDFC,EQ,       825.50,       818.85,-0.81,116.23

,Top Five S&P CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,RELIANCE,EQ,       861.35,       847.15,1.68
,HCLTECH,EQ,       673.80,       664.10,1.46
,DRREDDY,EQ,      1929.90,      1902.35,1.45
,POWERGRID,EQ,       112.05,       111.05,.9
,TCS,EQ,      1347.75,      1337.45,.77

,Top Five S&P CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HINDALCO,EQ,       123.40,       129.10,-4.42
,JPASSOCIAT,EQ,        92.35,        96.30,-4.1
,TATAMOTORS,EQ,       320.05,       331.55,-3.47
,RELINFRA,EQ,       535.80,       555.00,-3.46
,MARUTI,EQ,      1493.20,      1546.00,-3.42

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,       150.35,                 35076626.20,231522
,3IINFOTECH,BE,         8.15,                  4057723.70,494234
,3MINDIA,EQ,      3976.40,                 10060979.60,2497
,A2ZMES,EQ,        54.50,                 18068280.70,327196
,AANJANEYA,EQ,       707.70,                108306319.95,146024
,AARTIDRUGS,BE,       236.00,                   482554.75,2049
,AARTIIND,EQ,       102.00,                  3169890.30,31048
,AARVEEDEN,EQ,        76.75,                   720928.90,9191
,ABAN,EQ,       376.20,                 81549837.10,215059
,ABB,EQ,       691.90,                 22992345.15,33065
,ABBOTINDIA,EQ,      1485.05,                  2040723.10,1374
,ABCIL,EQ,       100.55,                  1566617.15,15403
,ABGSHIP,EQ,       386.25,                 28015450.65,72759
,ABHISHEK,EQ,         6.25,                    10203.85,1625
,ACCELYA,BE,       360.05,                  2006838.90,5544
,ACE,EQ,        21.35,                  2934415.95,135381
,ACROPETAL,EQ,        11.45,                   911937.35,78884
,ADANIPOWER,EQ,        65.40,                204683952.95,3141991
,ADFFOODS,EQ,        91.80,                 15859020.75,175145
,ADHUNIK,EQ,        43.35,                  6331638.90,147098
,ADORWELD,EQ,       138.95,                  1005549.55,7171
,ADSL,EQ,        20.55,                   919896.30,44316
,ADVANIHOTR,EQ,        30.50,                     6405.00,210
,ADVANTA,EQ,      1000.35,                  4690395.35,4659
,AEGISCHEM,EQ,       180.15,                  3046833.45,16597
,AFL,EQ,        31.20,                   592274.55,18892
,AFTEK,EQ,        10.10,                  5630165.45,539957
,AGCNET,EQ,       212.60,                  1761682.10,8202
,AGRODUTCH,EQ,         3.85,                    27671.15,7109
,AHLEAST,EQ,       218.00,                   206626.80,949
,AHLUCONT,EQ,        37.95,                    33957.15,906
,AHLWEST,EQ,       134.50,                   757947.90,5660
,AHMEDFORGE,EQ,       143.00,                  2022862.60,14058
,AIAENG,EQ,       329.00,                 50485350.85,153430
,AIL,EQ,       382.95,                 19086379.80,49300
,AJANTPHARM,EQ,       392.05,                  2768899.50,7062
,AJMERA,EQ,       129.45,                   603112.80,4517
,AKSHOPTFBR,EQ,        16.90,                   578327.40,34394
,AKZOINDIA,EQ,       977.65,                  4907059.05,5028
,ALBK,EQ,       182.00,                429651077.70,2346002
,ALCHEM,EQ,        66.80,                   956973.95,14168
,ALEMBICLTD,EQ,        16.85,                   349996.55,20692
,ALICON,EQ,        72.00,                    14472.00,201
,ALKALI,EQ,        26.00,                   146490.50,5603
,ALKYLAMINE,EQ,       193.35,                  1253385.65,6534
,ALLCARGO,EQ,       128.70,                   925814.95,7143
,ALLSEC,BE,        74.05,                   321334.25,4310
,ALMONDZ,EQ,         8.55,                    12890.15,1540
,ALOKTEXT,EQ,        11.65,                 53201686.75,4505282
,ALPA,BE,        10.75,                    45527.60,4240
,ALPHAGEO,EQ,        54.15,                   840435.35,15236
,ALPINEHOU,EQ,        17.60,                     3520.00,200
,ALPSINDUS,EQ,         1.85,                    55155.70,30230
,ALSTOMT&D,EQ,       179.35,                  4681508.30,25795
,AMAR,EQ,        41.90,                  3346360.00,78940
,AMARAJABAT,EQ,       294.45,                200213807.20,664262
,AMARJOTHI,EQ,        53.70,                    53708.85,1000
,AMBIKCO,EQ,       218.85,                   568097.40,2603
,AMDIND,EQ,        15.05,                    43694.50,2888
,AMLSTEEL,EQ,         7.70,                     3531.10,450
,AMRUTANJAN,EQ,       151.40,                  3366262.45,22093
,AMTEKAUTO,EQ,        83.35,                 28451177.60,337873
,AMTEKINDIA,EQ,        99.75,                  2235387.25,22167
,AMTL,EQ,        19.20,                    30077.50,1565
,ANANTRAJ,EQ,        91.30,                103646819.95,1112942
,ANDHRABANK,EQ,       121.75,                 77541722.60,629074
,ANDHRACEMT,EQ,         9.50,                    94648.15,10321
,ANDHRSUGAR,EQ,       145.05,                  1235039.25,8486
,ANGIND,EQ,        11.00,                    33718.05,3044
,ANIKINDS,EQ,        37.50,                  4520351.05,119129
,ANKURDRUGS,EQ,        12.55,                   152459.45,12041
