,23-JAN-2013
The Nifty witnessed an intraday movement of about 48.65 points.The closing index was 0.1 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 12775.37
, Traded Quantity (in Lakhs), 7854.97
, Number of Trades, 6365084
, Total Market Capitalisation (Rs. Crores), 6880432.87

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,S&P CNX Nifty,      6048.50,      6052.85,      6069.80,      6021.15,      6054.30,5.8
,CNX IT,      6739.65,      6734.00,      6767.85,      6707.30,      6725.80,-13.85
,CNX Nifty Junior,     12339.65,     12343.35,     12401.25,     12171.70,     12285.75,-53.9
,S&P CNX Defty,      3898.10,      3903.80,      3918.85,      3876.40,      3909.25,11.15
,BANK Nifty,     12574.35,     12635.25,     12695.95,     12509.45,     12635.20,60.85
,CNX Midcap,      8504.75,      8506.05,      8554.40,      8369.25,      8430.00,-74.75
,S&P CNX 500,      4822.35,      4824.95,      4841.35,      4786.80,      4814.80,-7.55
,CNX 100,      5967.50,      5971.40,      5989.50,      5932.80,      5968.40,.9
,Nifty Midcap 50,      2395.25,      2396.55,      2407.25,      2334.75,      2362.90,-32.35
,CNX Realty,       299.00,       299.70,       303.05,       285.20,       290.85,-8.15
,CNX Infra,      2614.30,      2618.60,      2641.45,      2602.50,      2629.80,15.5
,CNX Energy,      8756.25,      8774.95,      8801.40,      8664.05,      8726.25,-30
,CNX FMCG,     14802.95,     14654.75,     14822.75,     14635.10,     14785.15,-17.8
,CNX MNC,      5624.80,      5537.10,      5576.25,      5508.05,      5524.10,-100.7
,CNX Pharma,      5926.25,      5938.20,      5952.30,      5902.50,      5910.80,-15.45
,CNX PSE,      3146.65,      3152.10,      3158.25,      3090.85,      3110.10,-36.55
,CNX PSU Bank,      3756.85,      3766.15,      3784.05,      3685.30,      3737.00,-19.85
,CNX Service,      7373.60,      7393.90,      7424.55,      7348.95,      7405.20,31.6
,India VIX,        13.89,        13.89,        14.28,        13.13,        13.67,-.22
,CNX AUTO,      4739.30,      4738.50,      4754.65,      4674.85,      4699.60,-39.7
,CNX Metal,      2793.75,      2804.65,      2813.45,      2759.45,      2780.80,-12.95
,CNX Media,      1785.35,      1793.10,      1846.25,      1770.75,      1829.65,44.3
,CNX Smallcap,      3760.15,      3756.95,      3781.75,      3690.00,      3713.90,-46.25
,CNX 200,      3082.05,      3083.90,      3094.50,      3060.45,      3079.45,-2.6
,CNX Dividend Oppt,      1764.80,      1758.00,      1765.10,      1730.75,      1743.70,-21.1
,CNX Commodities,      2593.15,      2600.30,      2606.45,      2562.80,      2581.80,-11.35
,CNX Consumption,      2323.65,      2314.70,      2336.90,      2314.70,      2332.20,8.55
,CNX Finance,      5111.55,      5134.05,      5153.70,      5089.90,      5134.30,22.75
,Nifty Dividend,        78.53,        79.34,        79.34,        79.34,        79.34,.81

,ADVANCES,420
,DECLINES,1100
,UNCHANGED,70

,Total securities that have hit their price bands today,108

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,HINDUNILVR,EQ,       480.90,       460.05,-4.34,838.81
,HDIL,EQ,       112.45,        96.25,-14.41,825.26
,SBIN,EQ,      2464.45,      2480.40,0.65,372.07
,BHARTIARTL,EQ,       351.65,       367.35,4.46,310.28
,INFY,EQ,      2783.55,      2789.60,0.22,260.2
,RELIANCE,EQ,       920.05,       923.05,0.33,246.69
,MCDOWELL-N,EQ,      1761.00,      1798.35,2.12,234.82
,ITC,EQ,       289.15,       292.75,1.25,228.51
,TATAMOTORS,EQ,       318.55,       313.05,-1.73,225.54
,UNITECH,EQ,        37.10,        36.60,-1.35,223.31
,KTKBANK,EQ,       174.65,       164.85,-5.61,212.24
,HCLTECH,EQ,       697.65,       676.40,-3.05,196.43
,DLF,EQ,       253.35,       251.20,-0.85,189.82
,IDEA,EQ,       117.75,       118.50,0.64,188.22
,RCOM,EQ,        87.60,        88.05,0.51,187.53
,AXISBANK,EQ,      1393.40,      1398.40,0.36,178.23
,ICICIBANK,EQ,      1170.15,      1181.00,0.93,166.83
,ONGC,EQ,       337.40,       333.20,-1.24,153.94
,ZEEL,EQ,       222.40,       234.65,5.51,153.51
,LT,EQ,      1553.40,      1561.10,0.5,151.99
,SYNDIBANK,EQ,       139.80,       132.30,-5.36,147.49
,JPASSOCIAT,EQ,        90.10,        87.70,-2.66,144.04
,JETAIRWAYS,EQ,       609.90,       599.10,-1.77,135.57
,HDFC,EQ,       813.35,       820.85,0.92,133.12
,MARUTI,EQ,      1570.10,      1573.70,0.23,132.78

,Top Five S&P CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BHARTIARTL,EQ,       367.35,       351.65,4.46
,TATAPOWER,EQ,       110.00,       107.40,2.42
,ITC,EQ,       292.75,       289.15,1.25
,HEROMOTOCO,EQ,      1782.70,      1762.55,1.14
,ICICIBANK,EQ,      1181.00,      1170.15,.93

,Top Five S&P CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HINDUNILVR,EQ,       460.05,       480.90,-4.34
,HCLTECH,EQ,       676.40,       697.65,-3.05
,JPASSOCIAT,EQ,        87.70,        90.10,-2.66
,IDFC,EQ,       171.75,       176.40,-2.64
,BPCL,EQ,       424.55,       433.80,-2.13

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,       156.20,                124838157.00,801029
,3IINFOTECH,BE,         7.90,                  6061058.85,762614
,3MINDIA,EQ,      3942.00,                   838518.35,212
,A2ZMES,EQ,        43.00,                 22818344.05,515762
,AANJANEYA,EQ,       788.45,                 87907749.80,109220
,AARTIDRUGS,BE,       230.75,                   467709.95,2028
,AARTIIND,EQ,       101.15,                  1300356.50,12863
,AARVEEDEN,EQ,        78.00,                  1754678.45,22800
,ABAN,EQ,       372.15,                 79694434.80,213519
,ABB,EQ,       686.55,                 23347257.50,34032
,ABBOTINDIA,EQ,      1440.15,                  1473348.90,1023
,ABCIL,EQ,        96.40,                   383545.60,3982
,ABGSHIP,EQ,       382.15,                 12806482.70,33553
,ABHISHEK,EQ,         6.20,                    21316.90,3459
,ACCELYA,BE,       346.70,                   802862.85,2321
,ACE,EQ,        19.25,                  3956484.60,203688
,ACROPETAL,EQ,        10.80,                  1290248.65,118180
,ADANIPOWER,EQ,        64.85,                133392840.15,2059446
,ADFFOODS,EQ,        72.85,                  2944186.55,39236
,ADHUNIK,EQ,        40.50,                  7174801.65,174096
,ADORWELD,EQ,       139.35,                   713362.60,5128
,ADSL,EQ,        19.50,                  1011617.00,51742
,ADVANIHOTR,EQ,        30.00,                   355207.50,11750
,ADVANTA,EQ,      1024.30,                  2068916.50,2007
,AEGISCHEM,EQ,       172.85,                  5779751.55,33017
,AFL,EQ,        30.35,                    89434.25,2957
,AFTEK,EQ,         9.15,                  2131163.90,229779
,AGCNET,EQ,       196.35,                   453899.50,2271
,AGRODUTCH,EQ,         3.50,                    83066.75,23735
,AHLEAST,EQ,       218.40,                   100936.85,463
,AHLUCONT,EQ,        36.05,                    90451.60,2485
,AHLWEST,EQ,       134.95,                    65668.15,489
,AHMEDFORGE,EQ,       138.05,                   903517.90,6550
,AIAENG,EQ,       331.90,                   237242.50,715
,AICHAMP,BE,        18.10,                     1632.40,90
,AIL,EQ,       377.85,                  4973366.75,13200
,AJANTPHARM,EQ,       491.45,                544832612.35,1198386
,AJMERA,EQ,       122.25,                  2057406.85,16848
,AKSHOPTFBR,EQ,        18.45,                  2281290.75,124877
,AKZOINDIA,EQ,       969.25,                  7078717.25,7268
,ALBK,EQ,       177.85,                313087673.40,1750958
,ALCHEM,EQ,        64.35,                  1117006.00,17254
,ALEMBICLTD,EQ,        16.30,                   529390.75,32567
,ALICON,EQ,        72.00,                    98273.30,1401
,ALKALI,EQ,        25.55,                   270530.75,10602
,ALKYLAMINE,EQ,       177.95,                   180942.80,1018
,ALLCARGO,EQ,       125.05,                   188244.70,1502
,ALLSEC,BE,        76.90,                   325236.65,4235
,ALMONDZ,EQ,         8.55,                    63585.05,7948
,ALOKTEXT,EQ,        11.20,                 26204519.15,2332357
,ALPA,BE,        10.50,                    21000.00,2000
,ALPHAGEO,EQ,        51.20,                    82636.95,1570
,ALPINEHOU,EQ,        17.50,                     4589.50,268
,ALPSINDUS,EQ,         1.85,                     8561.00,4745
,ALSTOMT&D,EQ,       170.30,                  2071751.35,12042
,AMAR,EQ,        39.85,                  2493170.55,61322
,AMARAJABAT,EQ,       284.70,                172991730.80,600766
,AMARJOTHI,EQ,        52.00,                    26000.05,500
,AMBIKCO,EQ,       219.45,                   257860.50,1171
,AMDIND,EQ,        14.85,                   153584.90,10287
,AMLSTEEL,EQ,         7.10,                    12790.90,1831
,AMRUTANJAN,EQ,       151.65,                  4124774.25,27097
,AMTEKAUTO,EQ,        79.35,                 23995036.70,294040
,AMTEKINDIA,EQ,       100.75,                  3388313.50,33621
,AMTL,EQ,        19.50,                   115847.75,5959
,ANANTRAJ,EQ,        85.35,                115663254.05,1344031
,ANDHRABANK,EQ,       118.70,                 91576871.40,766299
,ANDHRACEMT,EQ,         9.60,                   247130.00,25656
,ANDHRSUGAR,EQ,       145.80,                  5699151.05,39015
,ANGIND,EQ,        11.80,                   141192.30,12064
