,11-FEB-2013
The Nifty witnessed an intraday movement of about 45.05 points.The closing index was 0.1 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 9461.48
, Traded Quantity (in Lakhs), 5145.71
, Number of Trades, 4917475
, Total Market Capitalisation (Rs. Crores), 6669422.18

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,S&P CNX Nifty,      5903.50,      5920.05,      5924.15,      5879.10,      5897.85,-5.65
,CNX IT,      6852.70,      6872.90,      6890.75,      6826.30,      6832.05,-20.65
,CNX Nifty Junior,     12068.35,     12071.95,     12094.10,     12039.30,     12061.25,-7.1
,S&P CNX Defty,      3817.70,      3823.85,      3826.45,      3793.85,      3805.80,-11.9
,BANK Nifty,     12280.15,     12298.10,     12361.10,     12273.65,     12333.00,52.85
,CNX Midcap,      8109.45,      8109.65,      8124.80,      8083.35,      8093.35,-16.1
,S&P CNX 500,      4682.55,      4691.85,      4692.25,      4668.80,      4677.85,-4.7
,CNX 100,      5826.25,      5840.35,      5841.95,      5805.05,      5821.00,-5.25
,Nifty Midcap 50,      2226.80,      2227.60,      2236.85,      2218.60,      2225.75,-1.05
,CNX Realty,       282.95,       283.10,       286.85,       282.40,       284.65,1.7
,CNX Infra,      2453.25,      2457.35,      2457.95,      2433.15,      2440.95,-12.3
,CNX Energy,      8166.25,      8185.15,      8205.80,      8131.75,      8170.65,4.4
,CNX FMCG,     14989.55,     15037.40,     15059.30,     14842.55,     14950.15,-39.4
,CNX MNC,      5382.15,      5396.40,      5407.75,      5365.30,      5385.95,3.8
,CNX Pharma,      5837.35,      5861.60,      5897.65,      5836.25,      5886.55,49.2
,CNX PSE,      2963.35,      2971.05,      2971.30,      2940.15,      2948.80,-14.55
,CNX PSU Bank,      3438.35,      3445.05,      3471.05,      3430.40,      3446.10,7.75
,CNX Service,      7234.55,      7247.00,      7253.20,      7211.65,      7225.85,-8.7
,India VIX,        15.16,        15.16,        15.74,        14.96,        15.65,.49
,CNX AUTO,      4566.05,      4592.70,      4597.45,      4563.05,      4571.20,5.15
,CNX Metal,      2654.05,      2665.95,      2665.95,      2634.20,      2647.20,-6.85
,CNX Media,      1802.10,      1802.10,      1810.95,      1796.10,      1800.95,-1.15
,CNX Smallcap,      3502.20,      3505.90,      3515.55,      3492.60,      3495.65,-6.55
,CNX 200,      2999.30,      3005.80,      3007.10,      2988.85,      2996.65,-2.65
,CNX Dividend Oppt,      1682.30,      1684.85,      1686.60,      1674.70,      1677.35,-4.95
,CNX Commodities,      2443.55,      2449.35,      2450.85,      2426.80,      2440.30,-3.25
,CNX Consumption,      2282.40,      2285.70,      2286.50,      2270.75,      2277.05,-5.35
,CNX Finance,      5022.85,      5028.20,      5037.05,      5000.15,      5018.80,-4.05
,Nifty Dividend,        79.86,        79.86,        79.86,        79.86,        79.86,0

,ADVANCES,617
,DECLINES,893
,UNCHANGED,78

,Total securities that have hit their price bands today,117

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,AXISBANK,EQ,      1450.80,      1494.10,2.98,793.74
,SBIN,EQ,      2286.15,      2294.35,0.36,339.99
,HCLTECH,EQ,       670.20,       659.50,-1.6,291.51
,ICICIBANK,EQ,      1130.15,      1122.70,-0.66,263.83
,INFY,EQ,      2789.45,      2792.05,0.09,258.33
,HDFCBANK,EQ,       650.05,       656.95,1.06,248.8
,DRREDDY,EQ,      1855.40,      1898.85,2.34,201.62
,RELIANCE,EQ,       863.55,       868.40,0.56,165.4
,TCS,EQ,      1422.60,      1414.70,-0.56,163.85
,ITC,EQ,       301.75,       299.15,-0.86,160.22
,HDFC,EQ,       808.80,       800.20,-1.06,151.25
,TATAMOTORS,EQ,       285.40,       290.90,1.93,149.87
,MCDOWELL-N,EQ,      1917.30,      1933.75,0.86,144.66
,NTPC,EQ,       148.05,       147.65,-0.27,137.7
,DLF,EQ,       268.80,       271.45,0.99,127.1
,JPASSOCIAT,EQ,        73.10,        72.75,-0.48,126.99
,MMTC,EQ,       511.50,       608.75,19.01,123.37
,HINDALCO,EQ,       109.70,       112.30,2.37,111.02
,SUNTV,EQ,       468.45,       465.90,-0.54,104.61
,LT,EQ,      1511.10,      1489.85,-1.41,103.73
,HEXAWARE,EQ,        81.30,        84.00,3.32,103.35
,TATASTEEL,EQ,       387.45,       384.80,-0.68,100.5
,CIPLA,EQ,       380.65,       395.00,3.77,96.94
,RELCAPITAL,EQ,       443.75,       444.70,0.21,96.6
,M&M,EQ,       884.60,       882.50,-0.24,94.54

,Top Five S&P CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,CIPLA,EQ,       395.00,       380.65,3.77
,AXISBANK,EQ,      1494.10,      1450.80,2.98
,HINDALCO,EQ,       112.30,       109.70,2.37
,DRREDDY,EQ,      1898.85,      1855.40,2.34
,TATAMOTORS,EQ,       290.90,       285.40,1.93

,Top Five S&P CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ACC,EQ,      1258.10,      1303.75,-3.5
,IDFC,EQ,       157.90,       161.85,-2.44
,JINDALSTEL,EQ,       405.75,       414.25,-2.05
,MARUTI,EQ,      1558.80,      1587.70,-1.82
,BHARTIARTL,EQ,       316.20,       321.80,-1.74

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        39.45,                  1004830.95,25471
,3IINFOTECH,BE,         7.30,                  5374343.95,732488
,3MINDIA,EQ,      3822.60,                   965729.20,252
,A2ZMES,EQ,        37.50,                 17878173.30,474969
,AANJANEYA,EQ,       766.35,                 33884135.90,44134
,AARTIDRUGS,BE,       223.00,                   618394.45,2813
,AARTIIND,EQ,        89.85,                  5577794.10,61444
,AARVEEDEN,EQ,        59.15,                  2981919.05,48848
,ABAN,EQ,       322.90,                 51848245.00,160222
,ABB,EQ,       650.10,                  5739801.80,8824
,ABBOTINDIA,EQ,      1404.20,                  1913271.35,1367
,ABCIL,EQ,        94.25,                   459972.05,4850
,ABGSHIP,EQ,       389.15,                 17888816.20,46026
,ABHISHEK,EQ,         5.75,                     2911.70,505
,ACCELYA,BE,       369.20,                  4983065.50,13569
,ACE,EQ,        16.05,                  3620683.95,223584
,ACROPETAL,EQ,         8.95,                   425027.90,46965
,ADANIPOWER,EQ,        56.80,                 63908547.80,1128989
,ADFFOODS,EQ,        57.65,                   650557.85,11148
,ADHUNIK,EQ,        38.95,                  4644296.00,119501
,ADORWELD,EQ,       125.10,                   369737.80,2944
,ADSL,EQ,        17.40,                   285204.20,16414
,ADVANTA,EQ,      1019.90,                  4533427.80,4423
,AEGISCHEM,EQ,       144.20,                  2117188.75,14645
,AFL,EQ,        29.70,                    61615.95,2078
,AFTEK,EQ,         7.75,                  1533910.05,193785
,AGCNET,EQ,       162.35,                   163289.75,1000
,AGRODUTCH,EQ,         3.05,                    15912.70,5214
,AHLEAST,EQ,       205.80,                   155327.95,746
,AHLUCONT,EQ,        32.60,                    26903.00,826
,AHLWEST,EQ,       131.40,                    78841.45,603
,AHMEDFORGE,EQ,       130.95,                   253337.70,1925
,AIAENG,EQ,       311.40,                  1781831.05,5596
,AIL,EQ,       350.35,                  2999570.65,8527
,AJANTPHARM,EQ,       576.25,                 30936461.35,53316
,AJMERA,EQ,       115.30,                   238220.15,2055
,AKSHOPTFBR,EQ,        17.50,                  1117193.95,64001
,AKZOINDIA,EQ,       980.00,                  4155733.55,4232
,ALBK,EQ,       148.45,                190753070.90,1279723
,ALCHEM,EQ,        53.55,                   589669.50,10979
,ALEMBICLTD,EQ,        16.50,                   661459.90,39862
,ALICON,EQ,        66.25,                    46375.00,700
,ALKALI,EQ,        24.40,                    14499.60,598
,ALKYLAMINE,EQ,       163.10,                    19607.45,119
,ALLCARGO,EQ,       130.00,                  1145085.80,8813
,ALLSEC,BE,        61.25,                   208790.25,3406
,ALMONDZ,EQ,         7.55,                     3604.85,490
,ALOKTEXT,EQ,        10.05,                 30102273.15,2988184
,ALPA,BE,        10.30,                    15674.30,1531
,ALPHAGEO,EQ,        44.25,                    41013.30,916
,ALPSINDUS,EQ,         1.60,                    15341.80,9562
,ALSTOMT&D,EQ,       179.90,                  1715402.05,9548
,AMAR,EQ,        37.65,                  2085322.30,54730
,AMARAJABAT,EQ,       290.90,                 23055981.10,78876
,AMARJOTHI,EQ,        48.70,                    20192.70,404
,AMBIKCO,EQ,       219.05,                   176226.45,806
,AMDIND,EQ,        14.15,                   100282.65,7042
,AMRUTANJAN,EQ,       141.55,                  3330536.30,23429
,AMTEKAUTO,EQ,        73.70,                  9387646.80,127271
,AMTEKINDIA,EQ,       102.55,                 22485675.45,222690
,AMTL,EQ,        19.60,                    15130.00,775
,ANANTRAJ,EQ,        72.65,                 39955290.75,544157
,ANDHRABANK,EQ,       103.30,                 66453392.40,644416
,ANDHRACEMT,EQ,         8.60,                   119991.45,13759
,ANDHRSUGAR,EQ,       137.45,                  1062154.65,7739
,ANGIND,EQ,        10.00,                      211.20,21
,ANIKINDS,EQ,        35.40,                  1924283.25,55286
,ANKURDRUGS,EQ,        10.05,                   105237.60,10394
,ANSALAPI,EQ,        32.10,                  3794386.70,117506
,ANSALHSG,EQ,        52.10,                   255418.45,4853
