,12-FEB-2013
The Nifty witnessed an intraday movement of about 41.2 points.The closing index was 0.42 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 10035.51
, Traded Quantity (in Lakhs), 7563.92
, Number of Trades, 5383989
, Total Market Capitalisation (Rs. Crores), 6691373.68

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,S&P CNX Nifty,      5897.85,      5894.35,      5927.65,      5886.45,      5922.50,24.65
,CNX IT,      6832.05,      6799.90,      6809.25,      6766.75,      6791.90,-40.15
,CNX Nifty Junior,     12061.25,     12060.90,     12126.75,     11992.05,     12094.65,33.4
,S&P CNX Defty,      3805.80,      3785.35,      3804.20,      3779.05,      3800.25,-5.55
,BANK Nifty,     12333.00,     12331.40,     12415.80,     12301.65,     12405.25,72.25
,CNX Midcap,      8093.35,      8093.70,      8109.90,      7995.45,      8063.00,-30.35
,S&P CNX 500,      4677.85,      4675.90,      4693.20,      4659.85,      4690.30,12.45
,CNX 100,      5821.00,      5818.05,      5848.35,      5806.40,      5844.05,23.05
,Nifty Midcap 50,      2225.75,      2225.75,      2227.50,      2180.00,      2203.30,-22.45
,CNX Realty,       284.65,       284.05,       284.05,       263.85,       270.00,-14.65
,CNX Infra,      2440.95,      2433.20,      2451.55,      2415.45,      2447.20,6.25
,CNX Energy,      8170.65,      8188.50,      8274.45,      8185.90,      8261.45,90.8
,CNX FMCG,     14950.15,     14915.55,     15022.25,     14915.55,     14997.80,47.65
,CNX MNC,      5385.95,      5376.70,      5421.40,      5368.35,      5386.50,.55
,CNX Pharma,      5886.55,      5902.00,      5964.25,      5893.40,      5957.75,71.2
,CNX PSE,      2948.80,      2959.40,      2995.75,      2957.85,      2989.65,40.85
,CNX PSU Bank,      3446.10,      3453.60,      3471.85,      3421.00,      3453.45,7.35
,CNX Service,      7225.85,      7211.80,      7238.20,      7195.95,      7233.50,7.65
,India VIX,        15.65,        15.65,        15.71,        14.98,        15.31,-.34
,CNX AUTO,      4571.20,      4584.15,      4617.30,      4569.75,      4611.75,40.55
,CNX Metal,      2647.20,      2648.05,      2657.65,      2620.25,      2642.55,-4.65
,CNX Media,      1800.95,      1802.75,      1805.15,      1778.45,      1795.10,-5.85
,CNX Smallcap,      3495.65,      3498.40,      3503.60,      3457.40,      3484.00,-11.65
,CNX 200,      2996.65,      2995.30,      3007.75,      2985.40,      3005.65,9
,CNX Dividend Oppt,      1677.35,      1678.75,      1688.25,      1674.05,      1686.50,9.15
,CNX Commodities,      2440.30,      2443.75,      2450.50,      2429.40,      2447.80,7.5
,CNX Consumption,      2277.05,      2273.45,      2287.05,      2268.95,      2285.60,8.55
,CNX Finance,      5018.80,      5017.10,      5037.65,      5006.65,      5031.40,12.6
,Nifty Dividend,        79.86,        79.86,        79.86,        79.86,        79.86,0

,ADVANCES,556
,DECLINES,931
,UNCHANGED,84

,Total securities that have hit their price bands today,138

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,UNITECH,EQ,        34.90,        28.75,-17.62,495.47
,AXISBANK,EQ,      1494.10,      1482.95,-0.75,323.3
,JPASSOCIAT,EQ,        72.75,        72.35,-0.55,320.46
,SBIN,EQ,      2294.35,      2296.40,0.09,304.97
,ICICIBANK,EQ,      1122.70,      1128.85,0.55,301.95
,MCDOWELL-N,EQ,      1933.75,      1957.45,1.23,301.91
,HDFCBANK,EQ,       656.95,       665.20,1.26,262
,TATAMOTORS,EQ,       290.90,       298.55,2.63,195.12
,RELIANCE,EQ,       868.40,       875.45,0.81,194.35
,KTKBANK,EQ,       145.10,       158.15,8.99,175.8
,HDIL,EQ,        72.15,        70.10,-2.84,173.93
,ONGC,EQ,       308.40,       320.05,3.78,158.56
,TCS,EQ,      1414.70,      1410.05,-0.33,156.89
,MMTC,EQ,       608.75,       631.55,3.75,155.64
,INFY,EQ,      2792.05,      2755.25,-1.32,152.91
,STAR,EQ,       967.65,      1037.90,7.26,151.8
,DLF,EQ,       271.45,       267.50,-1.46,145.41
,JINDALSTEL,EQ,       405.75,       392.20,-3.34,135.17
,ITC,EQ,       299.15,       300.05,0.3,132.43
,HDFC,EQ,       800.20,       800.40,0.02,130.52
,NTPC,EQ,       147.65,       147.40,-0.17,126.09
,LT,EQ,      1489.85,      1495.00,0.35,115.65
,SBBJ,EQ,       452.55,       454.75,0.49,110.89
,RELCAPITAL,EQ,       444.70,       440.85,-0.87,110.09
,DBREALTY,EQ,       123.45,       101.30,-17.94,104.61

,Top Five S&P CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ONGC,EQ,       320.05,       308.40,3.78
,SUNPHARMA,EQ,       771.70,       749.35,2.98
,HCLTECH,EQ,       678.50,       659.50,2.88
,TATAMOTORS,EQ,       298.55,       290.90,2.63
,COALINDIA,EQ,       345.10,       338.45,1.96

,Top Five S&P CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,JINDALSTEL,EQ,       392.20,       405.75,-3.34
,IDFC,EQ,       155.25,       157.90,-1.68
,ACC,EQ,      1239.20,      1258.10,-1.5
,DLF,EQ,       267.50,       271.45,-1.46
,INFY,EQ,      2755.25,      2792.05,-1.32

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        35.55,                   634816.35,17857
,3IINFOTECH,BE,         6.95,                  9311973.10,1329329
,3MINDIA,EQ,      3840.00,                  2142621.35,558
,A2ZMES,EQ,        36.30,                 13679951.50,376139
,AANJANEYA,EQ,       751.65,                 11364813.50,15074
,AARTIDRUGS,BE,       215.45,                   429769.20,1980
,AARTIIND,EQ,        89.75,                  3962695.15,43860
,AARVEEDEN,EQ,        49.40,                  2664361.60,52019
,ABAN,EQ,       320.30,                 52447813.20,163677
,ABB,EQ,       645.80,                 10630490.65,16429
,ABBOTINDIA,EQ,      1387.30,                   504031.25,363
,ABCIL,EQ,        93.15,                   414788.35,4461
,ABGSHIP,EQ,       379.65,                  3679302.25,9672
,ABHISHEK,EQ,         5.65,                     3962.90,690
,ACCELYA,BE,       361.05,                  2919486.20,8055
,ACE,EQ,        15.75,                  2193425.45,137481
,ACROPETAL,EQ,         8.90,                   318396.80,35617
,ADANIPOWER,EQ,        55.15,                122611259.70,2230478
,ADFFOODS,EQ,        55.75,                  3054338.65,56511
,ADHUNIK,EQ,        37.30,                  3478116.25,92723
,ADORWELD,EQ,       125.55,                   224760.25,1788
,ADSL,EQ,        17.25,                   572951.10,32989
,ADVANIHOTR,EQ,        30.00,                    54385.05,1832
,ADVANTA,EQ,      1009.45,                   966546.05,955
,AEGISCHEM,EQ,       143.85,                  2589395.80,18194
,AFL,EQ,        29.95,                    21305.60,715
,AFTEK,EQ,         8.00,                  1627874.60,206029
,AGCNET,EQ,       154.55,                   336882.15,2159
,AGRODUTCH,EQ,         3.10,                    11935.00,3948
,AHLEAST,EQ,       202.90,                    55335.05,270
,AHLUCONT,EQ,        32.05,                    36080.60,1118
,AHLWEST,EQ,       123.85,                    60160.95,485
,AHMEDFORGE,EQ,       128.55,                   268309.95,2066
,AIAENG,EQ,       320.80,                   486156.95,1518
,AIL,EQ,       344.90,                  3020496.55,8700
,AJANTPHARM,EQ,       571.45,                 22365038.65,38958
,AJMERA,EQ,       114.05,                   754546.20,6697
,AKSHOPTFBR,EQ,        17.65,                   901131.90,51541
,AKZOINDIA,EQ,       984.70,                  6676477.05,6796
,ALBK,EQ,       149.40,                368818785.95,2494960
,ALCHEM,EQ,        56.95,                  1229400.90,21831
,ALEMBICLTD,EQ,        17.05,                  1257076.40,75158
,ALICON,EQ,        66.00,                    39506.25,600
,ALKALI,EQ,        23.80,                    32438.00,1370
,ALKYLAMINE,EQ,       162.00,                    81807.55,503
,ALLCARGO,EQ,       129.75,                   780816.80,6027
,ALLSEC,BE,        59.75,                   389202.95,6507
,ALMONDZ,EQ,         7.30,                      734.75,102
,ALOKTEXT,EQ,        10.00,                 29848571.25,2966531
,ALPA,BE,        10.05,                    19600.75,1932
,ALPHAGEO,EQ,        42.95,                   145905.55,3344
,ALPSINDUS,EQ,         1.65,                    17080.55,10635
,ALSTOMT&D,EQ,       176.35,                  1526723.55,8610
,AMAR,EQ,        36.85,                   932909.35,25270
,AMARAJABAT,EQ,       287.05,                 19282609.25,67314
,AMBIKCO,EQ,       221.00,                   209970.10,950
,AMDIND,EQ,        13.50,                    52658.00,3824
,AMLSTEEL,EQ,         6.35,                     3245.25,500
,AMRUTANJAN,EQ,       137.90,                  3400193.95,24485
,AMTEKAUTO,EQ,        73.85,                  4901939.00,66512
,AMTEKINDIA,EQ,        98.40,                 21607483.80,218391
,AMTL,EQ,        19.65,                     3718.50,190
,ANANTRAJ,EQ,        70.25,                 83323850.70,1185929
,ANDHRABANK,EQ,       102.95,                117952228.55,1149675
,ANDHRACEMT,EQ,         8.50,                   166116.10,19583
,ANDHRSUGAR,EQ,       137.75,                   322672.45,2346
,ANGIND,EQ,         9.70,                     2897.70,299
,ANIKINDS,EQ,        33.75,                  1407984.55,40834
,ANKURDRUGS,EQ,        10.00,                   189288.00,18740
,ANSALAPI,EQ,        31.15,                  3342426.25,108062
