,28-FEB-2013
The Nifty witnessed an intraday movement of about 178 points.The closing index was 1.79 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 21996.2
, Traded Quantity (in Lakhs), 14149.93
, Number of Trades, 8837653
, Total Market Capitalisation (Rs. Crores), 6385290.77

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,S&P CNX Nifty,      5796.90,      5834.35,      5849.90,      5671.90,      5693.05,-103.85
,CNX IT,      7072.50,      7084.80,      7160.75,      7069.65,      7106.65,34.15
,CNX Nifty Junior,     11729.25,     11736.20,     11845.15,     11425.35,     11457.75,-271.5
,S&P CNX Defty,      3734.10,      3769.55,      3778.50,      3613.05,      3627.50,-106.6
,BANK Nifty,     11930.50,     12007.00,     12041.45,     11401.20,     11487.35,-443.15
,CNX Midcap,      7779.40,      7781.50,      7854.05,      7517.00,      7540.35,-239.05
,S&P CNX 500,      4568.20,      4589.25,      4608.50,      4464.70,      4477.50,-90.7
,CNX 100,      5711.95,      5743.80,      5763.25,      5587.60,      5605.05,-106.9
,Nifty Midcap 50,      2102.25,      2104.20,      2126.60,      2002.50,      2011.55,-90.7
,CNX Realty,       264.75,       265.80,       272.30,       255.65,       257.15,-7.6
,CNX Infra,      2371.90,      2395.40,      2406.10,      2286.20,      2299.90,-72
,CNX Energy,      7991.50,      8044.65,      8080.05,      7784.65,      7828.95,-162.55
,CNX FMCG,     14669.85,     14711.00,     14953.30,     14546.70,     14594.25,-75.6
,CNX MNC,      5219.45,      5239.65,      5255.25,      5067.60,      5095.75,-123.7
,CNX Pharma,      5813.80,      5837.85,      5862.20,      5755.15,      5778.20,-35.6
,CNX PSE,      2909.40,      2924.60,      2942.75,      2845.55,      2852.70,-56.7
,CNX PSU Bank,      3323.70,      3342.45,      3357.65,      3101.70,      3136.60,-187.1
,CNX Service,      7166.95,      7202.95,      7224.15,      6971.10,      7002.85,-164.1
,India VIX,        16.23,        16.23,        16.23,        14.59,        14.86,-1.37
,CNX AUTO,      4469.55,      4511.00,      4521.70,      4409.50,      4424.80,-44.75
,CNX Metal,      2431.80,      2447.05,      2457.20,      2338.45,      2360.35,-71.45
,CNX Media,      1685.10,      1697.95,      1720.25,      1636.35,      1645.85,-39.25
,CNX Smallcap,      3337.00,      3355.50,      3377.35,      3254.55,      3267.65,-69.35
,CNX 200,      2930.45,      2945.20,      2957.05,      2862.75,      2871.80,-58.65
,CNX Dividend Oppt,      1648.30,      1653.15,      1663.40,      1608.90,      1615.00,-33.3
,CNX Commodities,      2361.40,      2373.75,      2386.40,      2287.10,      2297.30,-64.1
,CNX Consumption,      2222.90,      2232.15,      2243.35,      2187.55,      2194.65,-28.25
,CNX Finance,      4855.00,      4883.70,      4898.75,      4659.35,      4685.35,-169.65
,Nifty Dividend,        81.67,        81.67,        81.67,        81.67,        81.67,0

,ADVANCES,345
,DECLINES,1160
,UNCHANGED,66

,Total securities that have hit their price bands today,179

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SBIN,EQ,      2213.40,      2080.90,-5.99,1254.57
,ITC,EQ,       294.80,       294.80,0,956.72
,ICICIBANK,EQ,      1083.15,      1040.40,-3.95,715.59
,NTPC,EQ,       153.85,       150.90,-1.92,662.92
,SUZLON,EQ,        24.25,        16.00,-34.02,623.8
,LT,EQ,      1409.65,      1367.80,-2.97,531.89
,RELIANCE,EQ,       831.30,       813.85,-2.1,517.97
,DLF,EQ,       277.45,       277.35,-0.04,504.34
,HDFCBANK,EQ,       642.75,       625.35,-2.71,440.95
,HDFC,EQ,       779.35,       757.65,-2.78,438.37
,INFY,EQ,      2910.55,      2907.00,-0.12,429.62
,TATAMOTORS,EQ,       286.25,       287.55,0.45,414.96
,STAR,EQ,       985.55,       917.25,-6.93,403.99
,MARUTI,EQ,      1408.55,      1354.35,-3.85,403.73
,M&M,EQ,       892.80,       873.70,-2.14,375.36
,AXISBANK,EQ,      1400.00,      1344.15,-3.99,365.75
,MCDOWELL-N,EQ,      1810.65,      1840.10,1.63,358.71
,JETAIRWAYS,EQ,       534.70,       539.10,0.82,349.2
,TCS,EQ,      1483.20,      1517.00,2.28,346.79
,JPASSOCIAT,EQ,        72.25,        69.55,-3.74,323.64
,PANTALOONR,EQ,       197.10,       176.20,-10.6,322.05
,BHARTIARTL,EQ,       321.75,       322.90,0.36,310.75
,CAIRN,EQ,       304.15,       297.95,-2.04,255.77
,ONGC,EQ,       315.25,       313.45,-0.57,253.17
,YESBANK,EQ,       490.55,       472.00,-3.78,244.81

,Top Five S&P CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TCS,EQ,      1517.00,      1483.20,2.28
,KOTAKBANK,EQ,       659.60,       653.50,.93
,HCLTECH,EQ,       723.40,       719.80,.5
,TATAMOTORS,EQ,       287.55,       286.25,.45
,BAJAJ-AUTO,EQ,      1973.00,      1964.10,.45

,Top Five S&P CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,RELINFRA,EQ,       419.00,       461.85,-9.28
,SBIN,EQ,      2080.90,      2213.40,-5.99
,PNB,EQ,       790.45,       836.75,-5.53
,BANKBARODA,EQ,       695.65,       736.25,-5.51
,RANBAXY,EQ,       378.25,       399.20,-5.25

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        32.10,                  6172609.55,189858
,3IINFOTECH,BE,         6.45,                  3685796.95,558381
,3MINDIA,EQ,      3521.25,                  4022180.05,1122
,A2ZMES,EQ,        28.65,                 16338446.70,546620
,AANJANEYA,EQ,       372.60,                   513070.20,1377
,AARTIDRUGS,BE,       191.50,                   232809.55,1196
,AARTIIND,EQ,        84.15,                  5106229.10,59336
,AARVEEDEN,EQ,        38.10,                   455951.00,11859
,ABAN,EQ,       280.95,                 67468384.15,235838
,ABB,EQ,       574.15,                 17890198.10,30819
,ABBOTINDIA,EQ,      1364.10,                   911006.05,666
,ABCIL,EQ,        83.30,                   324712.65,3844
,ABGSHIP,EQ,       304.10,                359855108.40,1187183
,ABHISHEK,BE,         4.70,                    20043.80,4254
,ACCELYA,BE,       312.00,                  2867156.95,8972
,ACE,EQ,        11.95,                  3256756.20,263606
,ACROPETAL,EQ,         7.40,                   208769.45,27835
,ADANIPOWER,EQ,        44.45,                148926605.45,3155935
,ADFFOODS,EQ,        49.60,                   530121.55,10482
,ADHUNIK,EQ,        33.85,                  1860954.05,53545
,ADORWELD,EQ,       119.85,                   614218.75,5079
,ADSL,EQ,        14.55,                   760968.60,50977
,ADVANIHOTR,EQ,        30.00,                    18000.00,600
,ADVANTA,EQ,      1051.90,                  9538457.95,9124
,AEGISCHEM,EQ,       130.25,                  1178729.05,8803
,AFL,EQ,        27.70,                    38512.55,1326
,AFTEK,EQ,         6.80,                  1325878.30,191303
,AGCNET,EQ,       118.90,                  1141496.10,9395
,AGRODUTCH,EQ,         2.85,                   231143.70,77447
,AHLEAST,EQ,       186.10,                   122790.55,659
,AHLUCONT,EQ,        26.00,                   140070.75,5197
,AHLWEST,EQ,       117.40,                   157892.45,1340
,AHMEDFORGE,EQ,       115.90,                   413627.15,3532
,AIAENG,EQ,       317.80,                   717589.65,2245
,AICHAMP,BE,        21.70,                       21.70,1
,AIL,EQ,       310.90,                  5163289.95,16126
,AJANTPHARM,EQ,       590.60,                 50025427.95,83694
,AJMERA,EQ,       101.10,                   610729.35,5944
,AKSHOPTFBR,EQ,        17.45,                   818333.70,47041
,AKZOINDIA,EQ,       993.40,                  2197316.25,2212
,ALBK,EQ,       138.10,                417579589.00,2980291
,ALCHEM,EQ,        52.35,                   191988.95,3585
,ALEMBICLTD,EQ,        15.85,                   345993.50,21522
,ALICON,EQ,        62.90,                    29859.70,476
,ALKALI,EQ,        21.55,                    38357.20,1800
,ALKYLAMINE,EQ,       145.00,                    19139.50,132
,ALLCARGO,EQ,       129.65,                   956432.20,7375
,ALLSEC,BE,        51.00,                   750292.15,14786
,ALMONDZ,EQ,         6.30,                     9216.30,1401
,ALOKTEXT,EQ,         8.50,                 51920839.30,5872795
,ALPA,BE,         9.30,                     8370.00,900
,ALPHAGEO,EQ,        40.55,                   949742.45,23310
,ALPSINDUS,EQ,         1.45,                    27445.75,18335
,ALSTOMT&D,EQ,       165.15,                  7610578.75,46488
,AMAR,EQ,        26.20,                  2789387.65,102919
,AMARAJABAT,EQ,       272.25,                 38878791.00,143039
,AMARJOTHI,EQ,        50.00,                    14508.25,290
,AMBIKCO,EQ,       195.60,                    44330.40,226
,AMDIND,EQ,        12.95,                     3133.35,243
,AMRUTANJAN,EQ,       124.10,                  1272766.35,10125
,AMTEKAUTO,EQ,        69.10,                  8617089.35,123146
,AMTEKINDIA,EQ,        93.75,                 28376448.20,299828
,AMTL,EQ,        19.90,                    19900.00,1000
,ANANTRAJ,EQ,        62.25,                118680756.70,1816141
,ANDHRABANK,EQ,        91.00,                156404664.90,1680319
,ANDHRACEMT,EQ,         8.00,                   116461.60,14567
,ANDHRSUGAR,EQ,       137.85,                   225855.20,1620
,ANGIND,EQ,         8.55,                     6313.95,690
,ANIKINDS,EQ,        28.45,                  2070821.40,69697
,ANKURDRUGS,EQ,         8.50,                    68862.00,7846
,ANSALAPI,EQ,        27.05,                  5611061.90,198161
,ANSALHSG,EQ,        53.40,                   464013.25,8427
,ANTGRAPHIC,BE,          .25,                    17837.50,85950
