,20-MAR-2013
The Nifty witnessed an intraday movement of about 63 points.The closing index was 0.9 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 12294.3
, Traded Quantity (in Lakhs), 8298.29
, Number of Trades, 6621214
, Total Market Capitalisation (Rs. Crores), 6261163.27

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      5745.95,      5740.55,      5745.30,      5682.30,      5694.40,-51.55
,CNX IT,      7152.55,      7153.85,      7179.75,      7115.65,      7158.25,5.7
,CNX Nifty Junior,     11398.75,     11396.30,     11416.40,     11140.25,     11175.40,-223.35
,CNX Defty,      3657.55,      3647.40,      3660.40,      3618.35,      3627.25,-30.3
,BANK Nifty,     11508.05,     11491.80,     11491.80,     11231.75,     11254.85,-253.2
,CNX Midcap,      7584.55,      7583.95,      7583.95,      7403.45,      7427.05,-157.5
,CNX 500,      4500.85,      4497.75,      4500.15,      4438.00,      4446.05,-54.8
,CNX 100,      5644.90,      5640.20,      5645.05,      5572.95,      5585.25,-59.65
,Nifty Midcap 50,      2014.70,      2013.80,      2021.15,      1948.20,      1957.15,-57.55
,CNX Realty,       247.95,       247.90,       251.55,       234.15,       235.25,-12.7
,CNX Infra,      2304.50,      2299.35,      2311.60,      2219.20,      2234.15,-70.35
,CNX Energy,      7851.40,      7850.15,      7852.10,      7732.75,      7744.55,-106.85
,CNX FMCG,     15200.65,     15163.85,     15292.55,     15163.85,     15257.25,56.6
,CNX MNC,      5154.05,      5148.50,      5197.40,      5138.90,      5165.35,11.3
,CNX Pharma,      6020.25,      6007.90,      6055.80,      6007.90,      6026.80,6.55
,CNX PSE,      2775.25,      2765.75,      2769.25,      2712.50,      2716.80,-58.45
,CNX PSU Bank,      3218.25,      3213.60,      3226.80,      3096.00,      3107.70,-110.55
,CNX Service,      7012.10,      7011.15,      7011.15,      6892.15,      6901.05,-111.05
,India VIX,        16.71,        16.71,        17.44,        16.17,        16.66,-.05
,CNX AUTO,      4375.45,      4365.75,      4389.70,      4330.60,      4373.20,-2.25
,CNX Metal,      2268.25,      2261.65,      2278.40,      2227.10,      2237.70,-30.55
,CNX Media,      1652.00,      1648.80,      1648.80,      1598.30,      1603.25,-48.75
,CNX Smallcap,      3225.15,      3222.55,      3223.70,      3145.40,      3152.50,-72.65
,CNX 200,      2889.70,      2887.50,      2889.80,      2849.55,      2855.95,-33.75
,CNX Dividend Oppt,      1605.00,      1602.20,      1604.90,      1577.60,      1581.15,-23.85
,CNX Commodities,      2243.80,      2240.70,      2241.20,      2201.45,      2205.55,-38.25
,CNX Consumption,      2214.30,      2209.00,      2225.55,      2188.45,      2197.55,-16.75
,CNX Finance,      4721.95,      4725.25,      4729.75,      4623.25,      4628.65,-93.3
,Nifty Dividend,        85.08,        85.08,        85.08,        85.08,        85.08,0

,ADVANCES,271
,DECLINES,1241
,UNCHANGED,57

,Total securities that have hit their price bands today,169

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,BHARTIARTL,EQ,       293.40,       280.05,-4.55,599.19
,SBIN,EQ,      2203.55,      2120.40,-3.77,496.19
,HDIL,EQ,        60.75,        48.65,-19.92,472.53
,RELIANCE,EQ,       825.00,       822.70,-0.28,378.31
,ICICIBANK,EQ,      1032.60,      1001.55,-3.01,348.17
,TCS,EQ,      1546.75,      1557.65,0.7,324.69
,INFY,EQ,      2856.00,      2865.65,0.34,320.1
,HDFC,EQ,       784.55,       780.40,-0.53,312.72
,ITC,EQ,       306.30,       307.20,0.29,311.52
,DLF,EQ,       259.05,       248.65,-4.01,297.1
,MCDOWELL-N,EQ,      1917.25,      1842.15,-3.92,292.34
,LT,EQ,      1470.65,      1436.10,-2.35,271.09
,TATAMOTORS,EQ,       281.60,       285.65,1.44,270.03
,JPASSOCIAT,EQ,        71.40,        68.35,-4.27,242.39
,AXISBANK,EQ,      1321.50,      1299.25,-1.68,199.79
,HCLTECH,EQ,       781.55,       774.20,-0.94,194.09
,RELCAPITAL,EQ,       352.05,       332.20,-5.64,192.91
,HDFCBANK,EQ,       631.55,       625.50,-0.96,177.58
,RELINFRA,EQ,       395.75,       359.15,-9.25,169.49
,UNITECH,EQ,        26.65,        24.80,-6.94,164.27
,JETAIRWAYS,EQ,       548.45,       546.40,-0.37,134.01
,YESBANK,EQ,       438.80,       431.20,-1.73,130.05
,IDFC,EQ,       147.50,       141.40,-4.14,128.8
,ONGC,EQ,       309.85,       300.80,-2.92,126.88
,HINDUNILVR,EQ,       453.50,       468.65,3.34,124.51

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HINDUNILVR,EQ,       468.65,       453.50,3.34
,ASIANPAINT,EQ,      4992.60,      4909.35,1.7
,CIPLA,EQ,       389.75,       383.55,1.62
,TATAMOTORS,EQ,       285.65,       281.60,1.44
,LUPIN,EQ,       626.05,       619.60,1.04

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,RELINFRA,EQ,       359.15,       395.75,-9.25
,BHARTIARTL,EQ,       280.05,       293.40,-4.55
,JPASSOCIAT,EQ,        68.35,        71.40,-4.27
,IDFC,EQ,       141.40,       147.50,-4.14
,DLF,EQ,       248.65,       259.05,-4.01

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.40,                  1512249.35,49646
,3IINFOTECH,EQ,         6.00,                  8255198.25,1358458
,3MINDIA,EQ,      3446.35,                  3082071.25,889
,A2ZMES,EQ,        18.35,                 16633029.80,881549
,AANJANEYA,EQ,       172.40,                    27066.80,157
,AARTIDRUGS,EQ,       193.40,                   966940.75,4998
,AARTIIND,EQ,        90.15,                  2155075.95,23859
,AARVEEDEN,EQ,        34.20,                    55117.10,1618
,ABAN,EQ,       272.70,                 35682808.55,128758
,ABB,EQ,       531.05,                 30056998.25,55903
,ABBOTINDIA,EQ,      1326.40,                  1230160.35,922
,ABCIL,EQ,        78.20,                  1531314.00,19256
,ABGSHIP,EQ,       328.15,                342566623.65,1039254
,ACCELYA,EQ,       347.00,                  2134980.75,5994
,ACE,EQ,        11.90,                  2209204.40,183502
,ACROPETAL,EQ,         6.80,                   499211.20,72616
,ADANIPOWER,EQ,        44.00,                 69832752.50,1567663
,ADFFOODS,EQ,        44.55,                  1099324.90,24205
,ADHUNIK,EQ,        30.95,                  3176714.90,99464
,ADORWELD,EQ,       115.05,                   144029.75,1245
,ADSL,EQ,        11.05,                   771016.20,69672
,ADVANTA,EQ,      1004.80,                  9230070.60,9175
,AEGISCHEM,EQ,       129.00,                  3157561.40,23912
,AFL,EQ,        26.75,                    29646.45,1100
,AFTEK,EQ,         5.75,                  1010811.50,175033
,AGCNET,EQ,       120.95,                   185205.55,1465
,AGRODUTCH,EQ,         2.80,                    52698.20,18624
,AHLEAST,EQ,       174.10,                    14638.90,84
,AHLUCONT,EQ,        22.50,                   140048.85,6155
,AHLWEST,EQ,        98.50,                    62682.65,624
,AHMEDFORGE,EQ,       115.40,                   701494.40,6005
,AIAENG,EQ,       320.00,                  5178782.75,16291
,AIL,EQ,       322.25,                  5498218.05,17208
,AJANTPHARM,EQ,       643.85,                 20498371.50,31135
,AJMERA,EQ,        94.75,                  1170161.40,12356
,AKSHOPTFBR,EQ,        17.00,                  1146520.60,67630
,AKZOINDIA,EQ,       996.15,                  8558869.60,8541
,ALBK,EQ,       129.70,                347249572.05,2662119
,ALCHEM,EQ,        45.60,                   846630.15,18212
,ALEMBICLTD,EQ,        16.65,                   614464.05,37223
,ALICON,EQ,        60.00,                   156949.15,2611
,ALKALI,EQ,        18.30,                    22127.95,1192
,ALKYLAMINE,EQ,       159.90,                    71263.60,463
,ALLCARGO,EQ,       114.60,                  1390925.80,12242
,ALLSEC,EQ,        45.05,                    89617.85,1984
,ALMONDZ,EQ,         7.55,                    98584.55,13131
,ALOKTEXT,EQ,         7.65,                 28506058.95,3729702
,ALPA,EQ,         8.45,                   423325.00,50100
,ALPHAGEO,EQ,        37.75,                   414699.30,11075
,ALPSINDUS,EQ,         1.30,                    41899.10,31984
,ALSTOMT&D,EQ,       149.35,                  4144158.65,27768
,AMAR,EQ,        17.00,                   474340.45,27954
,AMARAJABAT,EQ,       267.05,                 27942473.40,104268
,AMARJOTHI,EQ,        50.00,                    33962.70,670
,AMBIKCO,EQ,       190.50,                   137804.85,724
,AMDIND,EQ,        10.85,                    21916.55,2001
,AMRUTANJAN,EQ,       124.50,                  2302230.45,18417
,AMTEKAUTO,EQ,        61.70,                 84421585.45,1367124
,AMTEKINDIA,EQ,        82.05,                 17191024.45,206764
,AMTL,EQ,        19.85,                     6081.10,307
,ANANTRAJ,EQ,        59.95,                 56738080.35,918255
,ANDHRABANK,EQ,        93.85,                122513504.55,1285395
,ANDHRACEMT,EQ,         7.00,                    95520.20,14054
,ANDHRSUGAR,EQ,       131.70,                   306788.85,2331
,ANGIND,EQ,         8.50,                    28452.65,3321
,ANIKINDS,EQ,        23.60,                   923405.95,37508
,ANKITMETAL,EQ,        14.10,                      820.90,58
,ANKURDRUGS,EQ,         7.25,                   245598.85,33877
,ANSALAPI,EQ,        22.65,                  4253652.60,185020
,ANSALHSG,EQ,        53.85,                   381825.45,7045
,ANTGRAPHIC,EQ,          .20,                     3406.30,17031
,APARINDS,EQ,       116.45,                  2212979.75,18760
,APCOTEXIND,EQ,       201.25,                   100286.35,495
,APLAPOLLO,EQ,       170.40,                   186991.15,1095
,APLLTD,EQ,        94.75,                  9632213.15,101511
,APOLLOTYRE,EQ,        83.50,                 81439091.25,974530
,APPAPER,EQ,       180.75,                  6177523.10,33610
,APTECHT,EQ,        41.00,                  9308816.65,220425
,AQUA,EQ,         3.35,                  1276676.25,376356
,ARCHIDPLY,EQ,         7.25,                    17555.95,2419
,ARCHIES,EQ,        17.30,                  1043561.45,60366
,ARIES,EQ,        41.95,                   239117.45,5815
,AROGRANITE,EQ,        29.85,                    18883.50,635
,ARROWTEX,EQ,         5.75,                    10087.50,1750
,ARSHIYA,EQ,        24.40,                  2471476.60,100278
,ARSSINFRA,EQ,        31.00,                  3213290.35,101068
,ARVIND,EQ,        77.80,                 70233130.00,903065
,ARVINDREM,EQ,        27.50,                  1819979.80,67394
,ASAHIINDIA,EQ,        48.70,                  4638260.55,92979
,ASAHISONG,EQ,        62.10,                   357968.25,5765
,ASAL,EQ,        35.75,                    45260.10,1262
,ASHAPURMIN,EQ,        33.70,                   717950.10,20747
,ASHCONIUL,BE,          .25,                     3017.00,10068
,ASHIANA,EQ,       250.00,                  1948081.55,7792
,ASHIMASYN,EQ,         3.50,                    21241.10,6059
,ASHOKA,EQ,       199.15,                    66611.35,333
,ASIANHOTNR,EQ,       139.00,                    38356.55,277
,ASIANTILES,EQ,        39.20,                   402634.75,10701
,ASIL,EQ,         1.00,                     1106.00,1106
,ASSAMCO,EQ,         5.85,                  3283273.95,549792
,ASTEC,EQ,        16.45,                   232655.25,13984
,ASTRAL,EQ,       388.80,                  9467540.80,24329
,ASTRAMICRO,EQ,        40.20,                  3041984.10,75564
,ASTRAZEN,EQ,       682.70,                 51016615.50,72658
,ATFL,EQ,       479.65,                  4625727.10,9651
,ATLANTA,BE,        50.80,                   790830.10,15543
,ATLASCYCLE,EQ,       270.65,                  4239699.00,15458
,ATNINTER,EQ,          .35,                      995.00,2700
,ATUL,EQ,       327.35,                  3296161.25,10027
,AURIONPRO,EQ,        83.75,                   153408.30,1800
,AUROPHARMA,EQ,       151.65,                328584139.30,2121036
,AUSTRAL,EQ,          .80,                   105244.25,127142
,AUTOAXLES,EQ,       305.00,                   552975.05,1820
,AUTOIND,EQ,        71.90,                  2685282.75,36936
,AUTOLITIND,EQ,        14.60,                       27.90,2
,AVANTI,EQ,       106.00,                    42166.50,401
,AVTNPL,EQ,        28.25,                   311936.70,11003
,AXIS-IT&T,EQ,        52.00,                   644675.40,12019
,AXISGOLD,EQ,      2893.95,                   951047.20,330
,BAFNAPHARM,EQ,        36.10,                   301218.65,8450
,BAGFILMS,EQ,         3.65,                   205383.40,54009
,BAJAJCORP,EQ,       228.45,                  3637016.20,15949
,BAJAJELEC,EQ,       175.70,                  5297691.00,30230
,BAJAJFINSV,EQ,       763.90,                 24323951.25,31807
,BAJAJHIND,EQ,        19.90,                 35592208.45,1771018
,BAJFINANCE,EQ,      1249.10,                  5712595.00,4566
,BALAJITELE,EQ,        41.95,                  1614647.75,38904
,BALAMINES,EQ,        35.30,                   226760.55,6303
,BALKRISIND,EQ,       272.85,                  8267412.55,30611
,BALLARPUR,EQ,        17.30,                  1254396.15,72389
,BALMLAWRIE,EQ,       577.45,                  6357382.75,10866
,BALPHARMA,EQ,        18.60,                    33418.10,1756
,BALRAMCHIN,EQ,        42.85,                 24056524.75,556227
,BANARISUG,EQ,       900.05,                  3201135.20,3549
,BANCOINDIA,EQ,        43.30,                  2613520.45,58501
,BANG,EQ,        14.70,                    19742.60,1362
,BANKBEES,EQ,      1147.27,                  1019009.45,880
,BANSWRAS,EQ,        46.75,                    56341.50,1205
,BARTRONICS,EQ,         9.65,                  3535606.55,356475
,BASF,EQ,       597.60,                  2971439.95,5001
,BASML,EQ,       109.70,                   414941.95,3774
,BATAINDIA,EQ,       696.95,                179380531.15,256664
,BAYERCROP,EQ,      1078.45,                  4883276.10,4496
,BBL,EQ,       452.90,                  2154493.00,4735
,BBTC,EQ,       106.50,                  1669053.40,15289
,BECREL,EQ,         5.10,                      714.00,140
,BEDMUTHA,EQ,        10.55,                   134375.90,12740
,BEL,EQ,      1129.90,                  5191085.50,4578
,BEML,EQ,       162.40,                 50197982.40,305230
,BEPL,EQ,        13.75,                   149785.80,10870
,BERGEPAINT,EQ,       189.90,                 41899357.40,217957
,BFINVEST,EQ,        49.70,                  1558677.35,31449
,BFUTILITIE,EQ,       216.00,                 27114835.70,123272
,BGLOBAL,EQ,         6.40,                   316778.55,48186
,BGRENERGY,EQ,       196.05,                 21184391.80,106107
,BHAGWATIHO,EQ,        56.10,                  1611946.30,28429
,BHAGYNAGAR,EQ,        13.50,                   115049.85,8532
,BHARATGEAR,EQ,        38.75,                   165240.30,4205
,BHARATRAS,EQ,       128.75,                    19689.55,153
,BHARTISHIP,EQ,        40.40,                  6167247.00,147220
,BHUSANSTL,EQ,       457.00,                 17818512.90,38995
,BIL,EQ,       205.90,                  7211519.45,34934
,BILENERGY,EQ,        71.05,                    32460.20,459
,BILPOWER,EQ,         4.65,                    83177.05,17963
,BIMETAL,EQ,       203.40,                    22406.50,107
,BINANIIND,EQ,        98.75,                  3772113.15,37348
,BINDALAGRO,EQ,        20.20,                   829573.95,40949
,BIRLACORPN,EQ,       252.00,                   848456.20,3326
,BIRLACOT,BE,          .10,                    83068.00,761398
,BIRLAERIC,EQ,        10.00,                    21890.50,2173
,BIRLAMONEY,EQ,        16.00,                   403048.15,25172
,BIRLAPOWER,EQ,          .25,                   260023.65,1148728
,BLBLIMITED,EQ,         3.15,                     1946.70,618
,BLISSGVS,EQ,        30.35,                  1392109.30,45780
,BLKASHYAP,EQ,         7.20,                   911854.65,120136
,BLUECHIP,EQ,          .60,                     9344.90,15927
,BLUEDART,EQ,      2441.85,                  1491911.70,605
,BLUESTARCO,EQ,       164.15,                  2763279.95,16798
,BLUESTINFO,EQ,        58.05,                    39525.95,677
,BOC,EQ,       320.35,                288340008.65,848178
,BOMDYEING,EQ,        85.15,                 30038499.15,347279
,BPL,EQ,        15.60,                   354766.35,22273
,BRANDHOUSE,EQ,         5.75,                   313808.05,53209
,BRFL,EQ,       252.00,                 16298756.80,64710
,BRIGADE,EQ,        59.75,                  2038877.50,33647
,BRITANNIA,EQ,       529.15,                 66674586.50,123983
,BROADCAST,EQ,         4.80,                    12090.00,2490
,BROOKS,EQ,        17.30,                   213977.50,12146
,BSELINFRA,EQ,         2.25,                    53156.25,23548
,BSL,EQ,        14.35,                    50653.70,3926
