,01-APR-2013
The Nifty witnessed an intraday movement of about 45.05 points.The closing index was 0.38 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 7165.88
, Traded Quantity (in Lakhs), 5047.38
, Number of Trades, 4262191
, Total Market Capitalisation (Rs. Crores), 6278762.59

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      5682.55,      5697.35,      5720.95,      5675.90,      5704.40,21.85
,CNX IT,      7219.05,      7230.65,      7298.95,      7230.65,      7264.35,45.3
,CNX Nifty Junior,     11222.80,     11238.05,     11352.65,     11233.35,     11328.45,105.65
,BANK Nifty,     11361.85,     11414.95,     11460.60,     11330.85,     11425.55,63.7
,CNX Midcap,      7401.60,      7430.95,      7495.20,      7419.70,      7486.85,85.25
,CNX 500,      4438.35,      4449.35,      4471.20,      4441.40,      4465.60,27.25
,CNX 100,      5578.90,      5592.40,      5617.80,      5576.30,      5604.95,26.05
,Nifty Midcap 50,      1933.00,      1941.05,      1967.95,      1937.70,      1964.25,31.25
,CNX Realty,       223.95,       224.45,       236.90,       224.05,       236.05,12.1
,CNX Infra,      2209.80,      2214.00,      2250.80,      2214.00,      2244.55,34.75
,CNX Energy,      7551.50,      7593.65,      7657.10,      7553.20,      7595.55,44.05
,CNX FMCG,     15321.90,     15310.30,     15354.65,     15254.90,     15323.75,1.85
,CNX MNC,      5092.15,      5089.30,      5128.40,      5077.75,      5119.35,27.2
,CNX Pharma,      5953.00,      5976.05,      6041.25,      5965.45,      6007.30,54.3
,CNX PSE,      2747.90,      2754.65,      2778.20,      2747.10,      2753.10,5.2
,CNX PSU Bank,      3048.00,      3066.35,      3090.05,      3043.05,      3084.55,36.55
,CNX Service,      7017.75,      7035.80,      7071.20,      7015.90,      7057.20,39.45
,India VIX,        15.22,        15.22,        15.85,        14.80,        14.85,-.37
,CNX AUTO,      4224.60,      4215.10,      4216.30,      4174.85,      4195.00,-29.6
,CNX Metal,      2232.10,      2242.05,      2242.90,      2205.40,      2219.70,-12.4
,CNX Media,      1631.50,      1647.30,      1668.30,      1639.60,      1655.25,23.75
,CNX Smallcap,      3133.65,      3136.35,      3205.30,      3136.35,      3203.45,69.8
,CNX 200,      2852.45,      2860.10,      2873.40,      2852.60,      2868.05,15.6
,CNX Dividend Oppt,      1579.00,      1582.25,      1591.60,      1580.55,      1587.70,8.7
,CNX Commodities,      2182.75,      2190.20,      2200.30,      2177.00,      2189.70,6.95
,CNX Consumption,      2188.20,      2186.30,      2199.60,      2180.70,      2196.15,7.95
,CNX Finance,      4732.25,      4750.10,      4770.45,      4718.40,      4749.50,17.25
,Nifty Dividend,        87.84,          .00,          .00,          .00,        87.84,0

,ADVANCES,1145
,DECLINES,373
,UNCHANGED,42

,Total securities that have hit their price bands today,218

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,DLF,EQ,       234.70,       253.20,7.88,335.83
,INFY,EQ,      2889.35,      2944.20,1.9,272.58
,SBIN,EQ,      2072.75,      2090.60,0.86,232.6
,ICICIBANK,EQ,      1045.20,      1051.55,0.61,217.93
,MCDOWELL-N,EQ,      1899.15,      1889.50,-0.51,196.62
,LT,EQ,      1366.20,      1398.65,2.38,168.49
,HDIL,EQ,        46.20,        50.00,8.23,151.96
,RELIANCE,EQ,       772.90,       778.75,0.76,148.42
,TATAMOTORS,EQ,       269.15,       265.50,-1.36,143.19
,REPCOHOME,EQ,       172.00,       161.80,-5.93,132.77
,AXISBANK,EQ,      1300.70,      1314.90,1.09,128.61
,HDFC,EQ,       826.25,       825.20,-0.13,125.14
,RELCAPITAL,EQ,       312.70,       322.15,3.02,121.08
,STER,EQ,        93.70,        89.50,-4.48,110.52
,RELINFRA,EQ,       324.45,       338.75,4.41,109.2
,HDFCBANK,EQ,       625.35,       623.85,-0.24,104.82
,JETAIRWAYS,EQ,       517.90,       539.95,4.26,102.53
,TATASTEEL,EQ,       312.85,       314.70,0.59,102.32
,JPASSOCIAT,EQ,        65.45,        67.95,3.82,100.09
,CAIRN,EQ,       272.45,       286.05,4.99,86.45
,JSWSTEEL,EQ,       672.35,       663.20,-1.36,83.33
,ITC,EQ,       309.45,       307.20,-0.73,83.14
,UNITECH,EQ,        23.55,        25.00,6.16,80.67
,TCS,EQ,      1575.75,      1556.85,-1.2,75.65
,NTPC,EQ,       141.95,       143.50,1.09,75.28

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,DLF,EQ,       253.20,       234.70,7.88
,CAIRN,EQ,       286.05,       272.45,4.99
,RELINFRA,EQ,       338.75,       324.45,4.41
,JPASSOCIAT,EQ,        67.95,        65.45,3.82
,DRREDDY,EQ,      1825.90,      1766.50,3.36

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,SESAGOA,EQ,       151.35,       155.50,-2.67
,JINDALSTEL,EQ,       342.45,       347.75,-1.52
,NMDC,EQ,       135.15,       137.10,-1.42
,TATAMOTORS,EQ,       265.50,       269.15,-1.36
,COALINDIA,EQ,       305.10,       309.10,-1.29

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.75,                  1434840.60,46677
,3IINFOTECH,EQ,         6.10,                  5676839.10,944273
,3MINDIA,EQ,      3698.55,                   627847.30,169
,A2ZMES,EQ,        20.10,                  2082461.65,103647
,AANJANEYA,EQ,       126.90,                    65988.00,520
,AARTIDRUGS,EQ,       136.80,                    84699.20,619
,AARTIIND,EQ,        79.85,                  1141831.45,14276
,AARVEEDEN,EQ,        36.00,                    73083.70,2004
,ABAN,EQ,       273.60,                 50937224.70,187049
,ABB,EQ,       511.15,                 47862590.65,94075
,ABBOTINDIA,EQ,      1346.45,                   720711.95,535
,ABCIL,EQ,        81.30,                   139635.45,1748
,ABGSHIP,EQ,       328.30,                 24611134.45,75070
,ABHISHEK,BE,         4.40,                     1078.00,245
,ACCELYA,EQ,       362.80,                  2962530.35,8309
,ACE,EQ,        12.30,                  2218642.10,179221
,ACROPETAL,EQ,         6.40,                   242589.20,38244
,ADANIPOWER,EQ,        42.20,                 61242355.75,1464569
,ADFFOODS,EQ,        48.60,                   306095.60,6381
,ADHUNIK,EQ,        30.95,                  1583775.45,51419
,ADORWELD,EQ,       113.85,                    79371.95,695
,ADSL,EQ,        10.80,                   198562.05,18571
,ADVANIHOTR,EQ,        29.50,                     3127.00,106
,ADVANTA,EQ,      1000.85,                  2908673.00,2891
,AEGISCHEM,EQ,       131.15,                  3172147.45,24216
,AFL,EQ,        26.80,                     5479.00,215
,AFTEK,EQ,         5.30,                  1764122.80,337076
,AGCNET,EQ,       118.35,                   221056.80,1902
,AGRODUTCH,EQ,         3.00,                    21874.75,7510
,AHLEAST,EQ,       188.00,                    74486.10,385
,AHLUCONT,EQ,        25.25,                    15191.25,630
,AHLWEST,EQ,        98.80,                     6987.80,72
,AHMEDFORGE,EQ,       108.50,                   134243.25,1247
,AIAENG,EQ,       313.10,                   377820.30,1194
,AIL,EQ,       331.15,                  5069324.50,15415
,AJANTPHARM,EQ,       655.80,                 13622346.85,20673
,AJMERA,EQ,        97.40,                   114460.60,1173
,AKSHOPTFBR,EQ,        17.15,                   527322.25,30930
,AKZOINDIA,EQ,      1020.30,                   622949.25,610
,ALBK,EQ,       129.50,                168481627.30,1315112
,ALCHEM,EQ,        46.65,                   112218.25,2431
,ALEMBICLTD,EQ,        16.20,                   308157.35,19087
,ALKALI,EQ,        18.85,                    48177.70,2590
,ALKYLAMINE,EQ,       150.00,                     4683.15,31
,ALLCARGO,EQ,       117.85,                    80389.05,689
,ALLSEC,EQ,        47.00,                   184382.65,3881
,ALMONDZ,EQ,         7.60,                        7.60,1
,ALOKTEXT,EQ,         8.85,                 43123372.50,5003130
,ALPA,EQ,         8.40,                   156511.40,18440
,ALPHAGEO,EQ,        34.55,                    33584.45,969
,ALPSINDUS,EQ,         1.45,                    19142.75,13295
,ALSTOMT&D,EQ,       149.65,                   741825.80,4986
,AMAR,EQ,        15.40,                   128679.30,8367
,AMARAJABAT,EQ,       282.60,                 74287183.65,262136
,AMARJOTHI,EQ,        50.40,                     1711.60,33
,AMDIND,EQ,        10.50,                    74599.55,7290
,AMLSTEEL,EQ,         5.25,                      525.00,100
,AMRUTANJAN,EQ,       123.10,                  3332034.55,27539
,AMTEKAUTO,EQ,        65.05,                  5400707.25,83190
,AMTEKINDIA,EQ,        72.10,                  2438774.45,33489
,AMTL,EQ,        21.20,                    28242.50,1350
,ANANTRAJ,EQ,        64.75,                 40822523.20,633618
,ANDHRABANK,EQ,        96.30,                 67294324.00,700706
,ANDHRACEMT,EQ,         7.05,                    18515.00,2560
,ANDHRSUGAR,EQ,       134.20,                   811810.25,6031
,ANGIND,EQ,         8.30,                     3362.80,402
,ANIKINDS,EQ,        19.90,                   501449.20,25180
,ANKURDRUGS,EQ,         7.80,                    21466.40,2779
