,08-APR-2013
The Nifty witnessed an intraday movement of about 32.15 points.The closing index was 0.19 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 7156.41
, Traded Quantity (in Lakhs), 4442.43
, Number of Trades, 4356818
, Total Market Capitalisation (Rs. Crores), 6186163.89

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      5553.25,      5550.50,      5569.20,      5537.05,      5542.95,-10.3
,CNX IT,      7047.35,      7027.90,      7057.00,      6968.35,      6977.10,-70.25
,CNX Nifty Junior,     11168.10,     11167.00,     11239.70,     11167.00,     11205.70,37.6
,BANK Nifty,     11098.95,     11075.85,     11133.85,     11002.10,     11012.65,-86.3
,CNX Midcap,      7422.75,      7429.35,      7468.90,      7422.20,      7429.60,6.85
,CNX 500,      4366.65,      4365.65,      4381.30,      4358.50,      4361.15,-5.5
,CNX 100,      5466.65,      5464.25,      5484.40,      5455.55,      5460.75,-5.9
,Nifty Midcap 50,      1947.00,      1947.50,      1963.25,      1942.50,      1946.55,-.45
,CNX Realty,       222.30,       223.15,       224.90,       221.25,       222.15,-.15
,CNX Infra,      2175.20,      2173.45,      2191.45,      2173.45,      2184.85,9.65
,CNX Energy,      7611.45,      7601.95,      7676.90,      7601.95,      7652.20,40.75
,CNX FMCG,     14826.60,     14852.35,     14977.95,     14704.55,     14945.60,119
,CNX MNC,      5137.75,      5137.20,      5161.45,      5122.10,      5147.35,9.6
,CNX Pharma,      6132.00,      6120.30,      6219.15,      6108.50,      6185.35,53.35
,CNX PSE,      2752.30,      2754.25,      2775.05,      2754.25,      2762.45,10.15
,CNX PSU Bank,      3039.15,      3041.25,      3061.20,      2986.20,      2991.50,-47.65
,CNX Service,      6807.30,      6791.90,      6825.90,      6758.15,      6765.75,-41.55
,India VIX,        16.16,        15.67,        16.96,        15.67,        16.77,.61
,CNX AUTO,      4116.45,      4131.90,      4157.20,      4096.30,      4134.10,17.65
,CNX Metal,      2187.55,      2191.50,      2200.15,      2169.85,      2173.80,-13.75
,CNX Media,      1610.15,      1612.75,      1621.10,      1583.20,      1587.75,-22.4
,CNX Smallcap,      3176.65,      3179.65,      3200.35,      3155.90,      3159.30,-17.35
,CNX 200,      2800.20,      2799.20,      2809.75,      2794.10,      2796.30,-3.9
,CNX Dividend Oppt,      1568.55,      1571.15,      1577.00,      1561.65,      1564.80,-3.75
,CNX Commodities,      2164.10,      2164.30,      2177.45,      2164.10,      2169.30,5.2
,CNX Consumption,      2147.65,      2149.75,      2164.90,      2149.65,      2163.30,15.65
,CNX Finance,      4578.65,      4568.85,      4601.55,      4539.40,      4543.25,-35.4
,Nifty Dividend,          .00,          .00,          .00,          .00,          .00,0

,ADVANCES,547
,DECLINES,735
,UNCHANGED,77

,Total securities that have hit their price bands today,107

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,MCDOWELL-N,EQ,      1755.15,      1797.05,2.39,346.93
,WIPRO,EQ,       454.60,       448.80,-1.28,272.67
,SBIN,EQ,      2056.70,      2033.70,-1.12,221.59
,ICICIBANK,EQ,       998.15,       989.10,-0.91,219.4
,RCOM,EQ,        63.00,        65.85,4.52,171.7
,LT,EQ,      1349.80,      1325.65,-1.79,161.6
,RELIANCE,EQ,       780.10,       789.40,1.19,160.02
,RELCAPITAL,EQ,       309.95,       314.65,1.52,152.58
,ITC,EQ,       291.30,       292.85,0.53,145.65
,DLF,EQ,       232.80,       233.50,0.3,135.85
,HDFCBANK,EQ,       620.95,       624.45,0.56,134.9
,INFY,EQ,      2865.85,      2831.90,-1.18,132.08
,TATAMOTORS,EQ,       255.20,       256.70,0.59,121.6
,AXISBANK,EQ,      1229.55,      1203.20,-2.14,118.27
,BHARTIARTL,EQ,       270.25,       280.60,3.83,110.15
,BHEL,EQ,       177.80,       182.50,2.64,109.72
,MARUTI,EQ,      1406.30,      1420.15,0.98,109.72
,RELINFRA,EQ,       330.80,       341.60,3.26,103.49
,TATASTEEL,EQ,       309.20,       305.90,-1.07,102.77
,HDFC,EQ,       770.80,       758.20,-1.63,90.05
,HINDUNILVR,EQ,       471.70,       477.95,1.32,89
,DRREDDY,EQ,      1911.55,      1936.70,1.32,86.85
,KOTAKBANK,EQ,       636.75,       630.10,-1.04,85.74
,JPASSOCIAT,EQ,        64.10,        64.65,0.86,85.37
,ONGC,EQ,       314.30,       312.85,-0.46,82.56

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BHARTIARTL,EQ,       280.60,       270.25,3.83
,RELINFRA,EQ,       341.60,       330.80,3.26
,BHEL,EQ,       182.50,       177.80,2.64
,AMBUJACEM,EQ,       168.35,       164.75,2.19
,CIPLA,EQ,       395.00,       386.85,2.11

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ASIANPAINT,EQ,      4622.45,      4767.55,-3.04
,SESAGOA,EQ,       145.95,       149.95,-2.67
,RANBAXY,EQ,       440.25,       450.10,-2.19
,AXISBANK,EQ,      1203.20,      1229.55,-2.14
,PNB,EQ,       705.65,       719.75,-1.96

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.55,                   861451.30,28216
,3IINFOTECH,EQ,         5.80,                  2099848.45,356588
,3MINDIA,EQ,      3450.45,                   377378.00,109
,A2ZMES,EQ,        21.20,                  1427759.45,67638
,AANJANEYA,EQ,        98.35,                   267118.60,2716
,AARTIDRUGS,EQ,       158.20,                   252364.15,1603
,AARTIIND,EQ,        80.55,                   341860.20,4257
,AARVEEDEN,EQ,        35.90,                     9701.25,273
,ABAN,EQ,       267.15,                 46740118.55,172986
,ABB,EQ,       486.90,                 10368632.85,21111
,ABBOTINDIA,EQ,      1364.85,                 69985618.35,51821
,ABCIL,EQ,        80.00,                   207572.75,2595
,ABGSHIP,EQ,       324.50,                  5103068.40,15730
,ACCELYA,EQ,       358.55,                  1486001.95,4200
,ACE,EQ,        13.35,                 16012539.50,1210624
,ACROPETAL,EQ,         6.20,                   226496.15,36307
,ADANIPOWER,EQ,        46.55,                125941107.50,2728793
,ADFFOODS,EQ,        50.00,                   280164.15,5625
,ADHUNIK,EQ,        30.85,                   616769.95,19780
,ADORWELD,EQ,       112.40,                   134413.85,1185
,ADSL,EQ,        12.60,                   208457.65,16677
,ADVANTA,EQ,       949.35,                  4235221.85,4404
,AEGISCHEM,EQ,       124.50,                   998114.85,7919
,AFL,EQ,        30.45,                  1977174.30,65529
,AFTEK,EQ,         5.40,                   440157.05,79206
,AGCNET,EQ,       110.90,                    60517.95,542
,AGRODUTCH,EQ,         2.70,                    22288.90,8155
,AHLUCONT,EQ,        33.90,                   653034.20,19723
,AHLWEST,EQ,       100.00,                    17505.80,175
,AHMEDFORGE,EQ,       101.05,                   153778.70,1509
,AIAENG,EQ,       309.25,                   151677.95,491
,AIL,EQ,       319.70,                   811962.40,2535
,AJANTPHARM,EQ,       763.10,                110884628.70,144025
,AJMERA,EQ,        95.50,                    57995.10,604
,AKSHOPTFBR,EQ,        17.55,                   778907.65,44367
,AKZOINDIA,EQ,      1001.05,                  8451997.85,8371
,ALBK,EQ,       125.50,                181654432.40,1430893
,ALCHEM,EQ,        49.45,                  1686420.05,33793
,ALEMBICLTD,EQ,        17.05,                  1889317.00,109834
,ALKALI,EQ,        19.05,                    61792.05,3194
,ALKYLAMINE,EQ,       146.55,                    27683.50,185
,ALLCARGO,EQ,       116.80,                   182001.45,1550
,ALOKTEXT,EQ,         9.00,                 24332524.55,2728045
,ALPHAGEO,EQ,        38.70,                    10199.65,269
,ALPSINDUS,EQ,         1.45,                    16906.20,10882
,ALSTOMT&D,EQ,       151.60,                  1228237.90,8194
,AMAR,EQ,        15.60,                   310077.60,19718
,AMARAJABAT,EQ,       260.60,                 29221473.60,111400
,AMRUTANJAN,EQ,       124.05,                   902892.95,7251
,AMTEKAUTO,EQ,        60.85,                  4384228.80,71864
,AMTEKINDIA,EQ,        66.70,                  1120423.30,16776
,ANANTRAJ,EQ,        58.45,                 23651556.00,398679
,ANDHRABANK,EQ,        92.90,                 58749173.90,626509
,ANDHRACEMT,EQ,         7.60,                    23010.25,3105
,ANDHRSUGAR,EQ,       134.60,                  1193021.40,8731
,ANIKINDS,EQ,        18.25,                   333425.30,17657
,ANKURDRUGS,EQ,         8.00,                    12273.95,1540
,ANSALAPI,EQ,        23.10,                  1011920.05,43392
,ANSALHSG,EQ,        55.80,                   454923.40,8211
,ANTGRAPHIC,EQ,          .25,                    20959.80,104022
,APARINDS,EQ,       113.55,                   462573.60,4067
,APCOTEXIND,EQ,       207.35,                    99782.95,478
,APLAPOLLO,EQ,       168.95,                    64765.90,383
,APLLTD,EQ,       114.10,                  9503495.60,82010
,APOLLOTYRE,EQ,        83.15,                 50229789.20,604084
,APPAPER,EQ,       191.40,                  1031081.75,5393
,APTECHT,EQ,        44.75,                  5978396.60,133289
,AQUA,EQ,         3.00,                   180198.25,60195
