,10-APR-2013
The Nifty witnessed an intraday movement of about 92.05 points.The closing index was 1.16 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 9616.09
, Traded Quantity (in Lakhs), 5993.59
, Number of Trades, 5282278
, Total Market Capitalisation (Rs. Crores), 6170556.73

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      5495.10,      5536.25,      5569.25,      5477.20,      5558.70,63.6
,CNX IT,      6905.70,      6977.80,      7058.25,      6939.65,      7042.95,137.25
,CNX Nifty Junior,     11115.70,     11142.20,     11237.00,     11046.40,     11222.20,106.5
,BANK Nifty,     10929.15,     11009.45,     11143.60,     10888.75,     11122.25,193.1
,CNX Midcap,      7370.65,      7402.30,      7444.85,      7303.80,      7434.80,64.15
,CNX 500,      4323.40,      4349.10,      4370.45,      4305.00,      4366.45,43.05
,CNX 100,      5414.10,      5450.50,      5483.90,      5394.85,      5475.15,61.05
,Nifty Midcap 50,      1925.55,      1936.25,      1953.95,      1905.95,      1951.70,26.15
,CNX Realty,       219.35,       220.70,       222.35,       216.55,       222.10,2.75
,CNX Infra,      2166.40,      2176.05,      2212.20,      2154.95,      2207.10,40.7
,CNX Energy,      7541.85,      7563.95,      7588.85,      7485.00,      7568.65,26.8
,CNX FMCG,     14717.50,     14839.35,     14839.35,     14481.65,     14634.25,-83.25
,CNX MNC,      5113.55,      5149.25,      5149.25,      5069.75,      5116.00,2.45
,CNX Pharma,      6147.00,      6194.35,      6194.35,      6103.30,      6167.95,20.95
,CNX PSE,      2724.20,      2730.15,      2736.75,      2692.35,      2732.50,8.3
,CNX PSU Bank,      2928.75,      2943.85,      2983.10,      2908.25,      2977.65,48.9
,CNX Service,      6709.80,      6758.55,      6865.60,      6730.75,      6852.65,142.85
,India VIX,        16.82,        16.82,        17.43,        16.03,        16.49,-.33
,CNX AUTO,      4140.15,      4152.90,      4177.75,      4098.05,      4174.50,34.35
,CNX Metal,      2162.70,      2177.15,      2184.00,      2135.95,      2170.10,7.4
,CNX Media,      1586.60,      1587.70,      1607.65,      1576.60,      1603.95,17.35
,CNX Smallcap,      3116.70,      3123.60,      3142.50,      3100.55,      3138.25,21.55
,CNX 200,      2772.05,      2789.85,      2805.30,      2760.20,      2801.40,29.35
,CNX Dividend Oppt,      1548.20,      1550.80,      1553.45,      1532.85,      1551.75,3.55
,CNX Commodities,      2157.80,      2169.20,      2171.30,      2134.15,      2166.20,8.4
,CNX Consumption,      2142.20,      2149.30,      2157.85,      2127.60,      2155.55,13.35
,CNX Finance,      4513.15,      4545.45,      4624.75,      4511.60,      4613.45,100.3
,Nifty Dividend,          .00,          .00,          .00,          .00,          .00,0

,ADVANCES,682
,DECLINES,656
,UNCHANGED,81

,Total securities that have hit their price bands today,119

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RCOM,EQ,        64.50,        73.20,13.49,419.59
,ICICIBANK,EQ,       990.05,      1004.30,1.44,409.98
,SBIN,EQ,      1988.25,      2023.15,1.76,379.68
,MCDOWELL-N,EQ,      1791.65,      1818.25,1.48,305.27
,HDFC,EQ,       752.95,       783.15,4.01,255.85
,ITC,EQ,       287.20,       284.85,-0.82,254.77
,AXISBANK,EQ,      1203.20,      1239.30,3,246.3
,LT,EQ,      1320.30,      1353.90,2.54,243.1
,HDFCBANK,EQ,       620.60,       632.00,1.84,237.17
,INFY,EQ,      2766.35,      2815.65,1.78,229.48
,RELIANCE,EQ,       776.95,       779.40,0.32,216.75
,RELCAPITAL,EQ,       309.20,       320.05,3.51,211.28
,HEROMOTOCO,EQ,      1465.10,      1464.45,-0.04,208.39
,TATAMOTORS,EQ,       262.85,       268.00,1.96,193.41
,DLF,EQ,       230.00,       235.05,2.2,192.5
,TATASTEEL,EQ,       304.40,       305.25,0.28,173.77
,TCS,EQ,      1497.40,      1530.45,2.21,155.35
,RELINFRA,EQ,       328.80,       344.20,4.68,147.63
,ONGC,EQ,       303.80,       302.90,-0.3,123.26
,INDUSINDBK,EQ,       390.25,       387.15,-0.79,108.12
,JPASSOCIAT,EQ,        64.05,        66.10,3.2,103.52
,WIPRO,EQ,       393.70,       402.25,2.17,97.88
,BHARTIARTL,EQ,       277.00,       281.65,1.68,97.46
,HINDUNILVR,EQ,       472.15,       467.95,-0.89,95.37
,YESBANK,EQ,       424.55,       428.45,0.92,95.11

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,RELINFRA,EQ,       344.20,       328.80,4.68
,HDFC,EQ,       783.15,       752.95,4.01
,HCLTECH,EQ,       765.00,       740.50,3.31
,JPASSOCIAT,EQ,        66.10,        64.05,3.2
,KOTAKBANK,EQ,       638.20,       618.75,3.14

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,JINDALSTEL,EQ,       328.50,       332.65,-1.25
,SUNPHARMA,EQ,       857.45,       867.80,-1.19
,HINDUNILVR,EQ,       467.95,       472.15,-0.89
,DRREDDY,EQ,      1899.70,      1916.50,-0.88
,ITC,EQ,       284.85,       287.20,-0.82

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.55,                  1451029.05,47885
,3IINFOTECH,EQ,         5.65,                  4332004.50,771053
,3MINDIA,EQ,      3375.50,                  1564817.95,461
,A2ZMES,EQ,        20.40,                  5287067.10,263804
,AANJANEYA,EQ,        88.80,                   108424.80,1221
,AARTIDRUGS,EQ,       159.50,                  1063253.75,6633
,AARTIIND,EQ,        81.25,                   907069.75,11242
,AARVEEDEN,EQ,        34.75,                     7354.85,213
,ABAN,EQ,       263.90,                 37894135.95,143963
,ABB,EQ,       473.55,                 17251615.60,36428
,ABBOTINDIA,EQ,      1365.85,                   896304.55,657
,ABCIL,EQ,        77.95,                   184237.75,2373
,ABGSHIP,EQ,       328.95,                 22016309.40,67312
,ABHISHEK,BE,         4.50,                     2250.00,500
,ACCELYA,EQ,       347.25,                  3793602.70,10909
,ACE,EQ,        12.90,                  1261931.65,98682
,ACROPETAL,EQ,         6.65,                   412021.50,65138
,ADANIPOWER,EQ,        46.75,                108426412.40,2341901
,ADFFOODS,EQ,        49.50,                   178639.10,3580
,ADHUNIK,EQ,        28.80,                  2612480.40,89820
,ADORWELD,EQ,       113.05,                   431263.95,3836
,ADSL,EQ,        12.30,                   143968.60,11574
,ADVANTA,EQ,       925.50,                  3525595.05,3786
,AEGISCHEM,EQ,       123.80,                   599642.60,4822
,AFL,EQ,        31.15,                   725185.15,23742
,AFTEK,EQ,         5.30,                   401688.60,76123
,AGCNET,EQ,       108.30,                    59387.05,548
,AGRODUTCH,EQ,         2.65,                    23729.95,8560
,AHLEAST,EQ,       153.20,                     7660.00,50
,AHLUCONT,EQ,        32.25,                   122968.60,3826
,AHLWEST,EQ,        97.55,                    46345.50,469
,AHMEDFORGE,EQ,       100.45,                   568902.75,5703
,AIAENG,EQ,       315.25,                 39542653.70,125533
,AIL,EQ,       312.55,                 14708696.40,48117
,AJANTPHARM,EQ,       680.95,                340111885.65,501841
,AJMERA,EQ,        94.40,                   218786.80,2306
,AKSHOPTFBR,EQ,        18.10,                   699469.90,39009
,AKZOINDIA,EQ,       999.45,                  6771554.20,6772
,ALBK,EQ,       125.40,                222342283.40,1782459
,ALCHEM,EQ,        47.30,                   262253.55,5519
,ALEMBICLTD,EQ,        16.80,                   674786.50,40409
,ALKALI,EQ,        20.60,                   156399.15,7604
,ALKYLAMINE,EQ,       144.05,                    61091.45,405
,ALLCARGO,EQ,       113.90,                   318257.90,2807
,ALLSEC,EQ,        52.35,                    44607.50,850
,ALOKTEXT,EQ,         9.15,                 37520348.65,4135146
,ALPHAGEO,EQ,        37.85,                    20073.70,531
,ALPSINDUS,EQ,         1.40,                    10384.00,7270
,ALSTOMT&D,EQ,       151.95,                   996011.85,6650
,AMAR,EQ,        15.95,                  1089293.90,69124
,AMARAJABAT,EQ,       253.45,                 18626835.85,73441
,AMBIKCO,EQ,       197.00,                   197341.00,1002
,AMRUTANJAN,EQ,       125.05,                  1084020.15,8759
,AMTEKAUTO,EQ,        62.25,                 13639221.05,220908
,AMTEKINDIA,EQ,        75.75,                 28956140.50,416804
,AMTL,EQ,        19.50,                     9750.00,500
,ANANTRAJ,EQ,        59.20,                 35815956.45,614713
,ANDHRABANK,EQ,        92.00,                106483278.05,1163393
,ANDHRACEMT,EQ,         7.20,                    56344.20,7809
,ANDHRSUGAR,EQ,       131.00,                   777057.65,5921
,ANIKINDS,EQ,        17.40,                   924916.70,53396
,ANKURDRUGS,EQ,         7.85,                    35375.00,4567
,ANSALAPI,EQ,        22.80,                  1848316.30,80328
,ANSALHSG,EQ,        21.30,                  5297012.10,242039
,ANTGRAPHIC,EQ,          .25,                     4757.50,19230
,APARINDS,EQ,       110.65,                   822436.65,7426
,APCOTEXIND,EQ,       210.00,                    75755.65,363
