,11-APR-2013
The Nifty witnessed an intraday movement of about 67.8 points.The closing index was 0.64 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 10387.71
, Traded Quantity (in Lakhs), 5756.53
, Number of Trades, 5382805
, Total Market Capitalisation (Rs. Crores), 6187325.29

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      5558.70,      5601.65,      5610.65,      5542.85,      5594.00,35.3
,CNX IT,      7042.95,      7125.80,      7221.70,      7066.30,      7200.35,157.4
,CNX Nifty Junior,     11222.20,     11253.75,     11293.85,     11157.40,     11252.15,29.95
,BANK Nifty,     11122.25,     11220.50,     11341.85,     11154.05,     11306.50,184.25
,CNX Midcap,      7434.80,      7459.50,      7487.40,      7395.00,      7425.55,-9.25
,CNX 500,      4366.45,      4393.65,      4397.80,      4353.70,      4388.05,21.6
,CNX 100,      5475.15,      5513.40,      5520.85,      5458.90,      5506.90,31.75
,Nifty Midcap 50,      1951.70,      1963.10,      1970.50,      1931.85,      1950.80,-.9
,CNX Realty,       222.10,       224.15,       228.05,       222.50,       227.60,5.5
,CNX Infra,      2207.10,      2216.95,      2219.05,      2182.80,      2207.85,.75
,CNX Energy,      7568.65,      7599.20,      7604.10,      7457.20,      7526.80,-41.85
,CNX FMCG,     14634.25,     14752.20,     14785.20,     14611.90,     14697.35,63.1
,CNX MNC,      5116.00,      5145.30,      5159.75,      5112.25,      5144.75,28.75
,CNX Pharma,      6167.95,      6196.20,      6243.90,      6175.60,      6231.25,63.3
,CNX PSE,      2732.50,      2739.65,      2740.65,      2704.70,      2727.90,-4.6
,CNX PSU Bank,      2977.65,      2994.45,      3000.70,      2940.25,      2985.40,7.75
,CNX Service,      6852.65,      6895.60,      6925.65,      6834.75,      6911.15,58.5
,India VIX,        16.49,        16.49,        17.59,        15.99,        16.97,.48
,CNX AUTO,      4174.50,      4221.40,      4234.35,      4174.65,      4206.90,32.4
,CNX Metal,      2170.10,      2187.90,      2191.60,      2143.55,      2150.30,-19.8
,CNX Media,      1603.95,      1601.80,      1613.95,      1593.70,      1607.40,3.45
,CNX Smallcap,      3138.25,      3150.30,      3162.95,      3132.60,      3140.50,2.25
,CNX 200,      2801.40,      2820.10,      2823.00,      2792.55,      2815.85,14.45
,CNX Dividend Oppt,      1551.75,      1557.30,      1557.95,      1540.65,      1549.60,-2.15
,CNX Commodities,      2166.20,      2177.45,      2179.80,      2141.60,      2151.65,-14.55
,CNX Consumption,      2155.55,      2162.20,      2164.15,      2140.30,      2155.85,.3
,CNX Finance,      4613.45,      4636.45,      4654.10,      4592.45,      4639.45,26
,Nifty Dividend,          .00,          .00,          .00,          .00,          .00,0

,ADVANCES,711
,DECLINES,628
,UNCHANGED,79

,Total securities that have hit their price bands today,104

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,INFY,EQ,      2815.65,      2916.70,3.59,614.52
,ICICIBANK,EQ,      1004.30,      1040.20,3.57,568.04
,RCOM,EQ,        73.20,        75.40,3.01,428.84
,HDFCBANK,EQ,       632.00,       639.25,1.15,399.66
,TATAMOTORS,EQ,       268.00,       278.15,3.79,392.68
,SBIN,EQ,      2023.15,      2042.35,0.95,382.41
,DLF,EQ,       235.05,       246.80,5,310.44
,HDFC,EQ,       783.15,       763.60,-2.5,300.39
,ITC,EQ,       284.85,       285.30,0.16,291.58
,MCDOWELL-N,EQ,      1818.25,      1872.05,2.96,284
,AXISBANK,EQ,      1239.30,      1252.15,1.04,241.93
,LT,EQ,      1353.90,      1379.60,1.9,223.32
,RELIANCE,EQ,       779.40,       771.10,-1.06,201.51
,TATASTEEL,EQ,       305.25,       298.50,-2.21,191.74
,RELCAPITAL,EQ,       320.05,       316.85,-1,177.53
,TCS,EQ,      1530.45,      1536.90,0.42,172.53
,RELINFRA,EQ,       344.20,       340.35,-1.12,134.7
,ONGC,EQ,       302.90,       307.25,1.44,130.49
,JPASSOCIAT,EQ,        66.10,        67.45,2.04,124.74
,BHARTIARTL,EQ,       281.65,       275.20,-2.29,113.79
,HINDUNILVR,EQ,       467.95,       471.65,0.79,102.99
,HCLTECH,EQ,       765.00,       790.05,3.27,102.32
,DRREDDY,EQ,      1899.70,      1885.15,-0.77,101.99
,INDUSINDBK,EQ,       387.15,       401.20,3.63,101.69
,LUPIN,EQ,       624.20,       646.00,3.49,96.68

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,DLF,EQ,       246.80,       235.05,5
,TATAMOTORS,EQ,       278.15,       268.00,3.79
,INDUSINDBK,EQ,       401.20,       387.15,3.63
,INFY,EQ,      2916.70,      2815.65,3.59
,ICICIBANK,EQ,      1040.20,      1004.30,3.57

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HDFC,EQ,       763.60,       783.15,-2.5
,BHARTIARTL,EQ,       275.20,       281.65,-2.29
,TATASTEEL,EQ,       298.50,       305.25,-2.21
,GRASIM,EQ,      2686.45,      2741.90,-2.02
,NTPC,EQ,       140.25,       142.80,-1.79

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.50,                   700376.30,22874
,3IINFOTECH,EQ,         5.60,                  2676328.35,472876
,3MINDIA,EQ,      3415.55,                   113066.25,33
,A2ZMES,EQ,        20.05,                  2945126.55,145821
,AANJANEYA,EQ,        84.40,                   207624.00,2460
,AARTIDRUGS,EQ,       156.25,                   533918.15,3380
,AARTIIND,EQ,        81.80,                   190558.60,2339
,AARVEEDEN,EQ,        34.10,                     2229.70,64
,ABAN,EQ,       259.30,                 60431720.75,231014
,ABB,EQ,       476.35,                 11419407.35,23853
,ABBOTINDIA,EQ,      1376.55,                  2739267.40,1984
,ABCIL,EQ,        77.25,                    17568.70,226
,ABGSHIP,EQ,       327.35,                  4695810.75,14353
,ACCELYA,EQ,       350.90,                  1915285.60,5463
,ACE,EQ,        12.50,                  2362789.70,188725
,ACROPETAL,EQ,         6.70,                    82977.85,12418
,ADANIPOWER,EQ,        45.95,                 75796312.25,1649094
,ADFFOODS,EQ,        49.80,                   416924.05,8389
,ADHUNIK,EQ,        28.50,                  1913209.85,66291
,ADORWELD,EQ,       114.30,                   189424.40,1658
,ADSL,EQ,        12.75,                   284377.20,22113
,ADVANIHOTR,EQ,        29.40,                      882.00,30
,ADVANTA,EQ,       943.35,                   675638.70,717
,AEGISCHEM,EQ,       125.30,                   700367.05,5577
,AFL,EQ,        31.70,                   400667.15,12727
,AFTEK,EQ,         5.35,                   209543.70,38965
,AGCNET,EQ,       109.90,                    66718.80,606
,AGRODUTCH,EQ,         2.60,                     8375.50,3103
,AHLUCONT,EQ,        30.60,                   306640.85,9839
,AHLWEST,EQ,        97.00,                   202957.05,2036
,AHMEDFORGE,EQ,       103.55,                   269787.00,2623
,AIAENG,EQ,       312.65,                   244930.70,784
,AIL,EQ,       308.60,                  1496698.85,4814
,AJANTPHARM,EQ,       696.20,                175755575.35,251747
,AJMERA,EQ,        97.35,                   668674.15,6855
,AKSHOPTFBR,EQ,        17.65,                   687454.75,39028
,AKZOINDIA,EQ,       989.10,                  1658275.40,1669
,ALBK,EQ,       124.00,                178551980.50,1436478
,ALCHEM,EQ,        48.25,                   387188.35,7852
,ALEMBICLTD,EQ,        17.05,                   313367.40,18364
,ALKALI,EQ,        21.30,                   275162.30,12959
,ALKYLAMINE,EQ,       150.00,                    75044.10,507
,ALLCARGO,EQ,       117.80,                   109695.50,938
,ALOKTEXT,EQ,         9.35,                 32539683.45,3517277
,ALPHAGEO,EQ,        38.75,                      226.20,6
,ALPSINDUS,EQ,         1.30,                    12771.90,9584
,ALSTOMT&D,EQ,       149.90,                  1168024.20,7788
,AMAR,EQ,        15.80,                   381373.20,23992
,AMARAJABAT,EQ,       247.10,                 38335008.35,155531
,AMBIKCO,EQ,       200.75,                   195707.70,987
,AMDIND,EQ,        10.30,                    20642.50,1975
,AMRUTANJAN,EQ,       125.75,                   870043.15,6883
,AMTEKAUTO,EQ,        64.75,                 34983818.25,545799
,AMTEKINDIA,EQ,        81.75,                 47039180.70,599597
,AMTL,EQ,        19.50,                      975.00,50
,ANANTRAJ,EQ,        58.70,                 34373662.60,580506
,ANDHRABANK,EQ,        90.65,                 88408039.50,972321
,ANDHRACEMT,EQ,         7.30,                    30568.70,4309
,ANDHRSUGAR,EQ,       131.90,                   704817.75,5341
,ANIKINDS,EQ,        17.45,                   471678.55,26903
,ANKITMETAL,EQ,        13.55,                    19707.10,1453
,ANKURDRUGS,EQ,         7.95,                    47377.50,5910
,ANSALAPI,EQ,        23.30,                  2421554.25,104212
,ANSALHSG,EQ,        21.30,                   696407.65,32804
,ANTGRAPHIC,EQ,          .25,                     9359.15,38129
,APARINDS,EQ,       114.35,                   809208.20,7101
,APCOTEXIND,EQ,       213.50,                   242272.35,1159
,APLAPOLLO,EQ,       163.95,                  2100144.00,12784
