,18-APR-2013
The Nifty witnessed an intraday movement of about 112.5 points.The closing index was 1.66 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 11733.85
, Traded Quantity (in Lakhs), 5978.11
, Number of Trades, 6013814
, Total Market Capitalisation (Rs. Crores), 6346619.17

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      5688.70,      5682.70,      5794.35,      5681.85,      5783.10,94.4
,CNX IT,      6235.85,      6282.50,      6294.10,      6199.25,      6232.60,-3.25
,CNX Nifty Junior,     11492.30,     11494.00,     11651.15,     11494.00,     11639.60,147.3
,BANK Nifty,     11981.05,     11902.55,     12313.00,     11891.95,     12288.25,307.2
,CNX Midcap,      7541.45,      7543.30,      7626.15,      7543.30,      7624.10,82.65
,CNX 500,      4461.75,      4457.70,      4532.65,      4457.70,      4526.80,65.05
,CNX 100,      5603.75,      5598.85,      5702.60,      5598.85,      5693.60,89.85
,Nifty Midcap 50,      2019.65,      2020.00,      2045.20,      2014.40,      2043.20,23.55
,CNX Realty,       234.75,       235.00,       240.05,       234.90,       239.45,4.7
,CNX Infra,      2276.10,      2274.25,      2338.70,      2274.25,      2333.05,56.95
,CNX Energy,      7714.80,      7715.75,      7822.80,      7714.60,      7809.15,94.35
,CNX FMCG,     15649.60,     15593.45,     15777.55,     15571.45,     15710.35,60.75
,CNX MNC,      5264.65,      5264.55,      5321.70,      5264.55,      5313.20,48.55
,CNX Pharma,      6344.05,      6352.00,      6392.55,      6327.25,      6355.40,11.35
,CNX PSE,      2825.20,      2820.70,      2863.20,      2818.85,      2855.80,30.6
,CNX PSU Bank,      3227.65,      3234.85,      3317.90,      3212.70,      3309.10,81.45
,CNX Service,      6888.25,      6883.55,      7044.45,      6883.55,      7033.20,144.95
,India VIX,        16.36,        16.36,        16.49,        15.21,        15.36,-1
,CNX AUTO,      4298.20,      4279.30,      4417.40,      4279.30,      4397.75,99.55
,CNX Metal,      2175.70,      2181.45,      2186.05,      2149.00,      2179.00,3.3
,CNX Media,      1607.95,      1609.60,      1643.40,      1603.85,      1637.65,29.7
,CNX Smallcap,      3184.20,      3182.10,      3211.30,      3182.10,      3207.80,23.6
,CNX 200,      2866.25,      2863.45,      2914.50,      2863.45,      2910.05,43.8
,CNX Dividend Oppt,      1609.45,      1609.25,      1628.20,      1609.25,      1626.10,16.65
,CNX Commodities,      2222.40,      2224.50,      2244.95,      2214.85,      2241.00,18.6
,CNX Consumption,      2227.80,      2224.35,      2258.40,      2224.35,      2255.30,27.5
,CNX Finance,      4871.95,      4850.50,      5010.30,      4850.10,      5000.55,128.6
,Nifty Dividend,          .00,          .00,          .00,          .00,          .00,0

,ADVANCES,818
,DECLINES,544
,UNCHANGED,98

,Total securities that have hit their price bands today,128

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,TCS,EQ,      1456.65,      1452.75,-0.27,620.75
,MCDOWELL-N,EQ,      2155.35,      2095.75,-2.77,560.01
,SBIN,EQ,      2245.15,      2299.65,2.43,487.6
,RCOM,EQ,        82.10,        86.10,4.87,482.03
,ICICIBANK,EQ,      1097.65,      1122.65,2.28,423.71
,INFY,EQ,      2283.85,      2295.70,0.52,379.43
,AXISBANK,EQ,      1377.20,      1429.40,3.79,318.53
,TATAMOTORS,EQ,       271.20,       282.45,4.15,297.59
,HDFC,EQ,       790.40,       818.25,3.52,258.85
,RELIANCE,EQ,       773.70,       781.60,1.02,245.84
,INDUSINDBK,EQ,       419.60,       450.35,7.33,243.19
,LT,EQ,      1424.15,      1475.45,3.6,222.14
,ITC,EQ,       313.10,       315.30,0.7,185.03
,JSWSTEEL,EQ,       732.85,       717.25,-2.13,181.08
,BHARTIARTL,EQ,       286.05,       299.65,4.75,180
,HCLTECH,EQ,       751.30,       736.25,-2,178.55
,TATASTEEL,EQ,       297.05,       299.80,0.93,163.39
,M&M,EQ,       880.90,       903.90,2.61,162.87
,YESBANK,EQ,       479.40,       491.25,2.47,154.2
,HDFCBANK,EQ,       660.10,       673.60,2.05,153.74
,JPASSOCIAT,EQ,        74.35,        76.10,2.35,151.35
,DLF,EQ,       243.00,       248.40,2.22,138.53
,SESAGOA,EQ,       149.25,       151.50,1.51,132.77
,RELCAPITAL,EQ,       334.65,       339.25,1.37,131.56
,SUNTV,EQ,       378.05,       391.00,3.43,117.01

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,INDUSINDBK,EQ,       450.35,       419.60,7.33
,IDFC,EQ,       161.25,       153.90,4.78
,BHARTIARTL,EQ,       299.65,       286.05,4.75
,TATAMOTORS,EQ,       282.45,       271.20,4.15
,AXISBANK,EQ,      1429.40,      1377.20,3.79

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,NMDC,EQ,       123.90,       127.00,-2.44
,HCLTECH,EQ,       736.25,       751.30,-2
,GRASIM,EQ,      2818.75,      2827.45,-0.31
,TCS,EQ,      1452.75,      1456.65,-0.27
,DRREDDY,EQ,      1906.10,      1907.90,-0.09

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        31.00,                   925737.15,29786
,3IINFOTECH,EQ,         5.65,                  1757111.25,309207
,3MINDIA,EQ,      3401.05,                   503618.05,148
,A2ZMES,BE,        19.55,                  1381436.45,70920
,AANJANEYA,EQ,        81.75,                  1856133.75,22705
,AARTIDRUGS,EQ,       161.90,                 10459515.05,65166
,AARTIIND,EQ,        86.85,                  4042103.00,46298
,AARVEEDEN,EQ,        33.75,                   191777.10,5699
,ABAN,EQ,       270.30,                 53492612.75,197729
,ABB,EQ,       488.40,                 13500427.10,27583
,ABBOTINDIA,EQ,      1362.65,                   685238.15,502
,ABCIL,EQ,        76.90,                   149544.75,1938
,ABGSHIP,EQ,       321.80,                  5769806.10,17979
,ABHISHEK,BE,         4.30,                       43.00,10
,ACCELYA,EQ,       355.65,                  3503185.90,9879
,ACE,EQ,        11.85,                  1111328.10,94022
,ACROPETAL,EQ,         6.90,                   367910.35,54788
,ADANIPOWER,EQ,        47.65,                 60470351.85,1273377
,ADFFOODS,EQ,        49.90,                   187715.85,3738
,ADHUNIK,EQ,        29.75,                  2334568.30,77645
,ADORWELD,EQ,       115.10,                   177453.40,1543
,ADSL,BE,        11.15,                   116461.90,10623
,ADVANTA,EQ,       901.80,                  3963875.05,4331
,AEGISCHEM,EQ,       135.20,                   965285.00,7168
,AFL,EQ,        31.45,                   203166.80,6444
,AFTEK,EQ,         5.20,                   333713.70,63452
,AGCNET,EQ,       112.95,                   307407.15,2759
,AGRODUTCH,EQ,         2.85,                    24219.85,8522
,AHLUCONT,BE,        28.25,                    51970.15,1832
,AHLWEST,EQ,       107.10,                    51012.45,493
,AHMEDFORGE,EQ,       106.00,                  2917042.80,27839
,AIAENG,EQ,       306.35,                     9276.50,30
,AIL,EQ,       315.05,                  1573042.45,5007
,AJANTPHARM,EQ,       680.55,                 33597685.40,49315
,AJMERA,EQ,        96.80,                   133685.40,1382
,AKSHOPTFBR,EQ,        16.55,                  2291987.70,139744
,AKZOINDIA,EQ,      1015.20,                109439554.35,108852
,ALBK,EQ,       138.20,                239581326.25,1759191
,ALCHEM,EQ,        48.40,                    67157.20,1395
,ALEMBICLTD,EQ,        17.65,                   494576.05,27801
,ALICON,EQ,        55.00,                    46172.50,852
,ALKALI,EQ,        21.85,                    91720.00,4311
,ALKYLAMINE,EQ,       151.00,                    22628.25,150
,ALLCARGO,EQ,       115.60,                    40838.90,353
,ALOKTEXT,EQ,        10.05,                 38615316.05,3857488
,ALPA,EQ,         7.75,                    77500.00,10000
,ALPHAGEO,EQ,        37.85,                    28695.00,758
,ALPINEHOU,EQ,        17.60,                    35200.00,2000
,ALPSINDUS,BE,         1.30,                    18655.00,14350
,ALSTOMT&D,EQ,       152.00,                  2031098.25,13447
,AMAR,EQ,        16.05,                   841243.55,52216
,AMARAJABAT,EQ,       248.30,                 28052414.75,112922
,AMBIKCO,EQ,       200.15,                    47704.05,235
,AMDIND,EQ,        11.00,                    13195.00,1200
,AMRUTANJAN,EQ,       126.45,                   938677.20,7423
,AMTEKAUTO,EQ,        67.50,                 28195288.90,419803
,AMTEKINDIA,EQ,        86.60,                 31414901.85,364552
,ANANTRAJ,EQ,        63.70,                 79970429.10,1261529
,ANDHRABANK,EQ,        93.55,                159617543.80,1722832
,ANDHRACEMT,EQ,         7.30,                    64121.60,8863
,ANDHRSUGAR,EQ,       136.00,                   276181.65,2030
,ANIKINDS,EQ,        21.85,                   487499.10,22476
,ANKURDRUGS,EQ,         8.05,                    53030.30,6392
,ANSALAPI,EQ,        23.75,                  3751179.55,159479
,ANSALHSG,EQ,        19.60,                   478326.10,24994
,ANTGRAPHIC,EQ,          .30,                     3613.00,12407
,APARINDS,EQ,       112.40,                  1661312.90,14840
