,26-APR-2013
The Nifty witnessed an intraday movement of about 46.55 points.The closing index was 0.76 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 11569.96
, Traded Quantity (in Lakhs), 5747.88
, Number of Trades, 5899554
, Total Market Capitalisation (Rs. Crores), 6412428.88

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      5916.30,      5899.75,      5907.05,      5860.50,      5871.45,-44.85
,CNX IT,      6059.80,      6036.75,      6046.25,      5964.45,      5972.70,-87.1
,CNX Nifty Junior,     11850.80,     11874.20,     11915.20,     11768.35,     11802.50,-48.3
,BANK Nifty,     12726.85,     12679.30,     12679.90,     12470.00,     12533.15,-193.7
,CNX Midcap,      7777.95,      7771.25,      7809.75,      7698.60,      7715.15,-62.8
,CNX 500,      4624.30,      4615.95,      4620.65,      4583.95,      4591.65,-32.65
,CNX 100,      5820.55,      5808.40,      5811.90,      5768.85,      5779.45,-41.1
,Nifty Midcap 50,      2085.95,      2089.10,      2102.20,      2056.55,      2060.65,-25.3
,CNX Realty,       245.80,       245.95,       248.50,       239.50,       240.20,-5.6
,CNX Infra,      2403.20,      2413.65,      2431.75,      2408.85,      2417.30,14.1
,CNX Energy,      8027.50,      7998.35,      8052.65,      7895.55,      7903.30,-124.2
,CNX FMCG,     15861.65,     15779.85,     15846.30,     15693.70,     15751.10,-110.55
,CNX MNC,      5355.95,      5349.70,      5365.20,      5302.50,      5340.85,-15.1
,CNX Pharma,      6556.85,      6545.30,      6549.05,      6499.05,      6505.60,-51.25
,CNX PSE,      2910.00,      2904.85,      2922.55,      2892.75,      2897.00,-13
,CNX PSU Bank,      3374.60,      3364.00,      3365.35,      3292.60,      3301.20,-73.4
,CNX Service,      7193.35,      7185.10,      7192.85,      7117.45,      7139.05,-54.3
,India VIX,        14.20,        14.60,        14.60,        13.84,        13.88,-.32
,CNX AUTO,      4542.10,      4533.20,      4602.20,      4501.75,      4574.75,32.65
,CNX Metal,      2247.05,      2240.15,      2263.20,      2210.30,      2213.85,-33.2
,CNX Media,      1699.25,      1696.35,      1696.35,      1669.90,      1690.45,-8.8
,CNX Smallcap,      3263.00,      3264.25,      3269.45,      3213.60,      3219.55,-43.45
,CNX 200,      2974.80,      2968.95,      2971.85,      2948.45,      2953.65,-21.15
,CNX Dividend Oppt,      1654.00,      1651.15,      1653.55,      1642.85,      1646.75,-7.25
,CNX Commodities,      2296.75,      2294.30,      2304.90,      2267.10,      2268.95,-27.8
,CNX Consumption,      2297.40,      2300.25,      2318.15,      2297.30,      2306.85,9.45
,CNX Finance,      5191.10,      5180.10,      5200.65,      5128.95,      5151.00,-40.1
,Nifty Dividend,          .16,          .16,          .16,          .16,          .16,0

,ADVANCES,529
,DECLINES,840
,UNCHANGED,89

,Total securities that have hit their price bands today,122

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,ICICIBANK,EQ,      1177.35,      1144.50,-2.79,815.61
,MARUTI,EQ,      1590.95,      1673.15,5.17,579.25
,RELIANCE,EQ,       819.65,       792.40,-3.32,383.2
,TCS,EQ,      1402.30,      1369.35,-2.35,326.73
,AXISBANK,EQ,      1503.40,      1486.35,-1.13,310.85
,INFY,EQ,      2227.70,      2212.00,-0.7,307.82
,SBIN,EQ,      2334.55,      2287.95,-2,265
,HCLTECH,EQ,       719.05,       684.25,-4.84,252.73
,MCDOWELL-N,EQ,      2050.95,      2045.25,-0.28,245.39
,RCOM,EQ,        95.60,        93.05,-2.67,245.37
,TATAMOTORS,EQ,       293.30,       296.30,1.02,237.79
,LICHSGFIN,EQ,       232.35,       247.85,6.67,233.03
,BHARTIARTL,EQ,       303.85,       318.45,4.81,225.53
,HDFC,EQ,       862.75,       872.60,1.14,222.65
,JINDALSTEL,EQ,       329.20,       314.95,-4.33,205.12
,LT,EQ,      1519.25,      1540.85,1.42,191.07
,IDEA,EQ,       116.45,       122.40,5.11,185.22
,DLF,EQ,       242.45,       237.85,-1.9,167.94
,HDIL,EQ,        57.20,        53.80,-5.94,165.19
,JPASSOCIAT,EQ,        77.45,        75.00,-3.16,150.18
,HDFCBANK,EQ,       689.55,       689.10,-0.07,147.29
,JETAIRWAYS,EQ,       634.80,       613.00,-3.43,146.73
,ITC,EQ,       319.85,       318.90,-0.3,137.02
,RELCAPITAL,EQ,       363.25,       347.10,-4.45,130.41
,NTPC,EQ,       155.25,       154.90,-0.23,117.11

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,MARUTI,EQ,      1673.15,      1590.95,5.17
,BHARTIARTL,EQ,       318.45,       303.85,4.81
,BAJAJ-AUTO,EQ,      1895.70,      1838.00,3.14
,GAIL,EQ,       351.05,       344.40,1.93
,LT,EQ,      1540.85,      1519.25,1.42

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HCLTECH,EQ,       684.25,       719.05,-4.84
,JINDALSTEL,EQ,       314.95,       329.20,-4.33
,RELIANCE,EQ,       792.40,       819.65,-3.32
,JPASSOCIAT,EQ,        75.00,        77.45,-3.16
,HINDUNILVR,EQ,       465.05,       478.65,-2.84

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.90,                   713354.05,23073
,3IINFOTECH,EQ,         5.60,                  3223002.45,569284
,3MINDIA,EQ,      3477.55,                   529320.05,154
,A2ZMES,BE,        19.20,                   800199.20,41751
,AANJANEYA,EQ,        81.35,                  2400313.10,29506
,AARTIDRUGS,EQ,       169.55,                   542047.80,3190
,AARTIIND,EQ,        91.30,                   337451.95,3725
,AARVEEDEN,EQ,        34.35,                    35330.70,1031
,ABAN,EQ,       271.25,                 33282037.10,121723
,ABB,EQ,       497.65,                  9856815.00,19676
,ABBOTINDIA,EQ,      1363.50,                  1043028.55,760
,ABCIL,EQ,        78.20,                   111560.80,1436
,ABGSHIP,EQ,       323.00,                  9274026.75,28752
,ABHISHEK,BE,         4.30,                      418.40,102
,ACCELYA,EQ,       362.55,                  1827577.55,4993
,ACE,EQ,        11.95,                  1166308.20,97872
,ACROPETAL,EQ,         7.05,                   107680.80,15210
,ADANIPOWER,EQ,        48.95,                104892537.20,2122301
,ADFFOODS,EQ,        50.95,                   210535.15,4128
,ADHUNIK,EQ,        29.40,                   709191.80,23927
,ADORWELD,EQ,       114.25,                   119118.40,1042
,ADSL,BE,        11.05,                   133987.90,11802
,ADVANTA,EQ,       823.80,                 80320316.75,101880
,AEGISCHEM,EQ,       143.60,                  2015910.60,13991
,AFL,EQ,        29.45,                    61200.80,2049
,AFTEK,EQ,         5.10,                   368424.95,71527
,AGCNET,EQ,       111.65,                    24152.55,216
,AGRODUTCH,EQ,         2.70,                    16529.75,6184
,AHLEAST,EQ,       157.05,                    51101.10,324
,AHLUCONT,BE,        30.00,                    83861.25,2790
,AHLWEST,EQ,       101.10,                   116335.00,1153
,AHMEDFORGE,EQ,       101.25,                  1836753.20,18034
,AIAENG,EQ,       306.55,                   280110.90,909
,AIL,EQ,       319.35,                  6695649.80,20692
,AJANTPHARM,EQ,       727.40,                 42953535.90,58750
,AJMERA,EQ,        95.75,                   160374.90,1685
,AKSHOPTFBR,EQ,        16.20,                   427605.35,26615
,AKZOINDIA,EQ,       983.35,                 25960609.40,26305
,ALBK,EQ,       133.75,                263240802.65,1958065
,ALCHEM,EQ,        47.40,                   112731.10,2356
,ALEMBICLTD,EQ,        17.75,                   468589.30,26309
,ALKALI,EQ,        20.40,                    28439.90,1393
,ALLCARGO,EQ,       116.95,                    33893.50,290
,ALOKTEXT,EQ,        10.10,                166987073.65,16372805
,ALPA,EQ,         7.20,                     1440.00,200
,ALPHAGEO,EQ,        34.50,                   168522.55,4688
,ALPINEHOU,EQ,        17.60,                    70400.00,4000
,ALPSINDUS,BE,         1.45,                     3692.10,2548
,ALSTOMT&D,EQ,       155.65,                  2244542.65,14384
,AMAR,EQ,        15.00,                   266505.55,17668
,AMARAJABAT,EQ,       268.70,                 21632220.90,80431
,AMARJOTHI,EQ,        50.00,                   109300.00,2186
,AMBIKCO,EQ,       199.85,                   285384.75,1446
,AMRUTANJAN,EQ,       130.35,                  2971662.05,22529
,AMTEKAUTO,EQ,        69.70,                 24285298.75,350034
,AMTEKINDIA,EQ,        79.95,                 19495526.50,241514
,AMTL,EQ,        20.00,                    19300.00,965
,ANANTRAJ,EQ,        65.90,                 82927636.80,1226413
,ANDHRABANK,EQ,        92.25,                 73556101.10,795928
,ANDHRACEMT,EQ,         7.15,                   135778.70,19103
,ANDHRSUGAR,EQ,       134.35,                   290663.10,2157
,ANGIND,EQ,         6.80,                     3406.75,501
,ANIKINDS,EQ,        20.65,                    31748.40,1537
,ANKITMETAL,EQ,        14.40,                   346964.50,25483
,ANKURDRUGS,EQ,         7.85,                    26581.10,3350
,ANSALAPI,EQ,        23.85,                  2465738.80,101291
,ANSALHSG,EQ,        18.35,                   155575.75,8456
,ANTGRAPHIC,EQ,          .35,                    74306.10,195123
,APARINDS,EQ,       118.75,                  1407854.40,11889
