,29-APR-2013
The Nifty witnessed an intraday movement of about 49.85 points.The closing index was 0.56 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 9598.04
, Traded Quantity (in Lakhs), 5240.52
, Number of Trades, 5220435
, Total Market Capitalisation (Rs. Crores), 6455145.63

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      5871.45,      5877.60,      5918.65,      5868.80,      5904.10,32.65
,CNX IT,      5972.70,      5959.45,      6052.25,      5936.40,      6015.45,42.75
,CNX Nifty Junior,     11802.50,     11814.80,     11953.15,     11801.95,     11933.10,130.6
,BANK Nifty,     12533.15,     12560.35,     12661.25,     12508.40,     12609.15,76
,CNX Midcap,      7715.15,      7721.55,      7823.05,      7721.55,      7810.40,95.25
,CNX 500,      4591.65,      4595.55,      4628.15,      4593.00,      4620.90,29.25
,CNX 100,      5779.45,      5785.50,      5828.40,      5779.85,      5816.40,36.95
,Nifty Midcap 50,      2060.65,      2064.80,      2103.80,      2062.90,      2095.35,34.7
,CNX Realty,       240.20,       240.85,       245.95,       239.70,       244.45,4.25
,CNX Infra,      2417.30,      2417.65,      2439.95,      2417.65,      2433.90,16.6
,CNX Energy,      7903.30,      7917.95,      7992.15,      7912.60,      7950.45,47.15
,CNX FMCG,     15751.10,     15724.70,     16141.10,     15721.25,     16115.30,364.2
,CNX MNC,      5340.85,      5354.55,      5491.75,      5327.05,      5480.25,139.4
,CNX Pharma,      6505.60,      6532.55,      6561.75,      6476.10,      6492.95,-12.65
,CNX PSE,      2897.00,      2905.50,      2926.95,      2902.75,      2910.90,13.9
,CNX PSU Bank,      3301.20,      3317.95,      3339.85,      3290.50,      3309.05,7.85
,CNX Service,      7139.05,      7141.20,      7192.45,      7129.40,      7171.85,32.8
,India VIX,        13.88,        13.88,        14.72,        13.88,        14.33,.45
,CNX AUTO,      4574.75,      4591.35,      4627.35,      4587.65,      4605.15,30.4
,CNX Metal,      2213.85,      2220.75,      2220.75,      2179.20,      2186.10,-27.75
,CNX Media,      1690.45,      1680.45,      1697.15,      1680.45,      1693.05,2.6
,CNX Smallcap,      3219.55,      3218.15,      3237.90,      3218.15,      3225.20,5.65
,CNX 200,      2953.65,      2956.75,      2979.25,      2954.40,      2973.20,19.55
,CNX Dividend Oppt,      1646.75,      1652.90,      1674.90,      1652.80,      1670.40,23.65
,CNX Commodities,      2268.95,      2273.55,      2282.50,      2266.55,      2274.20,5.25
,CNX Consumption,      2306.85,      2311.15,      2345.35,      2311.15,      2342.10,35.25
,CNX Finance,      5151.00,      5157.30,      5176.80,      5126.05,      5157.75,6.75
,Nifty Dividend,          .16,          .16,          .16,          .16,          .16,0

,ADVANCES,753
,DECLINES,588
,UNCHANGED,111

,Total securities that have hit their price bands today,125

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,HINDUNILVR,EQ,       465.05,       497.35,6.95,534.75
,RCOM,EQ,        93.05,       100.35,7.85,448.82
,RELIANCE,EQ,       792.40,       792.65,0.03,380.05
,SBIN,EQ,      2287.95,      2273.55,-0.63,318.52
,TCS,EQ,      1369.35,      1370.75,0.1,272.73
,ICICIBANK,EQ,      1144.50,      1153.20,0.76,252.53
,INFY,EQ,      2212.00,      2229.30,0.78,249.64
,JINDALSTEL,EQ,       314.95,       301.30,-4.33,230.49
,HDFCBANK,EQ,       689.10,       695.15,0.88,202.81
,AXISBANK,EQ,      1486.35,      1475.40,-0.74,193.07
,MCDOWELL-N,EQ,      2045.25,      2077.60,1.58,192.56
,LICHSGFIN,EQ,       247.85,       252.10,1.71,154.24
,MARUTI,EQ,      1673.15,      1683.50,0.62,151.63
,TATAMOTORS,EQ,       296.30,       296.15,-0.05,148.91
,HDFC,EQ,       872.60,       864.20,-0.96,141.53
,RELCAPITAL,EQ,       347.10,       357.45,2.98,141.07
,HEROMOTOCO,EQ,      1596.85,      1648.80,3.25,133.53
,ITC,EQ,       318.90,       324.65,1.8,133.07
,INDUSINDBK,EQ,       458.15,       477.70,4.27,132.66
,HCLTECH,EQ,       684.25,       700.80,2.42,127.76
,DLF,EQ,       237.85,       241.70,1.62,119.53
,JPASSOCIAT,EQ,        75.00,        77.05,2.73,115.61
,LT,EQ,      1540.85,      1529.80,-0.72,112.88
,JETAIRWAYS,EQ,       613.00,       608.70,-0.7,108.71
,RELINFRA,EQ,       366.45,       382.25,4.31,105.77

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HINDUNILVR,EQ,       497.35,       465.05,6.95
,RELINFRA,EQ,       382.25,       366.45,4.31
,INDUSINDBK,EQ,       477.70,       458.15,4.27
,HEROMOTOCO,EQ,      1648.80,      1596.85,3.25
,JPASSOCIAT,EQ,        77.05,        75.00,2.73

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,JINDALSTEL,EQ,       301.30,       314.95,-4.33
,NMDC,EQ,       123.55,       126.55,-2.37
,COALINDIA,EQ,       313.45,       319.00,-1.74
,SUNPHARMA,EQ,       940.50,       956.10,-1.63
,AMBUJACEM,EQ,       185.05,       187.55,-1.33

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.80,                   626223.45,20304
,3IINFOTECH,EQ,         5.65,                  2256952.60,401433
,3MINDIA,EQ,      3553.40,                   845101.00,243
,A2ZMES,BE,        19.00,                   624479.25,33036
,AANJANEYA,EQ,        85.40,                 35395304.65,436141
,AARTIDRUGS,EQ,       174.15,                   623999.05,3670
,AARTIIND,EQ,        92.50,                   652244.20,7129
,AARVEEDEN,EQ,        34.55,                    17173.85,510
,ABAN,EQ,       275.30,                 37101745.75,135068
,ABB,EQ,       511.85,                 32830681.85,64502
,ABBOTINDIA,EQ,      1393.35,                  6257818.55,4527
,ABCIL,EQ,        78.65,                    68368.65,867
,ABGSHIP,EQ,       321.70,                  1310243.75,4068
,ACCELYA,EQ,       383.60,                 11532058.25,30575
,ACE,EQ,        11.75,                  2435137.90,207456
,ACROPETAL,EQ,         7.00,                   216555.55,30796
,ADANIPOWER,EQ,        49.70,                 62504092.30,1262366
,ADFFOODS,EQ,        51.95,                   205368.05,3980
,ADHUNIK,EQ,        28.90,                  1634257.85,56742
,ADORWELD,EQ,       114.35,                    96266.60,842
,ADSL,BE,        11.35,                   115041.85,10139
,ADVANTA,EQ,       818.05,                 17295866.60,21076
,AEGISCHEM,EQ,       143.80,                   493563.00,3432
,AFL,EQ,        28.80,                    53760.10,1842
,AFTEK,EQ,         5.05,                   291072.35,57131
,AGCNET,EQ,       113.35,                  7206635.05,63307
,AGRODUTCH,EQ,         2.65,                     7797.95,2939
,AHLUCONT,BE,        29.00,                    15906.00,549
,AHLWEST,EQ,       100.85,                     8572.65,85
,AHMEDFORGE,EQ,       102.05,                  1798344.00,17737
,AIAENG,EQ,       316.25,                   181270.90,584
,AIL,EQ,       315.25,                 11002219.50,34954
,AJANTPHARM,EQ,       795.90,                437571852.30,559283
,AJMERA,EQ,        94.75,                  2122823.25,22125
,AKSHOPTFBR,EQ,        16.30,                   503769.20,31010
,AKZOINDIA,EQ,       992.90,                 39986471.05,40270
,ALBK,EQ,       136.20,                157225693.15,1156284
,ALCHEM,EQ,        47.25,                   203124.40,4324
,ALEMBICLTD,EQ,        18.05,                   474674.65,26421
,ALKALI,EQ,        20.10,                    73792.95,3691
,ALKYLAMINE,EQ,       150.00,                    18492.15,129
,ALLCARGO,EQ,       115.55,                    87063.40,752
,ALOKTEXT,EQ,         9.15,                103698304.85,11005457
,ALPA,EQ,         7.20,                     1080.00,150
,ALPHAGEO,EQ,        34.60,                     7182.20,206
,ALPSINDUS,BE,         1.50,                    21444.10,14535
,ALSTOMT&D,EQ,       160.35,                  2664432.80,16975
,AMAR,EQ,        15.15,                   221830.50,14713
,AMARAJABAT,EQ,       266.30,                 19831740.65,74292
,AMARJOTHI,EQ,        50.00,                     7500.00,150
,AMBIKCO,EQ,       195.50,                  1253824.70,6369
,AMDIND,EQ,        11.00,                    23408.00,2128
,AMRUTANJAN,EQ,       130.85,                  3156136.30,24098
,AMTEKAUTO,EQ,        69.10,                 17521118.35,251864
,AMTEKINDIA,EQ,        81.25,                 14647823.20,181243
,ANANTRAJ,EQ,        67.55,                 50216128.75,747806
,ANDHRABANK,EQ,        92.05,                 86764822.35,942027
,ANDHRACEMT,EQ,         7.15,                    73584.45,10234
,ANDHRSUGAR,EQ,       132.70,                   959750.85,7206
,ANGIND,EQ,         6.50,                        6.50,1
,ANIKINDS,EQ,        20.15,                    49031.50,2427
,ANKITMETAL,EQ,        13.70,                   108897.20,7656
,ANKURDRUGS,EQ,         7.90,                    29159.15,3706
,ANSALAPI,EQ,        24.30,                  1218623.60,50341
,ANSALHSG,EQ,        17.75,                   160697.10,8941
,ANTGRAPHIC,EQ,          .35,                    22348.35,64777
,APARINDS,EQ,       119.20,                   563126.20,4750
,APCOTEXIND,EQ,       246.45,                   623796.30,2536
