,24-MAY-2013
The Nifty witnessed an intraday movement of about 78.5 points.The closing index was 0.28 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 10761.24
, Traded Quantity (in Lakhs), 5330.06
, Number of Trades, 5299923
, Total Market Capitalisation (Rs. Crores), 6513115.04

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      5967.05,      6010.70,      6015.30,      5936.80,      5983.55,16.5
,CNX IT,      6378.45,      6396.75,      6431.95,      6314.15,      6330.80,-47.65
,CNX Nifty Junior,     12230.25,     12278.05,     12355.10,     12170.05,     12325.80,95.55
,BANK Nifty,     12636.50,     12756.35,     12828.60,     12582.50,     12769.35,132.85
,CNX Midcap,      7802.05,      7821.75,      7845.25,      7737.00,      7820.20,18.15
,CNX 500,      4668.20,      4695.40,      4699.90,      4644.60,      4685.60,17.4
,CNX 100,      5890.85,      5930.85,      5935.80,      5861.45,      5911.65,20.8
,Nifty Midcap 50,      2046.35,      2054.85,      2072.25,      2031.10,      2064.60,18.25
,CNX Realty,       227.40,       229.45,       231.85,       223.85,       228.85,1.45
,CNX Infra,      2332.95,      2362.75,      2373.85,      2328.70,      2362.50,29.55
,CNX Energy,      7729.40,      7796.25,      7814.45,      7728.05,      7754.05,24.65
,CNX FMCG,     17070.15,     17138.05,     17171.55,     17000.85,     17093.80,23.65
,CNX MNC,      5805.90,      5828.25,      5846.00,      5787.70,      5835.80,29.9
,CNX Pharma,      6725.60,      6708.85,      6727.70,      6640.80,      6664.15,-61.45
,CNX PSE,      2837.55,      2855.45,      2859.80,      2826.05,      2833.80,-3.75
,CNX PSU Bank,      3187.00,      3203.30,      3215.70,      3128.10,      3175.30,-11.7
,CNX Service,      7297.25,      7351.55,      7359.10,      7261.40,      7327.50,30.25
,India VIX,        18.73,        18.73,        18.80,        17.61,        17.70,-1.03
,CNX AUTO,      4637.60,      4664.25,      4684.75,      4580.05,      4645.00,7.4
,CNX Metal,      2168.70,      2199.10,      2212.75,      2161.60,      2199.30,30.6
,CNX Media,      1743.15,      1751.60,      1760.00,      1723.55,      1734.80,-8.35
,CNX Smallcap,      3184.80,      3190.00,      3211.70,      3163.55,      3201.00,16.2
,CNX 200,      3006.55,      3025.45,      3028.55,      2990.80,      3017.75,11.2
,CNX Dividend Oppt,      1689.05,      1700.20,      1702.25,      1684.20,      1694.90,5.85
,CNX Commodities,      2230.15,      2250.10,      2255.20,      2227.45,      2250.85,20.7
,CNX Consumption,      2412.95,      2426.85,      2432.65,      2400.65,      2427.00,14.05
,CNX Finance,      5231.75,      5275.95,      5296.35,      5214.80,      5279.80,48.05
,Nifty Dividend,         5.14,         5.14,         5.14,         5.14,         5.14,0

,ADVANCES,732
,DECLINES,623
,UNCHANGED,85

,Total securities that have hit their price bands today,115

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SBIN,EQ,      2177.60,      2151.20,-1.21,749.88
,WOCKPHARMA,EQ,      1313.80,      1234.10,-6.07,604.74
,MCDOWELL-N,EQ,      2411.00,      2568.15,6.52,563.83
,LT,EQ,      1418.20,      1456.80,2.72,421.01
,TATASTEEL,EQ,       299.55,       313.00,4.49,360.5
,AXISBANK,EQ,      1455.20,      1461.20,0.41,332.88
,ICICIBANK,EQ,      1172.30,      1204.15,2.72,306.67
,DLF,EQ,       211.05,       211.90,0.4,299.99
,COALINDIA,EQ,       308.10,       310.15,0.67,274.88
,TATAMOTORS,EQ,       291.05,       288.10,-1.01,262.5
,HDFC,EQ,       903.15,       906.05,0.32,256.44
,JPASSOCIAT,EQ,        67.30,        68.00,1.04,234.58
,ITC,EQ,       332.50,       329.90,-0.78,234.03
,RCOM,EQ,       105.95,       108.30,2.22,193.09
,RELCAPITAL,EQ,       337.20,       340.50,0.98,156.28
,HDFCBANK,EQ,       698.60,       701.35,0.39,144.76
,RELIANCE,EQ,       784.45,       786.45,0.25,143.76
,RELINFRA,EQ,       366.60,       376.15,2.61,131.3
,SUNPHARMA,EQ,      1006.00,       968.85,-3.69,128
,HDIL,EQ,        50.65,        49.30,-2.67,124.13
,MARUTI,EQ,      1647.50,      1674.90,1.66,122.98
,TCS,EQ,      1492.70,      1469.55,-1.55,117.08
,UNITECH,EQ,        25.20,        25.30,0.4,115.98
,JSWSTEEL,EQ,       687.90,       712.75,3.61,108.81
,INFY,EQ,      2359.85,      2347.90,-0.51,108.26

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,TATASTEEL,EQ,       313.00,       299.55,4.49
,TATAPOWER,EQ,        91.50,        88.00,3.98
,LUPIN,EQ,       769.65,       747.80,2.92
,LT,EQ,      1456.80,      1418.20,2.72
,ICICIBANK,EQ,      1204.15,      1172.30,2.72

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,SUNPHARMA,EQ,       968.85,      1006.00,-3.69
,HINDALCO,EQ,       107.05,       108.90,-1.7
,BHEL,EQ,       192.55,       195.70,-1.61
,TCS,EQ,      1469.55,      1492.70,-1.55
,CIPLA,EQ,       408.50,       414.85,-1.53

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.40,                  2268308.10,74193
,3IINFOTECH,EQ,         5.30,                  1513287.65,285795
,3MINDIA,EQ,      3577.85,                   446785.65,125
,A2ZMES,BE,        17.10,                   669938.30,39182
,AANJANEYA,EQ,        64.00,                 15218104.10,248522
,AARTIDRUGS,EQ,       214.20,                   872148.85,4083
,AARTIIND,EQ,        89.70,                  2555858.25,28095
,AARVEEDEN,EQ,        34.00,                    16417.05,483
,ABAN,EQ,       302.40,                 46922662.45,154524
,ABB,EQ,       663.30,                329293236.60,495880
,ABBOTINDIA,EQ,      1444.80,                   733091.20,510
,ABCIL,EQ,        91.35,                 31128982.10,328266
,ABGSHIP,EQ,       303.40,                  2943554.10,9740
,ACCELYA,EQ,       445.50,                  5438477.55,12062
,ACE,EQ,        13.05,                  1647478.40,125492
,ACROPETAL,EQ,         5.75,                   207204.05,36148
,ADANIPOWER,EQ,        57.00,                166236627.65,2951514
,ADFFOODS,EQ,        45.40,                   285729.75,6239
,ADHUNIK,EQ,        26.30,                  1787770.85,67001
,ADORWELD,EQ,       120.70,                   462933.45,3841
,ADSL,BE,        10.25,                    43623.85,4232
,ADVANTA,EQ,       739.55,                  2862411.70,3866
,AEGISCHEM,EQ,       143.90,                   857129.55,5934
,AFL,EQ,        26.00,                    20619.55,803
,AFTEK,EQ,         4.85,                   617431.10,127459
,AGCNET,EQ,        85.95,                   151566.85,1771
,AGRODUTCH,EQ,         2.40,                    13157.65,5433
,AHLEAST,EQ,       150.00,                     4500.00,30
,AHLUCONT,BE,        38.35,                   187669.45,4935
,AHLWEST,EQ,       108.10,                    11448.85,106
,AHMEDFORGE,EQ,       103.25,                  1414971.00,13691
,AIAENG,EQ,       288.00,                144548538.65,501959
,AIL,EQ,       369.70,                  7703734.35,20698
,AJANTPHARM,EQ,       947.55,                 46208805.75,48530
,AJMERA,EQ,        90.40,                   242697.00,2666
,AKSHOPTFBR,EQ,        15.85,                   230073.80,14667
,AKZOINDIA,EQ,      1137.40,                  6976558.65,6137
,ALBK,EQ,       123.35,                191263724.35,1561461
,ALCHEM,EQ,        43.00,                   141583.60,3307
,ALEMBICLTD,EQ,        19.30,                   641570.25,33042
,ALKALI,EQ,        19.25,                    21848.00,1133
,ALKYLAMINE,EQ,       149.95,                     2389.70,16
,ALLCARGO,EQ,       112.65,                   167876.65,1473
,ALOKTEXT,EQ,         8.50,                 45409191.55,5363663
,ALPHAGEO,EQ,        33.60,                      734.40,22
,ALPINEHOU,EQ,        17.90,                      358.00,20
,ALPSINDUS,BE,         1.50,                     4593.00,3062
,ALSTOMT&D,EQ,       168.85,                  1226361.00,7151
,AMAR,EQ,        11.10,                   667438.35,61025
,AMARAJABAT,EQ,       258.85,                 84312190.10,330985
,AMARJOTHI,EQ,        50.00,                    11000.00,220
,AMDIND,EQ,        10.10,                     2020.00,200
,AMRUTANJAN,EQ,       131.80,                  1874714.60,14247
,AMTEKAUTO,EQ,        80.30,                 44390425.05,549446
,AMTEKINDIA,EQ,        95.55,                 23736021.75,244808
,AMTL,EQ,        20.55,                    43082.50,2150
,ANANTRAJ,EQ,        70.85,                 78741009.55,1111339
,ANDHRABANK,EQ,        87.10,                168895337.30,1953014
,ANDHRACEMT,EQ,         7.00,                    29730.60,4275
,ANDHRSUGAR,EQ,       132.70,                   198784.80,1503
,ANIKINDS,EQ,        21.15,                   181169.75,8612
,ANKITMETAL,EQ,        11.25,                    19489.00,1660
,ANKURDRUGS,EQ,         7.15,                    89869.25,12595
,ANSALAPI,EQ,        23.25,                  1814538.20,77737
,ANSALHSG,EQ,        16.95,                    77957.70,4572
,ANTGRAPHIC,EQ,          .20,                     6237.25,27963
,APARINDS,EQ,       119.20,                   696477.85,5835
,APCOTEXIND,EQ,       247.00,                   269801.50,1093
