,27-MAY-2013
The Nifty witnessed an intraday movement of about 124.35 points.The closing index was 1.66 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 9254.83
, Traded Quantity (in Lakhs), 4301.18
, Number of Trades, 5115568
, Total Market Capitalisation (Rs. Crores), 6606014.54

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      5983.55,      5989.40,      6099.90,      5975.55,      6083.15,99.6
,CNX IT,      6330.80,      6322.55,      6427.30,      6298.65,      6410.95,80.15
,CNX Nifty Junior,     12325.80,     12336.35,     12480.75,     12322.55,     12474.95,149.15
,BANK Nifty,     12769.35,     12751.50,     13014.75,     12735.05,     12961.55,192.2
,CNX Midcap,      7820.20,      7821.55,      7920.50,      7821.55,      7914.80,94.6
,CNX 500,      4685.60,      4690.45,      4764.35,      4684.40,      4756.40,70.8
,CNX 100,      5911.65,      5917.30,      6019.00,      5904.75,      6005.95,94.3
,Nifty Midcap 50,      2064.60,      2062.65,      2095.25,      2060.25,      2092.45,27.85
,CNX Realty,       228.85,       230.30,       233.65,       228.90,       233.10,4.25
,CNX Infra,      2362.50,      2369.15,      2410.40,      2363.00,      2403.25,40.75
,CNX Energy,      7754.05,      7839.10,      8003.95,      7819.85,      7972.50,218.45
,CNX FMCG,     17093.80,     17126.60,     17298.70,     17116.20,     17293.25,199.45
,CNX MNC,      5835.80,      5833.25,      5882.35,      5816.85,      5877.40,41.6
,CNX Pharma,      6664.15,      6659.65,      6775.00,      6638.00,      6745.10,80.95
,CNX PSE,      2833.80,      2843.35,      2870.60,      2831.55,      2864.30,30.5
,CNX PSU Bank,      3175.30,      3174.55,      3205.30,      3160.80,      3188.40,13.1
,CNX Service,      7327.50,      7320.15,      7472.00,      7309.05,      7454.40,126.9
,India VIX,        17.70,        17.70,        18.04,        16.68,        17.03,-.67
,CNX AUTO,      4645.00,      4629.85,      4678.15,      4601.75,      4669.35,24.35
,CNX Metal,      2199.30,      2202.80,      2247.65,      2198.50,      2239.20,39.9
,CNX Media,      1734.80,      1738.40,      1742.40,      1714.65,      1740.90,6.1
,CNX Smallcap,      3201.00,      3204.15,      3234.55,      3204.15,      3232.10,31.1
,CNX 200,      3017.75,      3020.80,      3071.05,      3015.25,      3064.85,47.1
,CNX Dividend Oppt,      1694.90,      1697.15,      1713.00,      1691.65,      1709.90,15
,CNX Commodities,      2250.85,      2258.70,      2294.30,      2253.75,      2287.85,37
,CNX Consumption,      2427.00,      2432.20,      2455.05,      2424.90,      2453.20,26.2
,CNX Finance,      5279.80,      5270.45,      5383.05,      5260.20,      5367.45,87.65
,Nifty Dividend,         5.14,         5.14,         5.14,         5.14,         5.14,0

,ADVANCES,849
,DECLINES,508
,UNCHANGED,92

,Total securities that have hit their price bands today,118

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,MCDOWELL-N,EQ,      2568.15,      2512.90,-2.15,543.32
,SBIN,EQ,      2151.20,      2162.10,0.51,483.66
,RELIANCE,EQ,       786.45,       828.30,5.32,355.4
,ICICIBANK,EQ,      1204.15,      1219.40,1.27,301.13
,RCOM,EQ,       108.30,       114.10,5.36,229
,HDFC,EQ,       906.05,       929.50,2.59,224.7
,WOCKPHARMA,EQ,      1234.10,      1278.25,3.58,210.88
,ITC,EQ,       329.90,       333.90,1.21,177.27
,SUNPHARMA,EQ,       968.85,      1013.70,4.63,167.83
,DLF,EQ,       211.90,       215.30,1.6,164.08
,JPASSOCIAT,EQ,        68.00,        69.00,1.47,162.44
,LT,EQ,      1456.80,      1467.55,0.74,161.25
,HDFCBANK,EQ,       701.35,       715.05,1.95,160.3
,TATAMOTORS,EQ,       288.10,       294.50,2.22,160.25
,TCS,EQ,      1469.55,      1498.00,1.94,150.65
,AXISBANK,EQ,      1461.20,      1478.15,1.16,149.04
,RELCAPITAL,EQ,       340.50,       349.80,2.73,123.43
,INDUSINDBK,EQ,       498.25,       529.35,6.24,122.84
,TATASTEEL,EQ,       313.00,       317.15,1.33,116.46
,BRITANNIA,EQ,       574.80,       665.65,15.81,114.39
,ONGC,EQ,       324.95,       326.95,0.62,104.99
,BANKBARODA,EQ,       691.50,       682.25,-1.34,104.41
,RELINFRA,EQ,       376.15,       385.40,2.46,103.18
,CROMPGREAV,EQ,        96.20,        93.95,-2.34,102.92
,LUPIN,EQ,       769.65,       759.15,-1.36,102.15

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,INDUSINDBK,EQ,       529.35,       498.25,6.24
,RELIANCE,EQ,       828.30,       786.45,5.32
,SUNPHARMA,EQ,      1013.70,       968.85,4.63
,JINDALSTEL,EQ,       306.60,       295.05,3.91
,RANBAXY,EQ,       404.80,       389.70,3.87

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,CIPLA,EQ,       401.50,       408.50,-1.71
,M&M,EQ,       951.90,       968.10,-1.67
,MARUTI,EQ,      1648.75,      1674.90,-1.56
,LUPIN,EQ,       759.15,       769.65,-1.36
,BANKBARODA,EQ,       682.25,       691.50,-1.34

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.65,                   801113.95,26193
,3IINFOTECH,EQ,         5.30,                  2419266.65,458044
,3MINDIA,EQ,      3607.90,                   623915.80,172
,A2ZMES,BE,        16.85,                   279835.75,16449
,AANJANEYA,EQ,        65.80,                  4210395.75,64259
,AARTIDRUGS,EQ,       216.50,                  1180587.55,5465
,AARTIIND,EQ,        88.05,                  3172251.40,35888
,AARVEEDEN,EQ,        33.75,                   186706.55,5552
,ABAN,EQ,       304.55,                 59607731.40,196635
,ABB,EQ,       664.90,                144575650.00,214850
,ABBOTINDIA,EQ,      1426.60,                  1410201.35,987
,ABCIL,EQ,        85.35,                  1445318.15,16587
,ABGSHIP,EQ,       303.90,                   969376.20,3192
,ACCELYA,EQ,       456.95,                 18569891.00,39990
,ACE,EQ,        12.90,                   704392.85,54125
,ACROPETAL,EQ,         5.90,                    42084.80,7189
,ADANIPOWER,EQ,        57.85,                113895384.05,1973771
,ADFFOODS,EQ,        45.70,                   466146.55,10106
,ADHUNIK,EQ,        26.20,                   904760.50,34491
,ADORWELD,EQ,       119.60,                   447759.60,3716
,ADSL,BE,        10.25,                   148307.40,14482
,ADVANTA,EQ,       727.75,                  1603765.85,2201
,AEGISCHEM,EQ,       145.80,                   427964.90,2950
,AFL,EQ,        25.15,                    38453.55,1518
,AFTEK,EQ,         4.90,                   358446.25,72525
,AGCNET,EQ,        87.25,                   660844.65,7839
,AGRODUTCH,EQ,         2.40,                    10543.20,4479
,AHLEAST,EQ,       150.00,                     1500.00,10
,AHLUCONT,BE,        40.25,                   602637.75,15369
,AHLWEST,EQ,       107.55,                   109368.90,1014
,AHMEDFORGE,EQ,       104.45,                   667924.80,6394
,AIAENG,EQ,       285.35,                  1215093.80,4244
,AIL,EQ,       368.00,                  3705549.40,9992
,AJANTPHARM,EQ,       957.05,                113696579.00,118002
,AJMERA,EQ,        92.45,                   476183.00,5172
,AKSHOPTFBR,EQ,        16.05,                   601062.35,37762
,AKZOINDIA,EQ,      1150.75,                  9636035.40,8386
,ALBK,EQ,       123.60,                210072503.25,1704791
,ALCHEM,EQ,        43.10,                   105514.85,2438
,ALEMBICLTD,EQ,        19.95,                  1030607.20,52121
,ALKALI,EQ,        19.60,                    47439.05,2434
,ALKYLAMINE,EQ,       143.90,                    27088.75,187
,ALLCARGO,EQ,       112.50,                    81896.55,722
,ALOKTEXT,EQ,         8.35,                 37551170.10,4456761
,ALPA,EQ,         6.10,                      152.50,25
,ALPHAGEO,EQ,        33.25,                     7092.90,212
,ALPSINDUS,BE,         1.55,                     9847.15,6353
,ALSTOMT&D,EQ,       168.45,                   706093.50,4166
,AMAR,EQ,        10.95,                   296479.20,26885
,AMARAJABAT,EQ,       266.20,                 61926702.45,234424
,AMBIKCO,EQ,       201.95,                     8038.00,40
,AMRUTANJAN,EQ,       135.75,                  3932138.85,29057
,AMTEKAUTO,EQ,        80.55,                 34235581.80,426813
,AMTEKINDIA,EQ,       100.40,                 50564649.95,521980
,AMTL,EQ,        21.00,                     6824.35,322
,ANANTRAJ,EQ,        71.00,                 44820510.50,628640
,ANDHRABANK,EQ,        88.25,                 47092350.25,536564
,ANDHRACEMT,EQ,         6.90,                     4347.00,625
,ANDHRSUGAR,EQ,       134.65,                   366789.60,2725
,ANIKINDS,EQ,        21.70,                   110737.75,5058
,ANKITMETAL,EQ,        11.85,                     9505.00,800
,ANKURDRUGS,EQ,         6.85,                    80138.05,11598
,ANSALAPI,EQ,        23.80,                  2376990.10,99711
,ANSALHSG,EQ,        17.10,                    37685.50,2198
,ANTGRAPHIC,EQ,          .25,                       20.40,86
,APARINDS,EQ,       117.10,                   728493.90,6183
,APCOTEXIND,EQ,       249.10,                   263803.35,1060
,APLAPOLLO,EQ,       173.55,                   266682.00,1540
