,31-MAY-2013
The Nifty witnessed an intraday movement of about 130.7 points.The closing index was 2.26 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 13855.02
, Traded Quantity (in Lakhs), 7086.03
, Number of Trades, 7326575
, Total Market Capitalisation (Rs. Crores), 6518227.41

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      6124.05,      6098.70,      6106.25,      5975.55,      5985.95,-138.1
,CNX IT,      6390.40,      6381.95,      6483.90,      6381.45,      6472.05,81.65
,CNX Nifty Junior,     12411.05,     12400.25,     12443.05,     12277.40,     12312.05,-99
,BANK Nifty,     12805.90,     12734.30,     12760.45,     12453.15,     12475.65,-330.25
,CNX Midcap,      7902.05,      7898.60,      7933.20,      7814.40,      7821.80,-80.25
,CNX 500,      4774.00,      4759.20,      4759.20,      4675.80,      4681.45,-92.55
,CNX 100,      6035.55,      6013.50,      6015.10,      5904.40,      5912.60,-122.95
,Nifty Midcap 50,      2073.35,      2071.95,      2077.05,      2019.90,      2023.75,-49.6
,CNX Realty,       221.75,       221.85,       222.05,       212.85,       213.75,-8
,CNX Infra,      2393.75,      2386.55,      2388.70,      2333.20,      2341.30,-52.45
,CNX Energy,      8059.00,      8043.00,      8062.40,      7825.45,      7852.10,-206.9
,CNX FMCG,     17884.55,     17792.40,     17792.40,     17468.20,     17509.05,-375.5
,CNX MNC,      5863.85,      5844.35,      5897.30,      5837.90,      5863.60,-.25
,CNX Pharma,      6814.85,      6794.85,      6828.25,      6710.20,      6729.25,-85.6
,CNX PSE,      2915.40,      2909.45,      2923.30,      2848.55,      2860.80,-54.6
,CNX PSU Bank,      3131.80,      3117.15,      3122.55,      3023.85,      3035.10,-96.7
,CNX Service,      7400.55,      7373.25,      7384.90,      7243.45,      7257.35,-143.2
,India VIX,        16.04,        16.04,        17.21,        15.88,        16.99,.95
,CNX AUTO,      4855.40,      4843.50,      4853.45,      4761.15,      4769.05,-86.35
,CNX Metal,      2210.20,      2207.65,      2211.05,      2148.15,      2155.10,-55.1
,CNX Media,      1731.35,      1734.00,      1736.70,      1687.80,      1691.95,-39.4
,CNX Smallcap,      3231.85,      3223.50,      3226.20,      3146.25,      3155.70,-76.15
,CNX 200,      3077.30,      3067.25,      3068.15,      3012.30,      3016.40,-60.9
,CNX Dividend Oppt,      1731.85,      1725.90,      1727.65,      1700.50,      1702.95,-28.9
,CNX Commodities,      2279.05,      2276.50,      2280.55,      2225.00,      2229.15,-49.9
,CNX Consumption,      2486.45,      2481.15,      2482.85,      2453.05,      2457.85,-28.6
,CNX Finance,      5310.30,      5283.35,      5288.55,      5146.55,      5157.65,-152.65
,Nifty Dividend,        19.70,        28.68,        28.68,        28.68,        28.68,8.98

,ADVANCES,350
,DECLINES,1042
,UNCHANGED,75

,Total securities that have hit their price bands today,126

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,INFY,EQ,      2341.45,      2411.70,3,554.15
,APOLLOHOSP,EQ,       960.05,      1007.70,4.96,465.75
,SBIN,EQ,      2088.55,      2046.75,-2,428.5
,HDFC,EQ,       926.25,       890.15,-3.9,397.04
,OIL,EQ,       600.00,       594.60,-0.9,395.06
,ICICIBANK,EQ,      1182.80,      1154.45,-2.4,385.49
,LUPIN,EQ,       765.45,       737.70,-3.63,340.85
,ZEEL,EQ,       235.00,       226.10,-3.79,319.85
,RELIANCE,EQ,       836.80,       806.30,-3.64,318.55
,MCDOWELL-N,EQ,      2439.75,      2414.50,-1.03,314.8
,WOCKPHARMA,EQ,      1140.55,      1223.30,7.26,307.78
,GSKCONS,EQ,      5289.85,      5815.60,9.94,294.84
,ITC,EQ,       354.30,       339.90,-4.06,253.97
,DLF,EQ,       205.75,       194.70,-5.37,244.33
,SUNPHARMA,EQ,      1074.20,      1044.10,-2.8,231.07
,M&M,EQ,      1004.65,       967.55,-3.69,227.48
,LT,EQ,      1427.45,      1400.75,-1.87,224.33
,HDFCBANK,EQ,       725.15,       700.50,-3.4,217
,TATAMOTORS,EQ,       317.05,       313.30,-1.18,215.73
,BANKBARODA,EQ,       685.45,       651.65,-4.93,201.16
,TATASTEEL,EQ,       301.65,       291.75,-3.28,200.67
,AXISBANK,EQ,      1432.70,      1430.55,-0.15,198
,RCOM,EQ,       109.90,       106.40,-3.18,190.73
,IDFC,EQ,       153.05,       144.70,-5.46,176.77
,JETAIRWAYS,EQ,       528.45,       491.75,-6.94,174.17

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,SESAGOA,EQ,       163.90,       157.65,3.96
,INFY,EQ,      2411.70,      2341.45,3
,HCLTECH,EQ,       744.85,       742.00,.38
,CAIRN,EQ,       285.55,       284.60,.33
,AMBUJACEM,EQ,       182.35,       182.10,.14

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ULTRACEMCO,EQ,      1878.30,      1988.05,-5.52
,IDFC,EQ,       144.70,       153.05,-5.46
,RELINFRA,EQ,       361.35,       382.10,-5.43
,DLF,EQ,       194.70,       205.75,-5.37
,BANKBARODA,EQ,       651.65,       685.45,-4.93

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.45,                   934472.30,30561
,3IINFOTECH,EQ,         5.00,                  2761069.10,549888
,3MINDIA,EQ,      3592.30,                  3956546.50,1101
,A2ZMES,BE,        16.20,                  1063111.80,65041
,AANJANEYA,EQ,        60.85,                  4662197.40,77740
,AARTIDRUGS,EQ,       213.30,                   713078.65,3333
,AARTIIND,EQ,        87.75,                  1600524.00,18245
,AARVEEDEN,EQ,        38.00,                   396605.75,10131
,ABAN,EQ,       295.50,                 51492898.45,171891
,ABB,EQ,       641.10,                 56506590.10,85924
,ABBOTINDIA,EQ,      1417.60,                   690922.65,487
,ABCIL,EQ,        81.00,                   445849.00,5441
,ABGSHIP,EQ,       270.75,                 74821725.60,271671
,ACCELYA,EQ,       438.45,                  2612792.70,5925
,ACE,EQ,        12.95,                  1232403.60,93804
,ACROPETAL,EQ,         5.60,                   245226.85,42792
,ADANIPOWER,EQ,        56.75,                177636312.15,3057003
,ADFFOODS,EQ,        45.20,                  1902521.65,41420
,ADHUNIK,EQ,        25.95,                  1786335.90,67239
,ADORWELD,EQ,       120.35,                   173553.40,1433
,ADSL,BE,         9.65,                   539187.80,55589
,ADVANTA,EQ,       728.95,                  2291053.65,3136
,AEGISCHEM,EQ,       145.70,                  2772329.50,18836
,AFL,EQ,        24.95,                    14167.85,564
,AFTEK,EQ,         4.50,                   371911.65,82059
,AGCNET,EQ,        68.05,                   719626.70,10417
,AGRODUTCH,EQ,         2.40,                    10986.35,4639
,AHLEAST,EQ,       150.00,                     5988.00,41
,AHLUCONT,BE,        39.25,                   319941.25,8085
,AHLWEST,EQ,       105.00,                     8653.90,82
,AHMEDFORGE,EQ,       101.75,                   552024.15,5366
,AIAENG,EQ,       317.40,                 31647596.50,104114
,AIL,EQ,       352.30,                  3238123.75,9099
,AJANTPHARM,EQ,       957.15,                 37156126.10,38495
,AJMERA,EQ,        88.50,                  1775370.75,20011
,AKSHOPTFBR,EQ,        16.05,                  2226405.60,139792
,AKZOINDIA,EQ,      1136.60,                  3314159.30,2938
,ALBK,EQ,       121.10,                197859005.30,1613326
,ALCHEM,EQ,        41.50,                   678594.85,16339
,ALEMBICLTD,EQ,        19.85,                  1223936.80,61965
,ALKALI,EQ,        19.00,                    65843.90,3479
,ALKYLAMINE,EQ,       141.00,                    14382.00,102
,ALLCARGO,EQ,       110.80,                   151245.75,1357
,ALMONDZ,EQ,         7.05,                       28.20,4
,ALOKTEXT,EQ,         7.85,                 68603219.00,8651981
,ALPA,EQ,         7.00,                    35000.00,5000
,ALPHAGEO,EQ,        29.95,                    18562.50,614
,ALPSINDUS,BE,         1.45,                     8182.35,5643
,ALSTOMT&D,EQ,       159.15,                  9350878.90,59276
,AMAR,EQ,         9.20,                   628877.75,67419
,AMARAJABAT,EQ,       266.60,                 58958511.35,216931
,AMBIKCO,EQ,       206.30,                   302973.30,1434
,AMDIND,EQ,        10.70,                    12914.90,1207
,AMRUTANJAN,EQ,       128.65,                  1731263.95,13271
,AMTEKAUTO,EQ,        81.65,                 34801726.65,427941
,AMTEKINDIA,EQ,        94.05,                 45785568.15,493029
,ANANTRAJ,EQ,        64.90,                 58891683.40,895317
,ANDHRABANK,EQ,        85.85,                 81350916.90,942926
,ANDHRACEMT,EQ,         7.20,                    72865.75,10143
,ANDHRSUGAR,EQ,       128.30,                   959502.30,7452
,ANIKINDS,EQ,        21.00,                    62842.20,3000
,ANKITMETAL,EQ,        11.75,                  3080246.50,264178
,ANKURDRUGS,EQ,         6.60,                    89326.30,13555
,ANSALAPI,EQ,        22.05,                  1934226.55,87224
,ANSALHSG,EQ,        18.40,                  1241564.50,67487
,ANTGRAPHIC,EQ,          .20,                    15859.60,66233
,APARINDS,EQ,       112.80,                  2220208.30,19093
,APCOTEXIND,EQ,       255.50,                   309512.25,1210
,APLAPOLLO,EQ,       175.35,                   978409.40,5501
