,11-JUN-2013
The Nifty witnessed an intraday movement of about 87.7 points.The closing index was 1.52 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 11436.42
, Traded Quantity (in Lakhs), 6640.12
, Number of Trades, 6064459
, Total Market Capitalisation (Rs. Crores), 6312300.62

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      5878.00,      5848.75,      5868.05,      5780.35,      5788.80,-89.2
,CNX IT,      6604.70,      6615.70,      6661.70,      6523.95,      6550.95,-53.75
,CNX Nifty Junior,     12117.30,     12054.10,     12083.00,     11868.15,     11890.00,-227.3
,BANK Nifty,     12087.05,     12007.75,     12031.90,     11795.45,     11820.50,-266.55
,CNX Midcap,      7701.30,      7664.60,      7685.95,      7531.05,      7558.35,-142.95
,CNX 500,      4604.40,      4582.70,      4593.95,      4523.95,      4529.85,-74.55
,CNX 100,      5808.05,      5778.90,      5796.70,      5708.85,      5716.70,-91.35
,Nifty Midcap 50,      1998.80,      1985.20,      1990.50,      1943.65,      1958.20,-40.6
,CNX Realty,       210.65,       209.15,       209.50,       201.45,       202.65,-8
,CNX Infra,      2287.10,      2271.80,      2286.70,      2241.85,      2254.70,-32.4
,CNX Energy,      7690.45,      7641.50,      7694.55,      7536.85,      7576.15,-114.3
,CNX FMCG,     17373.35,     17294.20,     17361.45,     17213.65,     17251.95,-121.4
,CNX MNC,      5762.60,      5748.15,      5755.90,      5685.25,      5713.60,-49
,CNX Pharma,      6705.95,      6679.15,      6726.05,      6655.95,      6686.20,-19.75
,CNX PSE,      2784.35,      2766.15,      2784.45,      2716.05,      2722.90,-61.45
,CNX PSU Bank,      2981.30,      2963.10,      2987.05,      2932.20,      2954.95,-26.35
,CNX Service,      7118.70,      7084.35,      7103.35,      6972.20,      6988.30,-130.4
,India VIX,        18.11,        17.41,        19.59,        17.41,        19.49,1.38
,CNX AUTO,      4619.60,      4605.30,      4608.05,      4528.60,      4564.55,-55.05
,CNX Metal,      2119.60,      2105.15,      2108.40,      2008.50,      2025.75,-93.85
,CNX Media,      1687.80,      1680.60,      1682.70,      1644.80,      1653.75,-34.05
,CNX Smallcap,      3108.80,      3093.45,      3096.60,      3027.90,      3042.80,-66
,CNX 200,      2964.30,      2949.85,      2958.20,      2913.15,      2916.95,-47.35
,CNX Dividend Oppt,      1678.95,      1671.10,      1679.95,      1655.40,      1657.75,-21.2
,CNX Commodities,      2190.90,      2178.30,      2183.70,      2122.90,      2137.25,-53.65
,CNX Consumption,      2406.85,      2396.80,      2400.25,      2358.00,      2362.50,-44.35
,CNX Finance,      4991.75,      4956.50,      4967.00,      4864.55,      4876.30,-115.45
,Nifty Dividend,        31.26,        31.26,        31.26,        31.26,        31.26,0

,ADVANCES,286
,DECLINES,1057
,UNCHANGED,81

,Total securities that have hit their price bands today,143

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,ICICIBANK,EQ,      1117.80,      1076.50,-3.69,629.36
,JINDALSTEL,EQ,       267.25,       226.15,-15.38,591.42
,SBIN,EQ,      2011.55,      1997.50,-0.7,556.79
,RCOM,EQ,       111.05,       103.95,-6.39,342.1
,TATAMOTORS,EQ,       296.05,       293.15,-0.98,284.95
,AXISBANK,EQ,      1355.25,      1322.70,-2.4,284.47
,MCDOWELL-N,EQ,      2495.15,      2489.30,-0.23,278.89
,RELIANCE,EQ,       789.35,       785.60,-0.48,237.54
,LT,EQ,      1404.45,      1403.05,-0.1,236.78
,BHARTIARTL,EQ,       283.75,       278.70,-1.78,225.92
,HDFC,EQ,       852.60,       831.15,-2.52,223.97
,ITC,EQ,       337.00,       334.35,-0.79,220.34
,HDFCBANK,EQ,       676.35,       664.90,-1.69,198.23
,INFY,EQ,      2486.75,      2475.50,-0.45,185.52
,JPASSOCIAT,EQ,        63.35,        61.25,-3.31,170.11
,DLF,EQ,       196.00,       187.05,-4.57,169.3
,TCS,EQ,      1525.05,      1501.55,-1.54,167.47
,TITAN,EQ,       264.70,       237.20,-10.39,165.29
,SUNPHARMA,EQ,       998.65,       982.40,-1.63,143.16
,TATASTEEL,EQ,       290.60,       281.20,-3.23,139.09
,ONGC,EQ,       321.05,       308.20,-4,129.21
,RELCAPITAL,EQ,       334.15,       327.25,-2.06,127.94
,HCLTECH,EQ,       753.45,       755.70,0.3,121.78
,RELINFRA,EQ,       371.60,       359.25,-3.32,121.61
,SATYAMCOMP,EQ,       106.65,       111.05,4.13,115.56

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,AMBUJACEM,EQ,       175.75,       172.95,1.62
,CIPLA,EQ,       379.90,       374.20,1.52
,BAJAJ-AUTO,EQ,      1783.20,      1767.00,.92
,GAIL,EQ,       305.95,       303.75,.72
,HEROMOTOCO,EQ,      1653.00,      1642.55,.64

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,JINDALSTEL,EQ,       226.15,       267.25,-15.38
,HINDALCO,EQ,        94.35,       100.60,-6.21
,TATAPOWER,EQ,        82.35,        87.65,-6.05
,DLF,EQ,       187.05,       196.00,-4.57
,ONGC,EQ,       308.20,       321.05,-4

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.40,                  1571587.35,51416
,3IINFOTECH,EQ,         5.05,                  3781204.35,725871
,3MINDIA,EQ,      3545.80,                  5540252.15,1568
,A2ZMES,BE,        13.45,                   947821.55,70412
,AANJANEYA,EQ,        51.40,                  2969698.70,60042
,AARTIDRUGS,EQ,       213.60,                  1027559.25,4872
,AARTIIND,EQ,        87.45,                  5230455.45,59656
,AARVEEDEN,EQ,        38.65,                   160178.30,4150
,ABAN,EQ,       284.25,                 41789287.50,145701
,ABB,EQ,       602.75,                 38274824.95,63269
,ABBOTINDIA,EQ,      1460.40,                  2287678.35,1574
,ABCIL,EQ,        78.65,                   347997.50,4433
,ABGSHIP,EQ,       293.70,                  4288886.75,14627
,ACCELYA,EQ,       449.35,                  2711156.25,6035
,ACE,EQ,        12.15,                  1261060.10,104208
,ACROPETAL,EQ,         5.15,                   136865.45,25930
,ADANIPOWER,EQ,        51.80,                419355962.40,8342586
,ADFFOODS,EQ,        43.05,                   181306.65,4194
,ADHUNIK,EQ,        23.45,                  1745200.60,74840
,ADORWELD,EQ,       121.30,                   466268.25,3853
,ADSL,BE,         7.95,                   138386.60,18350
,ADVANIHOTR,EQ,        28.80,                     2908.80,101
,ADVANTA,EQ,       828.65,                  3528601.15,4253
,AEGISCHEM,EQ,       133.00,                   620012.80,4656
,AFL,EQ,        24.10,                    66878.30,2792
,AFTEK,EQ,         5.20,                   867409.75,166541
,AGCNET,EQ,        59.75,                   193513.95,3241
,AGRODUTCH,EQ,         2.15,                     4266.50,1947
,AHLUCONT,BE,        31.55,                   541422.80,17057
,AHLWEST,EQ,       101.85,                    23199.55,228
,AHMEDFORGE,EQ,       100.05,                  1574365.70,15647
,AIAENG,EQ,       347.15,                  3710319.25,10810
,AIL,EQ,       340.20,                  3385892.45,9889
,AJANTPHARM,EQ,       852.45,                 79706619.95,94019
,AJMERA,EQ,        86.20,                   124879.10,1441
,AKSHOPTFBR,EQ,        15.75,                  7095197.65,446028
,AKZOINDIA,EQ,      1154.50,                  8494152.75,7329
,ALBK,EQ,       109.25,                213193437.00,1930157
,ALCHEM,EQ,        36.20,                   306232.40,8356
,ALEMBICLTD,EQ,        20.15,                   686790.75,34356
,ALKALI,EQ,        20.80,                   135868.75,6524
,ALKYLAMINE,EQ,       143.00,                    46009.80,322
,ALLCARGO,EQ,       101.75,                   137847.95,1373
,ALOKTEXT,EQ,         7.65,                 61164871.45,8030225
,ALPHAGEO,EQ,        24.10,                     5739.75,240
,ALPSINDUS,BE,         1.65,                     4611.35,2819
,ALSTOMT&D,EQ,       155.05,                   583212.00,3769
,AMAR,EQ,         7.65,                    97254.45,12713
,AMARAJABAT,EQ,       251.50,                 46069399.90,186389
,AMARJOTHI,EQ,        50.00,                    51525.00,1040
,AMBIKCO,EQ,       209.40,                    78357.10,373
,AMDIND,EQ,        10.00,                     5000.00,500
,AMRUTANJAN,EQ,       132.65,                  5517026.85,42411
,AMTEKAUTO,EQ,        85.75,                 21219116.95,248263
,AMTEKINDIA,EQ,        90.90,                 22582985.10,245456
,ANANTRAJ,EQ,        57.25,                 25749583.90,444267
,ANDHRABANK,EQ,        85.40,                106395507.70,1244507
,ANDHRACEMT,EQ,         6.65,                    49844.90,7508
,ANDHRSUGAR,EQ,       129.20,                  1419659.15,11054
,ANIKINDS,EQ,        21.45,                    38592.35,1807
,ANKITMETAL,EQ,        11.05,                   448012.10,40501
,ANKURDRUGS,EQ,         6.00,                    55385.25,9309
,ANSALAPI,EQ,        18.85,                  3158550.20,165165
,ANSALHSG,EQ,        16.95,                   331261.55,19819
,ANTGRAPHIC,EQ,          .15,                     8441.00,46605
,APARINDS,EQ,       118.80,                   476129.80,3986
,APCOTEXIND,EQ,       244.65,                   273854.70,1115
,APLAPOLLO,EQ,       169.95,                  1745813.05,10271
,APLLTD,EQ,       134.55,                 94059707.20,700426
