,20-JUN-2013
The Nifty witnessed an intraday movement of about 109.35 points.The closing index was 2.86 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 11279.34
, Traded Quantity (in Lakhs), 5966.68
, Number of Trades, 5745920
, Total Market Capitalisation (Rs. Crores), 6161886.75

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      5822.25,      5754.15,      5755.00,      5645.65,      5655.90,-166.35
,CNX IT,      6435.10,      6408.70,      6433.10,      6259.50,      6290.15,-144.95
,CNX Nifty Junior,     11980.20,     11866.65,     11866.65,     11654.85,     11666.65,-313.55
,BANK Nifty,     11852.65,     11677.35,     11677.35,     11347.55,     11375.40,-477.25
,CNX Midcap,      7614.50,      7544.85,      7544.85,      7422.85,      7429.40,-185.1
,CNX 500,      4552.70,      4504.65,      4504.65,      4424.45,      4429.65,-123.05
,CNX 100,      5751.35,      5686.05,      5686.05,      5581.60,      5589.15,-162.2
,Nifty Midcap 50,      1976.40,      1954.10,      1954.10,      1918.85,      1921.95,-54.45
,CNX Realty,       204.60,       200.55,       200.80,       193.10,       193.65,-10.95
,CNX Infra,      2311.00,      2280.95,      2280.95,      2231.70,      2235.80,-75.2
,CNX Energy,      7740.15,      7639.80,      7639.80,      7473.15,      7487.75,-252.4
,CNX FMCG,     17061.20,     16963.40,     16963.70,     16638.80,     16747.20,-314
,CNX MNC,      5733.25,      5708.70,      5708.70,      5662.40,      5689.45,-43.8
,CNX Pharma,      6647.50,      6582.30,      6654.20,      6538.30,      6617.10,-30.4
,CNX PSE,      2683.60,      2659.55,      2659.55,      2604.55,      2608.45,-75.15
,CNX PSU Bank,      2964.45,      2909.40,      2909.40,      2839.20,      2844.95,-119.5
,CNX Service,      7010.50,      6927.75,      6927.75,      6760.30,      6775.30,-235.2
,India VIX,        18.46,        18.46,        19.74,        17.85,        19.19,.73
,CNX AUTO,      4591.05,      4532.50,      4557.20,      4486.75,      4512.70,-78.35
,CNX Metal,      2060.85,      2030.35,      2030.35,      1963.65,      1967.00,-93.85
,CNX Media,      1663.45,      1651.70,      1651.70,      1627.35,      1637.85,-25.6
,CNX Smallcap,      3042.85,      3016.15,      3016.15,      2968.85,      2972.85,-70
,CNX 200,      2934.20,      2901.65,      2901.65,      2849.00,      2852.70,-81.5
,CNX Dividend Oppt,      1651.30,      1636.90,      1636.90,      1602.70,      1605.65,-45.65
,CNX Commodities,      2158.25,      2132.55,      2132.60,      2086.70,      2090.50,-67.75
,CNX Consumption,      2404.65,      2380.60,      2380.60,      2355.80,      2358.15,-46.5
,CNX Finance,      4918.90,      4848.25,      4848.25,      4721.00,      4736.60,-182.3
,Nifty Dividend,        37.30,        37.30,        37.30,        37.30,        37.30,0

,ADVANCES,241
,DECLINES,1127
,UNCHANGED,74

,Total securities that have hit their price bands today,136

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SBIN,EQ,      2045.80,      1997.55,-2.36,531.81
,ICICIBANK,EQ,      1086.70,      1046.15,-3.73,496.78
,TATAMOTORS,EQ,       292.10,       288.75,-1.15,387.4
,DLF,EQ,       189.15,       175.50,-7.22,338.8
,ITC,EQ,       329.90,       322.70,-2.18,335.69
,RELIANCE,EQ,       831.70,       798.00,-4.05,320.36
,RCOM,EQ,       126.55,       124.40,-1.7,307.23
,HDFC,EQ,       842.75,       817.55,-2.99,301.79
,TCS,EQ,      1427.70,      1404.50,-1.62,296.28
,HDFCBANK,EQ,       665.20,       636.60,-4.3,243
,AXISBANK,EQ,      1285.05,      1239.80,-3.52,231.96
,LT,EQ,      1437.80,      1395.80,-2.92,220.77
,MCDOWELL-N,EQ,      2479.10,      2444.95,-1.38,220.18
,BHARTIARTL,EQ,       299.55,       288.80,-3.59,206.73
,INFY,EQ,      2438.35,      2369.10,-2.84,204.35
,TATASTEEL,EQ,       291.10,       272.55,-6.37,201.78
,JPASSOCIAT,EQ,        63.35,        58.65,-7.42,187.23
,HINDUNILVR,EQ,       594.75,       593.30,-0.24,153.89
,SUNPHARMA,EQ,       961.25,       969.35,0.84,151.69
,WIPRO,EQ,       343.50,       347.50,1.16,138.64
,M&M,EQ,       979.90,       942.90,-3.78,133.58
,COALINDIA,EQ,       299.55,       295.90,-1.22,127.26
,JINDALSTEL,EQ,       245.80,       221.95,-9.7,122.52
,IDFC,EQ,       144.15,       136.40,-5.38,121.57
,FRL,EQ,       144.40,       147.00,1.8,116.31

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,SUNPHARMA,EQ,       969.35,       961.25,.84
,AMBUJACEM,EQ,       184.00,       183.70,.16

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,JINDALSTEL,EQ,       221.95,       245.80,-9.7
,JPASSOCIAT,EQ,        58.65,        63.35,-7.42
,DLF,EQ,       175.50,       189.15,-7.22
,RELINFRA,EQ,       339.85,       363.60,-6.53
,TATASTEEL,EQ,       272.55,       291.10,-6.37

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.35,                   633290.25,20821
,3IINFOTECH,EQ,         5.05,                  3151538.85,624971
,3MINDIA,EQ,      3478.40,                   553843.30,159
,A2ZMES,EQ,        13.30,                   695324.55,52018
,AANJANEYA,EQ,        61.65,                  7986666.15,133500
,AARTIDRUGS,EQ,       206.95,                   406110.35,1958
,AARTIIND,EQ,        81.70,                   834463.45,10202
,AARVEEDEN,EQ,        37.60,                    59293.60,1562
,ABAN,EQ,       265.65,                 32882418.85,122993
,ABB,EQ,       589.50,                 37361565.60,62788
,ABBOTINDIA,EQ,      1418.60,                   397183.85,279
,ABCIL,EQ,        79.35,                    78197.00,977
,ABGSHIP,EQ,       294.75,                  6306592.00,21576
,ACCELYA,EQ,       453.50,                  2468800.80,5455
,ACE,EQ,        11.50,                  1404710.65,120777
,ACROPETAL,EQ,         4.75,                   372497.25,77919
,ADANIPOWER,EQ,        41.50,                139793252.15,3311888
,ADFFOODS,EQ,        43.05,                   345600.30,7951
,ADHUNIK,EQ,        23.25,                  1348429.00,57603
,ADORWELD,EQ,       119.00,                   358991.20,3009
,ADSL,EQ,        10.50,                   410452.75,37803
,ADVANIHOTR,EQ,        28.70,                    86100.00,3000
,ADVANTA,EQ,       754.10,                  1886154.10,2464
,AEGISCHEM,EQ,       129.30,                   683499.40,5280
,AFL,EQ,        24.20,                    28517.65,1184
,AFTEK,EQ,         5.20,                   595540.85,111814
,AGCNET,EQ,        57.00,                   281685.90,4810
,AGRODUTCH,EQ,         2.65,                    31186.85,11422
,AHLEAST,EQ,       137.00,                    34150.00,250
,AHLUCONT,BE,        30.05,                   135990.00,4534
,AHLWEST,EQ,       102.00,                     7964.05,78
,AHMEDFORGE,EQ,       103.65,                  1100519.80,10612
,AIAENG,EQ,       322.70,                 24244916.45,75780
,AIL,EQ,       330.80,                  5246785.70,15822
,AJANTPHARM,EQ,       920.25,                 45637195.10,49847
,AJMERA,EQ,        85.05,                   532076.80,6222
,AKSHOPTFBR,EQ,        17.20,                   550865.00,32255
,AKZOINDIA,EQ,      1139.35,                  2851709.00,2503
,ALBK,EQ,       105.10,                183733408.65,1721801
,ALCHEM,EQ,        33.70,                   179849.80,5234
,ALEMBICLTD,EQ,        19.55,                  1481539.55,75790
,ALICON,EQ,        61.60,                     1232.00,20
,ALKALI,EQ,        19.00,                    40133.30,2124
,ALKYLAMINE,EQ,       143.95,                    23685.25,167
,ALLCARGO,EQ,        97.35,                   234910.50,2429
,ALOKTEXT,EQ,         7.35,                 38771521.95,5350958
,ALPA,EQ,         6.10,                     7551.80,1238
,ALPHAGEO,EQ,        27.85,                    43196.45,1634
,ALPSINDUS,EQ,         1.70,                     1871.20,1103
,ALSTOMT&D,EQ,       150.20,                   956341.95,6361
,AMAR,EQ,         6.80,                    69403.70,10125
,AMARAJABAT,EQ,       253.40,                 45735132.25,182065
,AMBIKCO,EQ,       205.20,                   662218.95,3213
,AMDIND,EQ,        10.10,                    14960.20,1421
,AMRUTANJAN,EQ,       123.55,                  2409914.90,19382
,AMTEKAUTO,EQ,        77.85,                 27834552.65,360795
,AMTEKINDIA,EQ,        87.55,                 27345284.80,313604
,AMTL,EQ,        21.55,                     1939.50,90
,ANANTRAJ,EQ,        53.00,                 22608453.85,424473
,ANDHRABANK,EQ,        84.05,                 86416242.55,1025312
,ANDHRACEMT,EQ,         5.90,                   202398.45,33497
,ANDHRSUGAR,EQ,       129.15,                  1044010.80,8104
,ANGIND,BE,         7.50,                     7500.00,1000
,ANIKINDS,EQ,        20.20,                    55778.05,2808
,ANKITMETAL,EQ,         9.80,                    44945.00,4300
,ANKURDRUGS,EQ,         5.70,                    11427.70,2011
,ANSALAPI,EQ,        18.25,                  2065263.30,113511
,ANSALHSG,EQ,        16.65,                   251258.80,15247
,ANTGRAPHIC,EQ,          .20,                      826.80,4280
,APARINDS,EQ,       115.85,                   244000.45,2095
,APCOTEXIND,EQ,       231.75,                   799200.20,3357
,APLAPOLLO,EQ,       161.60,                    86735.30,532
