,03-JUL-2013
The Nifty witnessed an intraday movement of about 54.6 points.The closing index was 1.48 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 10213.96
, Traded Quantity (in Lakhs), 6240.01
, Number of Trades, 5946208
, Total Market Capitalisation (Rs. Crores), 6202488.99

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,      5857.55,      5811.95,      5815.00,      5760.40,      5770.90,-86.65
,CNX IT,      6474.25,      6464.80,      6547.00,      6404.65,      6451.30,-22.95
,CNX Nifty Junior,     11808.05,     11741.20,     11754.65,     11588.05,     11613.30,-194.75
,BANK Nifty,     11614.25,     11500.30,     11505.75,     11322.80,     11357.80,-256.45
,CNX Midcap,      7467.80,      7427.40,      7427.40,      7298.90,      7311.05,-156.75
,CNX 500,      4542.80,      4511.20,      4511.20,      4467.55,      4473.35,-69.45
,CNX 100,      5768.30,      5725.25,      5725.25,      5671.55,      5681.50,-86.8
,Nifty Midcap 50,      1933.30,      1920.00,      1920.00,      1874.80,      1878.85,-54.45
,CNX Realty,       198.60,       195.65,       195.65,       188.05,       188.80,-9.8
,CNX Infra,      2310.60,      2293.15,      2294.05,      2245.55,      2251.15,-59.45
,CNX Energy,      8048.55,      7946.20,      7976.25,      7831.75,      7841.75,-206.8
,CNX FMCG,     16938.75,     16870.65,     17032.75,     16765.05,     16998.95,60.2
,CNX MNC,      5707.50,      5688.85,      5757.75,      5684.55,      5689.90,-17.6
,CNX Pharma,      6880.95,      6855.05,      6943.55,      6852.35,      6918.85,37.9
,CNX PSE,      2726.55,      2695.00,      2698.55,      2650.80,      2655.15,-71.4
,CNX PSU Bank,      2793.75,      2769.90,      2769.90,      2642.85,      2649.65,-144.1
,CNX Service,      7006.60,      6958.55,      6960.10,      6864.75,      6880.95,-125.65
,India VIX,        18.21,        18.21,        19.13,        17.81,        18.91,.7
,CNX AUTO,      4589.35,      4544.20,      4580.75,      4515.35,      4556.75,-32.6
,CNX Metal,      1987.60,      1970.15,      1970.15,      1921.25,      1932.35,-55.25
,CNX Media,      1678.15,      1664.75,      1681.35,      1659.25,      1670.20,-7.95
,CNX Smallcap,      2964.95,      2954.00,      2954.00,      2891.40,      2894.70,-70.25
,CNX 200,      2932.50,      2911.10,      2911.10,      2882.85,      2887.90,-44.6
,CNX Dividend Oppt,      1623.80,      1611.60,      1612.60,      1588.85,      1591.75,-32.05
,CNX Commodities,      2159.50,      2139.15,      2141.15,      2108.70,      2111.35,-48.15
,CNX Consumption,      2432.45,      2419.10,      2432.65,      2406.20,      2415.25,-17.2
,CNX Finance,      4874.40,      4829.90,      4829.90,      4752.05,      4762.40,-112
,Nifty Dividend,        43.31,        43.31,        43.31,        43.31,        43.31,0

,ADVANCES,342
,DECLINES,1011
,UNCHANGED,89

,Total securities that have hit their price bands today,145

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,SATYAMCOMP,EQ,       115.00,       115.15,0.13,619.43
,MCDOWELL-N,EQ,      2415.65,      2515.45,4.13,555.81
,SBIN,EQ,      1989.90,      1898.75,-4.58,485.36
,RCOM,EQ,       130.95,       131.10,0.11,391.8
,ICICIBANK,EQ,      1079.10,      1064.00,-1.4,358.22
,TATAMOTORS,EQ,       286.45,       284.20,-0.79,298.33
,JPASSOCIAT,EQ,        56.70,        51.85,-8.55,255.61
,RELIANCE,EQ,       871.85,       850.85,-2.41,249.94
,ITC,EQ,       324.85,       326.35,0.46,219.78
,HDFCBANK,EQ,       656.55,       650.65,-0.9,217.03
,TECHM,EQ,      1002.20,       999.10,-0.31,186.79
,AXISBANK,EQ,      1308.50,      1277.85,-2.34,163.45
,INFY,EQ,      2403.95,      2404.50,0.02,161.41
,HDFC,EQ,       875.15,       853.60,-2.46,150.88
,RELCAPITAL,EQ,       357.55,       341.15,-4.59,144.36
,IDFC,EQ,       132.05,       124.15,-5.98,142.95
,LT,EQ,      1429.50,      1392.65,-2.58,138.74
,HINDUNILVR,EQ,       587.85,       587.85,0,134.95
,LUPIN,EQ,       801.20,       830.45,3.65,134.49
,BHARTIARTL,EQ,       302.85,       294.55,-2.74,128.97
,JSWSTEEL,EQ,       642.10,       610.70,-4.89,124.8
,UNITECH,EQ,        22.75,        20.45,-10.11,117.03
,TCS,EQ,      1500.55,      1489.80,-0.72,114.17
,JINDALSTEL,EQ,       214.05,       216.30,1.05,114.04
,RANBAXY,EQ,       345.30,       337.85,-2.16,113.66

,Top Five CNX Nifty Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,LUPIN,EQ,       830.45,       801.20,3.65
,SUNPHARMA,EQ,      1019.75,      1007.85,1.18
,JINDALSTEL,EQ,       216.30,       214.05,1.05
,AMBUJACEM,EQ,       188.40,       186.50,1.02
,ITC,EQ,       326.35,       324.85,.46

,Top Five CNX Nifty Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,JPASSOCIAT,EQ,        51.85,        56.70,-8.55
,BANKBARODA,EQ,       543.95,       590.80,-7.93
,IDFC,EQ,       124.15,       132.05,-5.98
,PNB,EQ,       621.85,       655.25,-5.1
,TATAPOWER,EQ,        82.55,        86.70,-4.79

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        30.25,                   457512.95,15065
,3IINFOTECH,EQ,         4.95,                  1276292.70,260788
,3MINDIA,EQ,      3503.00,                    84080.55,24
,A2ZMES,EQ,        13.25,                   475395.05,35830
,AANJANEYA,EQ,        47.05,                   722394.35,15183
,AARTIDRUGS,EQ,       196.20,                   449565.25,2283
,AARTIIND,EQ,        78.85,                   269137.05,3405
,AARVEEDEN,EQ,        36.05,                    40569.75,1114
,ABAN,EQ,       248.05,                 28464723.90,113669
,ABB,EQ,       606.80,                 15143015.35,24838
,ABBOTINDIA,EQ,      1454.65,                 11751005.40,8073
,ABCIL,EQ,        75.65,                    57484.40,762
,ABGSHIP,EQ,       285.55,                  5488220.70,19227
,ACCELYA,EQ,       450.65,                  2297218.90,5053
,ACE,EQ,        12.60,                  1562422.40,122822
,ACROPETAL,EQ,         4.95,                    32929.00,6675
,ADANIPOWER,EQ,        41.40,                228696502.60,5501747
,ADFFOODS,EQ,        45.05,                    51845.25,1141
,ADHUNIK,EQ,        23.25,                  1451664.60,62432
,ADORWELD,EQ,       119.30,                   151851.80,1271
,ADSL,EQ,        10.05,                   222961.50,22252
,ADVANTA,EQ,       765.10,                  4007048.50,5249
,AEGISCHEM,EQ,       127.90,                   999425.85,7808
,AFL,EQ,        23.90,                    17402.90,729
,AFTEK,EQ,         4.75,                   116648.70,24354
,AGCNET,EQ,        71.90,                   308478.95,4313
,AGRODUTCH,EQ,         2.40,                     4560.45,1895
,AHLEAST,EQ,       149.00,                     6297.00,53
,AHLUCONT,BE,        29.00,                   135215.75,4650
,AHLWEST,EQ,       103.45,                     6353.35,62
,AHMEDFORGE,EQ,        99.10,                   242467.20,2435
,AIAENG,EQ,       326.95,                   321102.70,987
,AIL,EQ,       337.20,                  2689762.75,7987
,AJANTPHARM,EQ,       922.20,                 38100358.60,40879
,AJMERA,EQ,        78.15,                    74198.35,952
,AKSHOPTFBR,EQ,        16.60,                   338141.75,20449
,AKZOINDIA,EQ,      1124.30,                  2065868.70,1834
,ALBK,EQ,        88.85,                225425219.40,2533279
,ALCHEM,EQ,        27.70,                    90271.45,3203
,ALEMBICLTD,EQ,        20.45,                  1160537.95,57504
,ALKALI,EQ,        18.35,                    62727.85,3418
,ALKYLAMINE,EQ,       144.90,                    30339.15,213
,ALLCARGO,EQ,        94.25,                    75706.15,793
,ALLSEC,EQ,        33.40,                     1670.00,50
,ALOKTEXT,EQ,         7.05,                 59804890.75,8497440
,ALPHAGEO,EQ,        24.70,                    56120.35,2247
,ALPINEHOU,EQ,        17.50,                     1925.00,110
,ALSTOMT&D,EQ,       166.35,                  1135720.25,6884
,AMAR,EQ,         6.75,                   236332.00,33840
,AMARAJABAT,EQ,       268.30,                 32391890.70,121078
,AMBIKCO,EQ,       202.10,                   310705.20,1523
,AMDIND,EQ,         9.55,                     2129.65,223
,AMRUTANJAN,EQ,       119.30,                   750650.00,6302
,AMTEKAUTO,EQ,        68.85,                 15582881.25,223951
,AMTEKINDIA,EQ,        64.95,                  6489760.85,98259
,ANANTRAJ,EQ,        50.75,                 42768919.90,842063
,ANDHRABANK,EQ,        81.65,                 97471576.15,1185751
,ANDHRACEMT,EQ,         6.15,                     9202.10,1517
,ANDHRSUGAR,EQ,       121.85,                   228851.95,1873
,ANGIND,BE,         7.85,                       23.55,3
,ANIKINDS,EQ,        18.00,                    42026.05,2326
,ANKITMETAL,EQ,         9.45,                     6607.80,715
,ANKURDRUGS,EQ,         6.70,                    74482.60,10842
,ANSALAPI,EQ,        19.60,                  1368499.80,70592
,ANSALHSG,EQ,        16.80,                    23230.40,1379
,ANTGRAPHIC,EQ,          .20,                      407.60,2035
,APARINDS,EQ,       107.95,                   375857.90,3474
,APCOTEXIND,EQ,       217.85,                   127244.80,579
,APLAPOLLO,EQ,       157.70,                    34418.90,223
